celltype,area_type,beta_scz,se,pval,ci_lo,ci_hi,pct_change_scz,n_ctrl,n_scz,n_samples_ctrl,n_samples_scz,converged,fdr
L6 IT Car3_1,cell,0.00336,0.03923,0.9317,-0.07353,0.08026,0.34,942,1517,12,12,True,0.9638
L6 IT Car3_1,nucleus,0.04525,0.06707,0.4999,-0.08622,0.17672,4.63,942,1517,12,12,True,0.9817
L6 IT Car3_2,cell,-0.01395,0.04003,0.7274,-0.09241,0.06451,-1.39,1001,967,12,12,True,0.9485
L6 IT Car3_2,nucleus,0.01773,0.08185,0.8285,-0.1427,0.17816,1.79,1001,967,12,12,True,0.9817
L6 IT Car3_3,cell,-0.0082,0.02251,0.7155,-0.05231,0.03591,-0.82,872,862,12,12,True,0.9485
L6 IT Car3_3,nucleus,-0.01632,0.03869,0.6732,-0.09215,0.05952,-1.62,872,862,12,12,True,0.9817
L6 IT_1,cell,-0.00072,0.0275,0.9790,-0.05461,0.05317,-0.07,2512,3493,12,12,True,0.9951
L6 IT_1,nucleus,-0.01206,0.05412,0.8236,-0.11813,0.09401,-1.2,2512,3493,12,12,True,0.9817
L6 IT_2,cell,-0.01347,0.02859,0.6374,-0.0695,0.04255,-1.34,9325,9313,12,12,True,0.9485
L6 IT_2,nucleus,-0.01381,0.05098,0.7865,-0.11374,0.08611,-1.37,9325,9313,12,12,True,0.9817
L6b_1,cell,0.01129,0.0587,0.8475,-0.10376,0.12633,1.14,173,289,12,12,True,0.9485
L6b_1,nucleus,0.01023,0.08197,0.9007,-0.15043,0.17088,1.03,173,289,12,12,True,0.9817
L6b_2,cell,-0.0175,0.04234,0.6794,-0.10049,0.0655,-1.73,439,526,12,12,True,0.9485
L6b_2,nucleus,-0.02849,0.06479,0.6601,-0.15548,0.09849,-2.81,439,526,12,12,True,0.9817
L6b_3,cell,-0.01941,0.03553,0.5847,-0.08905,0.05022,-1.92,413,388,12,12,True,0.9356
L6b_3,nucleus,-0.00338,0.05036,0.9464,-0.10208,0.09532,-0.34,413,388,12,12,True,0.9817
L6b_4,cell,-0.02669,0.04575,0.5597,-0.11636,0.06298,-2.63,231,581,12,12,True,0.9200
L6b_4,nucleus,-0.01401,0.09362,0.8810,-0.19751,0.16949,-1.39,231,581,12,12,True,0.9817
L6b_5,cell,0.04966,0.04127,0.2289,-0.03124,0.13056,5.09,721,1341,12,12,True,0.8008
L6b_5,nucleus,0.12646,0.07502,0.0919,-0.02058,0.2735,13.48,721,1341,12,12,True,0.6661
L6b_6,cell,-0.0069,0.03481,0.8429,-0.07514,0.06133,-0.69,3019,3149,12,12,True,0.9485
L6b_6,nucleus,0.00213,0.05071,0.9665,-0.09727,0.10153,0.21,3019,3149,12,12,True,0.9850
Lamp5_1,cell,-0.00861,0.02053,0.6750,-0.04884,0.03163,-0.86,1653,1955,12,12,True,0.9485
Lamp5_1,nucleus,0.00453,0.03897,0.9075,-0.07186,0.08092,0.45,1653,1955,12,12,True,0.9817
Lamp5_2,cell,-0.01692,0.02364,0.4742,-0.06326,0.02942,-1.68,2291,1757,12,12,True,0.8955
Lamp5_2,nucleus,-0.02209,0.04082,0.5884,-0.10211,0.05792,-2.19,2291,1757,12,12,True,0.9817
Lamp5_3,cell,-0.03803,0.02628,0.1479,-0.08954,0.01348,-3.73,1031,903,12,12,True,0.6520
Lamp5_3,nucleus,-0.03876,0.05184,0.4547,-0.14036,0.06284,-3.8,1031,903,12,12,True,0.9817
Lamp5_4,cell,-0.01232,0.02346,0.5996,-0.0583,0.03367,-1.22,885,861,12,12,True,0.9468
Lamp5_4,nucleus,-0.01639,0.04815,0.7336,-0.11077,0.07799,-1.63,885,861,12,12,True,0.9817
Lamp5_5,cell,-0.00304,0.02026,0.8808,-0.04274,0.03667,-0.3,1295,975,12,12,True,0.9638
Lamp5_5,nucleus,-0.03261,0.03706,0.3788,-0.10524,0.04002,-3.21,1295,975,12,12,True,0.9817
Lamp5_6,cell,0.04909,0.02785,0.0780,-0.00551,0.10368,5.03,844,751,12,12,True,0.6520
Lamp5_6,nucleus,0.10286,0.06097,0.0916,-0.01663,0.22235,10.83,844,751,12,12,True,0.6661
Lymphocyte,cell,-0.0481,0.04835,0.3199,-0.14287,0.04667,-4.7,502,626,12,12,True,0.8955
Lymphocyte,nucleus,-0.09925,0.07472,0.1841,-0.24571,0.04721,-9.45,502,626,12,12,True,0.9606
Micro-PVM_1,cell,0.00721,0.02614,0.7828,-0.04404,0.05845,0.72,2105,1559,12,12,True,0.9485
Micro-PVM_1,nucleus,-0.01289,0.02905,0.6572,-0.06982,0.04404,-1.28,2105,1559,12,12,True,0.9817
Micro-PVM_2,cell,-0.01086,0.02581,0.6739,-0.06144,0.03972,-1.08,5469,3199,12,12,True,0.9485
Micro-PVM_2,nucleus,-0.04374,0.04301,0.3092,-0.12805,0.04057,-4.28,5469,3199,12,12,True,0.9817
Micro-PVM_2_1-SEAAD,cell,0.02565,0.03226,0.4266,-0.03758,0.08887,2.6,11132,14219,12,12,True,0.8955
Micro-PVM_2_1-SEAAD,nucleus,0.06843,0.06049,0.2580,-0.05014,0.18699,7.08,11132,14219,12,12,True,0.9817
Micro-PVM_2_3-SEAAD,cell,0.00964,0.0149,0.5176,-0.01957,0.03885,0.97,11367,9262,12,12,True,0.8959
