,pearson_r,spearman_rho,mean_sn,mean_mer,mean_both,var_sn,var_mer,log2fc_mer_vs_sn,abs_log2fc,det_rate_sn,det_rate_mer,det_ratio,entropy_sn,entropy_mer,max_over_mean_sn,cv_sn,cv_mer,top_ct_sn,top_ct_mer,same_top_ct,biotype,r_quintile,r_bin
COL5A1,0.7337620019243332,0.7478260869565216,0.05720766850833333,0.07684303079166667,0.06702534965,0.006687181119295816,0.0030889721651286704,0.4193586500463395,0.4193586500463395,0.17084841554814953,0.024563507622759558,0.14293706197062495,3.4929617155462944,4.297277755631843,4.767088173856872,1.399347549673838,0.7080449162529517,VLMC,L4 IT,False,protein_coding,Q3,0.7-0.9
COL5A2,0.798124666835065,0.6799999999999999,0.16120174812500002,0.160837744,0.16101974606250002,0.03566171246338945,0.016780418711339874,-0.003241254104227305,0.003241254104227305,0.2342192086116917,0.04262287519893028,0.1812049086063105,3.787442549730731,4.171543021968672,3.9351975855007497,1.1468051828804016,0.7884455765768738,L2/3 IT,Sncg,False,protein_coding,Q4,0.7-0.9
COL6A6,0.2533640955225564,0.0782608695652173,0.05506158562499999,0.09038090991666665,0.07272124777083333,0.0006907103978766917,0.0014592902728533439,0.7048802585192315,0.7048802585192315,0.1134133995615855,0.03178264178794597,0.2777877583371542,4.451123815030369,4.455268215572356,2.6856596721918327,0.4672588979525762,0.4137637427213992,L6 CT,L4 IT,False,protein_coding,Q1 (worst),0-0.3
COL7A1,0.729999789444264,0.8113043478260868,0.0852159789875,0.076922218875,0.08106909893125,0.005354949993360894,0.003179324058385477,-0.14592051899111033,0.14592051899111033,0.11998281173757849,0.014484396983186218,0.11972276702085621,4.106025035686734,4.2417555830886675,3.234380491485403,0.8406495198719154,0.7175858925939487,VLMC,L5/6 NP,False,protein_coding,Q3,0.7-0.9
COL8A2,0.917999950936064,0.2513043478260869,0.008851647829166668,0.04286670712500001,0.02585917747708334,0.0007283716762189548,0.0027870678689269936,2.154689452570838,2.154689452570838,0.00559346846026676,0.014715040247249697,2.2317601632471225,2.2388773795676693,4.012509797070884,14.851442639508646,2.984768790727698,1.2056241690052427,Microglia-PVM,Microglia-PVM,True,protein_coding,Q5 (best),>0.9
COL9A1,0.9907924144063144,0.6405572486906804,0.0734404486125,0.21543681949999996,0.14443863405625,0.04847882961878562,0.20810950102821205,1.5397872915634516,1.5397872915634516,0.058512923971080856,0.07396729478515937,1.2428778465178814,2.113880798333702,3.1962450916189455,14.591574809873986,2.93493872993614,2.0729284981945066,OPC,OPC,True,protein_coding,Q5 (best),>0.9
COLCA1,0.4472788169805426,0.4747826086956521,0.015924965125,0.05114881112083333,0.033536888122916664,0.00018784497027219497,0.0012386563134645524,1.6234815017836264,1.6234815017836264,0.031492392737229404,0.013538759600525956,0.4166747493795187,4.083982914844912,4.2304335915602875,3.1470652278744002,0.8425187848057635,0.6735939283013114,L6b,L6b,True,protein_coding,Q2,0.3-0.5
COLEC12,0.9921371909003938,0.3504347826086956,0.16433526898333334,0.14892103795833334,0.15662815347083334,0.37245217484250936,0.11004422008568394,-0.14119166378034412,0.14119166378034412,0.038243883964663446,0.05028023156583834,1.2812246517473247,1.636717637300256,3.261387877248143,18.368442870934423,3.635488493702325,2.1806494740164424,VLMC,VLMC,True,protein_coding,Q5 (best),>0.9
COPB2,0.081860434700502,-0.077391304347826,0.2769070491666667,0.12321612495833334,0.20006158706250002,0.001362542990860469,0.001999954561348806,-1.1617499619067242,1.1617499619067242,0.5113508080661142,0.04082385773923501,0.07967950298219705,4.572093365720258,4.487940371775978,1.2615248367684053,0.1304966588765814,0.3553045875879277,Lamp5,L2/3 IT,False,protein_coding,Q1 (worst),0-0.3
COPG1,0.7595504624769092,0.6408695652173912,0.11227734658333333,1.5283261366666665,0.8203017416249999,0.0006820463953327432,0.22155576712930855,3.754964819398274,3.754964819398274,0.2736575311537324,0.3856586018405741,1.4041435536850861,4.544136286948767,4.5133830046037495,1.2786517883502502,0.22770528761217168,0.30149754941321627,L4 IT,L5/6 NP,False,protein_coding,Q3,0.7-0.9
COPS5,0.2352419169619679,0.1382608695652173,0.17562334270833335,0.23447594566666666,0.2050496441875,0.000647151161450028,0.011349829612453972,0.4149036696839532,0.4149036696839532,0.37102612470197593,0.07562792628641654,0.2032866007649351,4.5698406639814895,4.436682071821007,1.2406345115629174,0.14180087986726184,0.4447896490306279,Pax6,L2/3 IT,False,protein_coding,Q1 (worst),0-0.3
CORO1C,0.3923915644409135,0.308695652173913,0.30776555499999997,0.8852173141666667,0.5964914345833333,0.006627433901062453,0.09385039240626457,1.5211486945981627,1.5211486945981627,0.4894430565967243,0.25892012823760685,0.5279310712120217,4.531464937079809,4.492632897844921,1.3452604532043881,0.2589470617581717,0.33878677113662065,L6 CT,Vip,False,protein_coding,Q2,0.3-0.5
COTL1,0.8646970469562802,0.6234782608695651,0.14121077129166668,0.0774669665,0.10933886889583333,0.018037661001891744,0.003807185342923901,-0.8578734089258097,0.8578734089258097,0.1668281100923312,0.02347948428166129,0.13990197630625748,4.103265780222611,4.220570944500315,4.7111918865304006,0.9310662457147896,0.7797291259703742,Microglia-PVM,Microglia-PVM,True,protein_coding,Q4,0.7-0.9
CPED1,0.8882139286433812,0.4504347826086956,0.17672301920416666,0.06603681745833333,0.12137991833125,0.17616841096440777,0.015622481452808219,-1.406604991040639,1.406604991040639,0.06312316555356817,0.022787554489470906,0.35537163976151953,2.3005934865088347,3.4957730445759245,9.566042995490774,2.3250333839820914,1.8528794774143162,Microglia-PVM,Microglia-PVM,True,protein_coding,Q4,0.7-0.9
CPLX3,0.8216920522348232,0.7318982560494579,0.0546683706375,0.3001219961666666,0.17739518340208332,0.019054417528467437,0.3845088126590933,2.4354183344102878,2.4354183344102878,0.03515582325222328,0.04310722605346362,1.1922623294385335,2.1990070356799234,3.011362457116005,10.68053964643826,2.4718380072174844,2.022616844582779,Lamp5,Lamp5,True,protein_coding,Q4,0.7-0.9
CPM,0.7715947653050534,0.4443478260869564,0.09313563887916666,0.18859272745833333,0.14086418316875,0.03748162794958918,0.09289580125030777,1.010090702870533,1.010090702870533,0.055483128555101825,0.12717669580460655,2.251587315680292,2.8617044781914474,3.622023156251071,9.130786562846295,2.0349400620040288,1.5820907751121838,Oligodendrocyte,VLMC,False,protein_coding,Q3,0.7-0.9
CPNE5,0.8538458471011836,0.88,0.2655922263541666,0.5528870890833334,0.40923965771875004,0.07174378091828311,0.221701334238573,1.054957197124463,1.054957197124463,0.511576586089902,0.12459349124709672,0.2430729273015291,3.925098393224381,4.092940506780341,4.1592975636527685,0.9872680165497905,0.8336927063702175,L6 IT Car3,L6 IT Car3,True,protein_coding,Q4,0.7-0.9
CPNE8,0.8726568650454283,0.863478260869565,0.5060217841666667,0.271877964875,0.3889498745208333,0.1449033454819667,0.04545489494004354,-0.8937918334051227,0.8937918334051227,0.6200738512630068,0.07521276841110225,0.12110116737027432,4.180931628884967,4.183800761045125,2.6163934862613236,0.7364246038793203,0.7676700829275797,L6 CT,Lamp5 Lhx6,False,protein_coding,Q4,0.7-0.9
