celltype,merfish_mean,merfish_std,xenium_mean_uncrop,xenium_std_uncrop,xenium_mean_crop,xenium_std_crop
L6 IT Car3_1,0.0049278489112620965,0.002514335060116949,0.0015921946022223969,0.0004894440950153076,0.001872842766158031,0.0005274779930362914
L6 IT Car3_2,0.00792293080497892,0.005804907992928477,0.0014923737615324974,0.0005895096952000761,0.0016663563961693223,0.0006186595118447042
L6 IT Car3_3,0.017556157775206107,0.007833361343280837,0.001577968113644419,0.0006366271409125267,0.001603001840805294,0.0005533736844012986
L6 IT_1,0.016120227027553096,0.005849634564156951,0.004620307820652027,0.001804097908316307,0.0031245499028333657,0.0016357923963458564
L6 IT_2,0.03387845528479771,0.012017761221576698,0.017661001525511547,0.0036739116717206598,0.015011014700358637,0.0028372102789925137
L6b_1,0.0007846712886738368,0.0006493888797833482,0.00042676378032626875,0.00024065350970278097,0.00011530952382626598,7.603542102854505e-05
L6b_2,0.0008302414150006599,0.0005333176004109098,0.0009922627772906544,0.00039222139376876027,0.000330773743830388,0.00017295047279953537
L6b_3,0.0025945475543017868,0.001488347820118156,0.0008611682418064283,0.0003424844977044468,0.0005422073680771223,0.00026236083946645886
L6b_4,0.0005741585829611277,0.00035444144376862264,0.0006415414022160343,0.0003477698255909741,0.00019175567435708135,0.00014501077715552035
L6b_5,0.004246815243158873,0.0018057963934068196,0.0011146238957328357,0.00039174560837011935,0.00039815344899503407,0.00021918654820017122
L6b_6,0.009298733985446271,0.00446583725937369,0.00561158665680744,0.0019719355056524424,0.0027322637559170685,0.0012113785357348887
Lamp5_1,0.006224496676348094,0.005232536382767114,0.0029346182745018257,0.0007621016360500831,0.0031687773509873514,0.0008270180204963215
Lamp5_2,0.004714738851623087,0.0016014267592635461,0.003582753017543957,0.0009158369954078658,0.0044529273301898535,0.0009696590537225267
Lamp5_3,0.0026876259639325895,0.00106956505419162,0.0016669929309723345,0.0002666935465619288,0.002086680088265125,0.0003516920511950349
Lamp5_4,0.00037747324107641206,0.000286484846937816,0.001459245271378501,0.0005744787502904988,0.001879766495878288,0.0008164427400655008
Lamp5_5,0.001183676880511708,0.0008816299494966252,0.002066456324227762,0.0006072008730232131,0.002720015963991899,0.0008457228851404653
Lamp5_6,0.0003942244640627731,0.00030178693865290927,0.0016506330047895703,0.0005042100061296805,0.0021497247867949647,0.0006620877706123176
Lamp5_Lhx6_1,0.011024402317230966,0.0036912384040088974,0.0013309217455517953,0.002611140964572902,0.00028240506019039965,0.0004556569806293853
Lymphocyte,,,0.0014901345160412815,0.0005693168555845075,0.0014362299789253666,0.0006709600906237377
Micro-PVM_1,0.001500087161355175,0.0007165789004264337,0.003994429813575223,0.002078227270323351,0.00403012231521211,0.0021249460752882604
Micro-PVM_2,0.0034819236703629193,0.002151764864992858,0.008590575991416348,0.004706576683136897,0.006936544847010024,0.0036314698660344365
Micro-PVM_2_1-SEAAD,0.000756508435165188,0.0004998014080100793,0.0164899371435555,0.0035123584678140893,0.018014330777550807,0.004046970013128783
Micro-PVM_2_3-SEAAD,0.06444589512679914,0.03345965087025506,0.01584591301434344,0.006078703231338687,0.019013702649524265,0.006518517911089715
Micro-PVM_3-SEAAD,0.009323049932482152,0.004287048520305666,0.010991333069834129,0.003951700998638873,0.011980480487693965,0.003943609619818878
Micro-PVM_4-SEAAD,,,0.006142676625246019,0.00312288892113364,0.002590169307842264,0.0023446794687294764
Monocyte,0.02328009980653127,0.015288662200926856,0.0003791909542749741,0.0003098063294556275,0.00039133918446352685,0.00042458783234960914
OPC_1,0.010443688940325298,0.00554511501040474,0.0028600101078404432,0.0024620892721224905,0.0013405444512272534,0.0010625407296405822
OPC_2,0.003048946711628104,0.0015196481479151243,0.0002649557266124053,0.0004611645334335922,6.150347272387838e-05,4.4732597535960515e-05
OPC_2_1-SEAAD,0.02462463350859948,0.00542666527678538,0.02523771509659491,0.003202784023709454,0.027050988456500766,0.0038879691136110067
OPC_2_2-SEAAD,0.0010121179439638412,0.0006102777168525106,0.004086834038765282,0.0026655143265397942,0.0038892508932651068,0.002480597231068845
Oligo_1,0.0935431113708372,0.03815985884157571,0.02199576267398681,0.010434496778435453,0.00977757862242229,0.002540252508080895
Oligo_2,0.02842832415138135,0.012632520586114781,0.00020398174410971107,0.0003709466539283168,4.489103698958517e-05,3.8349519676712594e-05
Oligo_2_1-SEAAD,0.004693887609338171,0.0033884110497166093,0.03545467705236437,0.01977838954916063,0.02021440673955991,0.011988636816671913
Oligo_3,0.0008848888868281228,0.0006872712870433869,0.03366411582315124,0.016175810005035724,0.013525254185184986,0.0040018290743711596
Oligo_4,0.0013518610637110002,0.0009627847376487891,0.1296918977731817,0.034778205979828544,0.09766289112550752,0.01941903537328787
Pax6_1,0.0011842607551033222,0.0006150150072893169,0.0019942504907423234,0.0004941071921157671,0.0026178903909922033,0.0007425617489939645
Pax6_2,0.0004045031819098964,0.0002633348433423106,0.0023751476141601956,0.0007063746741257714,0.003063781808324896,0.0008691107112315795
Pax6_3,0.0005036117848867579,0.0002124254385789068,0.0006343137776160401,0.0002524978121401032,0.0007677499618404792,0.00031077383262653383
Pax6_4,0.00035165228335267063,0.0001707590199382321,0.00048740498276344125,0.00016445392936986704,0.0005892388558335606,0.00017761808837054785
Pericyte_1,0.032836691497298114,0.008335593401321879,0.008211267756544061,0.0020296392712388866,0.009125367907696542,0.002316248190639857
Pericyte_2-SEAAD,0.001276135128525696,0.0007267574448177308,0.02652606037829032,0.01234602360601392,0.022407882618583133,0.012303503598041363
Pvalb_1,0.00028271704654833857,0.00015231871199944673,0.0002484410554022426,0.00014767482899828032,0.00030153265296990343,0.00015259039821317926
Pvalb_10,0.0007306228711177683,0.00040570224801436455,0.0015661939891752042,0.000542545345281346,0.0016968368723279902,0.0005900193531551073
Pvalb_12,0.0013541565319883165,0.0007176723060413004,0.0013257453508307173,0.000992618086659861,0.0015560676835532925,0.0009974529822195889
Pvalb_13,0.0006169377246324419,0.0004767977632281137,0.0008925131919542592,0.000478440271269047,0.0009942323525895978,0.0005154558615769897
Pvalb_14,0.0020739708348873377,0.000698953149758084,,,,
Pvalb_15,0.006242477428254863,0.0027065735044620584,0.005864350400720573,0.0017233087542223484,0.007254966237505814,0.002039443298853402
Pvalb_2,0.005738789817367148,0.0014400158905686548,0.0026104163371294723,0.0006892418973408818,0.003334247006605251,0.0007588785286419702
Pvalb_3,0.0002607530979836471,0.00016586406369066797,3.341464229625422e-05,,2.2291076881924167e-05,
Pvalb_5,0.004422947852896958,0.0019100783425907556,0.0009695813656573574,0.0005334720550831494,0.001198228930598356,0.0006335017985152246
Pvalb_6,0.0013318614182310086,0.0009808831443922936,0.004904628069101189,0.0015412314524456843,0.006080675811006796,0.0017119840700530518
Pvalb_7,0.0005257799470366019,0.00032110257135635776,9.246373579071224e-05,6.401148754093806e-05,5.831138929016509e-05,4.313690136460891e-05
Pvalb_8,0.0002872168503028138,0.0001665113093879159,0.00016349152741026632,8.80328632106583e-05,0.0002077750210825903,0.00011138912704606445
Pvalb_9,0.0008152604729838929,0.0005079786852820941,0.0010544187543918176,0.0003814496753016371,0.001266124275072027,0.0004085928115519807
SMC-SEAAD,0.002396792606479887,0.001214672388553891,0.030497531928688773,0.011207568831270996,0.018818055856752273,0.004103258540756174
Sncg_1,0.0002770732849945646,0.00015852648596366268,0.00041307458447357163,0.00020975268459094232,0.0005293936560613316,0.0002765761881437333
Sncg_2,0.00034131950825147934,0.00038482222170653773,0.0004223352298470054,0.0002288395712826831,0.0005278787133146111,0.0003150194194118484
Sncg_3,0.001855509288811145,0.0010881567484037308,0.00013563147476011573,6.570259773872789e-05,0.0001721448113392057,7.346208225863741e-05
Sncg_4,0.001593752025057449,0.0007395217965323777,0.0017861934396316609,0.0005811178773481299,0.0022603496785275116,0.0007130289330197006
Sncg_5,0.00027250121367715515,0.00021093860249863077,0.0008234715162278753,0.0003848142442821832,0.0010865569018138296,0.00055869497396875
Sncg_6,0.0010643759850705711,0.0006830093316697694,0.0008222082037834052,0.00040683507147261133,0.0010545695244669282,0.000533454759464763
Sncg_8,0.000574678673727269,0.0003316431959288294,0.0005422557639123104,0.00017929264240593504,0.0007030141966673211,0.0002327678029632941
Sst Chodl_1,0.0019623743854299655,0.0024649018266580678,0.0003779588767139684,0.00012506845186879573,0.0002621002016371469,8.806959010562333e-05
Sst Chodl_2,0.0005070639902288015,0.00046104671594327206,0.000301090883384208,6.0840440791048844e-05,0.00038213273387577344,9.696210479788826e-05
Sst_1,0.001100854882411793,0.000467191584424421,0.0004266571751726454,0.00013418266255160925,0.0003558080505395252,0.0001381708036073297
Sst_10,0.0006129644645545357,0.00037802048837537347,0.002570191523860689,0.0005909189202617659,0.0031083326328481668,0.0006975434379381957
Sst_11,0.0012215543385985972,0.0006754852249697034,0.0026716280609713713,0.0010156231653029105,0.0033901413661656526,0.0013238721290136407
Sst_12,0.00042443555627612225,0.0002981554536804485,0.0006854585354025959,0.00021212203433536203,0.0007005110313539079,0.0002626374038384842
Sst_13,0.002210284309848342,0.001247259460253795,0.0016497424203353846,0.0005225580522805586,0.0020537691562971167,0.000673137437458259
Sst_19,0.002409610201383616,0.0015124125465756561,0.003099251409446432,0.000888742721356182,0.004014195144478316,0.0010277366408674219
Sst_2,0.0014038036378559114,0.0011845725838515475,0.001398651596757829,0.00047702500884249115,0.0018078310334388459,0.0005776208858104718
Sst_20,0.0006624314543106351,0.0005928909152649987,0.0025231661676655627,0.0007225681159084906,0.003283670939068751,0.0008705112772409335
Sst_22,0.0004405586005678141,0.00034428601617394474,0.002055921141789775,0.000514766634114477,0.002669168467087049,0.0006476790058784234
Sst_23,0.0007303422329151848,0.0006097196476653015,0.00025357482908628634,0.0001414166805769413,0.00033800568686889737,0.00021091473447180941
Sst_25,0.0017512983419793427,0.0008020410052739072,0.0016730951658325756,0.0013678134482813162,0.0021507521688399517,0.0016783898135571843
Sst_3,0.001682483957243738,0.0013216848201933005,0.0024536135005028626,0.0011127853912787347,0.003187403147092552,0.0013702665127167774
Sst_4,0.0005327156185214941,0.0002977125534036705,0.0005711211717611545,0.00019658412213721197,0.0005914378124947499,0.00023609124483312246
Sst_5,0.0009971670330547826,0.0004676219562203022,0.0010382748778051782,0.00045925838784184185,0.0011052136181671785,0.00043714289793478144
Sst_7,0.00021833041316161915,0.00011254499221423204,0.0005649083797628296,0.00022459830523870482,0.00043261888850328246,0.00021798164736273114
Sst_9,0.004555064306738206,0.0017651699303924508,0.0008373371387351399,0.00028118611789434056,0.0010458127180500122,0.0003152355579271719
Unassigned,,,0.00010455962070688419,4.955040856976068e-05,,
VLMC_1,0.008158803871004578,0.0023429575848817933,0.003397633632728334,0.0007684657673842727,0.002793423430554649,0.0006311639044693536
Vip_1,0.0008640420203928331,0.0005272170388664181,0.0020584280804935877,0.0007242755929914149,0.002645266479476663,0.0007936777876967763
Vip_11,0.0018096110947048408,0.0009441935799938189,0.0008397897073592122,0.00029362487532139174,0.00109149255155764,0.0003524161780893068
Vip_12,0.00269231036472314,0.001188467324008487,0.001685192980059003,0.0006284790525299545,0.0021856206337614093,0.0007226159434558354
Vip_13,0.0011196587651306857,0.0006121437471004957,0.0015890311133401039,0.0008021729772738331,0.0020411843620811282,0.0009349919274906093
Vip_14,0.0010664814437640658,0.0004076153726517784,0.00018087828140580066,5.890577185186437e-05,0.00022588005021453557,7.293926925907516e-05
Vip_15,0.0008919805574396628,0.0005953468572850656,0.0016165562371522873,0.0004246659877638337,0.0021160072954207005,0.0005188700628423335
Vip_16,0.0003997409383806722,0.00029822308134548825,0.0006084823306507611,0.00014421760412642055,0.0007106430922864322,0.00012988736278489332
Vip_18,0.000521363740528516,0.00033186437782973404,0.0014125141750511367,0.0004795310593246735,0.0017979348414109985,0.000539735260146344
Vip_19,0.0013055528172964891,0.0004807630473555432,0.0019073350330543963,0.0005768260615006443,0.0023170670769560794,0.0005817268999521265
Vip_2,0.0010541530662476761,0.0006573034439410252,0.0012897145926464865,0.0003765330504315155,0.0016896083518091421,0.00044300384708735146
Vip_21,0.0011469547408217773,0.0006689507465510203,0.0017724831507133735,0.000516235467859403,0.0022459332682927546,0.0006686717081842321
Vip_23,0.0019093082074330113,0.0007144999070099423,0.0020335489882327105,0.00042620641645862035,0.002635519344364824,0.00045625639772899816
Vip_4,0.002172496357990616,0.0008414471978145247,0.0021879981724875213,0.0006465717407757707,0.0028298570159401566,0.0007089464189239486
Vip_5,0.0008957966364929793,0.0004257605067306833,0.0005263748056083816,0.0002536146755563535,0.0006685411810278485,0.0002790651170254505
Vip_6,0.0011433805796411418,0.00041885637743901006,0.0004208591224904265,0.00028749898244266126,0.0004997600121605623,0.0003301398937198484
Vip_9,0.003433117734600513,0.0012783523009152111,0.0006469491626777468,0.000322161711164003,0.0008123001838231687,0.0003651575475109159
