gene,pearson_r,spearman_rho,mean_ref,mean_spatial,var_ref,var_spatial
NLGN1,0.7701830187458765,0.8313043478260868,2.215694993517763,0.24048270200836477,1.0754021776124927,0.019835836574890613
NOS1,0.9636109085387741,0.8008695652173912,0.20506929167920504,1.1647650285197217,0.1824798082507164,7.284606648786852
NOSTRIN,0.9972618216429664,0.5422918153854273,0.08106533300762993,0.3094767942099174,0.07685182538468993,0.5672982354621295
NPAS3,0.8773837388851455,0.9399999999999998,1.8159675227492063,0.9563061556799738,1.144868638085794,0.48479246628607625
NPY,0.9992968344732558,0.1060869565217391,0.1760728208167672,1.489124591955896,0.5007396026458985,36.535321428790816
NRG1,0.6480492149276708,0.8182608695652173,1.2015405311014695,0.6342868669616323,1.2322158983858487,0.8006243714313439
NTNG2,0.986107831584163,0.6599999999999999,0.14053429805598577,2.0602648747462413,0.08269867123846684,11.916252685431685
NXPH2,0.8249624177120776,0.7556521739130433,0.32687044973796403,0.35877009250950764,0.2890904487210513,0.36410079193547146
PALMD,0.9890270132596558,0.6608695652173912,0.09614223629344186,0.47257483255348337,0.0654365306631254,0.5757249695919597
PAX6,0.994655135920533,0.5527288671650986,0.03881323207035071,0.5939284649639106,0.012594540992436612,0.9781947602197452
PDE4B,0.6806474518581431,0.7,1.3945784725184138,1.5285643366108197,0.8450402336280355,1.2975943003669117
PDGFD,0.9750016280601722,0.6234782608695651,0.16662604618723376,0.1750792869856859,0.19528811302988777,0.10125477451033821
PDZD2,0.7889410982009017,0.8713043478260868,1.0895218473227735,0.5241374365273316,0.49957591684761843,0.3109587731990789
PEX5L,0.829698892014982,0.906086956521739,1.377529739219043,3.7798728044547634,0.7083335699357631,13.73719534757839
PLCB1,0.6586747070093811,0.6652173913043479,2.4785200557773464,1.7879008733153945,0.7507320722337827,1.2492064743272846
PLD5,0.8517071432849362,0.7304347826086957,0.7242563624317752,0.47313294023406965,0.6205065643840872,0.13516566962548673
PRKG1,0.9058355226929079,0.9443478260869566,0.9512371748959145,0.629923496958109,0.6468654716170369,0.4054734495050729
PRRT4,0.882754866405392,0.9573545836409625,0.048514984557084834,0.6990948997924494,0.0034757044394947353,0.5954421967786581
PRRX1,0.9479941571381799,0.7782608695652173,0.13292277211486217,0.1373187017992746,0.12644590820017723,0.035194979731018115
PVALB,0.8378339561830517,-0.1078495350566046,0.04657241203548726,0.33276073951617813,0.023759522560782103,0.431258017017786
RBFOX1,0.6917494363063827,0.6956521739130433,3.210129991997581,3.8856159319105608,2.137520256720736,11.216815892489066
RBFOX3,0.8216218778395012,0.8973913043478261,0.9526610875473186,7.573102677360705,0.37315622924943814,37.165872992458965
RFX3,0.8524234846871338,0.677391304347826,0.9710198026769626,1.7033320825556102,0.07178590236734979,0.923692552728204
RGS12,0.6501154447243056,0.5921739130434782,0.7074308712074324,2.1364878702576737,0.5700771986146626,2.1303303836793974
RGS6,0.9474842924914935,0.9426086956521739,0.8450528095997486,1.4845053939386152,0.5960188694382119,2.3477943846736804
ROBO1,0.8022744688216494,0.8286956521739129,1.2511724164935492,1.3198180987072925,0.8715683074290687,0.9456331370807511
ROBO2,0.8998046536302271,0.9382608695652173,2.303208787596191,1.7447429025883245,2.097775248417812,2.733889594133285
RORB,0.9131495403424372,0.5617391304347825,0.3110599030681847,1.1305834922520996,0.37673704800241015,3.606486522938896
RYR3,0.8872768736063075,0.9660869565217389,0.5858658962216685,1.7651384609089746,0.4895086761825375,9.090731246071373
SATB2,0.9882771868448466,0.8069565217391305,0.5827834503418868,3.7076897817558367,0.5012257269701109,12.355520372344737
SCUBE1,0.9358316939151816,0.3200695879099234,0.004658831251447753,0.21252496845721916,0.00010102307142774866,0.14789530550260405
SEMA3E,0.959804661577875,0.6226086956521739,0.25999393963841955,0.6080207176191421,0.26384182983853,1.6902595291087048
SEMA6D,0.6510505129816806,0.6713043478260868,0.7102012384647166,1.2831368561899423,0.49665101681008883,0.8955081859495512
SLC14A1,0.9860123403746149,0.4765217391304347,0.06717848395796817,0.8788861502322125,0.05883844855620782,6.978576445911372
SLC24A2,0.7794348746669617,0.8826086956521739,1.269736381632917,4.452076480937774,0.8407428879798523,16.411582907159058
