celltype,merfish_prop,xenium_prop
Sst_5,0.0007138453749023694,0.0010475298096867098
Sst_7,0.00017709207987234458,0.0005692462254010424
Sst_9,0.0035725500678938714,0.0008305062451850182
VLMC_1,0.00686396648209432,0.0034672597547061156
Vip_1,0.0006773075116501261,0.0020819980130691467
Vip_11,0.0012986763575382422,0.000845608105003668
Vip_12,0.002034844816867441,0.0016995609006109317
Vip_13,0.0007586482724893748,0.0016043830056169043
Vip_14,0.0009403446610965015,0.00017659833104929099
Vip_15,0.0006851489629262262,0.0016307313528115517
Vip_16,0.0003097955895542309,0.000606762070123578
Vip_18,0.0004180867729799604,0.0014258353964059787
Vip_19,0.0009765154494932404,0.0019362589210082173
Vip_2,0.000866961680592594,0.001308555439376761
Vip_21,0.0008744955251666108,0.0018065687196219288
Vip_23,0.0014548917341689852,0.0020606443177955385
Vip_4,0.0017542893625545632,0.00222789124417237
Vip_5,0.0006957247669765979,0.0005322226225372011
Vip_6,0.0008730418571843515,0.00040152477485903707
Vip_9,0.002662202458508849,0.0006457061578792656
