supertype,median_depth_merfish,n_cells_merfish,median_depth_xenium,n_cells_xenium
L5 IT_6,0.5816066167713898,3427,0.560495178234632,18427
L5 IT_7,0.6537945720659218,4650,0.5931955489998831,9811
L5/6 NP_1,0.6596970836324537,619,0.6286323031588339,283
L5/6 NP_2,0.6536719668016047,1337,0.622630945520805,253
L5/6 NP_3,0.6493233446271096,789,0.538579696251005,69
L5/6 NP_4,0.6585462511442799,153,0.6191018375778308,6822
L5/6 NP_6,0.6525322493166984,423,0.6041066716558281,472
L6 CT_2,0.8110074353465027,1338,0.7428697030272764,1659
L6 CT_3,0.7987905905823,2773,0.7329919077523772,3080
L6 CT_4,0.8101052167736797,72,0.7410025745738248,33
L6 IT Car3_1,0.6064449027542703,1474,0.6426765092852906,171
L6 IT Car3_2,0.6902346434388623,2354,0.7621259426148769,99
L6 IT Car3_3,0.7448960197804646,6178,0.7173737279789439,3332
L6 IT_1,0.8180811841679052,5530,0.5446365229702752,3428
L6 IT_2,0.8018542700390032,11587,0.7647190350203992,9223
L6b_1,0.8528074650191875,227,0.5168981578330529,19727
L6b_2,0.8496705658213405,281,0.5638002921492389,16460
L6b_3,0.7557092274687613,832,0.609524847295291,1201
L6b_4,0.8417112705960776,184,0.4040962846359186,1363
L6b_5,0.7760798410529812,1418,0.534919409561342,3527
L6b_6,0.7962871609854022,3357,0.6129020501003972,23933
Lamp5_1,0.46534794900478504,1739,0.51035547147895,3751
Lamp5_2,0.4115490646238177,1528,0.4988124189422964,514
Lamp5_3,0.36456365136192426,872,0.34647986883794646,2399
Lamp5_4,0.09485472829753791,130,0.16360215228492278,490
Lamp5_5,0.07985912581346337,397,0.13676383531561132,3632
Lamp5_6,0.10541468682797465,113,0.1946393069697192,101
Lamp5_Lhx6_1,0.49194299710269573,3736,0.5631304342117524,2644
Micro-PVM_1,0.48685250376710876,510,0.401421528058544,2491
Monocyte,0.47990408559072817,8588,0.38320747459586735,8512
Micro-PVM_2,0.3480599966398361,1172,0.4842382251552325,21387
Micro-PVM_2_1-SEAAD,0.5216481001112232,263,0.49301662601795787,1445
Micro-PVM_2_3-SEAAD,0.48065626922279014,21850,0.48446401632216246,884
Micro-PVM_3-SEAAD,0.4708519342883438,3208,0.4719272924887285,16246
OPC_1,0.5765967858202499,3102,0.5565173870896306,2217
OPC_2_1-SEAAD,0.5043371946650136,8335,0.47741863509092625,11017
OPC_2_2-SEAAD,0.48881036773688225,367,0.3555615550619676,136
Oligo_1,0.6775974814502745,34976,0.6766092370235417,1310
Oligo_2_1-SEAAD,0.622164329964317,1556,0.5792395691232833,37177
Oligo_3,0.6289101006916069,282,0.6028050119245705,3699
Oligo_4,0.6571002843362944,452,0.5819273793254424,82845
Pax6_1,0.12490216345218237,415,0.141541410641015,1312
Pax6_2,0.2371871199288186,120,0.22452776870974464,1352
Pax6_3,0.36226636708120985,164,0.38159766316755644,402
Pax6_4,0.26545365551538647,107,0.27079018953803,186
Pvalb_1,0.663345389733672,87,0.6189717259478208,21
Pvalb_2,0.3922709387782085,2001,0.4118286984413008,22
Pvalb_5,0.29041075134788996,1371,0.33472018273800097,79
Pvalb_6,0.4648362327305633,466,0.49288137508894175,585
Pvalb_8,0.21579511763965115,101,0.3877317504785066,2380
Pvalb_9,0.7128829770582668,252,0.6556465435324744,136
Pvalb_10,0.7623353584562067,257,0.7142027661863672,294
Pvalb_12,0.7200295021766517,420,0.6287553828037711,283
Pvalb_13,0.737596137206345,193,0.5619234078632992,1201
Pvalb_15,0.5343020309946898,2274,0.5301567660055668,13541
Sncg_2,0.1094433863569482,79,0.16462844146759703,662
Sncg_3,0.1945520743729462,544,0.2133654269253518,379
Sncg_4,0.10726807327958734,542,0.174100398918611,2224
Sncg_5,0.08012711907269068,58,0.14262683840775073,3361
Sncg_6,0.1243859464521252,336,0.18512219622856962,877
Sncg_8,0.11720727932883515,197,0.17934121684113488,503
Sst Chodl_1,0.4816466465750201,540,0.5831750601106815,458
Sst Chodl_2,0.3620864403721127,158,0.32517078376364517,1322
Sst_1,0.7275974633186215,360,0.5611731159651675,1145
Sst_2,0.3863598456999736,452,0.3495855577011081,127
Sst_3,0.4864761323883867,558,0.506937817917598,3013
Sst_4,0.7289674006407744,174,0.588180212309853,942
Sst_5,0.7402868500823627,350,0.5599104506312206,4178
Sst_7,0.8047125703166287,58,0.5862762770265443,2495
Sst_9,0.6012569898612904,1523,0.5818015579032435,325
Sst_10,0.6743330891592931,214,0.5558876876511178,8675
Sst_11,0.20933557296696323,427,0.29693797863416915,1861
Sst_12,0.7612772736571891,145,0.7065895623691556,158
Sst_13,0.6356090838243849,728,0.5820160165344523,1022
Sst_19,0.5430210600339906,804,0.5366428862476607,2309
Sst_20,0.3072222781690367,228,0.35079305391215454,3776
Sst_22,0.24545012325142712,147,0.3051658890001292,223
