gene,pearson_r,spearman_rho,mean_ref,mean_spatial,var_ref,var_spatial
MEIS2,0.8811531267619395,0.8391304347826085,0.45513642033732227,0.7212786868781488,0.4068966294027778,0.579824978565544
MEPE,0.9773382489539022,0.47954761416924585,0.015259342285002751,0.15670002635786318,0.0038203290995197712,0.04530523929542227
MOBP,0.9445801161742043,0.6599999999999999,0.13491827877519166,0.8096410540937438,0.22208104262830708,0.35935334582038236
MOG,0.9567435212933534,0.14608695652173911,0.08735145272756005,0.7390382293793657,0.14240161267680343,0.6501024367514082
MRPL27,0.6692595322594261,0.5365217391304348,0.12486633382822226,0.822696705610777,0.0008788259086182568,0.09046079182275714
MRPL57,0.8590433933213248,0.8313043478260868,0.21226710592089013,1.5145220770275236,0.004441957370156853,0.28336577851087746
MT-ATP8,0.09474145795308782,0.2791304347826086,0.02485644209778375,5.170186141578924,0.0002608700911886558,0.07709925338073598
MT-ND1,0.008719749834651541,0.07565217391304348,0.5293912415918506,6.446317779201138,0.07117869567075313,0.09943413773359296
MT-ND2,0.07679596949912584,0.2434782608695652,0.4315699085536135,6.462165423691179,0.051846009760452894,0.09660821904373301
MT-ND4,0.09641129715403256,0.21826086956521737,0.769606155153927,6.306781636073541,0.1301338137120316,0.09317943501970959
MT-ND4L,-0.05891245221955452,0.1060869565217391,0.09078799921939484,5.87437103423229,0.003573469346377596,0.09064868636963593
MT-ND5,0.06685970875605346,0.27478260869565213,0.2852257053548169,6.103635091053921,0.0324283163801845,0.09457726815116717
MT-ND6,-0.025190855871989864,0.27043478260869563,0.012553338407774622,4.192960531116839,9.057795478340927e-05,0.16696919249416822
MT1E,0.9691545740658469,0.7304347826086957,0.051347251753564076,0.22866007579498004,0.01720824625189009,0.028517425774203214
MT1M,0.9218840400331217,0.43487715748630895,0.028269512840156732,0.21123981281333357,0.006286387435687053,0.023874288216769197
MT1X,0.9077192138068796,0.7443478260869565,0.040149431917937004,0.1746650298654816,0.006832380222567134,0.013254770676485311
MT2A,0.9662747680361046,0.5582608695652173,0.14195978339284496,0.837263178922515,0.12150649121296131,0.22568829347154737
MTRNR2L1,-0.31633322371882905,-0.4287252558852873,0.00023901830000169343,6.495535706134753,5.738192534051807e-08,0.22228934639267287
MTRNR2L12,0.3433940869551253,0.23913043478260865,0.09385142599843325,6.141764106220702,0.004468936676729279,0.3553917856057331
MTURN,0.6511825617379411,0.7156521739130434,0.37615877473531095,3.7934175594385287,0.02316449893204069,0.30409346155478584
MYL6,0.5863929836737403,0.6513043478260869,0.2664480259830026,1.801977760651736,0.010515777629688682,0.1197894569738635
MYL9,0.9728238503719361,0.38443140721789704,0.029321850133271418,0.6381593169814438,0.01008138246176239,0.38270854753129596
NDUFB2,0.0703709077005776,0.019130434782608695,0.2969401791246591,0.4937750838951802,0.002993821009287549,0.006432856746925948
NDUFB9,0.07564458843634805,0.1452173913043478,0.2037529070890561,1.9434670407099806,0.004205758929001204,0.35595895012658946
NEFH,0.8805235244573206,0.8408695652173912,0.0701039781694383,1.09133555626397,0.004705073588126392,0.480803567857412
NEFL,0.8653432676161456,0.8469565217391304,0.23828997055340947,3.3929923893974503,0.02544166678268367,1.3994327841904528
NEFM,0.7625050230610665,0.8113043478260868,0.13682984536332995,2.7414938119841623,0.016425169603413527,1.8603660164403344
NORAD,0.8310364715562687,0.6078260869565217,0.44148953483614456,3.7691297651656606,0.023102205656829248,0.5548646257396924
NOS1,0.8573584292766541,0.7391304347826086,0.20506929167920504,0.5202027799179154,0.1824798082507164,0.48709394819867896
NOTCH1,0.9058931712677583,0.7217391304347825,0.06683713959158351,0.9103685750658084,0.01979236886495078,0.7725674734587938
NPIPA1,0.6373065841138499,0.4991304347826086,0.21389342430818617,3.059858012143625,0.0072641893071424555,0.2731213389971748
NPTX1,0.9694133606645581,0.8365217391304347,0.2667922760661963,2.0737825844754085,0.1165316060646659,2.0645978658484405
NPTX2,0.9230204390241479,0.8339130434782607,0.10797686687634922,0.7683564928884549,0.014980562101554904,0.3653226447607915
NPY,0.9984656437056001,0.7617391304347826,0.1760728208167672,0.23716374547061334,0.5007396026458985,0.4268805535871256
NR4A2,0.9465516213592833,0.9147826086956521,0.09161349870875428,0.5286602482108864,0.02551698831686514,0.7852158456294432
NRG1,0.8991413634075651,0.9234782608695651,1.2015405311014695,0.8770243798780811,1.2322158983858487,0.669075351267574
NRXN1,0.9058863745826192,0.6608695652173912,2.884302830083287,3.6295848291859394,1.4508180070421846,1.4451517811801387
NTRK2,0.9225228644190316,0.7,1.8352406155148655,4.447298440371408,0.5618838548135924,0.6983877437086758
NUDT14,0.5992060314164264,0.7052173913043478,0.06473799792325606,0.061504166217578114,0.0013980077072800997,0.001160012224640081
NUPR1,0.887655632744489,0.7478260869565216,0.01997570664040064,0.21449665881762647,0.0011057634275732982,0.00963132340526292
NXPH4,0.8198750605072819,0.7132914531739919,0.015200811300915251,0.1216338639262342,0.0009728126300802452,0.026226602104382945
OGA,0.6848791563227489,0.6339130434782608,0.8684515714473893,3.359134621407312,0.028982617637777545,0.4641311124801148
OLFML3,0.8913031946700883,0.10182771480544783,0.023002452797463296,0.18260917173307634,0.005567822038883858,0.06754875239917084
OLR1,0.9163293856537373,0.608695652173913,0.03559731992610817,0.12059394765581201,0.020637660907035404,0.03367190541224895
OSBPL1A,0.6002477538588762,0.608695652173913,0.9438094816346586,3.111183566166227,0.12008828632322581,0.6025389073416364
OTOS,0.776045620344811,0.027993002623906728,0.0005119904239893298,0.047402276677333745,2.522849604728114e-06,0.0001415459825266978
P2RY12,0.9953278528747406,0.4278260869565217,0.1334501815550645,0.26441785767473275,0.21633040355651764,0.140174116995981
P2RY13,0.9971126851772791,0.288695652173913,0.045298949818767524,0.09844344277824825,0.04041961348670257,0.03719918663223703
PAQR6,0.8912665427041626,0.5695652173913043,0.05013806628497849,0.9111001768527173,0.009947853815413974,0.056717266119681066
PCP4,0.9282243341234395,0.5669565217391304,0.1345929589812963,0.6646345699397644,0.04683479411063435,0.4919236879205064
PDXK,0.35871614094215204,0.3869565217391304,0.49861414404252863,2.6862265974123916,0.06614384981096275,0.4581276686683524
PECAM1,0.9716559921883238,0.6956521739130433,0.08220469313554672,0.3639700537686214,0.052573013445408025,0.5204164046280396
PFN1,0.6763318011722323,0.10782608695652172,0.10149804016037049,0.665786189117926,0.004843367245854922,0.020544884767447074
PLAAT3,0.906136220989642,0.697391304347826,0.12568097423652014,1.1838835019903244,0.06766474053406084,0.2707048586386229
PLD4,0.9395055116597407,-0.044386439786990084,0.02416588292703449,0.23616335640734376,0.01215106997911883,0.06249303492348073
PLEC,0.8798335291528872,0.9034782608695651,0.31117239258201373,2.143337365328591,0.01230117231862902,0.34196940887112826
PLP1,0.9162086026066892,-0.06695652173913043,0.22268137390157075,1.3046663603203585,0.5540774665721024,0.6901077573484672
PMP22,0.9062093888145843,0.8347826086956521,0.12325964246741294,0.6308804511376452,0.059153937562799776,0.21826478777847466
PPM1K,0.893042701707691,0.8547826086956521,0.6147143529757058,0.8763833866375018,0.04137590231934063,0.1044177856956451
PSMA7,0.14206727667517585,0.1591304347826087,0.24843687545553708,2.786151656637918,0.008418060067048762,0.3066027848901755
PVALB,0.8758914963053779,0.35964340924117755,0.04657241203548726,0.5055900773316923,0.023759522560782103,0.7671439822143573
PWP2,0.050297196823399504,0.5004353505395941,0.0034540030852428416,0.5622258909133228,9.362248761750437e-06,0.032342005784046925
RANBP1,0.6390148717152649,0.5321739130434783,0.14350818304591284,1.3046409408478776,0.0011255591975084253,0.11884250902717063
RASD1,0.9087641212137929,0.9180256794535983,0.08904304193871478,1.1425346929455225,0.004072309034478391,0.3938901969021716
