supertype,diagnosis,n_cells,cell_area_median,cell_area_mean,cell_area_std,nucleus_area_median,nucleus_area_mean,nucleus_area_std,nc_ratio_median
Sncg_8,SCZ,308,202.8,194.1,59.8,45.7,40.8,21.7,0.211
L6b_6,Control,3019,202.3,209.5,86.0,49.4,56.2,35.6,0.26
Vip_1,Control,1343,202.1,196.6,54.9,46.1,42.3,20.0,0.219
Vip_2,SCZ,649,202.0,198.2,54.5,47.9,44.3,19.2,0.223
L5 IT_5,Control,5764,201.8,202.3,74.2,47.0,49.1,29.8,0.234
L5/6 NP_2,SCZ,677,201.8,195.6,61.9,42.4,41.9,23.0,0.218
Vip_1,SCZ,1503,201.6,194.8,50.7,46.2,42.3,17.7,0.219
Sst_22,SCZ,1130,201.4,194.0,56.6,44.6,42.0,20.3,0.214
L2/3 IT_12,Control,9679,200.4,205.5,82.3,43.7,49.9,33.8,0.225
L2/3 IT_12,SCZ,8716,200.2,201.4,74.4,44.2,47.4,29.7,0.224
Astro_2,SCZ,38041,200.1,196.6,63.7,45.4,44.3,22.3,0.223
Sncg_8,Control,305,199.9,196.3,63.5,45.3,42.2,22.5,0.215
Pvalb_9,SCZ,668,199.8,195.8,62.7,46.9,46.3,23.5,0.233
Pvalb_9,Control,651,199.7,196.1,63.5,48.2,47.2,24.2,0.24
Vip_19,SCZ,998,199.6,195.5,53.7,51.0,47.9,17.9,0.244
Micro-PVM_2_3-SEAAD,SCZ,9262,198.7,196.1,57.6,47.3,45.5,19.4,0.231
L5 IT_5,SCZ,6086,198.6,198.2,67.8,46.7,46.9,26.5,0.234
Vip_23,SCZ,1012,198.0,194.9,48.7,47.6,45.1,16.4,0.23
Sncg_4,SCZ,1093,197.3,190.2,60.2,42.9,39.6,21.3,0.213
Pax6_4,SCZ,201,195.9,199.2,68.1,50.6,52.3,24.4,0.257
Sncg_3,SCZ,62,195.6,196.8,70.2,44.3,42.9,25.7,0.218
Micro-PVM_2_3-SEAAD,Control,11367,195.3,193.2,56.3,46.6,44.5,19.0,0.229
L5/6 NP_2,Control,568,195.0,193.2,68.3,41.1,42.4,26.0,0.21
Sst_22,Control,1225,194.8,193.4,62.3,44.5,42.3,23.3,0.217
Vip_4,SCZ,1146,194.6,190.5,58.5,45.1,41.3,21.4,0.219
Pvalb_2,SCZ,1352,193.3,191.5,69.3,41.5,43.9,26.4,0.218
Sst_19,Control,1985,193.1,189.5,50.5,44.9,40.7,17.5,0.217
Pvalb_2,Control,1451,192.3,191.3,80.4,42.2,45.4,29.8,0.226
Vip_4,Control,1389,191.6,188.5,62.7,41.6,40.1,22.6,0.21
Lamp5_4,SCZ,861,191.2,191.0,65.5,40.8,40.7,24.1,0.211
Sst_5,Control,659,190.8,191.9,63.8,48.0,47.0,23.8,0.241
Lamp5_4,Control,885,190.2,194.9,70.6,40.3,42.6,26.9,0.21
Astro_4,Control,6065,189.2,184.8,61.3,38.8,37.3,20.5,0.201
L6 CT_1,Control,412,189.1,191.4,62.5,46.6,46.8,22.7,0.244
Sst_19,SCZ,1768,188.0,183.7,50.0,43.7,40.0,16.3,0.22
L5 ET_2,SCZ,1007,187.7,197.0,89.0,44.3,51.1,36.6,0.241
Sst_7,Control,303,187.4,185.9,62.2,45.9,45.6,23.6,0.245
L2/3 IT_2,Control,7580,186.1,188.5,68.5,42.5,42.9,26.4,0.223
Pvalb_7,Control,64,185.5,188.3,66.6,49.3,49.3,24.5,0.264
L6 CT_1,SCZ,795,185.3,185.1,59.0,46.1,45.4,20.4,0.242
Sst_5,SCZ,956,185.2,186.8,56.5,45.9,44.1,20.3,0.235
OPC_2_1-SEAAD,Control,16178,184.4,183.9,60.1,44.7,44.1,19.8,0.236
OPC_2_1-SEAAD,SCZ,15374,184.2,183.3,60.7,43.4,43.7,20.7,0.234
L2/3 IT_1,Control,17781,184.1,185.1,67.0,37.5,38.9,25.3,0.202
Astro_3,SCZ,11165,184.1,179.8,58.1,35.8,35.4,18.7,0.194
Astro_6-SEAAD,Control,454,183.8,182.4,61.3,36.7,37.1,20.7,0.203
L2/3 IT_2,SCZ,5454,182.7,183.5,63.6,41.8,40.9,23.8,0.22
Astro_4,SCZ,6738,181.2,180.7,65.1,36.8,36.8,21.9,0.199
Vip_21,Control,1101,181.1,182.3,65.0,36.1,37.5,23.1,0.204
Oligo_1,Control,11024,180.5,176.4,45.8,40.6,39.8,12.1,0.221
Sncg_3,Control,55,180.2,179.9,80.9,37.0,39.7,27.6,0.212
L6b_5,SCZ,1341,180.1,189.2,73.5,43.8,48.8,29.8,0.25
Sst_7,SCZ,349,179.8,176.9,61.3,43.6,43.0,22.7,0.236
Vip_15,SCZ,659,179.5,177.5,60.2,36.0,35.9,21.9,0.199
Astro_3,Control,6415,179.4,176.5,57.4,33.4,33.5,18.2,0.186
Vip_15,Control,949,179.3,180.9,65.5,35.9,37.3,23.8,0.197
L6 IT_1,Control,2512,179.2,187.9,75.3,39.6,44.3,30.1,0.222
L2/3 IT_1,SCZ,15719,179.0,180.1,64.0,36.8,37.1,23.4,0.203
Endo_2,SCZ,42669,178.8,178.9,58.0,36.0,35.6,18.3,0.196
L2/3 IT_5,SCZ,2487,177.8,185.2,71.7,36.2,41.0,27.8,0.203
L6 IT_1,SCZ,3493,177.3,185.9,71.2,38.7,42.9,27.9,0.22
Endo_3,SCZ,7103,177.1,178.2,57.8,40.4,42.8,18.9,0.234
