sample_id,diagnosis,celltype,count,n_cortical,cortical_area_mm2,proportion_pct,density_per_mm2
Br2719,Control,Sst_20,170,44264,68.38201957886443,0.384059280679559,2.486033624729968
Br2719,Control,Sst_3,125,44264,68.38201957886443,0.2823965299114405,1.8279659005367415
Br2719,Control,Pvalb_14,0,44264,68.38201957886443,0.0,0.0
Br2719,Control,Pvalb_7,0,44264,68.38201957886443,0.0,0.0
Br2719,Control,L5/6 NP_4,304,44264,68.38201957886443,0.6867883607446231,4.445613070105355
Br2719,Control,L2/3 IT_7,667,44264,68.38201957886443,1.506867883607446,9.754026045264052
Br2719,Control,L6b_1,1278,44264,68.38201957886443,2.8872221218145673,18.689123367087642
Br2719,Control,L6b_2,781,44264,68.38201957886443,1.7644135188866799,11.42113094655356
Br2719,Control,L6b_4,46,44264,68.38201957886443,0.10392192300741009,0.6726914513975208
Br2719,Control,L6 CT_1,0,44264,68.38201957886443,0.0,0.0
Br2719,Control,L6 CT_3,108,44264,68.38201957886443,0.24399060184348456,1.5793625380637446
Br5314,Control,Sst_2,2,29866,45.99964565406055,0.006696578048617156,0.04347859579269287
Br5314,Control,Sst_22,10,29866,45.99964565406055,0.03348289024308578,0.21739297896346435
Br5314,Control,Sst_25,17,29866,45.99964565406055,0.05692091341324583,0.3695680642378894
Br5314,Control,Sst_20,115,29866,45.99964565406055,0.3850532377954865,2.50001925807984
Br5314,Control,Sst_3,96,29866,45.99964565406055,0.3214357463336235,2.086972598049258
Br5314,Control,Pvalb_14,0,29866,45.99964565406055,0.0,0.0
Br5314,Control,Pvalb_7,0,29866,45.99964565406055,0.0,0.0
Br5314,Control,L5/6 NP_4,172,29866,45.99964565406055,0.5759057121810754,3.739159238171587
Br5314,Control,L2/3 IT_7,618,29866,45.99964565406055,2.0692426170227014,13.434886099942098
Br5314,Control,L6b_1,503,29866,45.99964565406055,1.6841893792272147,10.934866841862258
Br5314,Control,L6b_2,559,29866,45.99964565406055,1.8716935645884953,12.152267524057658
Br5314,Control,L6b_4,45,29866,45.99964565406055,0.15067300609388604,0.9782684053355896
Br5314,Control,L6 CT_1,0,29866,45.99964565406055,0.0,0.0
Br5314,Control,L6 CT_3,98,29866,45.99964565406055,0.32813232438224066,2.130451193841951
Br5373,SCZ,Sst_2,8,48102,48.46746995721179,0.016631325100827408,0.16505916250760738
Br5373,SCZ,Sst_22,8,48102,48.46746995721179,0.016631325100827408,0.16505916250760738
Br5373,SCZ,Sst_25,32,48102,48.46746995721179,0.06652530040330963,0.6602366500304295
Br5373,SCZ,Sst_20,208,48102,48.46746995721179,0.4324144526215126,4.291538225197792
Br5373,SCZ,Sst_3,76,48102,48.46746995721179,0.15799758845786038,1.5680620438222703
Br5373,SCZ,Pvalb_14,0,48102,48.46746995721179,0.0,0.0
Br5373,SCZ,Pvalb_7,0,48102,48.46746995721179,0.0,0.0
Br5373,SCZ,L5/6 NP_4,256,48102,48.46746995721179,0.532202403226477,5.281893200243436
Br5373,SCZ,L2/3 IT_7,1108,48102,48.46746995721179,2.3034385264645962,22.860694007303625
Br5373,SCZ,L6b_1,856,48102,48.46746995721179,1.7795517857885326,17.661330388313992
Br5373,SCZ,L6b_2,569,48102,48.46746995721179,1.1829029977963494,11.739832933353576
Br5373,SCZ,L6b_4,69,48102,48.46746995721179,0.1434451789946364,1.4236352766281137
Br5373,SCZ,L6 CT_1,2,48102,48.46746995721179,0.004157831275206852,0.041264790626901846
Br5373,SCZ,L6 CT_3,98,48102,48.46746995721179,0.20373373248513574,2.0219747407181905
Br5400,Control,Sst_2,5,44266,51.400324691402666,0.011295350833596892,0.09727565010569499
Br5400,Control,Sst_22,19,44266,51.400324691402666,0.04292233316766819,0.3696474704016409
Br5400,Control,Sst_25,36,44266,51.400324691402666,0.08132652600189762,0.7003846807610038
Br5400,Control,Sst_20,117,44266,51.400324691402666,0.26431120950616727,2.2762502124732626
Br5400,Control,Sst_3,149,44266,51.400324691402666,0.33660145484118736,2.8988143731497105
Br5400,Control,Pvalb_14,0,44266,51.400324691402666,0.0,0.0
Br5400,Control,Pvalb_7,1,44266,51.400324691402666,0.002259070166719378,0.019455130021138994
Br5400,Control,L5/6 NP_4,433,44266,51.400324691402666,0.9781773821894909,8.424071299153185
Br5400,Control,L2/3 IT_7,889,44266,51.400324691402666,2.0083133782135274,17.295610588792567
Br5400,Control,L6b_1,884,44266,51.400324691402666,1.9970180273799303,17.198334938686873
Br5400,Control,L6b_2,811,44266,51.400324691402666,1.832105905209416,15.778110447143726
Br5400,Control,L6b_4,59,44266,51.400324691402666,0.13328513983644333,1.1478526712472008
Br5400,Control,L6 CT_1,0,44266,51.400324691402666,0.0,0.0
Br5400,Control,L6 CT_3,184,44266,51.400324691402666,0.4156689106763656,3.579743923889575
Br5436,Control,Sst_2,4,39003,54.51343550478074,0.010255621362459298,0.07337640643927508
Br5436,Control,Sst_22,5,39003,54.51343550478074,0.012819526703074121,0.09172050804909385
Br5436,Control,Sst_25,16,39003,54.51343550478074,0.04102248544983719,0.2935056257571003
Br5436,Control,Sst_20,136,39003,54.51343550478074,0.34869112632361615,2.4947978189353526
Br5436,Control,Sst_3,109,39003,54.51343550478074,0.27946568212701584,1.999507075470246
Br5436,Control,Pvalb_14,0,39003,54.51343550478074,0.0,0.0
Br5436,Control,Pvalb_7,0,39003,54.51343550478074,0.0,0.0
Br5436,Control,L5/6 NP_4,179,39003,54.51343550478074,0.4589390559700536,3.2835941881575597
Br5436,Control,L2/3 IT_7,807,39003,54.51343550478074,2.069071609876163,14.803689999123748
Br5436,Control,L6b_1,754,39003,54.51343550478074,1.9331846268235777,13.831452613803352
Br5436,Control,L6b_2,600,39003,54.51343550478074,1.5383432043688947,11.006460965891263
Br5436,Control,L6b_4,20,39003,54.51343550478074,0.051278106812296484,0.3668820321963754
Br5436,Control,L6 CT_1,0,39003,54.51343550478074,0.0,0.0
Br5436,Control,L6 CT_3,65,39003,54.51343550478074,0.1666538471399636,1.19236660463822
Br5588,SCZ,Sst_2,5,48015,56.38613497672747,0.010413412475268145,0.08867428140027109
Br5588,SCZ,Sst_22,6,48015,56.38613497672747,0.012496094970321775,0.10640913768032531
Br5588,SCZ,Sst_25,25,48015,56.38613497672747,0.05206706237634072,0.44337140700135547
Br5588,SCZ,Sst_20,194,48015,56.38613497672747,0.40404040404040403,3.4405621183305186
Br5588,SCZ,Sst_3,115,48015,56.38613497672747,0.23950848693116733,2.039508472206235
Br5588,SCZ,Pvalb_14,0,48015,56.38613497672747,0.0,0.0
Br5588,SCZ,Pvalb_7,1,48015,56.38613497672747,0.0020826824950536294,0.01773485628005422
Br5588,SCZ,L5/6 NP_4,382,48015,56.38613497672747,0.7955847131104863,6.774715098980711
Br5588,SCZ,L2/3 IT_7,1318,48015,56.38613497672747,2.744975528480683,23.37454057711146
Br5588,SCZ,L6b_1,1051,48015,56.38613497672747,2.188899302301364,18.639333950336983
Br5588,SCZ,L6b_2,1227,48015,56.38613497672747,2.555451421430803,21.760668655626528
Br5588,SCZ,L6b_4,78,48015,56.38613497672747,0.16244923461418306,1.3833187898442292
Br5588,SCZ,L6 CT_1,0,48015,56.38613497672747,0.0,0.0
Br5588,SCZ,L6 CT_3,145,48015,56.38613497672747,0.3019889617827762,2.5715541606078616
Br5590,SCZ,Sst_2,2,38379,49.47773418939327,0.005211183199145366,0.040422222900189875
Br5590,SCZ,Sst_22,2,38379,49.47773418939327,0.005211183199145366,0.040422222900189875
Br5590,SCZ,Sst_25,13,38379,49.47773418939327,0.03387269079444488,0.26274444885123416
Br5590,SCZ,Sst_20,149,38379,49.47773418939327,0.38823314833632977,3.0114556060641458
Br5590,SCZ,Sst_3,79,38379,49.47773418939327,0.20584173636624195,1.5966778045575
Br5590,SCZ,Pvalb_14,0,38379,49.47773418939327,0.0,0.0
Br5590,SCZ,Pvalb_7,0,38379,49.47773418939327,0.0,0.0
Br5590,SCZ,L5/6 NP_4,275,38379,49.47773418939327,0.7165376898824879,5.558055648776108
Br5590,SCZ,L2/3 IT_7,589,38379,49.47773418939327,1.5346934521483102,11.904344644105917
Br5590,SCZ,L6b_1,766,38379,49.47773418939327,1.9958831652726752,15.481711370772722
Br5590,SCZ,L6b_2,690,38379,49.47773418939327,1.7978582037051511,13.945666900565506
Br5590,SCZ,L6b_4,77,38379,49.47773418939327,0.20063055316709658,1.5562555816573103
Br5590,SCZ,L6 CT_1,0,38379,49.47773418939327,0.0,0.0
Br5590,SCZ,L6 CT_3,87,38379,49.47773418939327,0.22668646916282342,1.7583666961582596
Br5622,Control,Sst_2,12,59368,61.78539224249548,0.020212909311413556,0.1942206655078334
Br5622,Control,Sst_22,26,59368,61.78539224249548,0.04379463684139604,0.42081144193363906
Br5622,Control,Sst_25,232,59368,61.78539224249548,0.3907829133539954,3.754932866484779
Br5622,Control,Sst_20,299,59368,61.78539224249548,0.5036383236760544,4.839331582236849
Br5622,Control,Sst_3,308,59368,61.78539224249548,0.5187980056596146,4.984997081367724
Br5622,Control,Pvalb_14,0,59368,61.78539224249548,0.0,0.0
Br5622,Control,Pvalb_7,0,59368,61.78539224249548,0.0,0.0
Br5622,Control,L5/6 NP_4,402,59368,61.78539224249548,0.6771324619323542,6.506392294512419
Br5622,Control,L2/3 IT_7,1993,59368,61.78539224249548,3.3570273548039347,32.25681552975933
Br5622,Control,L6b_1,955,59368,61.78539224249548,1.608610699366662,15.456727963331742
Br5622,Control,L6b_2,786,59368,61.78539224249548,1.323945559897588,12.721453590763089
Br5622,Control,L6b_4,81,59368,61.78539224249548,0.1364371378520415,1.3109894921778755
Br5622,Control,L6 CT_1,0,59368,61.78539224249548,0.0,0.0
Br5622,Control,L6 CT_3,125,59368,61.78539224249548,0.21055113866055788,2.0231319323732646
Br5639,Control,Sst_2,4,46260,64.7514486578616,0.00864677907479464,0.06177467968532241
Br5639,Control,Sst_22,11,46260,64.7514486578616,0.023778642455685256,0.1698803691346366
Br5639,Control,Sst_25,33,46260,64.7514486578616,0.07133592736705577,0.5096411074039099
Br5639,Control,Sst_20,163,46260,64.7514486578616,0.35235624729788156,2.517318197176888
Br5639,Control,Sst_3,98,46260,64.7514486578616,0.21184608733246865,1.513479652290399
Br5639,Control,Pvalb_14,0,46260,64.7514486578616,0.0,0.0
Br5639,Control,Pvalb_7,0,46260,64.7514486578616,0.0,0.0
Br5639,Control,L5/6 NP_4,293,46260,64.7514486578616,0.6333765672287073,4.524995286949866
Br5639,Control,L2/3 IT_7,1298,46260,64.7514486578616,2.8058798097708606,20.045883557887123
Br5639,Control,L6b_1,796,46260,64.7514486578616,1.7207090358841333,12.29316125737916
Br5639,Control,L6b_2,638,46260,64.7514486578616,1.379161262429745,9.853061409808925
Br5639,Control,L6b_4,80,46260,64.7514486578616,0.17293558149589278,1.2354935937064482
Br5639,Control,L6 CT_1,0,46260,64.7514486578616,0.0,0.0
Br5639,Control,L6 CT_3,169,46260,64.7514486578616,0.3653264159100735,2.6099802167048716
Br5746,SCZ,Sst_2,3,27763,45.66265575288095,0.010805748658286209,0.06569920103279853
Br5746,SCZ,Sst_22,2,27763,45.66265575288095,0.007203832438857472,0.04379946735519902
Br5746,SCZ,Sst_25,10,27763,45.66265575288095,0.03601916219428736,0.21899733677599512
Br5746,SCZ,Sst_20,60,27763,45.66265575288095,0.21611497316572414,1.3139840206559705
Br5746,SCZ,Sst_3,77,27763,45.66265575288095,0.27734754889601265,1.6862794931751623
Br5746,SCZ,Pvalb_14,0,27763,45.66265575288095,0.0,0.0
Br5746,SCZ,Pvalb_7,0,27763,45.66265575288095,0.0,0.0
Br5746,SCZ,L5/6 NP_4,225,27763,45.66265575288095,0.8104311493714655,4.92744007745989
Br5746,SCZ,L2/3 IT_7,383,27763,45.66265575288095,1.379533912041206,8.387597998520613
Br5746,SCZ,L6b_1,902,27763,45.66265575288095,3.2489284299247196,19.75355977719476
Br5746,SCZ,L6b_2,618,27763,45.66265575288095,2.225984223606959,13.534035412756497
Br5746,SCZ,L6b_4,69,27763,45.66265575288095,0.24853221914058277,1.5110816237543663
Br5746,SCZ,L6 CT_1,0,27763,45.66265575288095,0.0,0.0
Br5746,SCZ,L6 CT_3,171,27763,45.66265575288095,0.6159276735223138,3.7448544588695163
Br5931,Control,Sst_2,4,37963,54.5949347124305,0.010536575086268207,0.07326687028877893
Br5931,Control,Sst_22,3,37963,54.5949347124305,0.007902431314701155,0.054950152716584204
Br5931,Control,Sst_25,11,37963,54.5949347124305,0.028975581487237573,0.20148389329414207
Br5931,Control,Sst_20,141,37963,54.5949347124305,0.3714142717909544,2.5826571776794576
Br5931,Control,Sst_3,144,37963,54.5949347124305,0.3793167031056555,2.6376073303960417
Br5931,Control,Pvalb_14,0,37963,54.5949347124305,0.0,0.0
Br5931,Control,Pvalb_7,0,37963,54.5949347124305,0.0,0.0
Br5931,Control,L5/6 NP_4,254,37963,54.5949347124305,0.6690725179780312,4.652446263337462
Br5931,Control,L2/3 IT_7,756,37963,54.5949347124305,1.9914126913046912,13.847438484579218
Br5931,Control,L6b_1,639,37963,54.5949347124305,1.6832178700313463,11.704382528632435
Br5931,Control,L6b_2,460,37963,54.5949347124305,1.211706134920844,8.425690083209577
Br5931,Control,L6b_4,33,37963,54.5949347124305,0.08692674446171272,0.6044516798824262
Br5931,Control,L6 CT_1,0,37963,54.5949347124305,0.0,0.0
Br5931,Control,L6 CT_3,128,37963,54.5949347124305,0.33717040276058263,2.3445398492409257
Br5973,SCZ,Sst_2,2,30867,45.02828087884584,0.006479411669420416,0.044416530255313266
Br5973,SCZ,Sst_22,1,30867,45.02828087884584,0.003239705834710208,0.022208265127656633
Br5973,SCZ,Sst_25,7,30867,45.02828087884584,0.022677940842971457,0.15545785589359642
Br5973,SCZ,Sst_20,54,30867,45.02828087884584,0.17494411507435126,1.1992463168934582
Br5973,SCZ,Sst_3,75,30867,45.02828087884584,0.24297793760326564,1.6656198845742474
Br5973,SCZ,Pvalb_14,0,30867,45.02828087884584,0.0,0.0
Br5973,SCZ,Pvalb_7,0,30867,45.02828087884584,0.0,0.0
Br5973,SCZ,L5/6 NP_4,237,30867,45.02828087884584,0.7678102828263194,5.263358835254622
Br5973,SCZ,L2/3 IT_7,578,30867,45.02828087884584,1.8725499724625005,12.836377243785533
Br5973,SCZ,L6b_1,450,30867,45.02828087884584,1.4578676256195937,9.993719307445485
Br5973,SCZ,L6b_2,572,30867,45.02828087884584,1.853111737454239,12.703127653019592
Br5973,SCZ,L6b_4,42,30867,45.02828087884584,0.13606764505782876,0.9327471353615785
Br5973,SCZ,L6 CT_1,0,30867,45.02828087884584,0.0,0.0
Br5973,SCZ,L6 CT_3,122,30867,45.02828087884584,0.3952441118346454,2.709408345574109
Br6032,SCZ,Sst_2,3,43133,47.30662043089855,0.006955231493288202,0.06341607099966362
Br6032,SCZ,Sst_22,6,43133,47.30662043089855,0.013910462986576404,0.12683214199932724
Br6032,SCZ,Sst_25,32,43133,47.30662043089855,0.07418913592840749,0.6764380906630786
Br6032,SCZ,Sst_20,169,43133,47.30662043089855,0.39181137412190203,3.572438666314384
Br6032,SCZ,Sst_3,144,43133,47.30662043089855,0.33385111167783366,3.043971407983854
Br6032,SCZ,Pvalb_14,0,43133,47.30662043089855,0.0,0.0
Br6032,SCZ,Pvalb_7,1,43133,47.30662043089855,0.002318410497762734,0.021138690333221206
Br6032,SCZ,L5/6 NP_4,556,43133,47.30662043089855,1.28903623675608,11.753111825270992
