celltype,merfish_mean,merfish_std,xenium_mean_uncrop,xenium_std_uncrop,xenium_mean_crop,xenium_std_crop
Lamp5_Lhx6_1,0.01092261910532414,0.00363346032908416,0.0023607053062828227,0.000510283665609574,0.002402672195315005,0.0004957854024431661
Micro-PVM_1,0.0014335106686911316,0.0006886929358073266,0.0024853270901193307,0.0012343750789060067,0.001882980288247466,0.0008504687699096653
Micro-PVM_2,0.0033912650384144366,0.0021060483346035715,0.039502900487002765,0.015033815098380672,0.03916598039978514,0.013802196325897768
Micro-PVM_2_1-SEAAD,0.0007015639090817428,0.0004862373591184696,,,,
Micro-PVM_2_3-SEAAD,0.06460325687217307,0.03293419325506808,,,,
Micro-PVM_3-SEAAD,0.009197110691837929,0.004158426071665024,,,,
Monocyte,0.023083557710583298,0.015274046790184811,,,,
OPC_1,0.010963345180933629,0.005928835171428013,0.004773647286204401,0.0024520317820738917,0.002624743946191806,0.0019653360584162218
OPC_2,0.0031279839256109503,0.001511071221546168,0.0043930189597825835,0.0015701919803717637,0.0037838434237306377,0.0015741669650687002
OPC_2_1-SEAAD,0.02485018131117194,0.005847158602296256,,,,
OPC_2_2-SEAAD,0.0009557826250531459,0.0005810618175485227,,,,
Oligo_1,0.10935104103866822,0.04826352936208289,0.013024901144470366,0.0071845624076607995,0.0033100714590315644,0.0013359137216751732
Oligo_2,0.0341066646313404,0.016390901458454288,0.00238942787005832,0.0017723026350881888,0.0007157926748378339,0.0010577691512629016
Oligo_2_1-SEAAD,0.005343724187029724,0.004115414211552111,,,,
Oligo_3,0.0008540940708249185,0.0006792384244704378,0.0007627046825222378,0.0006203327513649522,0.0001838023103073151,0.00034078764354154585
Oligo_4,0.0015448692051058652,0.0012132135521972676,0.19330557277619356,0.04524407794963117,0.12702966843159996,0.017975772791529534
Pax6_1,0.0011299601311271998,0.0005820908522219518,0.0038142578388671525,0.0004770169941429159,0.004773503931252479,0.0007702120951217821
Pax6_2,0.000373807698084338,0.0002833088610495871,0.0004077361582774596,0.00011557501365205227,0.0005126025478192385,0.00012711560568426372
Pax6_3,0.000438015329002869,0.00025088597954042746,0.0002537958610375052,0.00010574191530499067,0.00031152863117988157,0.00012285030847986663
Pax6_4,0.0003161895981790811,0.00019676072551176772,0.00047707893904882235,0.00017778950609058917,0.0005385165133705498,0.00018900595652427725
Pericyte_1,0.031834505808686506,0.00840288909810694,,,,
Pericyte_2-SEAAD,0.0012043576931766015,0.0006710400805950186,,,,
Pvalb_1,0.0002171365508362435,0.0001694714351148636,1.6721848767599747e-05,,0.0,
Pvalb_10,0.0007271779593536635,0.00039363155308916727,1.9416094945125426e-05,2.6457072558905917e-06,8.717559780666197e-06,1.509925645813285e-05
Pvalb_12,0.0012081679023001266,0.0007732223717684884,1.6721848767599747e-05,,2.214054819997343e-05,
Pvalb_13,0.000611996748427201,0.00047562473016249434,9.025201003833568e-05,5.788982304382013e-05,9.0844659745162e-05,5.949682696658512e-05
Pvalb_14,0.0019482083036329062,0.0006920420906023782,0.0010873019935807185,0.0004359072560035327,0.0013693512405463213,0.00043427234412874295
Pvalb_15,0.0058993915845953196,0.0026098174390416125,0.001279174485195277,0.0004897851442730883,0.001619877763438825,0.0005955759736237198
Pvalb_2,0.005400798267992614,0.0014584848259305268,0.0026668855607692482,0.0004507998208780187,0.0034329425187954923,0.00041206781449790793
Pvalb_3,0.00018264055678543514,0.0001691601361126278,0.00023556226928165658,0.00012738134984603198,0.000286054094807067,0.00014709697446312856
Pvalb_5,0.004179627900056339,0.0018985321076301377,0.003423731967893383,0.0010664396260235648,0.004268691367488906,0.001265432177441829
Pvalb_6,0.0012126944003371626,0.0009333558095741154,0.004081773158528687,0.001123201715127174,0.004939110267595738,0.0011848897122947247
Pvalb_7,0.0005341870432808449,0.0003077584303078158,7.246012574541683e-05,4.922255655756344e-05,3.1025839447498846e-05,2.2652049102346225e-05
Pvalb_8,0.000256475603823662,0.00017024378623646367,0.018562794661291137,0.004115643001026478,0.022262661216933016,0.004331084756551994
Pvalb_9,0.0007585896833138264,0.0005170475098644645,,,,
SMC-SEAAD,0.002317233782468495,0.0010751568821263523,,,,
Sncg_1,0.00018417568510414103,0.00017583868139082193,,,,
