supertype,region,n_samples,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,logFC,coef,se,tstat,pval,class,fdr
L6b_5,L1-L6,23,11,12,0.5160949993757757,1.2581264628293833,0.8910881032460128,0.34760443610345043,0.1405263095974764,2.4735897292053615,0.023564841803699808,Glut,0.1741179977717819
L6 CT_1,L1-L6,22,11,11,0.20701849666473543,0.652095899486767,1.1473834910714449,0.2712087041331599,0.11209843974709251,2.4193798303084253,0.027043998042877607,Glut,0.18930798630014326
L6 CT_4,L1-L6,24,12,12,1.9268213208429767,3.3616018564840005,0.5565459422420541,0.3717621131693123,0.16224164103812505,2.2914099659652245,0.033537397872305016,Glut,0.22302369585082837
Sst_5,L1-L6,24,12,12,0.8872821887187734,1.4727644046863626,0.5067333910959786,0.24249027846034943,0.10856679145392084,2.233558487019209,0.037732086699760144,GABA,0.23510174761207775
Pvalb_6,L1-L6,24,12,12,4.299764806479367,2.9198395869645233,-0.38703164623593694,-0.26652735019134277,0.12125255163085383,-2.198117454903295,0.040534634649377004,GABA,0.23510174761207775
Micro-PVM_2,L1-L6,24,12,12,5.299689081672154,2.5801641066309355,-0.7197951508698781,-0.5232826457139222,0.23945957995792327,-2.1852650280513775,0.04159718121358557,NN,0.23510174761207775
Pvalb_12,L1-L6,24,12,12,1.156197581744588,1.589451758685196,0.31825247680509894,0.20377665794570524,0.0936703691365178,2.1754655161945124,0.04242437550894636,GABA,0.23510174761207775
L4 IT_1,L1-L6,24,12,12,8.329983746180579,11.209648434790536,0.29691336990497386,0.3194982144464035,0.15287552548894695,2.089923900013044,0.050307445931284354,Glut,0.2676356123544328
Sst_1,L1-L6,23,12,11,0.27388234178840365,0.39863859619234354,0.37535662784071194,0.09276130651027469,0.044714286516893874,2.0745339741746247,0.052646765664881266,GABA,0.26930845513189267
Astro_6-SEAAD,L1-L6,24,12,12,0.4788956060311748,13.082555818748354,3.3075523727317537,0.8757943822209845,0.4307643910829752,2.0331169436247256,0.0562519131499249,NN,0.2694857596797091
L2/3 IT_10,L1-L6,24,12,12,6.197747118097098,4.621186737678155,-0.2935343162324247,-0.28010705053674134,0.13898402774900195,-2.015390221980042,0.0582322450082064,Glut,0.2694857596797091
Vip_12,L1-L6,24,12,12,1.6783327750035466,1.1183686964521908,-0.40592980230885417,-0.20148295407627703,0.10151368839919987,-1.984786064357653,0.06179873858263493,GABA,0.2694857596797091
Vip_15,L1-L6,24,12,12,1.400659265007205,1.051171358984289,-0.2870379069999765,-0.15921668779721862,0.08031655703157052,-1.9823644548736612,0.06208911576840311,GABA,0.2694857596797091
L5/6 NP_2,L1-L6,24,12,12,0.8107547614044669,1.0684034637451756,0.2759551052139266,0.14224859676928392,0.0719744707038025,1.9763757257025407,0.06281247030128558,Glut,0.2694857596797091
L4 IT_4,L1-L6,24,12,12,2.107540781529396,1.5545419004771335,-0.3043408569081813,-0.19359664995664927,0.09974596023604351,-1.9408971501052583,0.06725402572348063,Glut,0.2795245444132164
Monocyte,L1-L6,24,12,12,0.12116122081558539,0.36678657346735827,1.107658073037223,0.1653204184663435,0.08922239895352614,1.8529026388592738,0.0794941552324498,Other,0.3152099401098149
L6b_1,L1-L6,21,9,12,0.0295817489450533,0.09584023207807969,1.175524974413795,0.05440255822598893,0.029310812542665737,1.8560576629118986,0.08195857246054754,Glut,0.3152099401098149
Pvalb_10,L1-L6,24,12,12,1.371826943948286,1.0199729180182737,-0.29636731121841325,-0.17715407511270703,0.09679353671044853,-1.8302262850736795,0.08294998423942497,GABA,0.3152099401098149
Pericyte_2-SEAAD,L1-L6,24,12,12,4.681892010801001,7.553029674818945,0.4782464601577574,0.41892094317149686,0.23101920859827352,1.813359788189611,0.08560499320959346,NN,0.31626289157988696
Lymphocyte,L1-L6,24,12,12,0.2356710348592501,0.4061393151904371,0.5442593290781822,0.12136791348289451,0.06760550560346222,1.7952371245438774,0.08854011414508459,Other,0.3182658157107095
L5 IT_5,L1-L6,24,12,12,8.809658607268938,9.829902099899256,0.10958028618749177,0.12127980336299526,0.06949096210729958,1.745260098366887,0.09709206403645379,Glut,0.3398222241275883
L5 ET_2,L1-L6,24,12,12,2.2800209853917366,1.6866389388700453,-0.3014468919521499,-0.20560786124568964,0.12054039488855009,-1.705717501886332,0.10435537791255238,Glut,0.35241663619691116
Vip_23,L1-L6,24,12,12,2.01551126411297,1.650416863972198,-0.19984499146839446,-0.12408821609574705,0.07335962310965219,-1.6915056380574605,0.1070774546233245,GABA,0.35241663619691116
Oligo_3,L1-L6,24,12,12,8.348013957579507,11.386267846105603,0.31038439323350836,0.26591185090075814,0.1579529010119263,1.6834882372985371,0.10863971491784478,NN,0.35241663619691116
Vip_13,L1-L6,24,12,12,1.5858107935071557,1.0473417043274784,-0.41484057437370203,-0.198188609270335,0.1194962147234448,-1.658534621611332,0.11362729689349114,GABA,0.3598197734960553
Sst_10,L1-L6,24,12,12,2.300925520756867,2.9602901192053417,0.2519758344551554,0.15826486478218413,0.09713963046616529,1.6292512543303257,0.11972738001039335,GABA,0.3703195707298213
L6 IT Car3_1,L1-L6,24,12,12,1.1894404786620716,2.1638600385908684,0.5984106711633713,0.2840199328542043,0.17910886102005746,1.585739149010603,0.129301496779225,Glut,0.37476714944026784
Lamp5_5,L1-L6,24,12,12,1.95260759963187,1.527897996120142,-0.2452727778094215,-0.18933571443407998,0.11998295162107968,-1.5780218095652832,0.1310649950468572,GABA,0.37476714944026784
Astro_2,L1-L6,24,12,12,70.93264595571264,60.435468015755134,-0.16015462687928406,-0.4443894082498848,0.2822445967770752,-1.5744833145588122,0.13188029256440686,NN,0.37476714944026784
Sncg_6,L1-L6,24,12,12,0.7076314626114288,0.9382258201307884,0.2820672413048858,0.12853132147904422,0.08175877958800837,1.5720797463798741,0.13243651145633525,GABA,0.37476714944026784
Micro-PVM_2_1-SEAAD,L1-L6,24,12,12,12.592008171418188,16.04112333484366,0.24209329271840266,0.22607299126585023,0.14730594803002509,1.5347173300820833,0.14133772959383709,NN,0.39162329241625693
L2/3 IT_2,L1-L6,24,12,12,11.223288805833294,8.850991152301898,-0.2374615297334884,-0.2046287256994177,0.1359283416242863,-1.5054161866038445,0.14866111163739087,Glut,0.3938059226983081
L5 IT_7,L1-L6,24,12,12,8.0963946895564,6.455147594530698,-0.22654097335193718,-0.2961866654706784,0.19713059657747273,-1.5024895709392145,0.14940947881692188,Glut,0.3938059226983081
L5 IT_6,L1-L6,24,12,12,15.10864515206598,12.551047451272849,-0.18546298226909474,-0.20676142488511878,0.13818388412048735,-1.4962774147008076,0.15100828614747153,Glut,0.3938059226983081
Sst_2,L1-L6,24,12,12,1.1890611279687342,0.8766708391812218,-0.30478771059826776,-0.13396525289081257,0.09050683341460548,-1.4801672739684428,0.15522019321482142,GABA,0.3970054941840625
Pvalb_15,L1-L6,24,12,12,5.361839200143525,4.319174310175435,-0.21624279849656214,-0.1803218229939576,0.12393651716399888,-1.4549531253597108,0.16200522554193128,GABA,0.40654141503918606
Sst_4,L1-L6,24,12,12,0.42856415201602843,0.606018381545295,0.34646987837075804,0.10430634452814178,0.07318435785202651,1.425254625299052,0.17030502277048656,GABA,0.4194549634902725
L6 IT_1,L1-L6,24,12,12,2.699755365339083,4.1918123337720905,0.43997201483420356,0.30261629460617034,0.22376475092035975,1.3523859024331975,0.19212990851377373,Glut,0.46460505149694376
Sst_7,L1-L6,24,12,12,0.2875891108758654,0.3971706546330083,0.3228332857750308,0.06958664155320633,0.0541235890318264,1.2856989493488165,0.21399794842454078,GABA,0.5082451275082844
OPC_2_2-SEAAD,L1-L6,24,12,12,2.382590790699494,4.343433035023735,0.60047659417007,0.26384739343850305,0.21002302065801884,1.2562784432480218,0.2242427887904335,NN,0.5142652465881069
Lamp5_1,L1-L6,24,12,12,2.117079845337932,2.7722207944807793,0.2696110221354074,0.14408111014808128,0.11469482306537793,1.2562128463806312,0.2242660473842872,GABA,0.5142652465881069
Vip_2,L1-L6,24,12,12,1.224177102880603,1.0421575086174437,-0.16097577370994318,-0.10264643696030581,0.08543562210180809,-1.2014477618947832,0.24434029056143422,GABA,0.5418934169562568
