celltype,beta_snrnaseq,se_snrnaseq,pval_snrnaseq,padj_snrnaseq,region,n_samples,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,logFC_density,coef,se_density,tstat,pval_density,class,fdr_density
Chandelier_2,0.154152041754566,0.0699836489851141,0.027616849489067,0.231556661100639,cortical,24,12,12,5.19796882333287,5.6304236756634936,0.0799167541648666,0.101498235011791,0.118228698096513,0.8584906765101606,0.4013225111117598,GABA,0.7116309078501246
Vip_1,-0.0514451227739463,0.0492731622252091,0.296448382399967,0.609676861916914,cortical,24,12,12,2.0163673766896673,2.4621855365197605,0.1997518208959825,0.1221478162910724,0.1208049432042306,1.0111160441884526,0.3246649137574097,GABA,0.6258033844889201
Sst Chodl_1,-0.0181061358445948,0.0703998396236776,0.797032091301406,0.961919380354394,cortical,24,12,12,0.2018842381542138,0.2362014821394243,0.156990723993128,0.0231115066400418,0.0425262285941259,0.5434647605509547,0.5931297078309047,GABA,0.7971700026008891
L2/3 IT_1,-0.0435929821253722,0.0610158349794698,0.474946746590716,0.725161804665052,cortical,24,12,12,26.02117806486251,24.94207510988076,-0.0423546065436238,-0.0213337136725135,0.1821436901529822,-0.1171257354816706,0.907989663918513,Glut,0.9789314658711228
L2/3 IT_2,0.075801956093688,0.0821736060870001,0.356288105453833,0.652482950989092,cortical,24,12,12,11.223288805833294,8.852773085240319,-0.2372602241895906,-0.2045300838952881,0.1359739533510462,-1.5041857565709618,0.1489753683936105,Glut,0.3938059226983081
Sncg_2,0.157378115090815,0.0823075552516264,0.0558667363791497,0.338304125851518,cortical,24,12,12,0.3475105632978703,0.4345286979100974,0.2234669281265499,0.0571133305862156,0.059528862980841,0.959422500721996,0.3493969003946599,GABA,0.6638541107498539
Sst_1,0.0697615060622537,0.0618378532279409,0.259262503421158,0.569755257858317,cortical,23,12,11,0.2738823417884036,0.3986385961923435,0.3753566278407119,0.0927613065102746,0.0447142865168938,2.0745339741746247,0.0526467656648812,GABA,0.2693084551318926
Sncg_8,-0.0017587901633398,0.0635160211386955,0.977909003464133,0.995669874819086,cortical,24,12,12,0.4519131796647697,0.4880420368166147,0.0769114621661224,0.0194578521613862,0.0538387976590524,0.3614094854905176,0.7217811019845368,GABA,0.896150958294551
Pax6_3,0.0362607840844254,0.0718403102289647,0.613740427052186,0.81582568961815,cortical,24,12,12,0.5135517121349338,0.3054238167642088,-0.5196503543075808,-0.1316804828159584,0.0404724418028816,-3.2535838449604673,0.004179913959559,GABA,0.1100572598608124
Vip_18,-0.0648361552969541,0.0610262514155198,0.288040260267096,0.603776699406029,cortical,24,12,12,1.3263148687248545,1.2678723101039215,-0.0450641720018297,-0.0203639812020572,0.0988226621359807,-0.2060659039324025,0.8389314122721291,GABA,0.940022264708706
Pax6_4,0.0641894868833819,0.0737338588677429,0.383996380664173,0.680028908243956,cortical,24,12,12,0.2902894373957598,0.2952862657724956,0.0170667930273967,0.0096852705305999,0.0465982657423077,0.2078461585708003,0.8375607474013006,GABA,0.940022264708706
Sncg_3,0.0510673069238611,0.071816876077193,0.477036710407552,0.725161804665052,cortical,23,12,11,0.080885385504146,0.1077133198476836,0.2864400931337232,0.0251042870062298,0.0211750919268933,1.1855574036184606,0.2512127787529175,GABA,0.5418934169562568
Sst Chodl_2,0.131358137330864,0.0747291013191975,0.0787830872937457,0.390334387046285,cortical,24,12,12,0.2531406778894283,0.2492312674218382,-0.0155641230460936,0.0005657994748227,0.0344849768760969,0.0164071293089652,0.9870806584199276,GABA,0.9976382815975842
L6 IT Car3_3,0.0835367743096128,0.0628200302811211,0.1835910063917,0.513113325556289,cortical,24,12,12,1.1164653482747828,1.267282359220936,0.126706977249655,0.0450564952540603,0.1625163135767419,0.2772429072653324,0.7845875340492087,Glut,0.9192821970357108
L6 CT_3,0.131444235983575,0.0740213144769062,0.0757721566988142,0.390334387046285,cortical,24,12,12,1.8285495932735656,1.8391439063759825,0.0057771144556608,-0.0250657421788321,0.1929091758016338,-0.1299354583558377,0.8979832530869555,Glut,0.9789314658711228
Pvalb_1,-0.0009767133801452,0.0578748050915545,0.986535288811571,0.995669874819086,cortical,24,12,12,0.2121944921931351,0.2618247684036407,0.2101721870039171,0.0285720285923989,0.0571852191168355,0.4996400999010469,0.623065193423042,GABA,0.8286767072526459
Pvalb_12,0.119075676297048,0.0666610938727148,0.0740532112031961,0.390334387046285,cortical,24,12,12,1.156197581744588,1.589451758685196,0.3182524768050989,0.2037766579457052,0.0936703691365178,2.1754655161945124,0.0424243755089463,GABA,0.2351017476120777
L2/3 IT_13,-0.0703821418224023,0.0729471465821103,0.334626214864152,0.651326025360581,cortical,24,12,12,0.60250496557523,0.6754942101619417,0.114348679225198,0.0208105714298312,0.0762874129381764,0.2727916785786961,0.787956168887752,Glut,0.9192821970357108
Vip_14,0.0695235995305419,0.0637252518928077,0.275277372815086,0.588337914447929,cortical,24,12,12,0.1452193330776968,0.1371733607670903,-0.0569997085108818,-0.0090911033455713,0.0293048757594909,-0.3102249407294297,0.7597670451497978,GABA,0.9022233661153848
L5 IT_2,0.0090654063430058,0.0530108064807735,0.864215482395579,0.961919380354394,cortical,24,12,12,4.892469987691034,6.187596468325677,0.2348494326948323,0.1501201599316194,0.1306584326719586,1.148951176450455,0.2648351285876443,Glut,0.5418934169562568
Sst_23,-0.0654486788027768,0.0700522250641106,0.350157373023614,0.652482950989092,cortical,24,12,12,0.2131358691793332,0.1833803628807957,-0.1503673643534023,-0.0301365379785585,0.0362949611226539,-0.8303229166361735,0.4166680231124743,GABA,0.7116309078501246
Pvalb_5,-0.0760606231404792,0.0615546320838198,0.216584812018757,0.549017314187081,cortical,24,12,12,0.7571488942637975,0.5670240037032217,-0.2891582866038177,-0.0615122879399132,0.0999295848245603,-0.6155563244649341,0.545491008588547,GABA,0.7819634374290423
