"","CellType","estimate","se","zval","pval","ci.lb","ci.ub","padj"
"Sst_10","Sst_10",0.07088016835135,0.0582623091165044,1.21656984465916,0.223767921882224,-0.0433118591731383,0.185072195875838,0.552868160375212
"L4 IT_2","L4 IT_2",-0.0171930519235433,0.0497270524300618,-0.345748462523982,0.729531759937806,-0.114656283743799,0.0802701798967127,0.910999400823907
"L6b_6","L6b_6",0.103381130437337,0.0807303536341445,1.28057323898075,0.200343604661907,-0.054847455144768,0.261609716019443,0.519939354955901
"Vip_16","Vip_16",0.0457961592876426,0.0638434279283233,0.717319867897095,0.473176750853715,-0.0793346601014498,0.170926978676735,0.725161804665052
"L5 IT_3","L5 IT_3",-0.00988648493402515,0.0584138289044581,-0.16924904803271,0.865600751478323,-0.124375485785848,0.104602515917797,0.961919380354394
"Sst_11","Sst_11",-0.131932494421812,0.0767263892528842,-1.71951913424431,0.085519886608411,-0.282313454021266,0.0184484651776425,0.405289897405078
"Chandelier_1","Chandelier_1",-0.0241245868862856,0.0473058102000872,-0.509970905989072,0.610071844737743,-0.116842271137944,0.0685930973653729,0.81582568961815
"L6 IT_2","L6 IT_2",0.116559398604049,0.0776485279248144,1.50111536843185,0.13332572447658,-0.0356289195811403,0.268747716789237,0.499604933085498
"Sst_7","Sst_7",0.0150039041691,0.0660530061246496,0.227149452377472,0.820307531462136,-0.114457608905817,0.144465417244017,0.961919380354394
"Lamp5_2","Lamp5_2",0.0488169317946478,0.0405286456094816,1.20450439585445,0.228394684050607,-0.0306177539421236,0.128251617531419,0.552868160375212
"Vip_11","Vip_11",-0.024353106073928,0.0544894798102726,-0.446932254789791,0.654923974353508,-0.131150524038385,0.0824443118905288,0.839843684759205
"Vip_23","Vip_23",-0.0011319693886932,0.0420144085596279,-0.0269424092234139,0.978505668113588,-0.0834786969973152,0.0812147582199289,0.995669874819086
"Vip_13","Vip_13",-0.0514919712288365,0.0629936005588751,-0.817415908473292,0.41369078744768,-0.174957159580734,0.0719732171230608,0.704567122371831
"Sncg_1","Sncg_1",0.0135991464519112,0.0672549473249945,0.202202915812221,0.839758093724818,-0.118218128087217,0.145416420991039,0.961919380354394
"L5/6 NP_6","L5/6 NP_6",0.123664118433929,0.0753219707519375,1.64180672915741,0.100630064064175,-0.0239642314844481,0.271292468352305,0.457028207624796
"L6b_5","L6b_5",0.0554107958035253,0.075347749807879,0.735400804202,0.462095432226026,-0.0922680801360523,0.203089671743103,0.725161804665052
"L5/6 NP_3","L5/6 NP_3",0.0260923337813876,0.0798497806541309,0.326767757752603,0.743843547461722,-0.130410360474132,0.182595028036907,0.910999400823907
"L6 CT_4","L6 CT_4",0.120581929143985,0.0871666570840619,1.3833492435955,0.166557805585274,-0.0502615793935294,0.2914254376815,0.512977103115637
