cluster_label,median_depth,mean_depth,std_depth,n_cells
Pvalb_3,0.5635732500969882,0.5110642923278621,0.19053190243366902,232
Pvalb_5,0.2839112929895492,0.3387949259936178,0.1672604598953199,3526
Pvalb_6,0.5396635865239825,0.5345763719754316,0.1620922514265014,4630
Pvalb_7,0.8096368409313239,0.7841555972319728,0.06310563523920253,46
Pvalb_8,0.3794429983850187,0.4185005181750609,0.2060286342598547,21083
Pvalb_10,0.7880651217613454,0.7967587619773565,0.040220620288500375,8
Pvalb_12,0.5596684524177578,0.5596684524177578,0.0016446983187485456,2
Pvalb_13,0.804010346971772,0.7582275224712837,0.11374966137922919,56
Pvalb_14,0.31063401120563183,0.3639365108827021,0.15955248469418584,1414
Pvalb_15,0.5424158224417979,0.5395169868694234,0.11973749591604892,1480
Sncg_2,0.1429339074937605,0.15640022575387033,0.065542089100784,853
Sncg_3,0.199792995828711,0.26046232256941565,0.17424492992250806,1301
Sncg_4,0.13146998433171903,0.2073452282406334,0.19855854232677064,169
Sncg_5,0.1393096807618966,0.1990027160732429,0.16499978342739988,785
Sncg_6,0.17396095863792008,0.23701300422626664,0.17380501865067144,321
Sncg_8,0.11822721196464822,0.26278625296151775,0.3216624769877489,5
Sst Chodl_1,0.715342049712188,0.656740378007521,0.18107509902655364,224
Sst Chodl_2,0.2629340426806709,0.3284086067458827,0.17797314974312592,3610
Sst_1,0.7832747071232175,0.7163604463261817,0.13917638175863578,365
Sst_2,0.40646082181467647,0.40171735294805516,0.12339236440156048,812
Sst_3,0.4567514669034815,0.44985099515191984,0.10405029824970659,983
Sst_4,0.6713947418139862,0.6751984864578581,0.1316362245061868,1456
Sst_5,0.6804350221148783,0.691917102603951,0.11186195417895518,577
Sst_7,0.7874317698049155,0.7537506409584254,0.09662976875873412,270
Sst_9,0.596001831660776,0.5966008315604058,0.09893240161553778,65
Sst_10,0.59731166610704,0.6060426001026834,0.11432510342363729,6207
Sst_11,0.23303353777734723,0.3022664997094245,0.1680717943448375,7092
Sst_12,,,,0
Sst_13,,,,0
Sst_19,0.5431845240969441,0.5382200398734417,0.07698078989066262,316
Sst_20,0.28745181723157803,0.3107473288829217,0.10646678058516787,1622
Sst_22,0.8170915103985402,0.8170915103985402,,1
Sst_23,0.29406797112593136,0.4218089082076506,0.2644710270109526,18
Sst_25,0.21165065577049014,0.2250956577579435,0.06300455772936382,783
Unassigned,,,,0
VLMC_1,0.4540351022432378,0.48003819819242227,0.23606610546074147,16673
VLMC_2,0.4032883315813178,0.43896218062169007,0.20994318747083926,38775
Vip_1,0.23577932163908058,0.2578595588878588,0.08747005065710378,5321
Vip_2,0.38786671885889606,0.4168208491643268,0.1188703891471623,3
Vip_4,0.2784184953885856,0.30799552591301255,0.13054561336512144,254
Vip_5,0.22678048108797805,0.23934930160608928,0.07083660551582686,56
Vip_6,0.2092666470312063,0.21865587115379334,0.05906759307897973,90
Vip_9,0.19989132986022345,0.23773032958963164,0.12081241914259583,2455
Vip_11,0.24738720742906223,0.2965304029178465,0.10835992681002346,9
Vip_12,0.3100984446786367,0.33132941184046827,0.12161158539202487,314
Vip_13,0.2081187385346453,0.2230112964865853,0.0712178476939459,178
Vip_14,0.27220845444968295,0.30248123478330263,0.12378929523720557,277
Vip_15,0.33029293576072905,0.3241453127336786,0.12253905645102206,41
Vip_16,0.2239608596692526,0.2705868098424739,0.1551899273454859,708
Vip_18,,,,0
Vip_19,0.5023496510119424,0.49644771735044635,0.16467007427772418,973
Vip_21,0.38571774321602986,0.41014878941491983,0.19270893881724027,36154
Vip_23,0.5112064428833427,0.5112064428833427,0.09870092004192689,2
