compartment,stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,ctrl_mean,scz_mean,scz_pval_fdr,scz_pval_fdr_stratum
Neuronal,L5,Lamp5 Lhx6,-0.0006159607740661138,0.0002908689774148065,0.04692766389014544,0.00012150922481764226,0.6814656602144606,1.756991401259368e-05,0.3102358123793163,0.2066800355009326,24,0.002994435976662267,0.002434165615003617,0.2410038252434045,0.19264503949673065
Neuronal,L5,Oligodendrocyte,-0.0018735677883516075,0.0008919449786770939,0.04856491731725971,0.0004995841702755679,0.5827270763882265,-4.759814715998056e-05,0.3686458415509475,0.2299796638632997,24,0.007850226336178767,0.005894852700381909,0.2410038252434045,0.19264503949673065
Non-neuronal,L2/3,Sst Chodl,0.00029895752755563706,0.00014442754647252934,0.05162051534667631,-3.722995011617494e-05,0.799789186178395,9.400934932488155e-06,0.27519245753380406,0.24008207314269792,24,0.0,0.0003202347896375417,0.3754219297940095,0.3097230920800579
Neuronal,L2/3,L6b,0.002494784195653119,0.0012225047391975802,0.054700752009029,-0.0001535000899646399,0.9016201622022534,3.4844887899491175e-06,0.9613051078304421,0.17629464570674347,24,0.0057700825127723,0.0082611114751903,0.2410038252434045,0.31452932405191675
Neuronal,L4,Microglia-PVM,-0.010860999171168294,0.005342544749631127,0.055548856269646056,0.003152364609825681,0.5629042268356903,-0.0007189649849789056,0.031064107437234482,0.3557770081613808,24,0.042906322388351244,0.03044350440695648,0.2410038252434045,0.2000512955403899
Neuronal,L5,Pax6,0.004156076473691202,0.0020502319004893164,0.05618813651987978,-0.0008120274401506424,0.6970935981228485,-6.392914790818988e-05,0.5968927537355198,0.17596047191412856,24,0.0171943525570768,0.02111697048718021,0.2410038252434045,0.19264503949673065
Neuronal,L4,VLMC,0.04059947742187486,0.020056241820538626,0.0565039059077749,-0.012768606582714379,0.5327720251793144,0.0015008365370591358,0.21183953882128953,0.250771987597476,24,0.12277551860661673,0.16620311489937212,0.2410038252434045,0.2000512955403899
Neuronal,L4,Chandelier,-0.0070957895779314595,0.0035338469022141283,0.05834829453261372,-0.0016030988517873827,0.6559130718357686,-0.00010584459858311871,0.6113442134988608,0.20554778049556677,24,0.040901254485807205,0.033397383011234585,0.2410038252434045,0.2000512955403899
Neuronal,L6,VLMC,0.0390151194985294,0.020669049371402806,0.07367590861080624,-0.018181859797401254,0.39085446360886844,0.00040907234952923527,0.7365665733561972,0.1801267104373565,24,0.08931425537028441,0.1278750808454762,0.2916338049177747,0.2795548203724671
Neuronal,L4,L6b,0.0019223576933172619,0.0010375341194213102,0.0787242653481336,-0.0009519848191212594,0.3711672485717207,4.6238339333968815e-05,0.45138487345229195,0.19793736735244105,24,0.006733152543782708,0.008696089595512624,0.29915220832290773,0.23617279604440083
