compartment,stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,ctrl_mean,scz_mean,scz_pval_fdr,scz_pval_fdr_stratum
Neuronal,L2/3,Sst_11,0.0033139277804405017,0.0015804490635546087,0.048927061389447114,0.0015442875317889107,0.34156819339620315,-7.953433088748202e-05,0.39602231500529983,0.22500323743358497,24,0.013840920142801659,0.017077279519456364,0.3801256307949353,0.3747927117099693
Non-neuronal,L5,VLMC_1,0.01909296587471794,0.009145277637959246,0.04982305190658821,-0.013013847253879085,0.17134295741561079,4.0614758906471006e-05,0.939745372592513,0.23240371917054625,24,0.009782573493584891,0.027896379705243682,0.30408136746752895,0.2784948168856946
Non-neuronal,L4,VLMC_2,0.00869903745380912,0.004179634067963521,0.05046791460534717,-0.005802576239510485,0.18154208772766445,4.103953089159372e-05,0.8673091060634001,0.23039910536539465,24,0.025961099048535555,0.034283017665831,0.30408136746752895,0.23934422680633313
Non-neuronal,L6,Endo_1,0.013508123242772034,0.006502097994798021,0.05085034395491046,-0.011353298009313556,0.09705095199527572,-8.927288370042376e-05,0.8153375775860399,0.2579171600068372,24,0.049472114654916584,0.0618026153851827,0.30408136746752895,0.4222109883138842
Neuronal,L5,Sst_5,0.0005042545185733069,0.00024313060080534136,0.05120542243636698,0.00024755012298517025,0.3221397339974959,2.3980400590278008e-06,0.8667171607515298,0.23156878432603345,24,0.0009866996094719084,0.0015178022221803919,0.39032057857155206,0.41742905958417237
Neuronal,L2/3,Vip_13,-0.00018239188715088635,8.839052969473795e-05,0.052288528805946165,-0.00017794175370885443,0.0584314232492285,-9.41344498428122e-06,0.08133206581416988,0.42870095600109115,24,0.0005432180161919934,0.00032158544890613334,0.3911956599555972,0.3747927117099693
Non-neuronal,L4,L4 IT_1,0.0014052358687539647,0.0006821690367102424,0.05265572989739329,-0.000504451537830447,0.4694948949947201,1.6782257338318694e-05,0.6760721760012163,0.20056427795305976,24,9.795244851769167e-05,0.0015046726764831586,0.30408136746752895,0.23934422680633313
Non-neuronal,L5,Oligo_2,0.015001400273057117,0.007301601169261751,0.053224510018880844,-0.008105190031092818,0.2815156370304507,-0.00011093058697846446,0.79610785129347,0.20614732923319368,24,0.0021701494529988833,0.01620843723456744,0.30408136746752895,0.2784948168856946
Non-neuronal,L5,OPC_1,0.010932568462716688,0.0053339288231899745,0.05374461378495861,-0.0073451164023625466,0.1849470741631201,-6.362184228207772e-05,0.8391923191820432,0.2237150243132494,24,0.009480580812314015,0.0196360635971823,0.30408136746752895,0.2784948168856946
Neuronal,L2/3,L2/3 IT_2,-0.00429596368594145,0.002100808621163587,0.05424890125179498,-0.0005599860242461951,0.7931326590787156,-0.00013553010258064393,0.2793490258776533,0.24641929080707514,24,0.01898179029255724,0.01428768637190281,0.39402182259814394,0.3747927117099693
Neuronal,L5,L4 IT_3,0.0007389979789181021,0.00036198925609429004,0.05461688630073283,2.9858975005497574e-05,0.9352703779602767,-3.0159231063072715e-05,0.16645522500318627,0.21638233274575658,24,0.0013042201970984999,0.0019674934847101586,0.39402182259814394,0.41742905958417237
Neuronal,L6,Sst Chodl_2,-0.001126982468307454,0.0005579226919111543,0.056986621662049236,-0.0009153419311111568,0.1175199487393487,-7.905070134919678e-06,0.8095546313443931,0.2815378117570989,24,0.0032226203749845497,0.001998858930534608,0.40040975019554276,0.3559660665611216
Neuronal,L6,L6 CT_1,0.00033516354631349003,0.0001669510642935566,0.058393548743007645,0.00010328132434229157,0.5443135971394395,-1.0320050052617986e-05,0.29937259590073245,0.20208468467410867,24,0.000469051039464425,0.0007860580330033166,0.40040975019554276,0.3559660665611216
Neuronal,L6,Vip_21,0.007957109718643973,0.003973765529554787,0.058986089940918286,-0.007454613629538112,0.07612841996196862,-0.00016830910005721236,0.47383719662665,0.27480038653065175,24,0.02870021861530676,0.035599628932007514,0.40040975019554276,0.3559660665611216
Neuronal,L6,Sst_11,0.0009665124633259884,0.00048809547220441833,0.06160951152019413,-0.00011362117183552601,0.8188173915977146,2.7504827246939718e-05,0.343015783994973,0.21606455258185164,24,0.00232254279684715,0.0033509160145139085,0.40040975019554276,0.3559660665611216
