stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,scz_pval_fdr_global,scz_pval_fdr_stratum
L2/3,Sst_20,-0.00036563495767645164,0.0003570377841233302,0.3180257536294498,-0.0002259187205737043,0.5352484377147438,-3.715960059965226e-05,0.08796758121614152,0.22653685492219622,24,0.5813677208442001,0.5851673866781877
L6,Pax6_2,2.146341152501614e-05,2.102837398024905e-05,0.3195908489819234,1.2116049339902151e-05,0.5720449143803659,-3.5241491889608485e-07,0.7756632779335696,0.06781100021823516,24,0.5813677208442001,0.5605937842797674
L5,L6 IT_1,3.4754878024163276e-05,3.415624596678712e-05,0.32105503342741665,3.098570116022277e-05,0.37649014903108047,5.757893585000609e-07,0.7743831254144813,0.103902965787391,24,0.5813677208442001,0.6542253511351132
L4,Sst_23,-9.4141789046527e-06,9.255745248603479e-06,0.3212447552831032,-8.627357083310807e-06,0.3637776962692879,4.379647326299222e-07,0.4243515339093372,0.10389921421493209,24,0.5813677208442001,0.5284994361109118
L6,Sst_5,-0.0004222167186474667,0.00042349559014563676,0.3306843506806598,0.00034722469403685217,0.42327734777167314,2.7309840283160082e-05,0.2795414086316976,0.12222643356948237,24,0.5945233622388232,0.5614373300451465
L5,Pax6_4,0.0001102467794848326,0.00011167260514161913,0.3353226904937745,0.0001564921920606971,0.17765239447491343,-4.370958584562369e-06,0.5076357602193632,0.13884433883791303,24,0.5945233622388232,0.6593540271675554
L6,Lamp5_6,1.2218960526382142e-05,1.2381880839325499e-05,0.33550921930040867,-1.2922437203445145e-05,0.3104803318812356,3.2678188581810876e-07,0.6540876443109868,0.0969124503833444,24,0.5945233622388232,0.5614373300451465
L4,L5/6 NP_2,1.880183421267725e-05,1.9052526626915327e-05,0.33550921930040867,-1.9884303693290257e-05,0.3104803318812356,5.028331851627061e-07,0.6540876443109868,0.09691245038334495,24,0.5945233622388232,0.5348452776474211
L5,Vip_14,2.6049967289463406e-05,2.6412569768819047e-05,0.3357821434649588,7.669701645246066e-05,0.008947617046179452,-5.531159284778623e-06,0.001749531269866937,0.4925446999099534,24,0.5945233622388232,0.6593540271675554
L4,L4 IT_2,0.0012034089449601047,0.001229158604340814,0.3392500764410534,0.0004579877888082893,0.7141647011418599,-0.00017730240728198402,0.02186645488631015,0.24806456905893293,24,0.5980744882085813,0.5348452776474211
L4,Vip_15,-5.7776509183265976e-05,5.921103983885825e-05,0.34083277497139575,-5.0800604450576595e-05,0.4024391347347479,4.249172912797668e-06,0.2304498182330777,0.12180098367454395,24,0.5982858582115916,0.5348452776474211
