stratum,celltype,merfish_mean,merfish_std,merfish_n_donors,xenium_mean,xenium_std,xenium_n_donors,diff,abs_diff,log2_ratio,abs_log2_ratio
L4,Astrocyte,0.15151675871090348,0.039779929053162355,27,0.10389309882487853,0.02476160617729128,12,-0.04762365988602495,0.04762365988602495,-0.5443339053493373,0.5443339053493373
L4,Chandelier,0.004363710216118401,0.0020968776954990707,27,0.00668817143050358,0.0014582828450381451,12,0.0023244612143851796,0.0023244612143851796,0.6149096637480547,0.6149096637480547
L4,Endothelial,0.07171159989124155,0.015295075855979301,27,0.1838467280073008,0.01679454739151699,12,0.11213512811605926,0.11213512811605926,1.358102395303982,1.358102395303982
L4,L2/3 IT,0.21867495844661333,0.10520217259705748,27,0.1910488193788137,0.026193511857211332,12,-0.02762613906779962,0.02762613906779962,-0.1948371377631734,0.1948371377631734
L4,L4 IT,0.08072798410669302,0.08968129643065492,27,0.017660797767096056,0.008575967999300535,12,-0.06306718633959696,0.06306718633959696,-2.1918803921971697,2.1918803921971697
L4,L5 ET,0.001426502353728065,0.0028224067512491006,27,0.001248580102338304,0.0005790674904111077,12,-0.00017792225138976085,0.00017792225138976085,-0.1907633169915755,0.1907633169915755
L4,L5 IT,0.01484393363344779,0.025306271478905903,27,0.0030548957551516094,0.0014344361894374487,12,-0.01178903787829618,0.01178903787829618,-2.276935127396119,2.276935127396119
L4,L5/6 NP,0.000866404147116043,0.0012904037492609728,27,0.00012814366085047235,0.00010994918550909845,12,-0.0007382604862655706,0.0007382604862655706,-2.6654269499892727,2.6654269499892727
L4,L6 CT,0.00011064877871605263,0.00035748731545400697,27,0.0,0.0,12,-0.00011064877871605263,0.00011064877871605263,-3.5927414066348757,3.5927414066348757
L4,L6 IT,0.005242615978860902,0.0036342058953349097,27,0.0004489818242852744,0.0002706081542853377,12,-0.004793634154575627,0.004793634154575627,-3.5165271832077916,3.5165271832077916
L4,L6 IT Car3,0.010340128971552077,0.006732696418506122,27,2.8272730411961738e-05,6.60311288375756e-05,12,-0.010311856241140116,0.010311856241140116,-8.079116201850201,8.079116201850201
L4,L6b,0.001197483033037253,0.0012826922921426401,27,0.011164747533805414,0.004765081244428794,12,0.009967264500768161,0.009967264500768161,3.210167415328354,3.210167415328354
L4,Lamp5,0.02167170983714782,0.008585106209801689,27,0.008334067389489141,0.001166302013661085,12,-0.01333764244765868,0.01333764244765868,-1.377655818567343,1.377655818567343
L4,Lamp5 Lhx6,0.012787403766597327,0.00708459086037476,27,0.0016592810707488047,0.0006247583005488348,12,-0.011128122695848522,0.011128122695848522,-2.9385523588104445,2.9385523588104445
L4,Microglia-PVM,0.1079488225605048,0.04890961225497575,27,0.08571349447643323,0.019707008665279805,12,-0.022235328084071568,0.022235328084071568,-0.3327185803434834,0.3327185803434834
L4,OPC,0.04032172744682752,0.013570413126014603,27,0.010355723347751233,0.0030223166369078066,12,-0.029966004099076286,0.029966004099076286,-1.9600944040305341,1.9600944040305341
L4,Oligodendrocyte,0.09899119378575726,0.03952552320940854,27,0.09221487851870042,0.011886168348968124,12,-0.00677631526705684,0.00677631526705684,-0.10228993818045944,0.10228993818045944
L4,Pax6,0.001883465845597929,0.0012228304239643667,27,0.001716482488780366,0.0007291053829050179,12,-0.00016698335681756302,0.00016698335681756302,-0.13319369665320396,0.13319369665320396
L4,Pvalb,0.03617493027976177,0.007758226631724567,27,0.018708287251511562,0.004338946466578114,12,-0.017466643028250208,0.017466643028250208,-0.9509405594394015,0.9509405594394015
