layer,subclass,outcome,n_samples,n_scz,n_ctrl,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,converged,fdr
L1,Sst,proportion,19,9,10,0.00100173245293423,0.0021131512590530557,1.0768988001590023,0.8150299128237404,0.379554797849856,2.147331340404105,0.04976370301192151,True,0.2853360457828836
L1,VLMC,proportion,24,12,12,0.04056599670867037,0.048702541838884644,0.2637261341730345,0.18660570122150988,0.15891449621731651,1.1742522278541883,0.2548026233417927,True,0.6489309511139887
L1,Vip,proportion,24,12,12,0.015358732396611957,0.01573098787254585,0.034550120858637665,0.04923535381767463,0.1315342452614461,0.3743158575913916,0.7123142004627284,True,0.8957244436956465
L2/3,Astrocyte,proportion,24,12,12,0.18261491091419413,0.18348494737522691,0.006857143603456713,-0.0162321961107994,0.0660022472176493,-0.24593399156959067,0.8083705080002054,True,0.9327352015386985
L2/3,Chandelier,proportion,24,12,12,0.02032767577697391,0.02074032998027497,0.028993577781874103,0.05023458660667268,0.07231923550154576,0.6946227550427986,0.4956989278982893,True,0.7710872211751166
L2/3,Endothelial,proportion,24,12,12,0.020331592441707343,0.06970099013594076,1.7774559338639868,1.0293101492203909,0.31025335507151547,3.317643894562004,0.0036185721519559908,True,0.12272731049617132
L2/3,L2/3 IT,proportion,24,12,12,0.3372381443384333,0.32979857107586136,-0.0321825778888338,-0.045297950733804354,0.06352339435976914,-0.7130908414190884,0.48445653664647276,True,0.7597202941852418
L2/3,L4 IT,proportion,24,12,12,0.008597965034825076,0.011074136686632416,0.3651270856222656,0.251608990090199,0.18635994834291258,1.3501237381072062,0.1928415363297848,True,0.5785246089893544
L2/3,L5 ET,proportion,24,12,12,0.007056616205253258,0.005923625963223901,-0.25249599982577225,-0.3135780848036642,0.20769517308981164,-1.5097995785779126,0.14754601672422535,True,0.5140211944811667
L2/3,L5 IT,proportion,24,12,12,0.028400473464567463,0.022907322558037454,-0.310106136961157,-0.19438414017249128,0.1186420335353921,-1.6384087020432312,0.11779063610201566,True,0.478456394325312
L2/3,L5/6 NP,proportion,18,10,8,0.00024278654435804238,0.000386959903693379,0.6724956166345902,0.5257225726616213,0.4834009534078941,1.0875497223482224,0.2965468197385068,True,0.6801382758263262
L2/3,L6 CT,proportion,23,11,12,0.0005746259977269381,0.0006999590828498818,0.28464732363107736,0.4564930923975551,0.34583517179290274,1.3199730091967565,0.2033854801335723,True,0.5911932416838778
L2/3,L6 IT,proportion,24,12,12,0.007000146528496966,0.007062259517005242,0.012744715656939427,-0.06345289232905571,0.2203415556692695,-0.2879751490195425,0.7764835395775392,True,0.9109583425211355
L2/3,L6 IT Car3,proportion,10,5,5,0.00010508535026882387,8.935572056152045e-05,-0.23392956138190674,-0.39172248721111025,0.4774487360819887,-0.8204493123715018,0.4492910517495314,True,0.7420942255573442
L2/3,L6b,proportion,21,10,11,0.00027313049570145456,0.000571589335629254,1.0653885961486704,0.4239092944094984,0.3740545705763363,1.1332819533693892,0.27379249252071747,True,0.6608784302224214
L2/3,Lamp5,proportion,24,12,12,0.020388761091823696,0.01908805339413614,-0.09510412997129858,-0.0851286667529616,0.06951089235712402,-1.2246809653312838,0.23566314366372992,True,0.6427176645374453
L2/3,Microglia-PVM,proportion,24,12,12,0.07442035125110781,0.06920817703326522,-0.10475469558093764,0.03015128905925868,0.16918589204188647,0.1782139674612699,0.8604413543556418,True,0.951014128498341
L2/3,OPC,proportion,24,12,12,0.03937309420688546,0.03742577846292771,-0.07317776887801104,-0.06242096056802093,0.07751176415229807,-0.8053095068946418,0.43060441970284435,True,0.7410713531528379
L2/3,Oligodendrocyte,proportion,24,12,12,0.09934765019377449,0.06559314521092867,-0.598940790366407,-0.5823045620801705,0.1465559368464551,-3.973258092507327,0.0008144553248420312,True,0.08551780910841326
L2/3,Pax6,proportion,24,12,12,0.010009569069099092,0.008726742330040817,-0.19786475955917293,-0.0980970833971544,0.11958896819960096,-0.8202853898147582,0.4222256700041239,True,0.7410713531528379
L2/3,Pvalb,proportion,24,12,12,0.02865543651870454,0.023378738704503247,-0.29361177572271757,-0.19562582559428043,0.07763782647668001,-2.5197231101393642,0.0208539462800908,True,0.2006762181910625
L2/3,Sncg,proportion,24,12,12,0.005398248504408625,0.006174466649789451,0.1938231303917933,0.1487098761332295,0.11766040361391894,1.2638905831157414,0.22155639531481117,True,0.6265645958263352
L2/3,Sst,proportion,24,12,12,0.037824369897059215,0.03391277565251589,-0.157487180107215,-0.11816746315813365,0.08623351732979967,-1.3703194165930024,0.1865620131724363,True,0.5771046554343288
L2/3,Sst Chodl,proportion,24,12,12,0.0010826552568640499,0.001012960373221375,-0.09599619037810106,-0.0624509710032477,0.17983823189059675,-0.34726192727049987,0.7322115354220404,True,0.9030234455446736
L2/3,VLMC,proportion,24,12,12,0.013871359541184597,0.028771204691169634,1.0525164359377583,0.7942471351176648,0.3316349752200096,2.3949438221669896,0.027088335949419815,True,0.20417979075925322
L2/3,Vip,proportion,24,12,12,0.057020926466758055,0.05453812246301604,-0.06422644545307997,-0.06316899171744339,0.07947388330387774,-0.7948396264457007,0.43652363631179314,True,0.7410713531528379
L4,Astrocyte,proportion,24,12,12,0.1535848903271119,0.15670823671393097,0.029044720259301948,-0.007396686319105061,0.08423067039579649,-0.08781464381499439,0.9309429415287728,True,0.9678119689160509
L4,Chandelier,proportion,24,12,12,0.021308750723269047,0.021375769210555704,0.0045303224146272724,0.003486711015627586,0.10552268366268648,0.0330422890567605,0.9739855146862358,True,0.9886484140164781
L4,Endothelial,proportion,24,12,12,0.010237131324239642,0.05784348123607825,2.4983428854744725,1.3728018841579326,0.42568986041846346,3.2248874399038656,0.00445822034449684,True,0.12272731049617132
L4,L2/3 IT,proportion,24,12,12,0.0416204945563577,0.03479165581877643,-0.25855276610094,-0.19550056733832588,0.19215875121094503,-1.0173909130150014,0.32174856650823996,True,0.6966218803221391
L4,L4 IT,proportion,24,12,12,0.18113472302852265,0.19400049309628617,0.09899718588070645,0.11387231558888433,0.10998956315792126,1.0353010987541453,0.31352636476234647,True,0.6966218803221391
L4,L5 ET,proportion,24,12,12,0.02808018207283229,0.024770950283417453,-0.18090307466444616,-0.15063614195574138,0.18991978359810152,-0.793156663839244,0.4374798169528869,True,0.7410713531528379
L4,L5 IT,proportion,24,12,12,0.1250017752322454,0.11416961417973708,-0.13076984985001375,-0.11923920240359681,0.07641854089501217,-1.5603438773767473,0.13518060436262466,True,0.5075267264275819
L4,L5/6 NP,proportion,21,12,9,0.0011256680078932334,0.0018699930343777252,0.7322514985748144,0.2557584169663949,0.3845209484962319,0.6651351973581777,0.5154379813878461,True,0.7843621455902007
L4,L6 CT,proportion,19,8,11,0.0012170244141439545,0.001752740945233625,0.5262546722545186,0.522838945242406,0.3792268170957775,1.3786971850947922,0.18962010107127944,True,0.5771046554343288
L4,L6 IT,proportion,24,12,12,0.011857224091453176,0.011942595698074758,0.010350139022668571,0.048021632349343424,0.21794792185654058,0.22033535323613962,0.827960204662726,True,0.9374128601919085
L4,L6 IT Car3,proportion,13,5,8,0.000700418608883725,0.00048137773902783996,-0.5410479871904945,-0.3767454558297627,0.3568240921806323,-1.0558296485178074,0.32188517003322303,True,0.6966218803221391
L4,L6b,proportion,14,7,7,0.0008445859075110857,0.0007456754529252286,-0.1796963251236662,-0.33764119638442003,0.35586835162936725,-0.9487811850604502,0.36751089451947344,True,0.7146045171211984
