pool,subclass,depth_bin,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,log2fc,coef,se,pval,fdr
Neuronal,L6 IT,0.7916666666666666,12,12,12.40668831641347,14.30851845209898,0.2057562265370621,0.18883318273930505,0.21606696145947552,0.3930545668563706,0.7464430765070523
Neuronal,L6 IT,0.875,12,12,25.700113774284983,24.28872158178559,-0.08148818941141588,-0.04290280474707009,0.2550761220234677,0.8682065172501168,0.9934366328029326
Neuronal,L6 IT,0.9583333333333333,11,12,6.401516303783078,6.342947284554694,-0.01326031933338539,0.05799937347136744,0.2297457542151966,0.8035533215348297,0.9871987498262608
Neuronal,L6 IT Car3,0.041666666666666664,12,11,0.0,0.0,,0.0,0.0,,
Neuronal,L6 IT Car3,0.125,12,12,0.0,0.0,,0.0,0.0,,
Neuronal,L6 IT Car3,0.20833333333333331,12,12,0.0,0.0016664611785092355,,0.002004868542091409,0.0016440438396116116,0.23758713215851723,0.6906662963015056
Neuronal,L6 IT Car3,0.29166666666666663,12,12,0.009952193468226558,0.0072574481324138235,-0.45555217515794955,-4.0188357727432775e-06,0.00820759044390928,0.9996144214605737,0.9996144214605737
Neuronal,L6 IT Car3,0.375,12,12,0.0032496987219806576,0.008355480153063841,1.362416763299788,0.005457485681410688,0.005546844538978396,0.3375335050862185,0.7094688403864788
Neuronal,L6 IT Car3,0.4583333333333333,12,12,0.012425903121768648,0.02854312856352217,1.1997927633158407,0.01682031165126844,0.011195532559601346,0.14942914641252059,0.5783812447361869
Neuronal,L6 IT Car3,0.5416666666666666,12,12,0.10195100016954682,0.1464817671451918,0.5228451722288745,0.047652363452379304,0.029600766221156607,0.12392290364601379,0.5130408210944971
Neuronal,L6 IT Car3,0.625,12,12,0.5945350492075251,0.859528401885859,0.5317834496174996,0.16796642675913395,0.07891683006140336,0.04661049236536431,0.32338141408849497
Neuronal,L6 IT Car3,0.7083333333333333,12,12,1.369217990264809,2.1651202863991448,0.6610950249243321,0.29385973329039694,0.1291331963437205,0.034636551447146426,0.32338141408849497
Neuronal,L6 IT Car3,0.7916666666666666,12,12,5.444919685449171,6.9159331150106915,0.3450131477140854,0.20013244424452145,0.21099655165400855,0.3547789144072015,0.7094688403864788
Neuronal,L6 IT Car3,0.875,12,12,3.250585935048305,3.097705814898831,-0.06949965512136817,-0.06553234309823266,0.19387261699646005,0.739056209716692,0.968257186147818
Neuronal,L6 IT Car3,0.9583333333333333,11,12,0.1216733794319635,0.128269807704837,0.076168067680081,0.0016833293611282878,0.05147031821073124,0.9742698797370102,0.9934366328029326
Neuronal,L6b,0.041666666666666664,12,11,0.0,0.0,,0.0,0.0,,
Neuronal,L6b,0.125,12,12,0.002144699624262472,0.0023891141375296967,0.155700173415752,-0.00029290041282650043,0.0033333145244461627,0.9308990414160144,0.9934366328029326
Neuronal,L6b,0.20833333333333331,12,12,0.007792564571049439,0.011791720448638554,0.597604117834325,0.001927735171811709,0.00839603597697598,0.8208557248617843,0.9871987498262608
Neuronal,L6b,0.29166666666666663,12,12,0.03147747011953457,0.0435548006899558,0.4685121496342885,0.011371379553383215,0.02312613497742507,0.6285560564165289,0.9504625534981306
Neuronal,L6b,0.375,12,12,0.0405776170237984,0.05029943233894473,0.3098579750547383,0.001585044147842583,0.013641577965530133,0.9087195868197081,0.9934366328029326
Neuronal,L6b,0.4583333333333333,12,12,0.021225674439457415,0.04134657394289319,0.9619573941368801,0.019184163482850694,0.010296307709514384,0.07796584275496214,0.4138187038532606
Neuronal,L6b,0.5416666666666666,12,12,0.053527716258434214,0.10954162710203302,1.0331212080526808,0.05716896838053068,0.02099632121094472,0.013507234298271699,0.2329997916451868
Neuronal,L6b,0.625,12,12,0.16562658793728746,0.27118307859590146,0.7113328729448385,0.09234743212237878,0.04436654723317076,0.051155006066131534,0.32338141408849497
Neuronal,L6b,0.7083333333333333,12,12,0.3954862718297416,0.9774020041663344,1.305324446287321,0.35698259909616115,0.08202126092769607,0.0003429809096743868,0.07099704830259808
Neuronal,L6b,0.7916666666666666,12,12,3.6766476546793307,5.436755408909114,0.5643550000887625,0.31901313764017014,0.2076941746961135,0.14103012063013232,0.5702919268112315
Neuronal,L6b,0.875,12,12,12.891421261341378,12.269661702232876,-0.07131585587865161,0.0403545752134421,0.24242714785253405,0.8695531422400392,0.9934366328029326
Neuronal,L6b,0.9583333333333333,11,12,12.445817520323304,10.893394896827814,-0.19220736269586725,-0.022838873138061766,0.29080377872197843,0.9382673526621188,0.9934366328029326
Neuronal,Lamp5,0.041666666666666664,12,11,3.746685988555763,4.222013861698592,0.17231624553237623,0.0671000813499182,0.1475286751662474,0.6546711361516769,0.9504625534981306
Neuronal,Lamp5,0.125,12,12,3.5618094968008442,3.4160129068432306,-0.06029693007758399,-0.05014805193980887,0.11356561985712249,0.6637792944374702,0.9504625534981306
Neuronal,Lamp5,0.20833333333333331,12,12,2.7140712518852017,2.555694778878957,-0.08674304738103959,-0.05401126880099688,0.12832281713702884,0.6785497002220289,0.9620533420956162
Neuronal,Lamp5,0.29166666666666663,12,12,1.925697457703987,1.539507661805285,-0.3229120147970851,-0.14369883077498055,0.08278045512117758,0.09877026112828417,0.4642143428218265
Neuronal,Lamp5,0.375,12,12,1.5642679746275858,1.228925523677147,-0.34809019478824405,-0.16344482491531692,0.07704512023282685,0.04726241611168281,0.32338141408849497
Neuronal,Lamp5,0.4583333333333333,12,12,1.0437781866776594,1.026001871905326,-0.024781794233842826,0.008646569661148934,0.08305552211732592,0.9181763933056515,0.9934366328029326
Neuronal,Lamp5,0.5416666666666666,12,12,1.7682642898908545,1.8650653240073192,0.07689224161695223,0.01199609255311522,0.12363695895364199,0.9237213360957219,0.9934366328029326
Neuronal,Lamp5,0.625,12,12,1.0811915738966642,1.0830556672841236,0.0024852234067365233,-0.040397787056673004,0.10863331091558426,0.714102490898561,0.968257186147818
Neuronal,Lamp5,0.7083333333333333,12,12,0.33937055250260556,0.592683926191083,0.8044015452834757,0.14500639398798942,0.0854233971792475,0.10592159755136346,0.4642143428218265
Neuronal,Lamp5,0.7916666666666666,12,12,0.7778968149853848,1.0896411020264385,0.48620232387975676,0.15174530306931341,0.1161868336982471,0.2071287228994275,0.6496309945482045
Neuronal,Lamp5,0.875,12,12,1.6758752678916329,1.9695135096976,0.23292453694898507,0.13524932299558157,0.15798599881672637,0.40261903651029096,0.7576558232511839
Neuronal,Lamp5,0.9583333333333333,11,12,1.7383190762963059,1.949473423276537,0.16539156730729845,0.0748573647545473,0.1854149477986214,0.691168091193696,0.966701316737129
Neuronal,Lamp5 Lhx6,0.041666666666666664,12,11,0.0,0.0,,0.0,0.0,,
Neuronal,Lamp5 Lhx6,0.125,12,12,0.01322535033390062,0.0022764530926181214,-2.5384463018538015,-0.006621677245580703,0.006838300304643056,0.3450491120495967,0.7094688403864788
Neuronal,Lamp5 Lhx6,0.20833333333333331,12,12,0.0019218574916617592,0.0021072924541516054,0.13288918579321443,-0.0003056437763000275,0.002715692249266687,0.9115700808135337,0.9934366328029326
Neuronal,Lamp5 Lhx6,0.29166666666666663,12,12,0.00735980459901892,0.003414975951293178,-1.1077920446921679,-0.0032051591658136995,0.004851918398930122,0.5168013068827508,0.8697387847538978
Neuronal,Lamp5 Lhx6,0.375,12,12,0.012325421800438502,0.031144533549785275,1.3373419460697702,0.014826044881131635,0.015920780063415203,0.3634127874421462,0.7096834622690968
Neuronal,Lamp5 Lhx6,0.4583333333333333,12,12,0.0016221323331324453,0.00163960477606815,0.01545657853245296,-0.0005976571955398454,0.002254567886151726,0.7937968926297303,0.9839278848763723
Neuronal,Lamp5 Lhx6,0.5416666666666666,12,12,0.0,0.02826512143825265,,0.02549220323184577,0.01509676477001766,0.10764390558187281,0.4642143428218265
Neuronal,Lamp5 Lhx6,0.625,12,12,0.0013502378840004273,0.019072539335168535,3.820211430342319,0.015228725894503511,0.015867361070720298,0.34923543417578945,0.7094688403864788
Neuronal,Lamp5 Lhx6,0.7083333333333333,12,12,0.0016944206007549689,0.09382011276804354,5.791033294957634,0.05497034352178346,0.06493488145088243,0.4077847966035987,0.7598699613643161
Neuronal,Lamp5 Lhx6,0.7916666666666666,12,12,0.0936415813971812,0.5371118967269496,2.520001473066915,0.07948396816977246,0.17405031828814443,0.6530842503876694,0.9504625534981306
Neuronal,Lamp5 Lhx6,0.875,12,12,1.1508856340994658,4.633188657457937,2.0092609512616315,-0.015852738537335653,0.3826590771370761,0.9673870698370682,0.9934366328029326
Neuronal,Lamp5 Lhx6,0.9583333333333333,11,12,3.9833584010465843,6.387447908548878,0.6812543290709608,-0.13001172336188382,0.435286171671129,0.7686041727763371,0.9746004989284975
