pool,region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
Neuronal,L4,L5 ET,proportion,12,12,0.050272507848456514,0.045131524782522275,-0.15563413852495694,-0.15910036987129628,0.34392473250548294,0.7683765441160934
Neuronal,L4,L5 IT,proportion,12,12,0.22322333705313935,0.2077071721221945,-0.10393682944196063,-0.1086048640046896,0.167428473336286,0.6210613014206106
Neuronal,L4,L5/6 NP,proportion,12,12,0.0017318951527538378,0.0032437796148701774,0.9053242116085316,0.5185036934458469,0.16893570384726037,0.6210613014206106
Neuronal,L4,L6 CT,proportion,12,12,0.002692704901087259,0.003091122863279075,0.19907486766175322,0.028865466613839263,0.9429916218767983,0.9696800640053869
Neuronal,L4,L6 IT,proportion,12,12,0.029538563555006694,0.029563433993801333,0.0012141877540431272,0.027165278697517614,0.9055150732713729,0.9536342317543928
Neuronal,L4,L6 IT Car3,proportion,9,6,0.0007454485367903502,0.0007435417288748042,-0.0036950460871680918,0.07322349381977578,0.8456143387069022,0.9453534658364342
Neuronal,L4,L6b,proportion,9,11,0.0008649173521016508,0.0014270235227045965,0.7223749295184658,0.34250915181017416,0.24130161878775427,0.7226100648435971
Neuronal,L4,Lamp5,proportion,12,12,0.034490991526903915,0.03138483638240857,-0.1361519153669312,-0.12301009077954206,0.13538389554937838,0.6193648036982395
Neuronal,L4,Pax6,proportion,12,12,0.0032172078580554805,0.0030204277906285062,-0.09105625247819851,0.059625482800221175,0.8332758051220415,0.9453534658364342
Neuronal,L4,Pvalb,proportion,12,12,0.0816019339182034,0.07071863479286457,-0.2065129195332686,-0.13652391611479608,0.10872760541108331,0.6094769492324698
Neuronal,L4,Sncg,proportion,12,12,0.0023414790658771493,0.0045240531212219276,0.9501957298854681,0.7492897913238025,0.003996187777821433,0.2177922338912681
Neuronal,L4,Sst,proportion,12,12,0.0755091312702013,0.08118483244627334,0.10455909841483448,0.10833001108327123,0.22350250356770957,0.7114766701357532
Neuronal,L4,Sst Chodl,proportion,11,11,0.0014866301180401704,0.0013010240158917497,-0.19239814804239255,-0.1851486285700581,0.559279474958455,0.862154909003488
Neuronal,L4,Vip,proportion,12,12,0.060303629719228265,0.05567032036600852,-0.11533645609496306,-0.12371291132870949,0.06555219305385211,0.6094769492324698
Neuronal,L5,Chandelier,proportion,12,12,0.025244767438932766,0.024811238264188584,-0.024990648811500434,-0.012564949068330833,0.8998136127599166,0.9522299397168049
Neuronal,L5,L2/3 IT,proportion,12,12,0.008112144607974218,0.009673337807120543,0.25393041058828897,0.12519053849264938,0.5919590737220679,0.8720718851898009
Neuronal,L5,L4 IT,proportion,12,12,0.1973576116462549,0.18883818054663273,-0.06366167408462609,-0.062145574067656306,0.29538287439742916,0.7267361058138609
Neuronal,L5,L5 ET,proportion,12,12,0.05312770807524384,0.044411572690235886,-0.258528815889091,-0.22171201895654075,0.10250645693092099,0.6094769492324698
Neuronal,L5,L5 IT,proportion,12,12,0.3616510900340604,0.356033223444781,-0.022586626631554207,-0.03011171461110909,0.6782968246668096,0.9081460845880348
Neuronal,L5,L5/6 NP,proportion,12,12,0.0564808153601779,0.06799922312375832,0.2677573483971251,0.23742089931657895,0.03947533653126943,0.5062131390480432
Neuronal,L5,L6 CT,proportion,12,12,0.012917202887695661,0.019195750457493093,0.57149326312194,0.5241227568139888,0.03524667748642696,0.5062131390480432
Neuronal,L5,L6 IT,proportion,12,12,0.020438313051795998,0.024657372006268594,0.270742921582388,0.1386108000773406,0.45042524162568365,0.8125630816587377
Neuronal,L5,L6 IT Car3,proportion,12,12,0.010077889712867265,0.01432621160661996,0.507463583369567,0.4027070994461486,0.029036418054844495,0.5062131390480432
Neuronal,L5,L6b,proportion,12,11,0.001466232024877722,0.003393705682804951,1.2107480316095947,0.8658978126712434,0.00033797685172401063,0.07367895367583431
Neuronal,L5,Lamp5,proportion,12,12,0.021190995950333334,0.018602381972646385,-0.18796402874311846,-0.19637189628358365,0.122899833576306,0.6094769492324698
Neuronal,L5,Pax6,proportion,12,12,0.0016080920543637973,0.001300563520472467,-0.3062131319001195,-0.33765583244495323,0.2466738744897435,0.7226100648435971
Neuronal,L5,Pvalb,proportion,12,12,0.09000437209276484,0.07446500729037468,-0.2734324527794293,-0.19518263400760816,0.016653472062581862,0.4033841010714273
Neuronal,L5,Sncg,proportion,12,12,0.0015686824027343605,0.003284143087783582,1.0659636935313752,1.0174583403174884,0.008844295675401521,0.2754366367482188
Neuronal,L5,Sst,proportion,12,12,0.10638436495666405,0.11941647592736672,0.16671576226134663,0.12031716269845988,0.05470035243461418,0.5537780492848163
Neuronal,L5,Sst Chodl,proportion,11,12,0.0011969082015521526,0.0015183743854614816,0.34321505269534686,0.27489430299880335,0.2552338302429219,0.7226100648435971
Neuronal,L5,Vip,proportion,12,12,0.031272551851836174,0.028356046992891373,-0.14124052247173763,-0.15921000953597586,0.05588585818470624,0.5537780492848163
Neuronal,L6,Chandelier,proportion,12,12,0.016861943598380977,0.020691231924613376,0.2952487049723948,0.25892130637928196,0.10992223550154098,0.6094769492324698
Neuronal,L6,L2/3 IT,proportion,12,12,0.012846984752407295,0.021079971296407013,0.7144431106725037,0.41340296477294103,0.12913454498054064,0.6147062536374521
Neuronal,L6,L4 IT,proportion,12,12,0.03327058347684332,0.03479582867859306,0.06466719881729033,0.06256500567557488,0.6998556982146323,0.9081460845880348
Neuronal,L6,L5 ET,proportion,12,11,0.004623222471323122,0.0032388070162093084,-0.5134362793652976,-0.2697848803506788,0.296695015676301,0.7267361058138609
Neuronal,L6,L5 IT,proportion,12,12,0.019969273749489952,0.022086494147165753,0.14538256849955916,0.032370640002713724,0.8435575333364947,0.9453534658364342
Neuronal,L6,L5/6 NP,proportion,12,12,0.02836666763734476,0.025100375097848113,-0.17648775670978442,-0.1160537373377244,0.3238462753154396,0.7499256078056952
Neuronal,L6,L6 CT,proportion,12,12,0.15300314628310577,0.1464635818903501,-0.06301933640226683,-0.06019472508985868,0.1691749532792966,0.6210613014206106
Neuronal,L6,L6 IT,proportion,12,12,0.3409443346240933,0.3207941467606308,-0.08788839373205465,-0.08392428278791988,0.24646225801760627,0.7226100648435971
Neuronal,L6,L6 IT Car3,proportion,12,12,0.09905450172412329,0.0984817852864739,-0.00836562731936034,-0.019172325503864385,0.8331436039666911,0.9453534658364342
Neuronal,L6,L6b,proportion,12,12,0.12448551682621273,0.13555646119674394,0.1229159770005213,0.10075449010725462,0.3454169785476016,0.7683765441160934
Neuronal,L6,Lamp5,proportion,12,12,0.021898548128652537,0.02495958247918249,0.18875857870369697,0.1539221383940914,0.04223870155265357,0.5115576076932488
Neuronal,L6,Lamp5 Lhx6,proportion,6,4,0.004959699020346338,0.04126987701497327,3.056764660752467,0.025408752229622356,0.9837158107281122,0.9857100571227877
Neuronal,L6,Pax6,proportion,5,9,0.0016301638258016955,0.0011835784652070294,-0.4618616050266214,-0.48074236706923257,0.18355692399614487,0.6352322502077694
Neuronal,L6,Pvalb,proportion,12,12,0.04657662399706943,0.037325715027551935,-0.31943617528402213,-0.23083439159311858,0.04534552659394238,0.5202802524989177
Neuronal,L6,Sncg,proportion,11,12,0.0029874549999886796,0.00497795504409845,0.7366362194489695,0.6872280147889124,0.09011047743561236,0.6094769492324698
Neuronal,L6,Sst,proportion,12,12,0.07947759081892546,0.07603548923908848,-0.06387519376971122,-0.06025966248215453,0.4524643563969519,0.8125630816587377
Neuronal,L6,Sst Chodl,proportion,12,11,0.0028986136200763474,0.0031951618533508507,0.14052597624619576,0.11061559207134941,0.6774176394934001,0.9081460845880348
Neuronal,L6,Vip,proportion,12,12,0.00982486343770485,0.011109267613592759,0.177254449512593,0.1668912908799316,0.22329974292947394,0.7114766701357532
Neuronal,WM,Chandelier,proportion,11,12,0.009230645526029315,0.007538248840689766,-0.292202123537206,-0.13823377993286706,0.503928906752976,0.8282634983541812
Neuronal,WM,L2/3 IT,proportion,10,12,0.010415423011885621,0.013991516966002955,0.4258309543998791,0.2694644964257068,0.25355091730436863,0.7226100648435971
Neuronal,WM,L4 IT,proportion,7,12,0.010326089025241693,0.00630155304401693,-0.7125146055484985,-0.45542966043237043,0.2911489795773335,0.7267361058138609
Neuronal,WM,L5 IT,proportion,5,4,0.0038889435297325874,0.002007449722051238,-0.954014431037911,-0.9327070644394624,0.12164619191054463,0.6094769492324698
Neuronal,WM,L5/6 NP,proportion,11,11,0.009350606566142597,0.010476561804375291,0.16403347163784654,0.14502184648542193,0.6261348025445358,0.8806283029336053
Neuronal,WM,L6 CT,proportion,12,12,0.1640276346014223,0.19728812108203397,0.2663651987750035,0.25556398279720693,0.19679575503163654,0.6703355405765119
Neuronal,WM,L6 IT,proportion,12,12,0.24446169819487637,0.20107184524993638,-0.28189735928604664,-0.25451532225646667,0.37915464776771807,0.8024826525569179
Neuronal,WM,L6 IT Car3,proportion,7,10,0.004214385871579787,0.004210120691349564,-0.0014608226241911374,-0.04521529456541534,0.8973097165924845,0.9522299397168049
Neuronal,WM,L6b,proportion,12,12,0.3144251620939117,0.3137563272808515,-0.003072121827581276,0.045400397383660585,0.8790887524105643,0.9522299397168049
Neuronal,WM,Lamp5,proportion,12,12,0.056387648482116935,0.053898954006527035,-0.06512190441296065,-0.022670852677924958,0.8786536704773392,0.9522299397168049
Neuronal,WM,Lamp5 Lhx6,proportion,9,10,0.1128071798139451,0.08594936154671118,-0.39230006539795786,-0.749956157235885,0.36692205856753823,0.7842059683110131
Neuronal,WM,Pax6,proportion,10,11,0.004863134516137955,0.0070759982034378525,0.541047184116651,0.29805062179421227,0.2818776432296428,0.7229332496948486
Neuronal,WM,Pvalb,proportion,12,11,0.01805306577051169,0.015950400089942852,-0.17865124418854808,-0.335671946969601,0.3218645856645285,0.7499256078056952
Neuronal,WM,Sncg,proportion,9,10,0.0066551703713165836,0.010851636829118865,0.7053651664891422,0.6624704700165969,0.1709343031432873,0.6210613014206106
Neuronal,WM,Sst,proportion,11,12,0.042415719107690195,0.04876739065868599,0.20131776049743488,0.19705876765427682,0.27817140458267803,0.7229332496948486
Neuronal,WM,Sst Chodl,proportion,10,11,0.019883640021686886,0.02182905267216807,0.1346676325053505,0.05320955957391482,0.7944035097170045,0.9379739694687307
Neuronal,WM,Vip,proportion,12,12,0.017449597906943875,0.02173719464720966,0.3169719688124673,0.30921389697787205,0.22519215706131637,0.7114766701357532
Neuronal,Vascular,Chandelier,proportion,12,11,0.051614025400222474,0.03645988856219894,-0.5014529995621002,-0.3512242159382826,0.10604191349196353,0.6094769492324698
Neuronal,Vascular,L2/3 IT,proportion,12,11,0.32650542257367016,0.30538752611745884,-0.09646581721961042,-0.03290742635760908,0.8142720591613131,0.9442090898785438
Neuronal,Vascular,L4 IT,proportion,12,11,0.09740989881966271,0.10269022132818856,0.07615851570364718,0.022019062806313078,0.9212460814911502,0.9640576104496197
Neuronal,Vascular,L5 ET,proportion,12,7,0.029720663839048533,0.03232068611918998,0.12099148445400054,0.17086553305645935,0.6915102711859233,0.9081460845880348
Neuronal,Vascular,L5 IT,proportion,12,11,0.0835486502581226,0.0895890368204238,0.10070567626379512,0.14157531088200784,0.6180536418500636,0.8803041882939006
