pool,subclass,depth_bin,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,fdr
Neuronal,L5 IT,0.7916666666666666,12,12,0.02542403852846499,0.027201212930048933,0.09747776805444372,-0.02692899687571193,0.15061176994593845,-0.1787974265582165,0.8599895385829925,0.9401303223657606
Neuronal,L5 IT,0.875,12,12,0.006884736333087269,0.006887998436472826,0.0006834111807068827,-0.09338706399804309,0.30806032846100434,-0.303145375662561,0.7650733006671123,0.9161259185409056
Neuronal,L5 IT,0.9583333333333333,11,12,0.0019206195592673626,0.0007438794556852729,-1.3684310156812343,-2.0151888874583226,1.3329620353236373,-1.5118126653690054,0.14793954219980615,0.5490760401205885
Neuronal,L5/6 NP,0.041666666666666664,12,11,0.0,0.0,,1.1102230246251565e-15,3.379029047939581e-15,0.32856273470100333,0.7462778052916658,0.9161259185409056
Neuronal,L5/6 NP,0.125,12,12,4.770082045411181e-05,5.250997689561017e-05,0.1385774800815778,0.06253852899150947,0.7897844795189853,0.07918429725233177,0.9377140807296165,0.9715191049165096
Neuronal,L5/6 NP,0.20833333333333331,12,12,8.303840940542227e-05,0.00015337793531230333,0.8852402397678907,0.22887976937229682,1.1761681564620114,0.194597828647888,0.8477734569784225,0.9401303223657606
Neuronal,L5/6 NP,0.29166666666666663,12,12,0.00019871529009597415,0.0005064394388871353,1.349686874126857,1.8057952106014232,1.3913055930801093,1.2979141459524401,0.2098529755604156,0.5964242463296022
Neuronal,L5/6 NP,0.375,12,12,0.0006511039910155974,0.0015689478162133816,1.2688374817160573,1.366586957565691,1.1410666764796533,1.1976398800653776,0.2457853029541798,0.6631366851777297
Neuronal,L5/6 NP,0.4583333333333333,12,12,0.0019613615626039387,0.0036443578406246888,0.8938091144831846,1.1858394389557498,0.7043710739837712,1.6835436359544085,0.10862885352472886,0.499230475773222
Neuronal,L5/6 NP,0.5416666666666666,12,12,0.011949088155780057,0.018194896120363027,0.6066332852379277,0.3683995817391864,0.19082212517450867,1.9305915464586796,0.06859549465900007,0.4142905371945691
Neuronal,L5/6 NP,0.625,12,12,0.07086181494712655,0.08192635248763297,0.20931916787556987,0.20098824031262214,0.12207768071600074,1.646396287460584,0.11612305293629478,0.5016515886847934
Neuronal,L5/6 NP,0.7083333333333333,12,12,0.0853882083942561,0.08664111351548494,0.02101492868501441,-0.010474197293206977,0.09241979109557498,-0.11333283887620124,0.91095562262229,0.9646701250828701
Neuronal,L5/6 NP,0.7916666666666666,12,12,0.028962477288461574,0.026643110083123398,-0.12042250795887152,-0.10514410333875523,0.14040350339708904,-0.7488709383653113,0.46310591694265796,0.7505057136003238
Neuronal,L5/6 NP,0.875,12,12,0.017134958308085004,0.013633759015806823,-0.32975929361624023,-0.2001746373587755,0.19809314807221434,-1.010507628894879,0.3249486704577969,0.6949397308800409
Neuronal,L5/6 NP,0.9583333333333333,11,12,0.00872215284949698,0.011228049946581995,0.36435120867306825,-0.24422785444273376,0.8521052107420416,-0.28661701790328453,0.7776785492985511,0.9161259185409056
Neuronal,L6 CT,0.041666666666666664,12,11,0.0,0.00027800945232137893,,0.5975985409530146,0.7285906927028735,0.8202116043180382,0.4228246967870989,0.7505057136003238
Neuronal,L6 CT,0.125,12,12,4.770082045411181e-05,0.0,,-0.598644284215972,0.5218302900338238,-1.1472011028282192,0.2655398123002558,0.6631366851777297
Neuronal,L6 CT,0.20833333333333331,12,12,0.0002842841919060881,0.00045646922503669537,0.6831837197991446,0.78549890106032,1.4633513898483448,0.5367807804123694,0.5976491678969243,0.8705460346747663
Neuronal,L6 CT,0.29166666666666663,12,12,0.0005187460645422173,0.0008672189864133217,0.7413678561974368,2.6068139005441147,1.1903456652908986,2.189963786617442,0.041205802591699064,0.3869762330350869
Neuronal,L6 CT,0.375,12,12,0.002222830632127281,0.002557788324220871,0.2024988486807058,0.18706109725393683,1.002383136965373,0.18661636489640865,0.8539395943190548,0.9401303223657606
Neuronal,L6 CT,0.4583333333333333,12,12,0.004083821110091359,0.005568681930844331,0.447416220857139,0.5416113849708477,1.027466006988924,0.5271331423976601,0.6042022108101448,0.8705460346747663
Neuronal,L6 CT,0.5416666666666666,12,12,0.004789011405317896,0.007639554763577842,0.6737606884025634,0.5341169453489152,0.2848837756509068,1.8748591215086106,0.07626913900458421,0.4142905371945691
Neuronal,L6 CT,0.625,12,12,0.01292185583757844,0.02158472000993475,0.7401970938975161,0.6041456320336837,0.22893811029907488,2.6389037248733023,0.016181389869549593,0.2973839990281474
Neuronal,L6 CT,0.7083333333333333,12,12,0.09431038798700632,0.09985909312274749,0.08247711690474975,0.1423314302056447,0.18185211686282,0.7826767851870117,0.44346324403962173,0.7505057136003238
Neuronal,L6 CT,0.7916666666666666,12,12,0.16337372789703175,0.15891732707466238,-0.03989956938339207,-0.04293271518916941,0.05653265370795093,-0.7594321577571941,0.45691367412123685,0.7505057136003238
