region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
WM,L5 IT,proportion,5,4,0.0002231617463009549,0.00012121229929784866,-0.880553650875889,-0.4092486415787069,0.6277155053981843,0.9016555068705658
WM,L5/6 NP,proportion,11,11,0.0005428997292210455,0.0005296563364066596,-0.03562918307164364,-0.04564604138218531,0.8892898412941848,0.9502941239120117
WM,L6 CT,proportion,12,12,0.010885238067745093,0.010676451000499016,-0.027940805622511118,-0.04454008169975521,0.7788358029213535,0.9152078306702286
WM,L6 IT,proportion,12,12,0.027275374519249718,0.015270143867936454,-0.8368853518115361,-0.43201543772768225,0.24153177768127324,0.7650860729300396
WM,L6 IT Car3,proportion,7,10,0.00025107137656544285,0.0002267465525395496,-0.14701694714532335,-0.4481329588400199,0.21356586994249635,0.7421808503070517
WM,L6b,proportion,12,12,0.020819542277661276,0.01819939975417455,-0.19404748223167423,-0.20903653445198744,0.3620915933200597,0.823748561724412
WM,Lamp5,proportion,12,12,0.005233929684741166,0.0030258150483194663,-0.7905707365031248,-0.27828814177276984,0.286273927950644,0.7650860729300396
WM,Lamp5 Lhx6,proportion,9,10,0.008522913975392865,0.01040154515090301,0.2873791809909161,-0.8568707111732745,0.295354006766476,0.7756253047258761
WM,Microglia-PVM,proportion,12,12,0.062177993727076275,0.06197067913009557,-0.004818287817244166,0.07075155780986941,0.670237650315127,0.9016555068705658
WM,OPC,proportion,12,12,0.03376720603712087,0.03792150869857166,0.16739354972021175,0.13635491180999287,0.07831243464893015,0.637147843060245
WM,Oligodendrocyte,proportion,12,12,0.6595066566307043,0.6690533712712742,0.02073407997199129,0.057608093698268734,0.6605926253826372,0.9016555068705658
WM,Pax6,proportion,10,11,0.0003261137338994967,0.00034559616361307577,0.0837120027657076,0.16012242667035448,0.6142709635200407,0.9016555068705658
WM,Pvalb,proportion,12,11,0.002012057733030559,0.001498884815071723,-0.4247821811072782,-0.567978523687718,0.27834800487662686,0.7650860729300396
WM,Sncg,proportion,9,10,0.00035660098709190403,0.0004397640761775799,0.3024190604741911,0.5216417679063072,0.1581836386301734,0.654403546113868
WM,Sst,proportion,11,12,0.0025047360456610813,0.0027547476676102085,0.1372615980893133,0.06295845918642695,0.7404323367678819,0.9016555068705658
WM,Sst Chodl,proportion,10,11,0.00120517238482413,0.0011205438951650364,-0.10504035590654458,-0.09167767831953166,0.7332583143316144,0.9016555068705658
WM,VLMC,proportion,11,12,0.020957308048671363,0.023086267715028298,0.13958154032795292,0.12032143194993788,0.594769928465575,0.8955564080918952
