celltype,level,subclass,panel,topN,n_in_panel,genes_in_panel
L5 ET,subclass,L5 ET,MERFISH_180,50,10,GRM8; TAFA1; SORCS1; SLIT3; TOX; PEX5L; NRG1; SV2C; HS3ST2; MEIS2
L5 ET,subclass,L5 ET,MERSCOPE_250,10,2,ESRRG; COL24A1
L5 ET,subclass,L5 ET,MERSCOPE_250,20,4,ESRRG; COL24A1; SORCS1; SLIT3
L5 ET,subclass,L5 ET,MERSCOPE_250,50,15,ESRRG; COL24A1; SORCS1; SLIT3; SEMA3D; TOX; NRG1; NTNG1; SV2C; TESPA1; ERG; CDH22; COL21A1; GULP1; NDST3
L5 ET,subclass,L5 ET,MERSCOPE_4K,10,4,ESRRG; CABP1; SULF2; COL24A1
L5 ET,subclass,L5 ET,MERSCOPE_4K,20,10,ESRRG; CABP1; SULF2; COL24A1; SORCS1; HOMER1; IQSEC1; SLIT3; PCSK6; DGKH
L5 ET,subclass,L5 ET,MERSCOPE_4K,50,25,ESRRG; CABP1; SULF2; COL24A1; SORCS1; HOMER1; IQSEC1; SLIT3; PCSK6; DGKH; CDH20; SEMA3D; TOX; PEX5L; NRG1; FAT3; NTNG1; SV2C; TESPA1; ERG; CDH22; RNF152; COL21A1; GULP1; NDST3
L5 ET,subclass,L5 ET,Xenium_5K,10,3,ESRRG; CHST8; SULF2
L5 ET,subclass,L5 ET,Xenium_5K,20,6,ESRRG; CHST8; SULF2; SORCS1; IQSEC1; SLIT3
L5 ET,subclass,L5 ET,Xenium_5K,50,17,ESRRG; CHST8; SULF2; SORCS1; IQSEC1; SLIT3; SEMA3D; BCL11B; TOX; FAT3; SV2C; ERG; CDH22; RAPGEF5; STK39; HS3ST2; MEIS2
L5 IT,subclass,L5 IT,Xenium_v1,10,4,HS3ST2; RORB; RXFP1; FSTL4
L5 IT,subclass,L5 IT,Xenium_v1,20,4,HS3ST2; RORB; RXFP1; FSTL4
L5 IT,subclass,L5 IT,Xenium_v1,50,7,HS3ST2; RORB; RXFP1; FSTL4; LRRK1; ANO3; POU6F2
L5 IT,subclass,L5 IT,MERFISH_180,10,3,HS3ST2; RORB; CLSTN2
L5 IT,subclass,L5 IT,MERFISH_180,20,6,HS3ST2; RORB; CLSTN2; FOXP2; TLL1; NRG1
L5 IT,subclass,L5 IT,MERFISH_180,50,10,HS3ST2; RORB; CLSTN2; FOXP2; TLL1; NRG1; LRRK1; NKAIN2; TOX; DACH1
L5 IT,subclass,L5 IT,MERSCOPE_250,10,3,IL1RAPL2; FSTL4; CLSTN2
L5 IT,subclass,L5 IT,MERSCOPE_250,20,8,IL1RAPL2; FSTL4; CLSTN2; TLL1; PHACTR1; KHDRBS3; EPHA3; NRG1
L5 IT,subclass,L5 IT,MERSCOPE_250,50,14,IL1RAPL2; FSTL4; CLSTN2; TLL1; PHACTR1; KHDRBS3; EPHA3; NRG1; LRRK1; DNAH6; POU6F2; PDE1A; TOX; DACH1
L5 IT,subclass,L5 IT,MERSCOPE_4K,10,5,IL1RAPL2; CASC15; RORB; FSTL4; CLSTN2
L5 IT,subclass,L5 IT,MERSCOPE_4K,20,12,IL1RAPL2; CASC15; RORB; FSTL4; CLSTN2; IPCEF1; TLL1; PHACTR1; KHDRBS3; AGBL4; EPHA3; NRG1
L5 IT,subclass,L5 IT,MERSCOPE_4K,50,31,IL1RAPL2; CASC15; RORB; FSTL4; CLSTN2; IPCEF1; TLL1; PHACTR1; KHDRBS3; AGBL4; EPHA3; NRG1; PDE4D; LRRK1; PART1; TENM4; LY86-AS1; KCNQ5; RYR2; ANO3; DNAH6; STXBP5L; NKAIN2; POU6F2; OPCML; NELL2; PPP3CA; PDE1A; CABP1; TOX; DACH1
L5 IT,subclass,L5 IT,Xenium_5K,10,3,HS3ST2; RORB; RXFP1
L5 IT,subclass,L5 IT,Xenium_5K,20,5,HS3ST2; RORB; RXFP1; FOXP2; EPHA3
L5 IT,subclass,L5 IT,Xenium_5K,50,12,HS3ST2; RORB; RXFP1; FOXP2; EPHA3; PART1; ANO3; PPP3CA; MRTFB; TOX; FOXP1; DACH1
L5/6 NP,subclass,L5/6 NP,Xenium_v1,10,3,HTR2C; TSHZ2; CRYM
L5/6 NP,subclass,L5/6 NP,Xenium_v1,20,5,HTR2C; TSHZ2; CRYM; CDH6; CALCRL
L5/6 NP,subclass,L5/6 NP,Xenium_v1,50,9,HTR2C; TSHZ2; CRYM; CDH6; CALCRL; HS3ST4; MEIS2; NXPH2; CD36
L5/6 NP,subclass,L5/6 NP,MERFISH_180,10,4,HTR2C; TSHZ2; ASIC2; TLL1
L5/6 NP,subclass,L5/6 NP,MERFISH_180,20,8,HTR2C; TSHZ2; ASIC2; TLL1; SEMA3E; GRM8; CDH6; TOX
L5/6 NP,subclass,L5/6 NP,MERFISH_180,50,12,HTR2C; TSHZ2; ASIC2; TLL1; SEMA3E; GRM8; CDH6; TOX; MEIS2; ZNF385D; NXPH2; DLC1
L5/6 NP,subclass,L5/6 NP,MERSCOPE_250,10,3,TSHZ2; SORCS2; TLL1
L5/6 NP,subclass,L5/6 NP,MERSCOPE_250,20,8,TSHZ2; SORCS2; TLL1; TLE4; SEMA3E; DIRAS2; CDH6; TOX
L5/6 NP,subclass,L5/6 NP,MERSCOPE_250,50,10,TSHZ2; SORCS2; TLL1; TLE4; SEMA3E; DIRAS2; CDH6; TOX; ZNF385D; DLC1
L5/6 NP,subclass,L5/6 NP,MERSCOPE_4K,10,5,TSHZ2; NPSR1-AS1; ASIC2; SORCS2; TLL1
L5/6 NP,subclass,L5/6 NP,MERSCOPE_4K,20,11,TSHZ2; NPSR1-AS1; ASIC2; SORCS2; TLL1; TLE4; SEMA3E; DIRAS2; CDH6; FGFR1; TOX
L5/6 NP,subclass,L5/6 NP,MERSCOPE_4K,50,22,TSHZ2; NPSR1-AS1; ASIC2; SORCS2; TLL1; TLE4; SEMA3E; DIRAS2; CDH6; FGFR1; TOX; HS3ST4; ZNF385D; DPY19L1; CDH11; UST; EML6; MDGA2; SAMD3; DLC1; CAMK2D; RANBP17
L5/6 NP,subclass,L5/6 NP,Xenium_5K,10,2,HTR2C; SORCS2
L5/6 NP,subclass,L5/6 NP,Xenium_5K,20,6,HTR2C; SORCS2; CDH6; CALCRL; FGFR1; TOX
L5/6 NP,subclass,L5/6 NP,Xenium_5K,50,14,HTR2C; SORCS2; CDH6; CALCRL; FGFR1; TOX; GRM3; ETV1; MEIS2; CDH11; GHR; NXPH2; CAMK2D; CD36
L6 CT,subclass,L6 CT,Xenium_v1,10,1,HS3ST4
L6 CT,subclass,L6 CT,Xenium_v1,20,1,HS3ST4
L6 CT,subclass,L6 CT,Xenium_v1,50,8,HS3ST4; RYR3; NRP1; KCNH5; MEIS2; SLIT3; CEMIP2; HS3ST2
L6 CT,subclass,L6 CT,MERFISH_180,10,5,SEMA3E; ADAMTSL1; FRMPD4; LRP1B; FOXP2
L6 CT,subclass,L6 CT,MERFISH_180,20,7,SEMA3E; ADAMTSL1; FRMPD4; LRP1B; FOXP2; DLC1; CLSTN2
L6 CT,subclass,L6 CT,MERFISH_180,50,13,SEMA3E; ADAMTSL1; FRMPD4; LRP1B; FOXP2; DLC1; CLSTN2; RYR3; MEIS2; SLIT3; CSMD1; HS3ST2; ASIC2
L6 CT,subclass,L6 CT,MERSCOPE_250,10,5,SEMA3E; ADAMTSL1; TRPM3; KHDRBS3; LRP1B
L6 CT,subclass,L6 CT,MERSCOPE_250,20,9,SEMA3E; ADAMTSL1; TRPM3; KHDRBS3; LRP1B; DLC1; CLSTN2; COL24A1; TLE4
L6 CT,subclass,L6 CT,MERSCOPE_250,50,17,SEMA3E; ADAMTSL1; TRPM3; KHDRBS3; LRP1B; DLC1; CLSTN2; COL24A1; TLE4; NPTX1; PDE1A; KCNH5; SLIT3; DPP10; PHACTR1; SORBS2; SEMA3A
L6 CT,subclass,L6 CT,MERSCOPE_4K,10,7,SEMA3E; ADAMTSL1; HS3ST4; TRPM3; FRMPD4; KHDRBS3; LRP1B
L6 CT,subclass,L6 CT,MERSCOPE_4K,20,17,SEMA3E; ADAMTSL1; HS3ST4; TRPM3; FRMPD4; KHDRBS3; LRP1B; DLC1; SYNPO2; CLSTN2; ZFPM2; SEC24D; RYR2; MCTP1; MDGA2; COL24A1; TLE4
