n_addon,gene_added,total_genes,mean_cov,median_cov,types_ge3,types_ge5,types_zero,panels
84,ITPR2,350,4.0476190476190474,4.0,109,50,1,M250+M4K
85,ZNF804A,351,4.079365079365079,4.0,110,51,1,MERFISH+M250+M4K
86,BICC1,352,4.087301587301587,4.0,110,51,1,M4K
87,UTRN,353,4.111111111111111,4.0,110,51,1,M4K
88,GRM7,354,4.126984126984127,4.0,111,52,1,MERFISH
89,TCERG1L,355,4.134920634920635,4.0,111,52,1,M4K
90,IPCEF1,356,4.142857142857143,4.0,111,52,1,M4K
91,SOX5,357,4.166666666666667,4.0,111,54,1,M4K
92,UNC13C,358,4.190476190476191,4.0,111,54,1,M4K
93,IL1RAPL2,359,4.2063492063492065,4.0,112,55,1,M250+M4K
94,SORBS2,360,4.214285714285714,4.0,113,55,1,M250+M4K
95,APBB1IP,361,4.222222222222222,4.0,114,55,1,M4K
96,MRC1,362,4.23015873015873,4.0,115,55,1,M4K
97,SYT10,363,4.238095238095238,4.0,116,55,1,M250+M4K
98,SLC25A13,364,4.246031746031746,4.0,117,55,1,M4K
99,NDST3,365,4.261904761904762,4.0,117,56,1,M250+M4K
100,BCAS1,366,4.26984126984127,4.0,118,56,1,M4K
101,PDE1A,367,4.2936507936507935,4.0,118,57,1,M250+M4K
102,FLRT2,368,4.309523809523809,4.0,119,57,1,M4K
103,CLSTN2,369,4.341269841269841,4.0,119,58,1,MERFISH+M250+M4K
104,TAFA1,370,4.357142857142857,4.0,119,59,1,MERFISH
105,TIMP3,371,4.365079365079365,4.0,120,59,1,M4K
106,GARNL3,372,4.373015873015873,4.0,121,59,1,M4K
107,GRIP1,373,4.388888888888889,4.0,121,60,1,MERFISH+M250+M4K
108,PLXDC2,374,4.396825396825397,4.0,122,60,1,M4K
109,ADAMTS19,375,4.420634920634921,4.0,122,61,1,M250+M4K
110,PTPRO,376,4.436507936507937,4.0,122,61,1,M4K
111,KCNC2,377,4.4603174603174605,4.5,122,63,1,M4K
112,ARHGEF4,378,4.468253968253968,4.5,122,63,1,M4K
113,MMP16,379,4.476190476190476,4.5,122,63,1,M4K
114,HPSE2,380,4.484126984126984,4.5,122,63,1,MERFISH+M250+M4K
115,AFF3,381,4.492063492063492,4.5,122,63,1,M4K
116,SEL1L3,382,4.5,4.5,122,63,1,M4K
117,EPB41L4A,383,4.507936507936508,4.5,122,63,1,M4K
118,GNG2,384,4.515873015873016,4.5,122,63,1,M4K
119,DLC1,385,4.523809523809524,4.5,122,63,1,MERFISH+M250+M4K
120,ARHGAP18,386,4.531746031746032,4.5,122,63,1,M4K
121,SLC38A1,387,4.5396825396825395,4.5,122,63,1,M4K
122,CBLN2,388,4.5476190476190474,4.5,122,63,1,MERFISH
123,HTR4,389,4.563492063492063,5.0,122,65,1,M250+M4K
124,RASGRF1,390,4.571428571428571,5.0,122,65,1,M4K
125,GRM1,391,4.587301587301587,5.0,122,65,1,M4K
126,CNTN5,392,4.611111111111111,5.0,122,67,1,MERFISH
127,LINC01378,393,4.619047619047619,5.0,122,67,1,M4K
128,PRKCA,394,4.626984126984127,5.0,122,67,1,M4K
129,IL1RAP,395,4.634920634920635,5.0,122,67,1,M4K
130,COLEC12,396,4.642857142857143,5.0,122,67,1,M4K
131,MDGA2,397,4.658730158730159,5.0,122,67,1,M4K
132,SORL1,398,4.666666666666667,5.0,122,67,1,M250+M4K
133,GFAP,399,4.674603174603175,5.0,122,67,1,M4K
134,COBLL1,400,4.698412698412699,5.0,122,69,1,M250+M4K
135,PEX5L,401,4.722222222222222,5.0,122,71,1,MERFISH+M4K
136,TNS3,402,4.73015873015873,5.0,122,71,1,M4K
137,PRKCB,403,4.738095238095238,5.0,122,72,1,M250+M4K
138,DAB1,404,4.746031746031746,5.0,122,73,1,M4K
139,MBP,405,4.753968253968254,5.0,122,74,1,M4K
140,COL24A1,406,4.777777777777778,5.0,122,75,1,M250+M4K
141,RYR2,407,4.809523809523809,5.0,122,76,1,M4K
142,NPAS3,408,4.833333333333333,5.0,122,77,1,MERFISH+M250+M4K
143,PTPRM,409,4.841269841269841,5.0,122,78,1,M250+M4K
144,CBLN4,410,4.849206349206349,5.0,122,79,1,M4K
145,MAML3,411,4.857142857142857,5.0,122,80,1,M4K
146,SFMBT2,412,4.873015873015873,5.0,122,81,1,M250+M4K
147,LIMCH1,413,4.880952380952381,5.0,122,82,1,M4K
148,DSCAM,414,4.888888888888889,5.0,122,83,1,M250+M4K
149,ST6GAL2,415,4.896825396825397,5.0,122,84,1,M4K
150,PCDH11X,416,4.904761904761905,5.0,122,85,1,M250+M4K
151,DCLK1,417,4.912698412698413,5.0,122,86,1,MERFISH+M4K
152,RASGEF1B,418,4.920634920634921,5.0,122,87,1,M4K
153,TLL1,419,4.928571428571429,5.0,122,88,1,MERFISH+M250+M4K
154,GABRG1,420,4.936507936507937,5.0,122,89,1,M4K
155,GREB1L,421,4.944444444444445,5.0,122,90,1,M250+M4K
156,ZMAT4,422,4.9603174603174605,5.0,122,91,1,MERFISH+M250+M4K
157,ADGRV1,423,4.968253968253968,5.0,122,92,1,M4K
158,NFIA,424,4.976190476190476,5.0,122,93,1,MERFISH+M250+M4K
159,UNC5D,425,4.992063492063492,5.0,122,94,1,M4K
160,SLC38A11,426,5.007936507936508,5.0,122,95,1,M250+M4K
161,ETNPPL,427,5.015873015873016,5.0,122,96,1,MERFISH+M4K
162,TMEM132D,428,5.023809523809524,5.0,122,97,1,MERFISH+M250+M4K
163,ARHGAP6,429,5.0396825396825395,5.0,122,98,1,M4K
164,F13A1,430,5.0476190476190474,5.0,122,99,1,M4K
165,HS6ST3,431,5.095238095238095,5.0,122,100,1,MERFISH+M4K
166,VAV3,432,5.103174603174603,5.0,122,101,1,M250+M4K
167,FBXL7,433,5.119047619047619,5.0,122,102,1,MERFISH+M250+M4K
168,PKN2-AS1,434,5.126984126984127,5.0,122,103,1,M4K
169,CNTNAP2,435,5.158730158730159,5.0,122,104,1,M4K
170,ESRRG,436,5.174603174603175,5.0,122,105,1,M250+M4K
171,MPPED2,437,5.190476190476191,5.0,122,106,1,M4K
172,BMPER,438,5.198412698412699,5.0,122,107,1,M4K
