gene,n_types_needing,avg_rank,types
TNIK,1,8.0,Astro_5
AC073578.2,1,8.0,L5 IT_1
CADPS,1,7.0,Sst Chodl_2
COL5A3,1,8.0,Astro_2
LINC01322,1,4.0,Vip_2
AC092422.1,1,5.0,Vip_2
AC013265.1,1,4.0,Vip_4
PTPRE,1,5.0,Vip_4
CADM2,1,9.0,Vip_4
AL589693.1,1,2.0,Vip_5
FAM126A,1,9.0,Vip_6
AL356108.1,1,10.0,Vip_6
AC016766.1,1,6.0,Vip_9
B4GALT6,1,7.0,Vip_9
L3MBTL4,1,5.0,Vip_11
IGFBP5,1,8.0,Vip_11
ADAMTS6,1,6.0,Vip_13
MYRIP,1,9.0,Vip_13
SEZ6,1,10.0,Vip_13
PEX5L,1,5.0,Vip_14
LINC00499,1,8.0,Astro_1
MTUS2,1,10.0,Vip_15
CNTN4,1,2.0,Vip_16
ARHGAP18,1,8.0,Vip_16
PRR16,1,3.0,Vip_21
VWC2L,1,6.0,Vip_21
LINC01470,1,10.0,Vip_21
C8orf34,1,3.0,Vip_23
FIGN,1,4.0,Vip_23
PREX2,1,7.0,Astro_2
LINC00609,1,1.0,Astro_3
EPB41L4A,1,2.0,Sst_1
LHFPL6,1,9.0,VLMC_2
KCND2,1,3.0,Sst_1
WDR49,1,8.0,Astro_4
SLC38A1,1,7.0,Astro_4
SST,1,7.0,Sst_3
DCLK2,1,2.0,Astro_4
AC012405.1,1,10.0,Astro_3
GFAP,1,9.0,Astro_3
AUTS2,1,2.0,Sst_9
PRKG2,1,7.0,Sst_9
ST6GALNAC5,1,8.0,Sst_9
PALM2-AKAP2,1,6.0,Sst_10
CACNB2,1,7.0,Sst_10
CSMD3,1,2.0,Pvalb_7
NKAIN3,1,4.0,Astro_3
NKAIN2,1,7.0,Sst_11
PTPRO,1,8.0,Sst_11
WLS,1,6.0,Sst_12
MGAT4C,1,8.0,Sst_19
EYA2,1,7.0,Sst_22
LAMA2,1,1.0,VLMC_1
ABCA9,1,3.0,VLMC_1
NTRK3,1,9.0,VLMC_1
DCN,1,10.0,VLMC_1
IGFBP7,1,5.0,VLMC_2
CALD1,1,6.0,VLMC_2
ELAVL2,1,10.0,Pvalb_7
RASGEF1B,1,10.0,Pax6_2
THSD4,1,3.0,Endo_2
ATRNL1,1,7.0,L2/3 IT_13
RMST,1,1.0,L4 IT_4
EFNA5,1,10.0,L4 IT_3
NWD2,1,8.0,L6 IT Car3_1
ITGA11,1,9.0,L6 IT Car3_1
CACNA1E,1,5.0,L6 IT Car3_2
ZNF804B,1,6.0,L6 IT Car3_2
AC092691.1,1,4.0,L6 IT Car3_3
ITGB8,1,8.0,L6 IT Car3_3
PDE1A,1,9.0,L6 IT Car3_3
LSAMP,1,10.0,L6 IT Car3_3
AC093607.1,1,3.0,L6 IT_1
PTPRK,1,8.0,L6 IT_1
SYN3,1,6.0,L6 IT_2
MCTP1,1,8.0,L6 IT_2
AL391117.1,1,1.0,L6b_1
LINC01725,1,9.0,L4 IT_2
MIR137HG,1,8.0,L6b_2
ADD3-AS1,1,10.0,L6b_2
EPHA5,1,4.0,L6b_3
SLC22A10,1,1.0,L4 IT_2
NRXN1,1,10.0,L6b_3
CELF2,1,4.0,L6b_5
AC022126.1,1,9.0,L6b_6
ARSJ,1,10.0,L6b_6
NECAB1,1,10.0,L2/3 IT_13
AC091078.1,1,5.0,L6 IT Car3_1
SNTB1,1,4.0,L6 IT Car3_1
OTOGL,1,2.0,L4 IT_4
LINC00326,1,9.0,L5 ET_2
AC016687.2,1,7.0,L5 IT_2
IPCEF1,1,9.0,L5 IT_2
AC099517.1,1,1.0,L5 IT_3
OPCML,1,8.0,L5 IT_3
LINC02196,1,1.0,L5 IT_1
KCNH7,1,10.0,L5 IT_5
TRABD2A,1,7.0,L5 IT_6
AC021134.1,1,8.0,L5 IT_6
AL445207.1,1,9.0,L5 IT_6
RYR2,1,6.0,L5 IT_7
PRUNE2,1,9.0,L5 IT_7
CABP1,1,7.0,L5 ET_2
CUX1,1,1.0,L6 IT Car3_1
VAT1L,1,4.0,L5 ET_2
RIT2,1,3.0,L5 ET_2
DIRAS2,1,10.0,L5/6 NP_1
DGKH,1,9.0,L5 ET_1
SEMA5B,1,6.0,L5/6 NP_4
PTCHD1-AS,1,7.0,L5 ET_1
KCNB2,1,6.0,L5/6 NP_6
ONECUT1,1,2.0,L5 ET_1
LINC01821,1,10.0,L4 IT_4
PTPRD,1,4.0,L4 IT_4
NAV3,1,3.0,L6 CT_4
NFIB,1,7.0,Lamp5_1
MACROD2,1,1.0,Lamp5_3
GRIP1,1,9.0,Pvalb_6
RFX3,1,8.0,L2/3 IT_12
TTLL7,1,5.0,Oligo_3
ERBIN,1,8.0,Oligo_3
TRIM2,1,9.0,Oligo_3
PTGDS,1,7.0,Oligo_4
WIF1,1,9.0,Pax6_1
KLHL29,1,3.0,Pax6_2
HMBOX1,1,7.0,Pax6_2
PCLO,1,5.0,Pax6_3
ARHGAP6,1,7.0,Pax6_3
EEPD1,1,9.0,Pax6_3
MAML3,1,8.0,Pax6_4
MOXD1,1,4.0,L2/3 IT_2
ACVR1C,1,3.0,L2/3 IT_2
PRKG1,1,4.0,Pvalb_1
AC021613.1,1,5.0,L2/3 IT_1
LINC01250,1,4.0,L2/3 IT_1
ST6GALNAC3,1,9.0,Endo_2
ESYT2,1,8.0,Endo_2
A2M,1,6.0,Endo_2
NDST3,1,1.0,Pvalb_3
SLC7A1,1,5.0,Endo_2
FLT1,1,4.0,Endo_2
ANOS1,1,3.0,Pvalb_5
KLF3-AS1,1,6.0,Pvalb_5
SPARCL1,1,8.0,Pvalb_6
DOCK5,1,10.0,Oligo_2_1-SEAAD
IL1RAPL1,1,8.0,Oligo_2_1-SEAAD
KCNH8,1,2.0,Oligo_2_1-SEAAD
SYNDIG1,1,2.0,Micro-PVM_2_3-SEAAD
HS6ST3,1,5.0,L2/3 IT_12
AC008696.2,1,10.0,L2/3 IT_10
AC013287.1,1,8.0,L2/3 IT_10
CHST9,1,6.0,Lamp5_Lhx6_1
GRIA4,1,7.0,Lamp5_Lhx6_1
MYO16,1,8.0,Lamp5_Lhx6_1
AL157944.1,1,5.0,L2/3 IT_10
STARD13,1,4.0,Micro-PVM_1
NEAT1,1,8.0,Micro-PVM_1
SELENOP,1,10.0,Micro-PVM_1
SFMBT2,1,5.0,Micro-PVM_2
BCAS1,1,1.0,OPC_1
MOBP,1,6.0,Oligo_1
TNS3,1,3.0,OPC_1
SEMA5A,1,5.0,OPC_1
CRB1,1,6.0,OPC_1
TMEM163,1,8.0,OPC_1
SERPINE2,1,5.0,L2/3 IT_7
OPHN1,1,10.0,OPC_1
AC008574.1,1,9.0,L2/3 IT_6
NOVA1,1,7.0,OPC_2
AC004852.2,1,10.0,OPC_2_1-SEAAD
TF,1,2.0,Oligo_1
AP000829.1,1,6.0,L2/3 IT_5
ANKS1B,1,10.0,Vip_23
