supertype,rank,gene,score,logfoldchange,pval_adj,in_5k,in_v1
L2/3 IT_8,2,LINC01331,35.0445,4.3577714,7.540893759849994e-265,False,False
L2/3 IT_8,3,CBLN2,34.52347,3.8121374,3.7906426554238954e-257,False,False
L2/3 IT_8,4,TESPA1,34.266136,3.641632,1.9998874667117018e-253,False,True
L2/3 IT_8,5,LINC00507,34.02035,3.9703074,7.108222396986411e-250,False,False
L2/3 IT_8,6,ENC1,33.680798,2.9338567,5.871234364264558e-245,False,False
L2/3 IT_8,7,PDZD2,33.657173,3.1007178,1.1156359841824347e-244,False,False
L2/3 IT_8,8,LINC01378,33.59304,3.795115,8.451418356966503e-244,False,False
L2/3 IT_8,9,AC011287.1,32.5857,3.9273946,2.31704705673789e-229,False,False
L2/3 IT_8,10,NECTIN3,32.561398,2.620502,4.605986067588757e-229,True,False
L2/3 IT_10,1,LINC00507,34.1257,4.0580606,9.78177773048414e-251,False,False
L2/3 IT_10,2,PDZD2,33.08841,3.0180137,6.957071724543919e-236,False,False
L2/3 IT_10,3,TESPA1,32.88753,3.418829,3.5226438716172403e-233,False,True
L2/3 IT_10,4,ENC1,32.70322,2.7867837,1.1206305490772449e-230,False,False
L2/3 IT_10,5,AL157944.1,32.640842,3.545121,6.167654160892515e-230,False,False
L2/3 IT_10,6,LINC01331,32.63867,3.8933363,6.167654160892515e-230,False,False
L2/3 IT_10,7,HOPX,32.53483,3.0149515,1.5637131330422188e-228,True,False
L2/3 IT_10,8,AC013287.1,31.982718,3.5088143,7.560375021706075e-221,False,False
L2/3 IT_10,9,AC011287.1,31.70605,3.7565186,4.543674263768394e-217,False,False
L2/3 IT_10,10,AC008696.2,31.619038,3.599073,6.446902941037821e-216,False,False
L2/3 IT_12,1,LINC02822,35.52576,4.1369534,6.275564357171819e-272,False,False
L2/3 IT_12,2,AJ009632.2,34.920322,4.7260027,5.8282276118154025e-263,False,False
L2/3 IT_12,3,LINC00507,34.803364,4.130091,2.299965614861581e-261,False,False
L2/3 IT_12,4,AC011287.1,34.203934,4.2299314,1.6850877018114645e-252,False,False
L2/3 IT_12,5,HS6ST3,33.473644,2.742154,7.436681265898135e-242,False,False
L2/3 IT_12,6,LRRTM4,33.385406,2.2245798,1.1869196429359834e-240,False,False
L2/3 IT_12,7,LINC01378,33.256386,3.8444674,7.519893518781946e-239,False,False
L2/3 IT_12,8,RFX3,32.91295,1.8903263,5.719520524430034e-234,False,False
L2/3 IT_12,9,DGKB,32.49612,2.2546625,4.2868369826607004e-228,False,False
L2/3 IT_12,10,TESPA1,32.351265,3.2745078,4.246944105869567e-226,False,True
L2/3 IT_13,1,AJ009632.2,34.767944,4.624996,2.367869731511532e-260,False,False
L2/3 IT_13,2,GLIS3,33.53317,3.3820395,2.5259205945283847e-242,False,False
L2/3 IT_13,3,TESPA1,33.328815,3.4771595,1.5703015680927328e-239,False,True
L2/3 IT_13,4,CA10,32.765347,3.278412,1.463605001272067e-231,True,False
L2/3 IT_13,5,COL5A2,32.650406,3.7829535,5.043730426289476e-230,True,False
L2/3 IT_13,6,FSTL4,31.957575,2.953314,2.2537912229302117e-220,False,True
L2/3 IT_13,7,ATRNL1,31.852055,1.6979336,5.616964419614588e-219,False,False
L2/3 IT_13,8,ENC1,31.776567,2.7076888,5.43912819832241e-218,False,False
L2/3 IT_13,9,LINC02296,31.57953,3.4510245,2.3274387266699555e-215,False,False
L2/3 IT_13,10,NECAB1,31.578451,2.6279778,2.3274387266699555e-215,False,False
L4 IT_1,1,AC073091.3,36.527565,4.8734374,1.2917809730894402e-287,False,False
L4 IT_1,2,CASC15,35.11966,3.777248,5.386945199770935e-266,False,False
L4 IT_1,3,AC109466.1,34.9159,4.9389343,4.534881405714729e-263,False,False
L4 IT_1,4,CADPS2,34.87095,3.728803,1.6344467577560892e-262,False,False
L4 IT_1,5,AC008415.1,34.50518,4.5425305,4.278292989890997e-257,False,False
L4 IT_1,6,RORB,33.93866,4.1033587,9.531270923383513e-249,True,True
