supertype,subclass,v1_cov_top10,m250_cov_top10,deficit,genes_to_add
Lamp5_6,Lamp5,1,3,2,MAGI2; EPHA6
Micro-PVM_1,Microglia-PVM,1,0,0,
Micro-PVM_2,Microglia-PVM,2,1,0,
Micro-PVM_2_3-SEAAD,Microglia-PVM,0,0,0,
OPC_1,OPC,0,0,0,
OPC_2,OPC,1,1,0,
OPC_2_1-SEAAD,OPC,0,0,0,
Oligo_1,Oligodendrocyte,0,0,0,
Oligo_2,Oligodendrocyte,0,1,1,LINC01608
Oligo_2_1-SEAAD,Oligodendrocyte,0,0,0,
Oligo_3,Oligodendrocyte,0,2,2,FRY; CNTN1
Oligo_4,Oligodendrocyte,1,1,0,
Pax6_1,Pax6,2,1,0,
Pax6_2,Pax6,1,2,1,RGS7
Pax6_3,Pax6,0,0,0,
Pax6_4,Pax6,1,0,0,
Pericyte_1,VLMC,1,3,2,GPC5; GRM3
Pvalb_1,Pvalb,0,5,5,L3MBTL4; GALNTL6; AC093765.2; COBLL1; CDH18
Pvalb_10,Pvalb,0,5,5,SEMA6D; PCDH15; MGAT4C; GPC5; RYR2
Pvalb_12,Pvalb,3,4,1,VAV3
Pvalb_13,Pvalb,1,6,5,PDE4B; LRP1B; PCDH15; SGCZ; TMTC2
Pvalb_14,Pvalb,4,7,3,EPHA6; LINGO2; ST6GALNAC3
Pvalb_15,Pvalb,1,3,2,PTPRD; PLCL1
Pvalb_2,Pvalb,3,7,4,GRIN2A; EPHA6; SLC9A9; CNTNAP5
Pvalb_3,Pvalb,0,3,3,IQCJ-SCHIP1; ROBO2; AL136114.1
Pvalb_5,Pvalb,1,2,1,NCAM2
Pvalb_6,Pvalb,1,1,0,
Pvalb_7,Pvalb,0,3,3,PTPRK; CSMD3; MARCH1
Pvalb_8,Pvalb,1,3,2,LINGO2; NRXN1
Pvalb_9,Pvalb,2,4,2,SLC2A13; ROBO1
Sncg_1,Sncg,1,2,1,SGCZ
Sncg_2,Sncg,1,2,1,IQCJ-SCHIP1
Sncg_3,Sncg,0,3,3,CDH2; CADPS2; PRKCA
Sncg_4,Sncg,1,2,1,CDH9
Sncg_5,Sncg,3,4,1,CA10
Sncg_6,Sncg,1,4,3,AC006305.1; PCDH9; NR3C2
Sncg_8,Sncg,1,1,0,
Sst Chodl_1,Sst Chodl,3,3,0,
Sst Chodl_2,Sst Chodl,0,1,1,TMEFF2
Sst_1,Sst,0,2,2,MAML3; GPC5
Sst_10,Sst,2,4,2,TRPM3; PCDH7
Sst_11,Sst,0,5,5,NKAIN2; SMARCA2; TMEFF2; ADAMTSL1; THSD7A
Sst_12,Sst,1,1,0,
Sst_13,Sst,0,4,4,CACNB2; ASTN2; RGS6; GALNTL6
Sst_19,Sst,1,4,3,PCDH15; CTNNA2; SYT9
Sst_2,Sst,1,2,1,ZNF536
Sst_20,Sst,1,2,1,RBMS3
Sst_22,Sst,0,3,3,EYA2; ADAMTSL1; LINGO2
Sst_23,Sst,1,4,3,SOX2-OT; ZBTB20; KIRREL3
Sst_25,Sst,1,2,1,SGCZ
Sst_3,Sst,0,3,3,ADAMTS9-AS2; ROBO1; CNTN4
Sst_4,Sst,3,3,0,
Sst_5,Sst,2,5,3,PLCB1; SLIT2; SH3GL3
Sst_7,Sst,1,2,1,ERBB4
Sst_9,Sst,3,1,0,
VLMC_1,VLMC,1,0,0,
Vip_1,Vip,0,4,4,RBFOX1; SGCZ; PCDH15; CDH13
Vip_11,Vip,1,5,4,KCNIP4; LINGO2; PCDH7; HTR1E
Vip_12,Vip,1,2,1,TENM3
Vip_13,Vip,2,3,1,NRG1
Vip_14,Vip,0,2,2,TMTC2; NCAM2
Vip_15,Vip,2,1,0,
Vip_16,Vip,1,0,0,
Vip_18,Vip,0,2,2,NELL1; RGS6
Vip_19,Vip,0,2,2,LRRTM4; TMEM132D
Vip_2,Vip,3,4,1,SOX2-OT
Vip_21,Vip,1,2,1,SGCD
Vip_23,Vip,0,2,2,ZBTB20; SOX2-OT
Vip_4,Vip,0,2,2,CDH8; CLSTN2
Vip_5,Vip,0,4,4,NPAS3; AC073050.1; DPP6; WWP1
Vip_6,Vip,0,6,6,PCDH9; ZNF385B; ALCAM; MGAT4C; SPOCK1; DPP6
Vip_9,Vip,0,5,5,DCC; TRPM3; DPP6; NDST3; KHDRBS2
