supertype,markers,n_markers,n_in_5k,pct_in_5k,missing_from_5k,n_in_v1,pct_in_v1,missing_from_v1
Pvalb_12,"CNTNAP3B, FGF12, KCNC2, ERBB4, SLIT2, DPP10, CNTNAP3, SULF1, FRMD5, PCDH15",10,3,30.0,"CNTNAP3B, FGF12, KCNC2, ERBB4, DPP10, FRMD5, PCDH15",2,20.0,"FGF12, KCNC2, ERBB4, SLIT2, DPP10, CNTNAP3, FRMD5, PCDH15"
Pvalb_13,"KCNC2, FGF12, SGCZ, MYO5B, PCDH15, ERBB4, NXPH1, GPC6, SRRM4, CNTNAP3B",10,1,10.0,"KCNC2, FGF12, SGCZ, PCDH15, ERBB4, NXPH1, GPC6, SRRM4, CNTNAP3B",2,20.0,"KCNC2, FGF12, SGCZ, PCDH15, ERBB4, NXPH1, GPC6, SRRM4"
Pvalb_14,"EPHA6, TMEM132C, LUZP2, PLXNA4, DPP10, RGS5, SDK1, SLC9A9, TAC1, BTBD11",10,2,20.0,"EPHA6, TMEM132C, LUZP2, PLXNA4, DPP10, SDK1, SLC9A9, BTBD11",4,40.0,"EPHA6, LUZP2, PLXNA4, DPP10, RGS5, SLC9A9"
Pvalb_15,"DPP10, ADAMTS17, KCNC2, FGF12, SULF1, CNTNAP3B, BTBD11, ZNF804A, MYO5B, ERBB4",10,3,30.0,"DPP10, ADAMTS17, KCNC2, FGF12, CNTNAP3B, BTBD11, ERBB4",4,40.0,"DPP10, ADAMTS17, KCNC2, FGF12, ZNF804A, ERBB4"
Pvalb_2,"TMEM132C, DPP10, SLC9A9, ZNF804A, BTBD11, EPHA6, ERBB4, DLGAP1, ADAMTS17, SDK1",10,1,10.0,"TMEM132C, DPP10, SLC9A9, BTBD11, EPHA6, ERBB4, DLGAP1, ADAMTS17, SDK1",3,30.0,"DPP10, SLC9A9, ZNF804A, EPHA6, ERBB4, DLGAP1, ADAMTS17"
Pvalb_3,"NDST3, DLGAP1, MYO5B, FGF12, RGS5, SGCZ, TMEM132C, ERBB4, AL136114.1, KLF12",10,3,30.0,"NDST3, DLGAP1, FGF12, SGCZ, TMEM132C, ERBB4, AL136114.1",2,20.0,"NDST3, DLGAP1, FGF12, RGS5, SGCZ, ERBB4, AL136114.1, KLF12"
Pvalb_5,"KIRREL3, TMEM132C, ANOS1, MYO5B, SOX5, KLF3-AS1, DLGAP1, KLF12, SOX2-OT, SGCZ",10,4,40.0,"KIRREL3, TMEM132C, ANOS1, KLF3-AS1, DLGAP1, SGCZ",2,20.0,"KIRREL3, ANOS1, SOX5, KLF3-AS1, DLGAP1, KLF12, SOX2-OT, SGCZ"
Pvalb_6,"EYS, MYO5B, DLGAP1, KCNC2, BTBD11, FGF12, TENM3, SPARCL1, GRIP1, RASGRF2",10,1,10.0,"EYS, DLGAP1, KCNC2, BTBD11, FGF12, TENM3, SPARCL1, GRIP1, RASGRF2",2,20.0,"EYS, DLGAP1, KCNC2, FGF12, TENM3, SPARCL1, GRIP1, RASGRF2"
Pvalb_7,"TRPM3, CSMD3, AC046195.2, GPC5, GABRG3, SLIT2, MARCH1, AC046195.1, UNC5D, ELAVL2",10,3,30.0,"CSMD3, AC046195.2, GPC5, MARCH1, AC046195.1, UNC5D, ELAVL2",0,0.0,"TRPM3, CSMD3, AC046195.2, GPC5, GABRG3, SLIT2, MARCH1, AC046195.1, UNC5D, ELAVL2"
Pvalb_8,"SGCZ, RPS6KA2, MYO5B, DLGAP1, KIF26B, SOX6, XKR4, RASGRF2, IQCJ-SCHIP1, ROBO2",10,2,20.0,"SGCZ, RPS6KA2, DLGAP1, KIF26B, XKR4, RASGRF2, IQCJ-SCHIP1, ROBO2",1,10.0,"SGCZ, RPS6KA2, DLGAP1, KIF26B, SOX6, XKR4, RASGRF2, IQCJ-SCHIP1, ROBO2"
Pvalb_9,"SLIT2, FGF12, UNC5D, CHRM2, ADAMTS17, PLCE1, TRPM3, GALNTL6, KHDRBS2, TAFA2",10,4,40.0,"FGF12, UNC5D, ADAMTS17, GALNTL6, KHDRBS2, TAFA2",1,10.0,"SLIT2, FGF12, UNC5D, CHRM2, ADAMTS17, TRPM3, GALNTL6, KHDRBS2, TAFA2"
Sncg_1,"INPP4B, CXCL14, RELN, COL21A1, EPHA6, HS3ST5, MAGI3, FSTL5, GRIK2, EGFR",10,5,50.0,"CXCL14, COL21A1, EPHA6, FSTL5, GRIK2",3,30.0,"INPP4B, COL21A1, EPHA6, HS3ST5, MAGI3, FSTL5, GRIK2"
Sncg_2,"THSD7B, FSTL5, CXCL14, SEMA3C, RELN, INPP4B, CNR1, CHSY3, COL21A1, GRIK2",10,4,40.0,"THSD7B, FSTL5, CXCL14, CHSY3, COL21A1, GRIK2",3,30.0,"FSTL5, SEMA3C, INPP4B, CNR1, CHSY3, COL21A1, GRIK2"
Sncg_3,"CNR1, PRKCA, ADARB2, NPAS3, ZNF385D, IGF1, DPP6, AL356124.1, RGS12, NR2F2-AS1",10,3,30.0,"ADARB2, NPAS3, ZNF385D, DPP6, AL356124.1, RGS12, NR2F2-AS1",0,0.0,"CNR1, PRKCA, ADARB2, NPAS3, ZNF385D, IGF1, DPP6, AL356124.1, RGS12, NR2F2-AS1"
Sncg_4,"SORCS1, CNTN5, PRELID2, CNR1, AC132803.1, CNTNAP4, ADAMTS9-AS2, CDH9, CXCL14, MIR4300HG",10,3,30.0,"CNTN5, PRELID2, AC132803.1, ADAMTS9-AS2, CDH9, CXCL14, MIR4300HG",2,20.0,"CNTN5, PRELID2, CNR1, AC132803.1, CNTNAP4, ADAMTS9-AS2, CDH9, MIR4300HG"
Sncg_5,"FSTL5, PRELID2, CNTN5, THSD7B, AC132803.1, SORCS1, INPP4B, CNR1, CNTNAP4, CXCL14",10,4,40.0,"FSTL5, PRELID2, CNTN5, THSD7B, AC132803.1, CXCL14",3,30.0,"FSTL5, PRELID2, CNTN5, AC132803.1, INPP4B, CNR1, CNTNAP4"
Sncg_6,"CNR1, CCK, AC006305.1, CNTN5, CHRNA7, FSTL5, ADARB2, WWP1, NPAS3, KCNQ5",10,4,40.0,"AC006305.1, CNTN5, FSTL5, ADARB2, NPAS3, KCNQ5",1,10.0,"CNR1, AC006305.1, CNTN5, CHRNA7, FSTL5, ADARB2, WWP1, NPAS3, KCNQ5"
Sncg_8,"INPP4B, GRIK2, CXCL14, COL21A1, AL589740.1, FSTL5, SGO1-AS1, CCNH, NCAM2, CNR1",10,2,20.0,"GRIK2, CXCL14, COL21A1, AL589740.1, FSTL5, SGO1-AS1, CCNH, NCAM2",1,10.0,"INPP4B, GRIK2, COL21A1, AL589740.1, FSTL5, SGO1-AS1, CCNH, NCAM2, CNR1"
Sst Chodl_1,"NPY, NOS1, MPPED2, SOX6, SOX2-OT, TACR1, TMTC1, PLCB1, LRP8, CRHBP",10,6,60.0,"NPY, TMTC1, LRP8, CRHBP",2,20.0,"NPY, NOS1, MPPED2, SOX6, SOX2-OT, TMTC1, PLCB1, LRP8"
Sst Chodl_2,"GULP1, NPY, GRIK1, RBFOX1, NELL1, SOX6, CADPS, IL1RAPL2, KIF26B, LRP8",10,2,20.0,"GULP1, NPY, GRIK1, RBFOX1, CADPS, IL1RAPL2, KIF26B, LRP8",0,0.0,"GULP1, NPY, GRIK1, RBFOX1, NELL1, SOX6, CADPS, IL1RAPL2, KIF26B, LRP8"
Sst_1,"CDH9, EPB41L4A, KCND2, TRHDE, SAMD5, PAM, TENM3, GABRG3, PDE4B, BACH2",10,5,50.0,"CDH9, EPB41L4A, KCND2, TRHDE, TENM3",2,20.0,"CDH9, EPB41L4A, KCND2, PAM, TENM3, GABRG3, PDE4B, BACH2"
Sst_10,"TRHDE, CACNA2D3, PCDH7, SPHKAP, TRPC6, PALM2-AKAP2, CACNB2, ASTN2, COL19A1, SHISA6",10,2,20.0,"TRHDE, CACNA2D3, PCDH7, SPHKAP, PALM2-AKAP2, CACNB2, COL19A1, SHISA6",3,30.0,"CACNA2D3, PCDH7, PALM2-AKAP2, CACNB2, ASTN2, COL19A1, SHISA6"
Sst_11,"SMARCA2, KIF26B, TMEFF2, CDH12, SOX6, GRIK1, NKAIN2, PTPRO, KIAA1217, SPOCK3",10,3,30.0,"KIF26B, CDH12, GRIK1, NKAIN2, PTPRO, KIAA1217, SPOCK3",1,10.0,"SMARCA2, KIF26B, TMEFF2, SOX6, GRIK1, NKAIN2, PTPRO, KIAA1217, SPOCK3"
Sst_12,"TRHDE, ROBO1, GRID2, GRIK1, SHISA6, WLS, TMTC2, PAM, KCTD8, COL19A1",10,1,10.0,"TRHDE, ROBO1, GRID2, GRIK1, SHISA6, WLS, TMTC2, KCTD8, COL19A1",1,10.0,"ROBO1, GRID2, GRIK1, SHISA6, WLS, TMTC2, PAM, KCTD8, COL19A1"
Sst_13,"ASTN2, CACNA2D3, TRHDE, GRIN3A, CDH9, NETO1, NPAS3, GRIK1, KCNMB2, RBFOX1",10,2,20.0,"CACNA2D3, TRHDE, GRIN3A, CDH9, NPAS3, GRIK1, KCNMB2, RBFOX1",1,10.0,"ASTN2, CACNA2D3, GRIN3A, CDH9, NETO1, NPAS3, GRIK1, KCNMB2, RBFOX1"
Sst_19,"PCDH15, GRIK1, ASTN2, NETO1, PHACTR2, NPAS3, GRIN3A, MGAT4C, ROBO1, PLCH1",10,2,20.0,"PCDH15, GRIK1, PHACTR2, NPAS3, GRIN3A, MGAT4C, ROBO1, PLCH1",1,10.0,"PCDH15, GRIK1, ASTN2, NETO1, PHACTR2, NPAS3, GRIN3A, MGAT4C, ROBO1"
Sst_2,"PCSK5, EYS, SOX6, KIF26B, DLGAP1, TIAM1, GRIK1, PLCH1, RASGRF2, COL25A1",10,3,30.0,"PCSK5, EYS, KIF26B, DLGAP1, GRIK1, PLCH1, RASGRF2",2,20.0,"PCSK5, EYS, SOX6, KIF26B, DLGAP1, TIAM1, GRIK1, RASGRF2"
Sst_20,"RBMS3, NRXN3, CDH12, RBFOX1, KIF26B, ROBO2, GRIK1, SPOCK3, SOX6, TIAM1",10,3,30.0,"NRXN3, CDH12, RBFOX1, KIF26B, ROBO2, GRIK1, SPOCK3",1,10.0,"RBMS3, NRXN3, RBFOX1, KIF26B, ROBO2, GRIK1, SPOCK3, SOX6, TIAM1"
Sst_22,"GRIK1, NRXN3, RBFOX1, RBMS3, CDH12, MAN1A1, EYA2, TMEFF2, SPOCK3, KIF26B",10,3,30.0,"GRIK1, NRXN3, RBFOX1, CDH12, EYA2, SPOCK3, KIF26B",1,10.0,"GRIK1, NRXN3, RBFOX1, RBMS3, MAN1A1, EYA2, TMEFF2, SPOCK3, KIF26B"
Sst_23,"KIRREL3, CDH12, COL25A1, SOX6, PTPRT, TIAM1, KIAA1217, DMD, GRIK1, RASGRF2",10,4,40.0,"KIRREL3, CDH12, PTPRT, KIAA1217, GRIK1, RASGRF2",2,20.0,"KIRREL3, SOX6, PTPRT, TIAM1, KIAA1217, DMD, GRIK1, RASGRF2"
Sst_25,"SGCZ, CDH12, GRID2, GRIK1, NCAM2, KIRREL3, MAP3K5, CALB1, CRYBG3, ROBO2",10,3,30.0,"SGCZ, CDH12, GRID2, GRIK1, NCAM2, KIRREL3, ROBO2",1,10.0,"SGCZ, GRID2, GRIK1, NCAM2, KIRREL3, MAP3K5, CALB1, CRYBG3, ROBO2"
Sst_3,"GRIK1, ROBO1, NRXN3, RBFOX1, KIF26B, ROBO2, SST, CACNA2D3, PCSK5, PLCH1",10,0,0.0,"GRIK1, ROBO1, NRXN3, RBFOX1, KIF26B, ROBO2, SST, CACNA2D3, PCSK5, PLCH1",2,20.0,"GRIK1, ROBO1, NRXN3, RBFOX1, KIF26B, ROBO2, CACNA2D3, PCSK5"
Sst_4,"GRIN3A, PHACTR2, BRINP3, CDH9, CDH13, CTNND2, GRIK2, TRHDE, SLIT2, NPAS3",10,3,30.0,"GRIN3A, PHACTR2, BRINP3, CDH9, GRIK2, TRHDE, NPAS3",2,20.0,"GRIN3A, PHACTR2, CDH9, CDH13, CTNND2, GRIK2, SLIT2, NPAS3"
Sst_5,"BRINP3, GRID2, GPC6, FBN2, GRIN3A, SPOCK3, PLCB1, TRHDE, SLIT2, CTNND2",10,3,30.0,"BRINP3, GRID2, GPC6, FBN2, GRIN3A, SPOCK3, TRHDE",2,20.0,"GRID2, GPC6, FBN2, GRIN3A, SPOCK3, PLCB1, SLIT2, CTNND2"
Sst_7,"FBN2, ANO4, SLIT2, TRHDE, GPC6, LRRC4C, KCNMB2, BRINP3, SPOCK3, GRIK2",10,1,10.0,"FBN2, ANO4, TRHDE, GPC6, LRRC4C, KCNMB2, BRINP3, SPOCK3, GRIK2",2,20.0,"FBN2, ANO4, SLIT2, GPC6, LRRC4C, KCNMB2, SPOCK3, GRIK2"
Sst_9,"SPHKAP, AUTS2, NAV2, TRHDE, PTPRT, DAPK1, PRKG2, ST6GALNAC5, PCDH7, PCDH11X",10,3,30.0,"SPHKAP, AUTS2, TRHDE, PTPRT, PRKG2, ST6GALNAC5, PCDH7",2,20.0,"AUTS2, NAV2, PTPRT, DAPK1, PRKG2, ST6GALNAC5, PCDH7, PCDH11X"
VLMC_1,"LAMA2, COLEC12, ABCA9, ATP1A2, RBMS3, RORA, MIR99AHG, RNF220, NTRK3, DCN",10,2,20.0,"LAMA2, ABCA9, ATP1A2, RORA, MIR99AHG, RNF220, NTRK3, DCN",2,20.0,"COLEC12, ABCA9, ATP1A2, RBMS3, RORA, MIR99AHG, RNF220, NTRK3"
VLMC_2,"ATP1A2, SLC19A1, EPS8, EBF1, IGFBP7, CALD1, DLC1, MYO1B, LHFPL6, PTEN",10,4,40.0,"ATP1A2, EPS8, IGFBP7, CALD1, DLC1, LHFPL6",0,0.0,"ATP1A2, SLC19A1, EPS8, EBF1, IGFBP7, CALD1, DLC1, MYO1B, LHFPL6, PTEN"
Vip_1,"SHISA8, VIP, GALNT17, THSD7A, SYNPR, CCNG2, PROX1, CALN1, RGS6, PDE3A",10,3,30.0,"SHISA8, GALNT17, THSD7A, SYNPR, CCNG2, CALN1, RGS6",3,30.0,"SHISA8, GALNT17, THSD7A, CCNG2, CALN1, RGS6, PDE3A"
Vip_11,"RYR3, SHISA8, HTR1E, THSD7A, L3MBTL4, LINGO2, CALN1, IGFBP5, RERG, KMO",10,4,40.0,"RYR3, SHISA8, THSD7A, L3MBTL4, CALN1, IGFBP5",2,20.0,"SHISA8, HTR1E, THSD7A, L3MBTL4, LINGO2, CALN1, RERG, KMO"
Vip_12,"VIP, LAMA3, GALNT17, RGS6, SHISA8, CCNH, GPR149, SEMA6D, TAC3, SLC22A3",10,4,40.0,"GALNT17, RGS6, SHISA8, CCNH, SEMA6D, SLC22A3",1,10.0,"LAMA3, GALNT17, RGS6, SHISA8, CCNH, GPR149, SEMA6D, TAC3, SLC22A3"
Vip_13,"SHISA8, RYR3, THSD7A, LRRC3B, VIP, ADAMTS6, PLCE1, CALN1, MYRIP, SEZ6",10,3,30.0,"SHISA8, RYR3, THSD7A, ADAMTS6, CALN1, MYRIP, SEZ6",3,30.0,"SHISA8, THSD7A, LRRC3B, ADAMTS6, CALN1, MYRIP, SEZ6"
Vip_14,"NCAM2, PLD5, TMTC2, CXCL14, PEX5L, KCTD8, DLX6-AS1, GPR158, PDE4D, BRINP1",10,2,20.0,"NCAM2, PLD5, TMTC2, CXCL14, PEX5L, KCTD8, DLX6-AS1, PDE4D",2,20.0,"NCAM2, TMTC2, PEX5L, KCTD8, DLX6-AS1, GPR158, PDE4D, BRINP1"
Vip_15,"THSD7B, SDK1, DACH2, DLX6-AS1, PLD5, GRM7, CXCL14, ADARB2, ZBTB20, MTUS2",10,2,20.0,"THSD7B, SDK1, DLX6-AS1, PLD5, CXCL14, ADARB2, ZBTB20, MTUS2",4,40.0,"DACH2, DLX6-AS1, GRM7, ADARB2, ZBTB20, MTUS2"
Vip_16,"THSD7B, CNTN4, SNTG1, PLD5, DLX6-AS1, MIR99AHG, ROBO1, ARHGAP18, GALNT13, ADARB2",10,0,0.0,"THSD7B, CNTN4, SNTG1, PLD5, DLX6-AS1, MIR99AHG, ROBO1, ARHGAP18, GALNT13, ADARB2",2,20.0,"CNTN4, SNTG1, DLX6-AS1, MIR99AHG, ROBO1, ARHGAP18, GALNT13, ADARB2"
Vip_18,"GALNT17, RGS6, SNTG1, PDE3A, NELL1, LAMA3, THSD7B, IQGAP2, SLC22A3, PTH2R",10,5,50.0,"GALNT17, RGS6, SNTG1, THSD7B, SLC22A3",1,10.0,"GALNT17, RGS6, SNTG1, PDE3A, NELL1, LAMA3, IQGAP2, SLC22A3, PTH2R"
Vip_19,"VIP, NR3C2, PDE3A, LAMA3, CCNG2, SMOC1, SEMA6D, DLX6-AS1, ABI3BP, ADARB2",10,6,60.0,"CCNG2, SEMA6D, DLX6-AS1, ADARB2",1,10.0,"NR3C2, PDE3A, LAMA3, CCNG2, SMOC1, SEMA6D, DLX6-AS1, ABI3BP, ADARB2"
Vip_2,"SOX2-OT, TAC3, CSMD1, LINC01322, AC092422.1, HTR2C, GALNT13, SHISA8, THSD7A, GALNTL6",10,3,30.0,"CSMD1, LINC01322, AC092422.1, GALNT13, SHISA8, THSD7A, GALNTL6",1,10.0,"SOX2-OT, TAC3, CSMD1, LINC01322, AC092422.1, GALNT13, SHISA8, THSD7A, GALNTL6"
Vip_21,"CNR1, SORCS3, PRR16, SORCS1, VIP, VWC2L, NR3C2, CNTN5, SVIL, LINC01470",10,5,50.0,"SORCS3, PRR16, VWC2L, CNTN5, LINC01470",3,30.0,"CNR1, SORCS3, PRR16, NR3C2, CNTN5, SVIL, LINC01470"
Vip_23,"ZBTB20, SOX2-OT, C8orf34, FIGN, SDK1, PARD3, IQGAP2, KCNT2, SCG2, ANKS1B",10,5,50.0,"ZBTB20, C8orf34, FIGN, SDK1, ANKS1B",1,10.0,"ZBTB20, SOX2-OT, C8orf34, FIGN, PARD3, IQGAP2, KCNT2, SCG2, ANKS1B"
Vip_4,"CNR1, ADRA1B, CALB2, AC013265.1, PTPRE, VIP, AL589740.1, CNTNAP4, CADM2, LRP1B",10,5,50.0,"AC013265.1, PTPRE, AL589740.1, CADM2, LRP1B",2,20.0,"CNR1, CALB2, AC013265.1, PTPRE, AL589740.1, CNTNAP4, CADM2, LRP1B"
Vip_5,"CNR1, AL589693.1, CHRNA7, CCK, NPAS3, KCNT2, WWP1, ADARB2, ADRA1B, CNTNAP4",10,7,70.0,"AL589693.1, NPAS3, ADARB2",2,20.0,"CNR1, AL589693.1, CHRNA7, NPAS3, KCNT2, WWP1, ADARB2, CNTNAP4"
Vip_6,"KCNT2, AL589740.1, ALCAM, ZMAT4, GPHN, ADRA1B, NR2F2-AS1, EDIL3, FAM126A, AL356108.1",10,5,50.0,"AL589740.1, ZMAT4, NR2F2-AS1, FAM126A, AL356108.1",1,10.0,"KCNT2, AL589740.1, ALCAM, ZMAT4, GPHN, NR2F2-AS1, EDIL3, FAM126A, AL356108.1"
Vip_9,"KCNT2, AL589740.1, CSMD1, THSD7A, AL136114.1, AC016766.1, B4GALT6, KMO, SYNPR, ZMAT4",10,2,20.0,"AL589740.1, CSMD1, THSD7A, AL136114.1, AC016766.1, B4GALT6, SYNPR, ZMAT4",1,10.0,"KCNT2, AL589740.1, CSMD1, THSD7A, AL136114.1, AC016766.1, B4GALT6, KMO, ZMAT4"
