supertype,gene,frac_snrna,detection_efficiency,predicted_spatial,calibration_source,in_merscope_4k,in_merscope_250,in_xenium_5k,in_xenium_v1
Sst_2,COL25A1,0.9373297002724795,0.3997311042664793,0.3746798361516863,estimated,False,False,True,True
Sst_20,RBMS3,1.0,0.09568789524479253,0.09568789524479253,MERSCOPE_4K,True,False,True,False
Sst_20,NRXN3,1.0,0.23578734703811277,0.23578734703811277,MERSCOPE_4K,True,False,False,False
Sst_20,CDH12,0.9974489795918368,0.3997311042664793,0.39871138206171786,estimated,False,False,False,True
Sst_20,RBFOX1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_20,KIF26B,0.9948979591836735,0.152482899317762,0.15170492534165098,MERSCOPE_4K,True,False,False,False
Sst_20,ROBO2,1.0,0.07221732369787696,0.07221732369787696,MERSCOPE_4K,True,False,False,False
Sst_20,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_20,SPOCK3,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_20,SOX6,0.9948979591836735,0.29433254495288674,0.29283084829496386,MERSCOPE_4K,True,True,True,False
Sst_20,TIAM1,0.9974489795918368,0.3997311042664793,0.39871138206171786,estimated,False,False,True,False
Sst_22,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_22,NRXN3,1.0,0.23578734703811277,0.23578734703811277,MERSCOPE_4K,True,False,False,False
Sst_22,RBFOX1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_22,RBMS3,0.9957264957264957,0.09568789524479253,0.09527897261554127,MERSCOPE_4K,True,False,True,False
Sst_22,CDH12,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,True
Sst_22,MAN1A1,0.9829059829059829,0.2718964571919304,0.2672486545048888,MERSCOPE_4K,True,False,True,False
Sst_22,EYA2,0.9230769230769231,0.3997311042664793,0.36898255778444244,estimated,False,False,False,False
Sst_22,TMEFF2,1.0,0.14479753818977234,0.14479753818977234,MERSCOPE_4K,True,False,True,False
Sst_22,SPOCK3,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_22,KIF26B,0.9914529914529915,0.152482899317762,0.15117962667402043,MERSCOPE_4K,True,False,False,False
Sst_23,KIRREL3,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_23,CDH12,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,True
Sst_23,COL25A1,0.9824945295404814,0.3997311042664793,0.3927336232289917,estimated,False,False,True,True
Sst_23,SOX6,1.0,0.29433254495288674,0.29433254495288674,MERSCOPE_4K,True,True,True,False
Sst_23,PTPRT,0.9978118161925602,0.23534433134933286,0.2348293546943015,MERSCOPE_4K,True,False,False,False
Sst_23,TIAM1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_23,KIAA1217,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_23,DMD,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_23,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_23,RASGRF2,0.9978118161925602,0.3130902774684391,0.31240517839301585,MERSCOPE_4K,True,False,False,False
Sst_25,SGCZ,1.0,0.07644350360141472,0.07644350360141472,MERSCOPE_4K,True,True,False,False
Sst_25,CDH12,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,True
Sst_25,GRID2,1.0,0.17710610045365896,0.17710610045365896,MERSCOPE_4K,True,True,False,False
Sst_25,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_25,NCAM2,1.0,0.10536121095634812,0.10536121095634812,MERSCOPE_4K,True,True,False,False
Sst_25,KIRREL3,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_25,MAP3K5,0.9956584659913169,0.34914791456821703,0.3476320770230583,MERSCOPE_4K,True,False,True,False
Sst_25,CALB1,0.8986975397973951,0.5946568027572269,0.5344166056617046,MERSCOPE_4K,True,False,True,False
Sst_25,CRYBG3,0.9276410998552822,0.7370485090008048,0.6837164895362023,MERSCOPE_4K,True,False,True,False
Sst_25,ROBO2,1.0,0.07221732369787696,0.07221732369787696,MERSCOPE_4K,True,False,False,False
Sst_3,GRIK1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_3,ROBO1,1.0,0.27588367369714106,0.27588367369714106,MERSCOPE_4K,True,True,False,False
Sst_3,NRXN3,1.0,0.23578734703811277,0.23578734703811277,MERSCOPE_4K,True,False,False,False
Sst_3,RBFOX1,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_3,KIF26B,0.9957310565635006,0.152482899317762,0.15183195844554104,MERSCOPE_4K,True,False,False,False
Sst_3,ROBO2,1.0,0.07221732369787696,0.07221732369787696,MERSCOPE_4K,True,False,False,False
Sst_3,SST,0.9402347918890075,0.3997311042664793,0.3758410916315563,estimated,False,False,False,True
Sst_3,CACNA2D3,0.9983991462113126,0.2690096757509605,0.26857903059234106,MERSCOPE_4K,True,False,False,False
Sst_3,PCSK5,0.9610458911419424,0.12270725031326356,0.11792729872688777,MERSCOPE_4K,True,False,False,False
Sst_3,PLCH1,0.9823906083244397,0.35504642257443075,0.3487942710563111,MERSCOPE_4K,True,True,False,True
Sst_4,GRIN3A,0.9979035639412998,0.23261379893620382,0.23212613898036272,MERSCOPE_4K,True,True,False,False
Sst_4,PHACTR2,0.9979035639412998,0.14906448304002928,0.14875197888271266,MERSCOPE_4K,True,False,False,False
Sst_4,BRINP3,0.9979035639412998,0.34675177201164037,0.34602482909337695,MERSCOPE_4K,True,True,False,True
Sst_4,CDH9,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_4,CDH13,1.0,0.0693784014419066,0.0693784014419066,MERSCOPE_4K,True,True,True,False
Sst_4,CTNND2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_4,GRIK2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_4,TRHDE,1.0,0.11284358556967201,0.11284358556967201,MERSCOPE_4K,True,True,False,True
Sst_4,SLIT2,1.0,0.2477771902284738,0.2477771902284738,MERSCOPE_4K,True,True,True,False
Sst_4,NPAS3,1.0,0.16849887520501033,0.16849887520501033,MERSCOPE_4K,True,True,False,False
Sst_5,BRINP3,1.0,0.34675177201164037,0.34675177201164037,MERSCOPE_4K,True,True,False,True
Sst_5,GRID2,1.0,0.17710610045365896,0.17710610045365896,MERSCOPE_4K,True,True,False,False
Sst_5,GPC6,1.0,0.07244516691598372,0.07244516691598372,MERSCOPE_4K,True,True,False,False
Sst_5,FBN2,0.9705372616984402,0.188891824466763,0.1833265540751946,MERSCOPE_4K,True,True,False,False
Sst_5,GRIN3A,0.9982668977469671,0.23261379893620382,0.23221065543718095,MERSCOPE_4K,True,True,False,False
Sst_5,SPOCK3,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_5,PLCB1,1.0,0.03420910495663646,0.03420910495663646,MERSCOPE_4K,True,False,True,False
Sst_5,TRHDE,1.0,0.11284358556967201,0.11284358556967201,MERSCOPE_4K,True,True,False,True
Sst_5,SLIT2,1.0,0.2477771902284738,0.2477771902284738,MERSCOPE_4K,True,True,True,False
Sst_5,CTNND2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_7,FBN2,0.963265306122449,0.188891824466763,0.18195294111900437,MERSCOPE_4K,True,True,False,False
Sst_7,ANO4,0.9959183673469387,0.3997311042664793,0.398099548738861,estimated,False,False,False,False
Sst_7,SLIT2,0.9959183673469387,0.2477771902284738,0.2467658547581535,MERSCOPE_4K,True,True,True,False
Sst_7,TRHDE,1.0,0.11284358556967201,0.11284358556967201,MERSCOPE_4K,True,True,False,True
Sst_7,GPC6,0.9959183673469387,0.07244516691598372,0.07214947235714297,MERSCOPE_4K,True,True,False,False
Sst_7,LRRC4C,0.9918367346938776,0.3997311042664793,0.3964679932112427,estimated,False,False,False,False
Sst_7,KCNMB2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_7,BRINP3,0.9714285714285714,0.34675177201164037,0.3368445785255935,MERSCOPE_4K,True,True,False,True
Sst_7,SPOCK3,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_7,GRIK2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_9,SPHKAP,0.9615819209039548,0.3997311042664793,0.3843742030856202,estimated,False,False,False,True
Sst_9,AUTS2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_9,NAV2,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,True,False
Sst_9,TRHDE,0.9954802259887006,0.11284358556967201,0.11233355806427237,MERSCOPE_4K,True,True,False,True
Sst_9,PTPRT,0.9966101694915255,0.23534433134933286,0.23454655395492835,MERSCOPE_4K,True,False,False,False
Sst_9,DAPK1,0.9943502824858758,0.3997311042664793,0.39747273644576475,estimated,False,False,True,False
Sst_9,PRKG2,0.9491525423728814,0.19697516202886026,0.18695947582400296,MERSCOPE_4K,True,False,False,False
Sst_9,ST6GALNAC5,1.0,0.3997311042664793,0.3997311042664793,estimated,False,False,False,False
Sst_9,PCDH7,0.984180790960452,0.254251071692692,0.2502290208410562,MERSCOPE_4K,True,True,False,False
Sst_9,PCDH11X,0.9977401129943503,0.15056776865256039,0.15022750250871278,MERSCOPE_4K,True,True,True,False
