supertype,n_markers,markers,n_in_MERSCOPE_250,pct_MERSCOPE_250,missing_MERSCOPE_250,n_in_MERSCOPE_4K,pct_MERSCOPE_4K,missing_MERSCOPE_4K,n_in_Xenium_5K,pct_Xenium_5K,missing_Xenium_5K,n_in_Xenium_v1,pct_Xenium_v1,missing_Xenium_v1
Sst_2,10,"PCSK5, EYS, SOX6, KIF26B, DLGAP1, TIAM1, GRIK1, PLCH1, RASGRF2, COL25A1",2,20.0,"COL25A1, DLGAP1, EYS, GRIK1, KIF26B, PCSK5, RASGRF2, TIAM1",6,60.0,"COL25A1, DLGAP1, GRIK1, TIAM1",3,30.0,"DLGAP1, EYS, GRIK1, KIF26B, PCSK5, PLCH1, RASGRF2",2,20.0,"DLGAP1, EYS, GRIK1, KIF26B, PCSK5, RASGRF2, SOX6, TIAM1"
Sst_20,10,"RBMS3, NRXN3, CDH12, RBFOX1, KIF26B, ROBO2, GRIK1, SPOCK3, SOX6, TIAM1",1,10.0,"CDH12, GRIK1, KIF26B, NRXN3, RBFOX1, RBMS3, ROBO2, SPOCK3, TIAM1",5,50.0,"CDH12, GRIK1, RBFOX1, SPOCK3, TIAM1",3,30.0,"CDH12, GRIK1, KIF26B, NRXN3, RBFOX1, ROBO2, SPOCK3",1,10.0,"GRIK1, KIF26B, NRXN3, RBFOX1, RBMS3, ROBO2, SOX6, SPOCK3, TIAM1"
Sst_22,10,"GRIK1, NRXN3, RBFOX1, RBMS3, CDH12, MAN1A1, EYA2, TMEFF2, SPOCK3, KIF26B",0,0.0,"CDH12, EYA2, GRIK1, KIF26B, MAN1A1, NRXN3, RBFOX1, RBMS3, SPOCK3, TMEFF2",5,50.0,"CDH12, EYA2, GRIK1, RBFOX1, SPOCK3",3,30.0,"CDH12, EYA2, GRIK1, KIF26B, NRXN3, RBFOX1, SPOCK3",1,10.0,"EYA2, GRIK1, KIF26B, MAN1A1, NRXN3, RBFOX1, RBMS3, SPOCK3, TMEFF2"
Sst_23,10,"KIRREL3, CDH12, COL25A1, SOX6, PTPRT, TIAM1, KIAA1217, DMD, GRIK1, RASGRF2",1,10.0,"CDH12, COL25A1, DMD, GRIK1, KIAA1217, KIRREL3, PTPRT, RASGRF2, TIAM1",3,30.0,"CDH12, COL25A1, DMD, GRIK1, KIAA1217, KIRREL3, TIAM1",4,40.0,"CDH12, GRIK1, KIAA1217, KIRREL3, PTPRT, RASGRF2",2,20.0,"DMD, GRIK1, KIAA1217, KIRREL3, PTPRT, RASGRF2, SOX6, TIAM1"
Sst_25,10,"SGCZ, CDH12, GRID2, GRIK1, NCAM2, KIRREL3, MAP3K5, CALB1, CRYBG3, ROBO2",3,30.0,"CALB1, CDH12, CRYBG3, GRIK1, KIRREL3, MAP3K5, ROBO2",7,70.0,"CDH12, GRIK1, KIRREL3",3,30.0,"CDH12, GRID2, GRIK1, KIRREL3, NCAM2, ROBO2, SGCZ",1,10.0,"CALB1, CRYBG3, GRID2, GRIK1, KIRREL3, MAP3K5, NCAM2, ROBO2, SGCZ"
Sst_3,10,"GRIK1, ROBO1, NRXN3, RBFOX1, KIF26B, ROBO2, SST, CACNA2D3, PCSK5, PLCH1",2,20.0,"CACNA2D3, GRIK1, KIF26B, NRXN3, PCSK5, RBFOX1, ROBO2, SST",7,70.0,"GRIK1, RBFOX1, SST",0,0.0,"CACNA2D3, GRIK1, KIF26B, NRXN3, PCSK5, PLCH1, RBFOX1, ROBO1, ROBO2, SST",2,20.0,"CACNA2D3, GRIK1, KIF26B, NRXN3, PCSK5, RBFOX1, ROBO1, ROBO2"
Sst_4,10,"GRIN3A, PHACTR2, BRINP3, CDH9, CDH13, CTNND2, GRIK2, TRHDE, SLIT2, NPAS3",6,60.0,"CDH9, CTNND2, GRIK2, PHACTR2",7,70.0,"CDH9, CTNND2, GRIK2",3,30.0,"BRINP3, CDH9, GRIK2, GRIN3A, NPAS3, PHACTR2, TRHDE",2,20.0,"CDH13, CDH9, CTNND2, GRIK2, GRIN3A, NPAS3, PHACTR2, SLIT2"
Sst_5,10,"BRINP3, GRID2, GPC6, FBN2, GRIN3A, SPOCK3, PLCB1, TRHDE, SLIT2, CTNND2",7,70.0,"CTNND2, PLCB1, SPOCK3",8,80.0,"CTNND2, SPOCK3",3,30.0,"BRINP3, FBN2, GPC6, GRID2, GRIN3A, SPOCK3, TRHDE",2,20.0,"CTNND2, FBN2, GPC6, GRID2, GRIN3A, PLCB1, SLIT2, SPOCK3"
Sst_7,10,"FBN2, ANO4, SLIT2, TRHDE, GPC6, LRRC4C, KCNMB2, BRINP3, SPOCK3, GRIK2",5,50.0,"ANO4, GRIK2, KCNMB2, LRRC4C, SPOCK3",5,50.0,"ANO4, GRIK2, KCNMB2, LRRC4C, SPOCK3",1,10.0,"ANO4, BRINP3, FBN2, GPC6, GRIK2, KCNMB2, LRRC4C, SPOCK3, TRHDE",2,20.0,"ANO4, FBN2, GPC6, GRIK2, KCNMB2, LRRC4C, SLIT2, SPOCK3"
Sst_9,10,"SPHKAP, AUTS2, NAV2, TRHDE, PTPRT, DAPK1, PRKG2, ST6GALNAC5, PCDH7, PCDH11X",3,30.0,"AUTS2, DAPK1, NAV2, PRKG2, PTPRT, SPHKAP, ST6GALNAC5",5,50.0,"AUTS2, DAPK1, NAV2, SPHKAP, ST6GALNAC5",3,30.0,"AUTS2, PCDH7, PRKG2, PTPRT, SPHKAP, ST6GALNAC5, TRHDE",2,20.0,"AUTS2, DAPK1, NAV2, PCDH11X, PCDH7, PRKG2, PTPRT, ST6GALNAC5"
