supertype,n_markers,markers,n_in_MERSCOPE_250,pct_MERSCOPE_250,missing_MERSCOPE_250,n_in_MERSCOPE_4K,pct_MERSCOPE_4K,missing_MERSCOPE_4K,n_in_Xenium_5K,pct_Xenium_5K,missing_Xenium_5K,n_in_Xenium_v1,pct_Xenium_v1,missing_Xenium_v1
L6b_6,10,"MARCH1, ZFHX3, DLC1, LINC02232, MDFIC, SEMA3D, HS3ST4, TLE4, AC022126.1, ARSJ",4,40.0,"AC022126.1, HS3ST4, LINC02232, MARCH1, MDFIC, ZFHX3",6,60.0,"AC022126.1, LINC02232, MARCH1, MDFIC",3,30.0,"AC022126.1, ARSJ, DLC1, HS3ST4, LINC02232, MARCH1, TLE4",1,10.0,"AC022126.1, ARSJ, DLC1, LINC02232, MARCH1, MDFIC, SEMA3D, TLE4, ZFHX3"
Lamp5_1,10,"UNC13C, KIT, FGF13, EYA4, FGF14, FBXL7, NFIB, SLC6A1, PTCHD4, SOX2-OT",6,60.0,"FGF14, NFIB, SOX2-OT, UNC13C",8,80.0,"FGF14, NFIB",5,50.0,"FBXL7, FGF14, NFIB, PTCHD4, UNC13C",3,30.0,"FBXL7, FGF13, FGF14, NFIB, SLC6A1, SOX2-OT, UNC13C"
Lamp5_2,10,"KIT, FGF13, UNC13C, TRPC3, FBXL7, PRELID2, FGF14, AC132803.1, EYA4, SLC6A1",5,50.0,"AC132803.1, FGF14, PRELID2, TRPC3, UNC13C",6,60.0,"AC132803.1, FGF14, PRELID2, TRPC3",5,50.0,"AC132803.1, FBXL7, FGF14, PRELID2, UNC13C",2,20.0,"AC132803.1, FBXL7, FGF13, FGF14, PRELID2, SLC6A1, TRPC3, UNC13C"
Lamp5_3,10,"MACROD2, KIT, FGF13, TRPC3, GRIN2A, CACNA2D1, FGF14, EYA4, PTCHD4, FREM1",5,50.0,"FGF14, FREM1, GRIN2A, MACROD2, TRPC3",7,70.0,"FGF14, MACROD2, TRPC3",6,60.0,"FGF14, GRIN2A, MACROD2, PTCHD4",3,30.0,"CACNA2D1, FGF13, FGF14, FREM1, GRIN2A, MACROD2, TRPC3"
Lamp5_4,10,"FREM1, CACNA2D1, RELN, TRPC3, FGF14, GRIN2A, SV2C, FRAS1, INPP4B, NEBL",4,40.0,"FGF14, FREM1, GRIN2A, NEBL, RELN, TRPC3",7,70.0,"FGF14, NEBL, TRPC3",8,80.0,"FGF14, GRIN2A",1,10.0,"CACNA2D1, FGF14, FRAS1, FREM1, GRIN2A, INPP4B, NEBL, SV2C, TRPC3"
Lamp5_5,10,"RELN, INPP4B, SV2C, HS3ST5, FRAS1, FREM1, FSTL5, CXCL14, COL5A2, SLC6A1",5,50.0,"CXCL14, FREM1, FSTL5, HS3ST5, RELN",8,80.0,"CXCL14, FSTL5",8,80.0,"CXCL14, FSTL5",2,20.0,"COL5A2, FRAS1, FREM1, FSTL5, HS3ST5, INPP4B, SLC6A1, SV2C"
Lamp5_6,10,"INPP4B, RELN, HS3ST5, FSTL5, CXCL14, COL5A2, SV2C, EGFR, CNTNAP4, PRELID2",4,40.0,"CNTNAP4, CXCL14, FSTL5, HS3ST5, PRELID2, RELN",6,60.0,"CNTNAP4, CXCL14, FSTL5, PRELID2",7,70.0,"CXCL14, FSTL5, PRELID2",3,30.0,"CNTNAP4, COL5A2, FSTL5, HS3ST5, INPP4B, PRELID2, SV2C"
Lamp5_Lhx6_1,10,"PDGFD, FGF13, UNC5D, NTNG1, EYA4, CHST9, GRIA4, MYO16, FBXL7, GRIN2A",5,50.0,"GRIA4, GRIN2A, MYO16, PDGFD, UNC5D",7,70.0,"GRIA4, MYO16, PDGFD",3,30.0,"CHST9, FBXL7, GRIA4, GRIN2A, MYO16, NTNG1, UNC5D",4,40.0,"CHST9, FBXL7, FGF13, GRIA4, GRIN2A, UNC5D"
Micro-PVM_1,10,"MRC1, SLC9A9, LRMDA, STARD13, ITPR2, ARHGAP24, DISC1, NEAT1, MBNL1, SELENOP",2,20.0,"ARHGAP24, DISC1, LRMDA, MBNL1, MRC1, NEAT1, SELENOP, STARD13",3,30.0,"ARHGAP24, DISC1, LRMDA, MBNL1, NEAT1, SELENOP, STARD13",3,30.0,"ARHGAP24, ITPR2, LRMDA, NEAT1, SELENOP, SLC9A9, STARD13",1,10.0,"DISC1, ITPR2, LRMDA, MBNL1, MRC1, NEAT1, SELENOP, SLC9A9, STARD13"
Micro-PVM_2,10,"PLXDC2, DOCK4, LRMDA, MEF2A, SFMBT2, ARHGAP24, SRGAP2, SORL1, DOCK8, ITPR2",3,30.0,"ARHGAP24, DOCK4, DOCK8, LRMDA, MEF2A, PLXDC2, SRGAP2",6,60.0,"ARHGAP24, DOCK4, LRMDA, MEF2A",2,20.0,"ARHGAP24, DOCK4, DOCK8, ITPR2, LRMDA, PLXDC2, SFMBT2, SRGAP2",1,10.0,"DOCK4, DOCK8, ITPR2, LRMDA, MEF2A, PLXDC2, SFMBT2, SORL1, SRGAP2"
Micro-PVM_2_3-SEAAD,10,"DOCK8, SYNDIG1, DOCK4, PLXDC2, INPP5D, LRMDA, MEF2A, ARHGAP24, SRGAP2, SORL1",1,10.0,"ARHGAP24, DOCK4, DOCK8, INPP5D, LRMDA, MEF2A, PLXDC2, SRGAP2, SYNDIG1",5,50.0,"ARHGAP24, DOCK4, INPP5D, LRMDA, MEF2A",3,30.0,"ARHGAP24, DOCK4, DOCK8, LRMDA, PLXDC2, SRGAP2, SYNDIG1",1,10.0,"DOCK4, DOCK8, INPP5D, LRMDA, MEF2A, PLXDC2, SORL1, SRGAP2, SYNDIG1"
OPC_1,10,"BCAS1, GPR17, TNS3, FYN, SEMA5A, CRB1, TNR, TMEM163, DSCAM, OPHN1",1,10.0,"BCAS1, CRB1, FYN, GPR17, OPHN1, SEMA5A, TMEM163, TNR, TNS3",6,60.0,"CRB1, FYN, GPR17, OPHN1",3,30.0,"BCAS1, CRB1, DSCAM, OPHN1, SEMA5A, TMEM163, TNS3",1,10.0,"BCAS1, CRB1, DSCAM, FYN, GPR17, OPHN1, TMEM163, TNR, TNS3"
OPC_2,10,"PTPRZ1, TNR, LHFPL3, DSCAM, PCDH15, VCAN, NOVA1, LRRC4C, XYLT1, EPN2",3,30.0,"EPN2, LHFPL3, LRRC4C, NOVA1, PTPRZ1, TNR, XYLT1",7,70.0,"EPN2, LHFPL3, LRRC4C",2,20.0,"DSCAM, EPN2, LHFPL3, LRRC4C, NOVA1, PCDH15, VCAN, XYLT1",2,20.0,"DSCAM, EPN2, LHFPL3, LRRC4C, NOVA1, PCDH15, TNR, XYLT1"
OPC_2_1-SEAAD,10,"PTPRZ1, TNR, VCAN, LHFPL3, XYLT1, EPN2, DSCAM, PCDH15, LRRC4C, AC004852.2",3,30.0,"AC004852.2, EPN2, LHFPL3, LRRC4C, PTPRZ1, TNR, XYLT1",6,60.0,"AC004852.2, EPN2, LHFPL3, LRRC4C",2,20.0,"AC004852.2, DSCAM, EPN2, LHFPL3, LRRC4C, PCDH15, VCAN, XYLT1",2,20.0,"AC004852.2, DSCAM, EPN2, LHFPL3, LRRC4C, PCDH15, TNR, XYLT1"
Oligo_1,10,"ST18, TF, MBP, RNF220, QKI, MOBP, CTNNA3, SLC44A1, PLP1, MAP7",2,20.0,"MAP7, MBP, MOBP, PLP1, QKI, RNF220, SLC44A1, TF",3,30.0,"MAP7, MOBP, PLP1, QKI, RNF220, SLC44A1, TF",1,10.0,"CTNNA3, MBP, MOBP, PLP1, QKI, RNF220, SLC44A1, ST18, TF",3,30.0,"MAP7, MBP, PLP1, QKI, RNF220, SLC44A1, TF"
Oligo_2,10,"PIP4K2A, ST18, CTNNA3, SLC44A1, PHLPP1, MBP, RNF220, SIK3, PLP1, QKI",2,20.0,"MBP, PHLPP1, PIP4K2A, PLP1, QKI, RNF220, SIK3, SLC44A1",3,30.0,"PHLPP1, PIP4K2A, PLP1, QKI, RNF220, SIK3, SLC44A1",3,30.0,"CTNNA3, MBP, PLP1, QKI, RNF220, SLC44A1, ST18",2,20.0,"MBP, PHLPP1, PIP4K2A, PLP1, QKI, RNF220, SIK3, SLC44A1"
Oligo_2_1-SEAAD,10,"SIK3, KCNH8, PHLPP1, ENPP2, CTNNA3, PDE4B, RNF220, IL1RAPL1, ST18, DOCK5",2,20.0,"DOCK5, ENPP2, IL1RAPL1, KCNH8, PDE4B, PHLPP1, RNF220, SIK3",4,40.0,"ENPP2, KCNH8, PDE4B, PHLPP1, RNF220, SIK3",4,40.0,"CTNNA3, DOCK5, IL1RAPL1, KCNH8, RNF220, ST18",2,20.0,"DOCK5, ENPP2, IL1RAPL1, KCNH8, PDE4B, PHLPP1, RNF220, SIK3"
Oligo_3,10,"PLP1, CREB5, PIP4K2A, SIK3, TTLL7, SLC44A1, MBP, ERBIN, TRIM2, QKI",0,0.0,"CREB5, ERBIN, MBP, PIP4K2A, PLP1, QKI, SIK3, SLC44A1, TRIM2, TTLL7",3,30.0,"ERBIN, PIP4K2A, PLP1, QKI, SIK3, SLC44A1, TTLL7",3,30.0,"ERBIN, MBP, PLP1, QKI, SLC44A1, TRIM2, TTLL7",0,0.0,"CREB5, ERBIN, MBP, PIP4K2A, PLP1, QKI, SIK3, SLC44A1, TRIM2, TTLL7"
Oligo_4,10,"PLP1, SLC44A1, MBP, PIP4K2A, ST18, CTNNA3, PTGDS, QKI, SIK3, RNF220",2,20.0,"MBP, PIP4K2A, PLP1, PTGDS, QKI, RNF220, SIK3, SLC44A1",3,30.0,"PIP4K2A, PLP1, PTGDS, QKI, RNF220, SIK3, SLC44A1",2,20.0,"CTNNA3, MBP, PLP1, PTGDS, QKI, RNF220, SLC44A1, ST18",2,20.0,"MBP, PIP4K2A, PLP1, PTGDS, QKI, RNF220, SIK3, SLC44A1"
Pax6_1,10,"RELN, DDR2, SORCS3, CDH4, CXCL14, CCK, IL1RAPL2, CNR1, WIF1, RBMS3",2,20.0,"CCK, CDH4, CNR1, CXCL14, DDR2, RBMS3, RELN, SORCS3",8,80.0,"CCK, CXCL14",5,50.0,"CDH4, CXCL14, IL1RAPL2, SORCS3, WIF1",6,60.0,"CNR1, IL1RAPL2, RBMS3, SORCS3"
Pax6_2,10,"CDH4, ALK, KLHL29, DDR2, RELN, SPHKAP, HMBOX1, SORCS3, ANGPT1, RASGEF1B",0,0.0,"ALK, ANGPT1, CDH4, DDR2, HMBOX1, KLHL29, RASGEF1B, RELN, SORCS3, SPHKAP",7,70.0,"ALK, HMBOX1, SPHKAP",4,40.0,"CDH4, HMBOX1, KLHL29, RASGEF1B, SORCS3, SPHKAP",6,60.0,"HMBOX1, KLHL29, RASGEF1B, SORCS3"
Pax6_3,10,"CNR1, SGCD, ZNF385D, YJEFN3, PCLO, SORCS3, ARHGAP6, DOCK8, EEPD1, EPS8",2,20.0,"ARHGAP6, CNR1, DOCK8, EEPD1, EPS8, PCLO, SORCS3, YJEFN3",7,70.0,"EEPD1, EPS8, YJEFN3",2,20.0,"ARHGAP6, DOCK8, EEPD1, EPS8, PCLO, SGCD, SORCS3, ZNF385D",0,0.0,"ARHGAP6, CNR1, DOCK8, EEPD1, EPS8, PCLO, SGCD, SORCS3, YJEFN3, ZNF385D"
Pax6_4,10,"CNR1, ADARB2, CCK, KCNQ5, SGCD, CHRNA7, PLCXD3, MAML3, SORCS3, NRXN3",3,30.0,"CCK, CHRNA7, CNR1, KCNQ5, MAML3, NRXN3, SORCS3",8,80.0,"CCK, CHRNA7",3,30.0,"ADARB2, KCNQ5, MAML3, NRXN3, PLCXD3, SGCD, SORCS3",1,10.0,"ADARB2, CHRNA7, CNR1, KCNQ5, MAML3, NRXN3, PLCXD3, SGCD, SORCS3"
Pvalb_1,10,"SLIT2, FGF12, PLCE1, PRKG1, TMEM132C, CHRM2, ADAMTS17, KCNC2, PLCXD3, GPC6",5,50.0,"CHRM2, FGF12, KCNC2, PLCE1, TMEM132C",10,100.0,,3,30.0,"ADAMTS17, FGF12, GPC6, KCNC2, PLCXD3, PRKG1, TMEM132C",2,20.0,"ADAMTS17, CHRM2, FGF12, GPC6, KCNC2, PLCXD3, PRKG1, SLIT2"
Pvalb_10,10,"FGF12, CNTNAP3B, PCDH15, KCNC2, GPC5, ERBB4, SRRM4, ANO4, RUNX2, MYO5B",3,30.0,"ANO4, CNTNAP3B, FGF12, KCNC2, MYO5B, RUNX2, SRRM4",9,90.0,ANO4,2,20.0,"ANO4, CNTNAP3B, ERBB4, FGF12, GPC5, KCNC2, PCDH15, SRRM4",2,20.0,"ANO4, ERBB4, FGF12, GPC5, KCNC2, PCDH15, RUNX2, SRRM4"
Pvalb_12,10,"CNTNAP3B, FGF12, KCNC2, ERBB4, SLIT2, DPP10, CNTNAP3, SULF1, FRMD5, PCDH15",4,40.0,"CNTNAP3, CNTNAP3B, FGF12, FRMD5, KCNC2, SULF1",7,70.0,"CNTNAP3, FRMD5, SULF1",3,30.0,"CNTNAP3B, DPP10, ERBB4, FGF12, FRMD5, KCNC2, PCDH15",2,20.0,"CNTNAP3, DPP10, ERBB4, FGF12, FRMD5, KCNC2, PCDH15, SLIT2"
Pvalb_13,10,"KCNC2, FGF12, SGCZ, MYO5B, PCDH15, ERBB4, NXPH1, GPC6, SRRM4, CNTNAP3B",4,40.0,"CNTNAP3B, FGF12, KCNC2, MYO5B, NXPH1, SRRM4",9,90.0,NXPH1,1,10.0,"CNTNAP3B, ERBB4, FGF12, GPC6, KCNC2, NXPH1, PCDH15, SGCZ, SRRM4",2,20.0,"ERBB4, FGF12, GPC6, KCNC2, NXPH1, PCDH15, SGCZ, SRRM4"
Pvalb_14,10,"EPHA6, TMEM132C, LUZP2, PLXNA4, DPP10, RGS5, SDK1, SLC9A9, TAC1, BTBD11",5,50.0,"BTBD11, PLXNA4, RGS5, TAC1, TMEM132C",9,90.0,TAC1,2,20.0,"BTBD11, DPP10, EPHA6, LUZP2, PLXNA4, SDK1, SLC9A9, TMEM132C",4,40.0,"DPP10, EPHA6, LUZP2, PLXNA4, RGS5, SLC9A9"
Pvalb_15,10,"DPP10, ADAMTS17, KCNC2, FGF12, SULF1, CNTNAP3B, BTBD11, ZNF804A, MYO5B, ERBB4",4,40.0,"BTBD11, CNTNAP3B, FGF12, KCNC2, MYO5B, SULF1",9,90.0,SULF1,3,30.0,"ADAMTS17, BTBD11, CNTNAP3B, DPP10, ERBB4, FGF12, KCNC2",4,40.0,"ADAMTS17, DPP10, ERBB4, FGF12, KCNC2, ZNF804A"
Pvalb_2,10,"TMEM132C, DPP10, SLC9A9, ZNF804A, BTBD11, EPHA6, ERBB4, DLGAP1, ADAMTS17, SDK1",7,70.0,"BTBD11, DLGAP1, TMEM132C",9,90.0,DLGAP1,1,10.0,"ADAMTS17, BTBD11, DLGAP1, DPP10, EPHA6, ERBB4, SDK1, SLC9A9, TMEM132C",3,30.0,"ADAMTS17, DLGAP1, DPP10, EPHA6, ERBB4, SLC9A9, ZNF804A"
