supertype,subclass,top5_in_panel,top5_genes,top10_in_panel,top10_genes,top20_in_panel,top20_genes,median_depth_merfish,median_depth_xenium,n_cells_xenium,depth_range_subclass,min_separation,layer_distinct,crumblr_logFC,crumblr_fdr,density_logFC,density_fdr,confidence
OPC_1,OPC,0,,0,,1,SEMA5A,0.5765967858202499,0.551686755321966,834.0,0.0,0.0,False,-0.188740998827196,0.413449682513988,-0.1149040031901075,0.7655696255285502,LOW
L4 IT_2,L4 IT,0,,0,,1,LYPD6B,0.5236614533982493,0.5512284346194801,13997.0,0.09175606527784874,0.03747523854879631,False,-0.217161771163533,0.413449682513988,-0.1314789186678459,0.8252159283291751,LOW
L5 IT_7,L5 IT,1,SLIT3,2,SLIT3; SORCS1,2,SLIT3; SORCS1,0.6537945720659218,0.5905296907246677,9108.0,0.10588196586141585,0.033694010566883814,False,-0.251496305336374,0.466775528223206,-0.2072953765355899,0.4703705454394397,MEDIUM
Pvalb_12,Pvalb,3,CNTNAP3B; BRINP3; PLD5,3,CNTNAP3B; BRINP3; PLD5,4,CNTNAP3B; BRINP3; PLD5; SULF1,0.7200295021766517,0.6085254345514084,1692.0,0.5611991434268891,0.007146525118384983,False,0.199484662382788,0.473492498894623,0.3319114392752624,0.2188539142798153,HIGH
Vip_18,Vip,0,,0,,2,TRHDE; THSD7B,0.4350557142553219,0.4306834895211606,1649.0,0.38363344324376525,0.018667936843876298,False,-0.155367508939247,0.473492498894623,-0.0247477588442347,0.9694148485910544,LOW
Vip_1,Vip,0,,0,,1,RELN,0.2548571046514559,0.2347800856400158,2802.0,0.38363344324376525,0.01492454271983279,False,0.156162377116158,0.473492498894623,0.2234920108886891,0.5965230873579532,LOW
L6 IT_1,L6 IT,0,,0,,0,,0.8180811841679052,0.8277779241760989,4041.0,0.01622691412890198,0.01622691412890198,False,0.244319308151291,0.491001937495971,0.4166698031217355,0.495443422220615,LOW
Vip_4,Vip,0,,0,,2,TRPC6; ANGPT1,0.329514647268659,0.245124314285313,2454.0,0.38363344324376525,0.0009191843600059313,False,-0.131882656631437,0.50222460168492,-0.0706791417056702,0.8252159283291751,LOW
Astro_5,Astrocyte,0,,0,,1,SEMA5A,0.2816276057862183,0.1566639414513336,36649.0,0.40498745306664385,0.07166744907300512,False,-0.144863589278435,0.50222460168492,-0.025441720012332,0.7936498513939663,LOW
Sst_9,Sst,2,SPHKAP; BTBD11,3,SPHKAP; BTBD11; TAC1,4,SPHKAP; BTBD11; TAC1; TMEM132C,0.6012569898612904,0.6066698461456895,922.0,0.6219978107039386,0.034352093963094466,False,-0.161122776027162,0.522316195418202,-0.094326083405398,0.8274176710394193,HIGH
