supertype,unrestricted_markers,panel_markers,n_overlap,overlap_genes
L5/6 NP_2,"AC068587.4, ASIC2, CRYM, FER1L6-AS2, HTR2C, NPSR1-AS1, SORCS2, TLL1, TRMT9B, TSHZ2","ATP2C2, CALCRL, CDH6, CRYM, HS3ST4, HTR2C, MEIS2, NXPH2, TSHZ2, VWC2L",3,"CRYM, HTR2C, TSHZ2"
L5/6 NP_3,"AC068587.4, ASIC2, CALCRL, COL24A1, CRYM, GHR, HTR2C, NPSR1-AS1, SORCS2, TSHZ2","ATP2C2, CALCRL, CD36, CDH6, CRYM, HS3ST4, HTR2C, MEIS2, NXPH2, TSHZ2",4,"CALCRL, CRYM, HTR2C, TSHZ2"
L5/6 NP_4,"AC068587.4, ASIC2, HTR2C, IFNG-AS1, LRRC4C, NPSR1, SEMA5B, SORCS2, TLL1, TSHZ2","CD36, COL12A1, CRYM, HS3ST4, HTR2C, ITGA8, NXPH2, SPON1, TSHZ2, VWC2L",2,"HTR2C, TSHZ2"
L5/6 NP_6,"AC068587.4, ASIC2, CRYM, FER1L6-AS2, HTR2C, IFNG-AS1, KCNB2, MPP7, TLL1, TSHZ2","ATP2C2, CD36, CRYM, HS3ST4, HTR2C, ITGA8, MEIS2, NXPH2, TSHZ2, VWC2L",3,"CRYM, HTR2C, TSHZ2"
L6 CT_1,"AC090578.1, ADAMTSL1, CLSTN2, FOXP2, HS3ST4, LRP1B, RALYL, SEMA3E, TRPM3, ZFPM2","ANO3, CEMIP2, HS3ST4, KCNH5, MEIS2, NRP1, RYR3, SLIT3, SORCS1, SULF1",1,HS3ST4
L6 CT_2,"AC090578.1, ADAMTSL1, COL24A1, DLC1, HS3ST4, KHDRBS3, RALYL, SEC24D, SEMA3E, TRPM3","ANO3, CEMIP2, HS3ST2, HS3ST4, KCNH5, MEIS2, NRP1, RYR3, SEMA5A, SLIT3",1,HS3ST4
L6 CT_3,"ADAMTSL1, COL24A1, FRMPD4, HS3ST2, HS3ST4, KHDRBS3, MDGA2, RXFP1, SEMA3E, TLE4","ANO3, HS3ST2, HS3ST4, MCTP2, MEIS2, RASGRP1, RXFP1, SEMA5A, SORCS1, SULF1",3,"HS3ST2, HS3ST4, RXFP1"
L6 CT_4,"ADAMTSL1, ANO3, FRMPD4, HS3ST2, HS3ST4, KHDRBS3, NAV3, SEC24D, SEMA3E, ZFPM2","ANO3, CDH6, CRYM, HS3ST2, HS3ST4, NRP1, RXFP1, SEMA5A, SLC17A7, SULF1",3,"ANO3, HS3ST2, HS3ST4"
L6 IT Car3_1,"AC091078.1, AC110023.1, CUX1, ERC2, ITGA11, KCNIP4, NWD2, SEMA6D, SNTB1, SORBS2","CTNNA3, CUX2, MCTP2, NR4A2, NTNG2, NWD2, POSTN, RASGRP1, RIT2, RXFP1",1,NWD2
L6 IT Car3_2,"AC110023.1, CACNA1E, ERC2, KCNIP4, KCTD16, NTNG2, RGS12, SORBS2, TMEM132D, ZNF804B","CDH12, CUX2, NR4A2, NTNG2, NWD2, RASGRP1, RXFP1, STK32B, THEMIS, TRHDE",1,NTNG2
L6 IT Car3_3,"AC092691.1, CADPS2, ERC2, ITGB8, KCNIP4, KCTD16, LSAMP, NTNG2, PDE1A, SORBS2","HS3ST4, MCTP2, NR4A2, NTNG2, NWD2, RASGRP1, RIT2, STK32B, THEMIS, TRPC5",1,NTNG2
L6 IT_1,"AC019211.1, AC034268.2, AC067956.1, AC093607.1, AL117329.1, CBLN2, CTNNA2, PTPRK, SLC35F3, SLIT3","ADAMTS3, ANO3, CDH12, CEMIP2, RASGRP1, SLC17A7, SLIT3, SNTB2, TESPA1, THEMIS",1,SLIT3
L6 IT_2,"AC019211.1, AC067956.1, ADAMTS3, CTNNA2, LRP1B, MCTP1, MYO1D, SLC35F3, SLIT3, SYN3","ADAMTS3, ANO3, FSTL4, POU6F2, RXFP1, SLIT3, SNTB2, SORCS1, TESPA1, THEMIS",2,"ADAMTS3, SLIT3"
L6b_1,"ADAMTSL1, AL391117.1, ARPP21, CCBE1, FRMPD4, HCRTR2, LMO3, PDZRN4, SDK2, VCAN","CDH6, HS3ST4, HTR2A, MGST1, POU6F2, RASGRP1, RYR3, SPHKAP, THSD7B, VCAN",1,VCAN
L6b_2,"ADD3-AS1, ARPP21, CCBE1, FRMPD4, LMO3, MDGA2, MIR137HG, ROBO2, ZFHX3, ZFPM2","ANO3, CDH6, HS3ST2, HS3ST4, NNAT, RASGRP1, RXFP1, RYR3, SLC17A7, SPHKAP",0,
L6b_3,"CDH10, DPP4, EPHA5, HS3ST4, KIAA1217, MDFIC, NRXN1, SORCS3, TLE4, ZFHX3","BRINP3, CALCRL, HS3ST4, ITGA8, MCTP2, NPNT, NR4A2, POU6F2, RASGRP1, SLIT3",1,HS3ST4
L6b_4,"CCBE1, CDH10, CNTNAP5, HS3ST4, LMO3, PCSK5, PDZRN4, SORCS3, TLE4, ZFHX3","BRINP3, HS3ST4, HTR2A, ITGA8, NR4A2, POU6F2, RASGRP1, RYR3, SLIT3, TRPC6",1,HS3ST4
L6b_5,"CDH10, CELF2, CNTNAP5, ERG, HS3ST4, MARCH1, MDFIC, STXBP5, TLE4, ZFHX3","BRINP3, HS3ST4, ITGA8, NR4A2, POU6F2, RASGRP1, ROS1, RXFP1, RYR3, SLIT3",1,HS3ST4
L6b_6,"AC022126.1, ARSJ, DLC1, HS3ST4, LINC02232, MARCH1, MDFIC, SEMA3D, TLE4, ZFHX3","BRINP3, HS3ST4, KCNH5, MCTP2, MEIS2, NPFFR2, POU6F2, ROS1, RXFP1, SLIT3",1,HS3ST4
Lamp5_1,"EYA4, FBXL7, FGF13, FGF14, KIT, NFIB, PTCHD4, SLC6A1, SOX2-OT, UNC13C","ALK, CXCL14, DNER, EYA4, KIT, MYO16, NTNG1, NXPH2, PTCHD4, TACR1",3,"EYA4, KIT, PTCHD4"
Lamp5_2,"AC132803.1, EYA4, FBXL7, FGF13, FGF14, KIT, PRELID2, SLC6A1, TRPC3, UNC13C","DNER, EGFR, EYA4, GAD2, KIT, MYO16, NTNG1, NXPH2, PTCHD4, TACR1",2,"EYA4, KIT"
Lamp5_3,"CACNA2D1, EYA4, FGF13, FGF14, FREM1, GRIN2A, KIT, MACROD2, PTCHD4, TRPC3","ALK, DNER, EYA4, GAD2, KCNH5, KIT, LAMP5, MYO16, PTCHD4, RELN",3,"EYA4, KIT, PTCHD4"
Lamp5_4,"CACNA2D1, FGF14, FRAS1, FREM1, GRIN2A, INPP4B, NEBL, RELN, SV2C, TRPC3","ALK, DNER, EGFR, EYA4, GAD2, KIT, LAMP5, MYO16, PTCHD4, RELN",1,RELN
Lamp5_5,"COL5A2, CXCL14, FRAS1, FREM1, FSTL5, HS3ST5, INPP4B, RELN, SLC6A1, SV2C","ADRA1A, ALK, CXCL14, DNER, EGFR, GAD2, LAMP5, MYO16, PLD5, RELN",2,"CXCL14, RELN"
Lamp5_6,"CNTNAP4, COL5A2, CXCL14, EGFR, FSTL5, HS3ST5, INPP4B, PRELID2, RELN, SV2C","ADRA1A, CXCL14, DNER, EGFR, GAD2, MYO16, PLD5, RELN, SDK1, THSD7B",3,"CXCL14, EGFR, RELN"
Lamp5_Lhx6_1,"CHST9, EYA4, FBXL7, FGF13, GRIA4, GRIN2A, MYO16, NTNG1, PDGFD, UNC5D","ALK, EYA4, GAD2, KIT, LAMP5, MYO16, NTNG1, PDGFD, PTCHD4, SPHKAP",4,"EYA4, MYO16, NTNG1, PDGFD"
Micro-PVM_1,"ARHGAP24, DISC1, ITPR2, LRMDA, MBNL1, MRC1, NEAT1, SELENOP, SLC9A9, STARD13","ARHGAP24, CD14, CD163, CTSS, LYVE1, MS4A6A, NRP1, PECAM1, PTPRC, TGFBI",1,ARHGAP24
Micro-PVM_2,"ARHGAP24, DOCK4, DOCK8, ITPR2, LRMDA, MEF2A, PLXDC2, SFMBT2, SORL1, SRGAP2","ARHGAP24, CX3CR1, GPR34, HS3ST4, LRRK1, LY86, P2RY12, PTPRC, RGS10, RNASET2",1,ARHGAP24
Micro-PVM_2_3-SEAAD,"ARHGAP24, DOCK4, DOCK8, INPP5D, LRMDA, MEF2A, PLXDC2, SORL1, SRGAP2, SYNDIG1","ARHGAP24, CX3CR1, HS3ST4, ITGAX, LRRK1, LY86, P2RY12, PTPRC, RGS10, RNASET2",1,ARHGAP24
OPC_1,"BCAS1, CRB1, DSCAM, FYN, GPR17, OPHN1, SEMA5A, TMEM163, TNR, TNS3","BCAN, DNER, ERBB3, MYRF, OLIG1, PTPRZ1, SEMA5A, SOX10, SOX4, VCAN",1,SEMA5A
OPC_2,"DSCAM, EPN2, LHFPL3, LRRC4C, NOVA1, PCDH15, PTPRZ1, TNR, VCAN, XYLT1","BCAN, BRINP3, CALCRL, NTNG1, OLIG1, PDGFRA, PTPRZ1, SEMA5A, TMEM132C, VCAN",2,"PTPRZ1, VCAN"
OPC_2_1-SEAAD,"AC004852.2, DSCAM, EPN2, LHFPL3, LRRC4C, PCDH15, PTPRZ1, TNR, VCAN, XYLT1","BCAN, BRINP3, NTNG1, OLIG1, OLIG2, PDGFRA, PTPRZ1, SEMA5A, TMEM132C, VCAN",2,"PTPRZ1, VCAN"
Oligo_1,"CTNNA3, MAP7, MBP, MOBP, PLP1, QKI, RNF220, SLC44A1, ST18, TF","CLDN11, CNTN2, CTNNA3, FGFR2, MAG, MOBP, MOG, PSEN1, ST18, UGT8",3,"CTNNA3, MOBP, ST18"
Oligo_2,"CTNNA3, MBP, PHLPP1, PIP4K2A, PLP1, QKI, RNF220, SIK3, SLC44A1, ST18","CLDN11, CNDP1, CTNNA3, FGFR2, MOBP, MOG, OPALIN, PSEN1, ST18, UGT8",2,"CTNNA3, ST18"
Oligo_2_1-SEAAD,"CTNNA3, DOCK5, ENPP2, IL1RAPL1, KCNH8, PDE4B, PHLPP1, RNF220, SIK3, ST18","CLDN11, CNDP1, CTNNA3, FGFR2, MOBP, MOG, MYRF, OPALIN, ST18, UGT8",2,"CTNNA3, ST18"
Oligo_3,"CREB5, ERBIN, MBP, PIP4K2A, PLP1, QKI, SIK3, SLC44A1, TRIM2, TTLL7","CLDN11, CNDP1, CTNNA3, MAG, MAL, MOBP, MOG, OPALIN, ST18, UGT8",0,
Oligo_4,"CTNNA3, MBP, PIP4K2A, PLP1, PTGDS, QKI, RNF220, SIK3, SLC44A1, ST18","CLDN11, CNDP1, CTNNA3, FGFR2, MAG, MOBP, MOG, OPALIN, ST18, UGT8",2,"CTNNA3, ST18"
Pax6_1,"CCK, CDH4, CNR1, CXCL14, DDR2, IL1RAPL2, RBMS3, RELN, SORCS3, WIF1","ALK, CCK, CDH4, CXCL14, DDR2, MYO16, NR2F2, PLD5, RELN, WIF1",6,"CCK, CDH4, CXCL14, DDR2, RELN, WIF1"
Pax6_2,"ALK, ANGPT1, CDH4, DDR2, HMBOX1, KLHL29, RASGEF1B, RELN, SORCS3, SPHKAP","ALK, ANGPT1, CDH4, CXCL14, DDR2, EYA4, MYO16, PLD5, RELN, SPHKAP",6,"ALK, ANGPT1, CDH4, DDR2, RELN, SPHKAP"
Pax6_3,"ARHGAP6, CNR1, DOCK8, EEPD1, EPS8, PCLO, SGCD, SORCS3, YJEFN3, ZNF385D","ADRA1A, CCK, CXCL14, MYO16, RELN, RGS10, RXFP1, SEMA5A, VCAN, WIF1",0,
Pax6_4,"ADARB2, CCK, CHRNA7, CNR1, KCNQ5, MAML3, NRXN3, PLCXD3, SGCD, SORCS3","ADRA1A, CCK, CXCL14, DNER, LYPD6B, MYO16, RELN, SEMA5A, VCAN, WIF1",1,CCK
Pvalb_1,"ADAMTS17, CHRM2, FGF12, GPC6, KCNC2, PLCE1, PLCXD3, PRKG1, SLIT2, TMEM132C","BTBD11, CNTNAP3B, MEPE, MYO16, MYO5B, PLCE1, SAMD5, TAC1, TMEM132C, TRPC5",2,"PLCE1, TMEM132C"
Pvalb_10,"ANO4, CNTNAP3B, ERBB4, FGF12, GPC5, KCNC2, MYO5B, PCDH15, RUNX2, SRRM4","BTBD11, CNTNAP3B, LYPD6, LYPD6B, MYO16, MYO5B, SAMD5, SLC26A4, TENM1, WIF1",2,"CNTNAP3B, MYO5B"
Pvalb_12,"CNTNAP3, CNTNAP3B, DPP10, ERBB4, FGF12, FRMD5, KCNC2, PCDH15, SLIT2, SULF1","BTBD11, CNTNAP3B, LYPD6, LYPD6B, MYO16, MYO5B, SULF1, TAC1, TENM1, WIF1",2,"CNTNAP3B, SULF1"
Pvalb_13,"CNTNAP3B, ERBB4, FGF12, GPC6, KCNC2, MYO5B, NXPH1, PCDH15, SGCZ, SRRM4","ANK1, BTBD11, CNTNAP3B, LYPD6, MYO5B, PLCH1, SAMD5, SULF1, TENM1, WIF1",2,"CNTNAP3B, MYO5B"
Pvalb_14,"BTBD11, DPP10, EPHA6, LUZP2, PLXNA4, RGS5, SDK1, SLC9A9, TAC1, TMEM132C","ANK1, BTBD11, CUX2, MYO16, MYO5B, PLCE1, PTCHD4, SDK1, TAC1, TMEM132C",4,"BTBD11, SDK1, TAC1, TMEM132C"
Pvalb_15,"ADAMTS17, BTBD11, CNTNAP3B, DPP10, ERBB4, FGF12, KCNC2, MYO5B, SULF1, ZNF804A","ANK1, BTBD11, CEMIP, CNTNAP3B, MYO16, MYO5B, SULF1, TAC1, TENM1, TMEM132C",4,"BTBD11, CNTNAP3B, MYO5B, SULF1"
Pvalb_2,"ADAMTS17, BTBD11, DLGAP1, DPP10, EPHA6, ERBB4, SDK1, SLC9A9, TMEM132C, ZNF804A","ANK1, BTBD11, CEMIP, CNTNAP3B, MYO16, MYO5B, SDK1, SLC26A4, TAC1, TMEM132C",3,"BTBD11, SDK1, TMEM132C"
Pvalb_3,"AL136114.1, DLGAP1, ERBB4, FGF12, KLF12, MYO5B, NDST3, RGS5, SGCZ, TMEM132C","BTBD11, CEMIP, CNTNAP3B, GAD1, MYO16, MYO5B, SDK1, SLC26A4, TAC1, TMEM132C",2,"MYO5B, TMEM132C"
Pvalb_5,"ANOS1, DLGAP1, KIRREL3, KLF12, KLF3-AS1, MYO5B, SGCZ, SOX2-OT, SOX5, TMEM132C","ALK, BTBD11, CDH12, CUX2, GAD1, MYO5B, NXPH2, PTCHD4, TENM1, TMEM132C",2,"MYO5B, TMEM132C"
Pvalb_6,"BTBD11, DLGAP1, EYS, FGF12, GRIP1, KCNC2, MYO5B, RASGRF2, SPARCL1, TENM3","ANK1, BTBD11, CDH12, GAD1, GAD2, MYO16, MYO5B, PLCH1, TAC1, TMEM132C",2,"BTBD11, MYO5B"
Pvalb_7,"AC046195.1, AC046195.2, CSMD3, ELAVL2, GABRG3, GPC5, MARCH1, SLIT2, TRPM3, UNC5D","ALK, GAD2, MYO16, PLCE1, PLCH1, SAMD5, SLC26A4, TENM1, VWC2L, WIF1",0,
Pvalb_8,"DLGAP1, IQCJ-SCHIP1, KIF26B, MYO5B, RASGRF2, ROBO2, RPS6KA2, SGCZ, SOX6, XKR4","ADRA1A, CUX2, GAD2, MYO5B, NXPH2, PLCH1, PTCHD4, SLC26A4, SST, TAC1",1,MYO5B
Pvalb_9,"ADAMTS17, CHRM2, FGF12, GALNTL6, KHDRBS2, PLCE1, SLIT2, TAFA2, TRPM3, UNC5D","BRINP3, BTBD11, FGFR2, MYO16, PHLDB2, PLCE1, RIT2, TENM1, THSD7B, TRPC5",1,PLCE1
Sncg_1,"COL21A1, CXCL14, EGFR, EPHA6, FSTL5, GRIK2, HS3ST5, INPP4B, MAGI3, RELN","CXCL14, DNER, EGFR, GAD2, NDST4, NR2F2, PLD5, RELN, SDK1, THSD7B",3,"CXCL14, EGFR, RELN"
Sncg_2,"CHSY3, CNR1, COL21A1, CXCL14, FSTL5, GRIK2, INPP4B, RELN, SEMA3C, THSD7B","ADRA1A, CXCL14, DNER, EGFR, NR2F2, PLD5, PROX1, RELN, SDK1, THSD7B",3,"CXCL14, RELN, THSD7B"
Sncg_3,"ADARB2, AL356124.1, CNR1, DPP6, IGF1, NPAS3, NR2F2-AS1, PRKCA, RGS12, ZNF385D","ADRA1A, ADRA1B, CXCL14, DNER, LYPD6, LYPD6B, NR2F2, PROX1, RYR3, SYNPR",0,
Sncg_4,"AC132803.1, ADAMTS9-AS2, CDH9, CNR1, CNTN5, CNTNAP4, CXCL14, MIR4300HG, PRELID2, SORCS1","ADRA1A, ADRA1B, CCK, CXCL14, EGFR, NDST4, PLD5, PROX1, SORCS1, THSD7B",2,"CXCL14, SORCS1"
Sncg_5,"AC132803.1, CNR1, CNTN5, CNTNAP4, CXCL14, FSTL5, INPP4B, PRELID2, SORCS1, THSD7B","ADRA1A, CCK, CDH4, CXCL14, EGFR, NR2F2, PLD5, SDK1, SORCS1, THSD7B",3,"CXCL14, SORCS1, THSD7B"
Sncg_6,"AC006305.1, ADARB2, CCK, CHRNA7, CNR1, CNTN5, FSTL5, KCNQ5, NPAS3, WWP1","ADRA1A, ADRA1B, APP, CCK, CDH4, COL12A1, CXCL14, DCN, SORCS1, WIF1",1,CCK
Sncg_8,"AL589740.1, CCNH, CNR1, COL21A1, CXCL14, FSTL5, GRIK2, INPP4B, NCAM2, SGO1-AS1","ADRA1A, ADRA1B, CXCL14, NDST4, NR2F2, PLD5, PROX1, RYR3, SDK1, THSD7B",1,CXCL14
Sst Chodl_1,"CRHBP, LRP8, MPPED2, NOS1, NPY, PLCB1, SOX2-OT, SOX6, TACR1, TMTC1","ALK, CHODL, CRHBP, NDST4, NXPH2, RIT2, SST, TACR1, THSD4, TRPC6",2,"CRHBP, TACR1"
Sst Chodl_2,"CADPS, GRIK1, GULP1, IL1RAPL2, KIF26B, LRP8, NELL1, NPY, RBFOX1, SOX6","ADAMTS12, ARHGAP24, CDH4, COL25A1, CRHBP, NXPH2, PLD5, SST, TACR1, TRPC6",0,
Sst_1,"BACH2, CDH9, EPB41L4A, GABRG3, KCND2, PAM, PDE4B, SAMD5, TENM3, TRHDE","ANK1, BRINP3, GAD1, LHX6, PLCH1, SAMD5, SYNPR, TRHDE, TRPC6, WIF1",2,"SAMD5, TRHDE"
Sst_10,"ASTN2, CACNA2D3, CACNB2, COL19A1, PALM2-AKAP2, PCDH7, SHISA6, SPHKAP, TRHDE, TRPC6","DCN, GAD1, ITGA8, RNASET2, SAMD5, SPHKAP, SST, SYNPR, TRHDE, TRPC6",3,"SPHKAP, TRHDE, TRPC6"
Sst_11,"CDH12, GRIK1, KIAA1217, KIF26B, NKAIN2, PTPRO, SMARCA2, SOX6, SPOCK3, TMEFF2","CDH12, CUX2, HTR2C, MYO5B, NXPH2, PLCH1, PTCHD4, SLC24A3, SST, TENM1",1,CDH12
Sst_12,"COL19A1, GRID2, GRIK1, KCTD8, PAM, ROBO1, SHISA6, TMTC2, TRHDE, WLS","ALK, COL25A1, LHX6, NDST4, PLCH1, SST, SYNPR, TRHDE, TRPC6, VCAN",1,TRHDE
