supertype,rank,gene,score,logfoldchange,pval_adj
L2/3 IT_3,3,RORB,34.497463,4.2130036,1.4014538971313175e-257
L2/3 IT_3,4,CA10,33.722954,3.4074166,3.19865521499875e-246
L2/3 IT_3,5,MET,32.87619,3.9062011,4.6223746912422725e-234
L2/3 IT_3,6,CTNND1,32.47109,2.2663555,2.1847567779380807e-228
L2/3 IT_3,7,GRM7,31.610205,2.076063,1.8338939959760473e-216
L2/3 IT_3,8,CUX2,31.484924,3.2110345,7.454575768914492e-215
L2/3 IT_3,9,FMN1,30.959509,1.9265581,8.260657037868835e-208
L2/3 IT_3,10,R3HDM1,30.625809,1.6359533,2.2207917697948575e-203
L2/3 IT_5,1,COL5A2,35.90184,4.550835,1.3729545868470114e-278
L2/3 IT_5,2,R3HDM1,32.162926,1.7545912,1.3988337790919791e-223
L2/3 IT_5,3,CA10,31.205587,3.1005058,1.432321781184441e-210
L2/3 IT_5,4,RORB,30.41921,3.386043,3.674448074691371e-200
L2/3 IT_5,5,ANO3,30.255545,2.7849433,4.236094052637721e-198
L2/3 IT_5,6,MET,30.16597,3.6744936,5.3006729251862123e-197
L2/3 IT_5,7,CUX2,30.07307,3.0416393,7.47998154051367e-196
L2/3 IT_5,8,HOPX,29.938345,2.7091563,3.745517777040425e-194
L2/3 IT_5,9,MRTFB,28.625814,1.594469,1.7112187658905231e-177
L2/3 IT_5,10,CAMK2A,27.780441,1.6559688,3.589594240777447e-167
L2/3 IT_6,1,R3HDM1,30.530506,1.6554117,4.74848353382881e-201
L2/3 IT_6,2,HOPX,30.509033,2.8497658,4.74848353382881e-201
L2/3 IT_6,3,CDH22,29.96232,2.8329482,4.867306639419653e-194
L2/3 IT_6,4,NECTIN3,29.871914,2.341301,5.473620686004449e-193
L2/3 IT_6,5,MEG3,29.777422,1.2809165,7.356442737219342e-192
L2/3 IT_6,6,CUX2,29.576542,2.9878447,2.395979365262024e-189
L2/3 IT_6,7,MAN1A1,29.183632,2.3812132,2.1463810326630458e-184
L2/3 IT_6,8,CAMK2A,29.148224,1.7565166,5.281272860616326e-184
L2/3 IT_6,9,PALMD,28.92018,3.9966655,3.552058185969274e-181
L2/3 IT_6,10,SLIT3,28.657309,2.6621814,6.241667139644843e-178
L2/3 IT_7,1,R3HDM1,34.438885,2.0077822,3.1718031868565e-256
L2/3 IT_7,2,CCBE1,34.40845,3.7926795,4.525705846780582e-256
L2/3 IT_7,3,NECTIN3,34.378063,2.85381,8.587553965537917e-256
L2/3 IT_7,4,MEIS2,31.44901,3.3972611,5.198566605265802e-214
L2/3 IT_7,5,DPYD,30.691555,2.494893,7.085739865433795e-204
L2/3 IT_7,6,ITGA4,30.458448,5.4517922,7.41042502019831e-201
L2/3 IT_7,7,CA10,30.406925,2.970972,3.052095277155962e-200
L2/3 IT_7,8,CYP46A1,30.09272,2.0435858,3.6217560837411423e-196
L2/3 IT_7,9,PALMD,29.984165,4.0771565,8.423244421180937e-195
L2/3 IT_7,10,GABRB3,29.307135,1.3620801,4.039676082965517e-186
L2/3 IT_8,1,NECTIN3,32.561398,2.620502,6.935046905766535e-229
L2/3 IT_8,2,R3HDM1,32.01424,1.7577584,1.6590110021274903e-221
L2/3 IT_8,3,HOPX,31.293938,2.86224,9.031694754515888e-212
L2/3 IT_8,4,ITPKA,29.334906,3.025933,4.46930141211763e-186
L2/3 IT_8,5,MEG3,29.247726,1.240596,4.609366755796713e-185
L2/3 IT_8,6,CA10,28.978346,2.7838092,9.872187593885223e-182
L2/3 IT_8,7,CUX2,28.127007,2.818393,3.142148452923442e-171
L2/3 IT_8,8,SATB2,27.866768,2.542348,4.050221717193062e-168
L2/3 IT_8,9,CAMK2A,27.857763,1.6479012,4.628337149467447e-168
L2/3 IT_8,10,RAPGEF5,27.757416,1.766762,6.809193756728666e-167
L2/3 IT_10,1,HOPX,32.53483,3.0149515,1.6480937275916705e-228
L2/3 IT_10,2,R3HDM1,31.264435,1.6929183,3.412198723398469e-211
L2/3 IT_10,3,CUX2,29.505648,2.9677262,3.90030868943917e-188
L2/3 IT_10,4,MEG3,29.252869,1.2438368,4.9560976672263226e-185
L2/3 IT_10,5,CAMK2A,28.766636,1.7089795,5.387993119560441e-179
L2/3 IT_10,6,CA10,28.201008,2.7037687,4.5486402583528385e-172
L2/3 IT_10,7,PTK2B,27.90994,2.251325,1.386447059974605e-168
L2/3 IT_10,8,ANO3,27.598469,2.456787,6.967663395057909e-165
L2/3 IT_10,9,CDH22,27.404572,2.4757848,1.2908091661382764e-162
L2/3 IT_10,10,NECTIN3,27.188658,2.029743,4.247393377754825e-160
L2/3 IT_12,1,R3HDM1,31.561354,1.7225384,6.015580219142794e-215
L2/3 IT_12,2,RAPGEF5,30.580544,1.951386,5.33244699576428e-202
L2/3 IT_12,3,GLRA3,30.294546,2.767461,2.165013321700434e-198
L2/3 IT_12,4,HOPX,29.955578,2.7258186,4.4686200779859477e-194
L2/3 IT_12,5,CUX2,29.213095,2.9317045,1.2699376252794153e-184
L2/3 IT_12,6,ANO3,29.173697,2.6640444,3.3473978901149923e-184
L2/3 IT_12,7,NECTIN3,28.997305,2.1980667,4.880870884210397e-182
L2/3 IT_12,8,MED12L,28.593035,1.694656,4.923053743540028e-177
L2/3 IT_12,9,CNGB1,28.398367,3.9924417,1.1302144117838143e-174
L2/3 IT_12,10,MET,28.05103,3.197254,1.863489333250218e-170
L2/3 IT_13,1,CA10,32.765347,3.278412,8.81476338520486e-232
L2/3 IT_13,2,COL5A2,32.650406,3.7829535,1.8985352198791322e-230
L2/3 IT_13,3,MEG3,31.2307,1.3199077,6.534565527345573e-211
L2/3 IT_13,4,GAP43,30.514767,1.9591643,1.9927806854416674e-201
L2/3 IT_13,5,CUX2,30.270412,3.068023,2.6998280147545582e-198
L2/3 IT_13,6,CDH22,29.930658,2.6775274,6.287543219334792e-194
L2/3 IT_13,7,R3HDM1,29.367376,1.5567312,9.835970012146415e-187
L2/3 IT_13,8,HOPX,29.28197,2.5619247,1.0563162984955366e-185
