n_addon,total_genes,total_coverage,mean_coverage,median_coverage,types_ge5,types_ge3,types_all10,gene_added,mean_eff_weighted
225,491,990,7.734375,8.0,122,127,19,FBN2,2.498971034335318
226,492,992,7.75,8.0,122,127,19,SNTG1,2.5022680617033966
227,493,994,7.765625,8.0,122,127,19,TOX,2.505881424575376
228,494,996,7.78125,8.0,122,127,19,CHRM2,2.5074242960460387
229,495,998,7.796875,8.0,123,128,19,EPS8,2.513670094550202
230,496,1000,7.8125,8.0,123,128,19,AC046195.1,2.5199158930543657
231,497,1002,7.828125,8.0,123,128,19,GALNT13,2.52246559390959
232,498,1004,7.84375,8.0,123,128,20,PLCB1,2.5230001111745377
233,499,1006,7.859375,8.0,123,128,20,SGCD,2.5249837700481557
234,500,1008,7.875,8.0,123,128,20,CLSTN2,2.5314758322785975
235,501,1010,7.890625,8.0,123,128,20,EPN2,2.5377216307827615
236,502,1012,7.90625,8.0,123,128,20,SLC35F3,2.5424379885156654
237,503,1014,7.921875,8.0,123,128,20,NPY,2.5486837870198285
238,504,1016,7.9375,8.0,123,128,20,TAC3,2.5549295855239924
239,505,1018,7.953125,8.0,123,128,20,PTPRT,2.5586068407013256
240,506,1020,7.96875,8.0,123,128,21,PDZRN4,2.5648526392054896
241,507,1022,7.984375,8.0,123,128,22,AC046195.2,2.5710984377096535
242,508,1024,8.0,8.0,123,128,22,AC110023.1,2.577344236213817
243,509,1026,8.015625,8.0,123,128,22,SEMA3D,2.581641830052699
244,510,1028,8.03125,8.0,123,128,24,RALYL,2.5878876285568624
245,511,1030,8.046875,8.0,123,128,25,ARL15,2.589733433793419
246,512,1032,8.0625,8.0,123,128,25,SHISA6,2.5959792322975828
247,513,1033,8.0703125,8.0,123,128,25,TMTC1,2.5976789871271313
248,514,1034,8.078125,8.0,123,128,25,ONECUT1,2.6008018863792133
249,515,1035,8.0859375,8.0,123,128,25,OPCML,2.60304268633892
250,516,1036,8.09375,8.0,123,128,25,CALB2,2.606165585591002
251,517,1037,8.1015625,8.0,123,128,25,CREB5,2.6102440613514393
252,518,1038,8.109375,8.0,124,128,25,DISC1,2.6133669606035212
