gene,frac_snrna,mean_snrna,frac_merscope_4k,mean_merscope_4k,in_xenium_5k,in_xenium_v1,in_merscope_250,detection_efficiency
B3GAT1,0.5213627478358001,1.2086009494554593,0.5554202837179759,1.5535676476815583,True,False,False,1.0653240685560106
ACTR1A,0.31657823699152937,0.43135064693288655,0.5463688333686216,1.440874444209189,False,False,False,1.7258572116668927
ANK2,0.9381923112724565,23.881876570790283,0.5457865763286047,2.5243489307643445,False,False,False,0.5817427512152198
EEF2,0.34496881690403053,0.49650935492879084,0.5448867245394876,2.5395405462629683,False,False,False,1.5795245768288493
PREX1,0.23997021316205902,0.41124453132272176,0.5425576963794199,1.405515562142706,False,False,False,2.2609376773483736
CTNNB1,0.6438611188681002,1.5006981290142418,0.5346178276519161,1.3902180817277154,True,False,False,0.8303309704300326
SLC6A1,0.507493251419529,3.1572186540072606,0.531336015244548,3.33527419013339,True,False,True,1.0469814401636426
USP22,0.6614539700269944,1.504421483756865,0.5304890959136143,1.5139212365022232,False,False,False,0.8020045535322203
TJP1,0.8861584287442986,5.369915293679606,0.5297480414990472,1.2073893711623969,True,False,False,0.5978028581748176
TRIM2,0.8703341710881505,5.203481336684352,0.5296951090408638,1.45712470887148,False,False,False,0.6086111825054545
PNMA1,0.3687052033882528,0.5894070557572373,0.5283188651280966,1.9199131907685794,True,False,False,1.4329031982002378
ATP6AP2,0.5333705668807596,1.0650656241273386,0.5251958500952785,1.6548803726445056,False,False,False,0.984673476016331
OLFM1,0.6481429768221167,2.564181327375966,0.5245077281388948,6.367615922083422,True,False,True,0.8092469515145981
PAFAH1B1,0.8640044680256912,4.285488224890626,0.5242959983061614,1.4960300656362482,False,False,False,0.60682093404472
STXBP1,0.7922368053616309,4.524062180024202,0.520696591149693,5.582309972475122,False,False,False,0.6572486756810189
GPRC5B,0.26612678022898634,0.4393558596295262,0.5133389794622062,1.645193732796951,True,False,False,1.9289264275489615
SPOCK1,0.7974495020013032,9.404077073443172,0.5120156680076223,1.8110311242854118,True,False,True,0.6420665718928315
MOAP1,0.40268081541468864,0.6901238015451923,0.5098983696802879,2.5353059496082997,False,False,False,1.2662594048717828
IQSEC1,0.786931024853393,5.182444382388532,0.5004763921236502,1.4464323523184417,True,False,False,0.635985081687293
ARL6IP5,0.5866145397002699,1.2707809736572653,0.49962947279271647,1.058543298750794,False,False,False,0.8517168242164636
GDI2,0.4549008656799777,0.7131155170808898,0.4824793563413085,1.0055049756510692,False,False,False,1.060625276278837
KIF5A,0.5994601135623197,1.4619752396909615,0.48189709930129154,1.562089773449079,False,False,False,0.803885176676052
OSBPL1A,0.8322628688448291,3.8184864562971237,0.48062672030489095,1.131854753334745,False,False,False,0.5774938884057089
USP34,0.9197617052964722,5.483012193986782,0.4790916790175736,0.9204425153504129,False,False,False,0.520886743010403
POLR2A,0.3167644047286605,0.466070929907847,0.4741689604065213,1.0082045310184204,True,False,False,1.4969136472663116
RAB1B,0.1241738806664805,0.14027738992832542,0.47295151386830403,0.9477027313148423,False,False,False,3.8087841930188833
LSS,0.38694964162710604,0.6149120357442055,0.4726339191192039,1.051609146728774,False,False,False,1.2214352160446493
GATM,0.11765800986689007,0.14074280927115332,0.4680287952572518,1.0732585221257676,False,False,False,3.9778744837410254
LARP1,0.7079028204412176,1.9739365168016383,0.4640588608934999,1.1280436163455432,False,False,False,0.6555403474791412
FAM168B,0.5541282695708833,1.0536163082937726,0.4618886301079822,1.0566906627143764,False,False,False,0.8335409966823539
AK5,0.7781811412082286,8.03537187005492,0.46157103535888205,2.3065318653398266,False,False,True,0.5931408651746974
ADD3,0.7332216326910547,2.6120264358186724,0.460671183569765,0.9067330086809231,False,False,False,0.6282836771727797
PEG3,0.6589407055757237,2.0036302708740577,0.45548380266779587,2.1139106500105864,False,False,False,0.6912364023252057
GOT1,0.5322535604579727,1.1067671972447175,0.4536840990895617,1.9263180182087656,True,False,False,0.8523833991813853
NPEPPS,0.7706413478544168,2.4286512147444848,0.45124920601312724,0.9406097819182723,False,False,False,0.5855502138179763
MKRN1,0.37577957739923673,0.5539421018337523,0.44939656997670974,0.922083421554097,False,False,False,1.1959047191626933
ENSA,0.7508144838499488,2.2762729219026343,0.4489731103112429,0.9928541181452467,False,False,False,0.5979814188040766
NPTXR,0.5062831611281765,1.3059666759750534,0.4463794198602583,4.132384077916578,False,False,False,0.881679372597675
ATP2A2,0.7742716187284744,2.5130782835334635,0.4463794198602583,1.0828392970569554,True,False,False,0.576515281024135
SCRN1,0.5652983337987527,1.1554500605045146,0.44463264874020747,1.0629366927800128,True,False,False,0.7865451252125882
SYP,0.7488597226100717,2.9960904775202457,0.4400804573364387,4.250952784247301,True,False,False,0.5876674149366514
SORBS1,0.8663315647398306,8.818858791771387,0.4393394029218717,1.4865551556214271,False,False,False,0.5071261637036282
DST,0.9623941170995066,10.936144466164015,0.4390747406309549,1.4006987084480202,True,False,False,0.4562317379435486
FMN2,0.8634459648142977,9.816159359582985,0.43849248359093795,1.473374973533771,True,False,False,0.5078400982338773
PNN,0.4899934841292004,0.8235129851996649,0.43838661867457124,0.7910226550921025,False,False,False,0.8946784658854329
ST13,0.484129200409569,0.8043377082751559,0.43727503705272075,0.8475015879737455,False,False,False,0.9032197121817687
COPG1,0.23661919389369823,0.29172484408452015,0.43722210459453736,0.9433093372856235,False,False,False,1.847787989637732
DDX3X,0.49222749697477425,0.7886996183561389,0.43653398263815374,0.7876879102265509,True,False,False,0.8868541179050087
NLGN2,0.3804337708275156,0.5354184119892023,0.4354224010163032,0.9704107558755029,False,False,False,1.144541926625433
NSF,0.6642464860839616,1.894256725309504,0.4339402921871692,2.581727715435105,False,False,False,0.6532820290031892
KCNJ10,0.04840361165410034,0.06152843712184678,0.43372856235443574,1.452096125344061,True,False,False,8.960665279564815
FNBP1,0.7663594899004003,2.1714604858977937,0.4332521702307855,0.8908532712259157,False,False,False,0.5653380377492201
TIMM10B,0.2134413106208694,0.269291631760216,0.43097607452890113,0.82865763286047,False,False,False,2.0191783552830285
FAM171A1,0.7341524713767105,2.9821278972354093,0.43039381748888417,0.9786152868939234,False,False,False,0.5862458198659924
TRA2B,0.5448198827143256,0.9755189425672531,0.4295998306161338,0.9542663561295787,False,False,False,0.7885171673174656
RNF144A,0.7323838778739644,2.9963697291259423,0.4286999788270167,0.9814207071776413,False,False,False,0.5853487382484291
EXOSC10,0.3771758354277204,0.5730242948896956,0.42690027524878255,0.7905991954266356,True,False,False,1.131833577738813
TTYH2,0.08740575258307735,0.13013124825467745,0.42451831463053147,1.4663349565953843,False,False,False,4.85686928016592
ZNF483,0.7654286512147445,2.9807316392069256,0.420019055684946,1.4077387253864069,False,False,False,0.5487370442932477
PIK3R1,0.7443916969189239,3.5834496881690403,0.41970146093584587,1.0018526360364175,True,False,False,0.5638180311158925
PPP3CA,0.9190170343479475,12.661640137764126,0.4182722845648952,1.6303197120474275,True,False,False,0.4551300671610118
SOX8,0.10201991994787303,0.12808340314623476,0.4170019055684946,1.2944632648740209,True,False,False,4.087455722191914
OLIG2,0.03983989574606721,0.06171460485897794,0.4165255134448444,2.298909591361423,True,True,False,10.454985025555988
PIGT,0.19389369822209812,0.23270967141394397,0.412926106288376,0.7452890112216811,False,False,False,2.1296520210542598
ERCC3,0.37363864842222844,0.5435167085544075,0.41250264662290914,0.7678382384077916,True,False,False,1.1040149309092957
CYFIP2,0.7708275155915479,2.683980266219864,0.410702943044675,1.2503705272072836,True,False,False,0.5328078392861905
RAD21,0.46672251698780604,0.7887927022247044,0.4098030912555579,0.777048486131696,False,False,False,0.8780443975585278
FAM171B,0.7594712836265475,2.9596016010425394,0.4095384289646411,1.1709718399322464,False,False,False,0.5392414931201298
SLC24A2,0.7420646002047845,10.686214279065437,0.40948549650645777,1.2246453525301715,False,False,False,0.5518192033327742
MAPK8IP2,0.3526016941264079,0.5217350833100624,0.4081621850518738,1.205377937751429,True,False,False,1.1575729551246778
TMOD2,0.736014148748022,2.296192869775668,0.40800338767732375,1.1090408638577176,False,False,False,0.5543417723305285
LRP1,0.5825188494833845,1.107511868193242,0.4074211306373068,0.9870315477450773,True,False,False,0.6994127846654821
STMN2,0.6810015824257656,3.16838871823513,0.40715646834639,3.941297903874656,True,False,True,0.5978788872943231
JAM3,0.5536628502280555,1.4939030066089547,0.4068388735972899,1.002064365869151,True,False,False,0.7348133858533431
PSAT1,0.18160662757144186,0.23717769710509168,0.40673300868092316,1.0199026042769426,False,False,False,2.239637474248671
SLC1A2,0.6404170157311738,4.860839616494461,0.40657421130637306,4.103800550497565,True,False,False,0.6348585395442392
PCDH1,0.25728381271525647,0.3952341059294424,0.40609781918272286,1.1547215752699556,False,False,False,1.578404077959476
KLF9,0.278320767011077,0.4111514474541562,0.40546262968452257,0.8046262968452255,False,False,False,1.4568177360203431
ANXA7,0.5702317788327282,1.1684818021036953,0.40519796739360575,0.8118780436163455,False,False,False,0.7105846822901578
SLC23A2,0.7800428185795402,2.6961742530019546,0.40509210247723904,0.7417954689815796,True,False,False,0.5193203409204032
CDC42BPB,0.5700456110955971,1.1405566415340223,0.40345119627355497,0.7338026677958924,False,False,False,0.7077524822937298
ZC3H13,0.6413478544168295,1.4429861305035838,0.4007516409062037,0.7396781706542452,False,False,False,0.6248584728962767
TNRC6C,0.8582332681746253,4.388159731918458,0.3999576540334533,0.7218928647046369,False,False,False,0.4660244118526452
MAPRE1,0.16187284743553942,0.1893325886623848,0.3994283294516197,0.6473110311242855,False,False,False,2.467543728176395
JMJD1C,0.9662105557106954,13.985944335846598,0.3992165996188863,0.7755134448443786,False,False,False,0.4131776425535352
BOD1L1,0.6177976356697384,1.2701293865773062,0.3989519373279695,0.6584268473427906,False,False,False,0.6457647525560308
CCND2,0.5653914176673183,1.2982407148841106,0.3987931399534194,1.0887147999153082,True,False,False,0.7053399246821839
ATP2B4,0.4975332774830122,1.8034068695895002,0.3982108829134025,1.3243171712894346,False,False,False,0.8003703489501746
RTCB,0.36218933258866237,0.5208042446244066,0.3973639635824688,0.7188757145881854,True,False,False,1.0971166951340174
AHI1,0.8934189704924137,10.412175370008377,0.394293881007834,1.127143764556426,False,False,False,0.4413314402653845
PIK3IP1,0.21027645908963977,0.2547705482639859,0.39323523184416687,0.7110946432352319,False,False,False,1.8700868064196037
PPP2R2C,0.7328492972167924,4.477427161872847,0.39307643446961676,1.1795468981579504,False,False,False,0.5363673485973698
NCKAP1,0.7946569859443359,3.0479381923112725,0.3922824475968664,0.9725809866610206,False,False,False,0.49365003332940566
POU3F3,0.19901331099320488,0.25467746439542027,0.3915413931822994,0.7804890959136143,True,False,False,1.9674130902513762
KIAA0513,0.5582239597877687,1.2431350646932886,0.3896358246876985,2.0262015668007622,False,False,True,0.6979919400733609
UHRF2,0.5406311086288746,0.9777529554128269,0.38958289222951514,0.6788587762015668,False,False,False,0.7206076121249451
SIPA1L1,0.8928604672810202,10.929163176021595,0.3893711623967817,1.033559178488249,False,False,False,0.4360940781514414
HNRNPUL2,0.27636600577119985,0.3615377455087033,0.3892123650222316,0.7407368198179124,False,False,False,1.4083221412710791
KCTD3,0.5423997021316206,1.006143535325328,0.388524243065848,0.6543510480626721,False,False,False,0.7163061512367265
SND1,0.7393651680163827,2.5060969933910453,0.3884713106076646,0.7113063730679653,True,False,False,0.5254119715294147
SLC17A7,0.3787582611933352,1.3751279903192777,0.38804785094219774,6.405991954266356,True,True,False,1.0245264346699507
LRRC4B,0.5815880107977287,1.239970213162059,0.3873067965276307,0.8229938598348507,False,False,False,0.6659470094584407
CBX5,0.4550870334171088,0.7353625616680629,0.3854541604912132,0.691297903874656,True,False,False,0.8469899869415225
AFG3L2,0.4357255887554687,0.6992460206646188,0.38503070082574636,0.7628096548803727,False,False,False,0.8836540950589603
SCG3,0.621427906543796,1.5824257656148188,0.3847131060766462,1.2258098666102053,False,False,True,0.6190792238737882
PHACTR1,0.8982593316578237,31.623941170995067,0.3831780647893288,1.3198708448020327,False,False,True,0.4265784404177989
NDFIP1,0.8444568556269199,4.3213255142883735,0.38227821300021175,0.9847554520431929,False,False,False,0.45269123040798886
PTDSS1,0.40426324118030343,0.6665735827981011,0.3818547533347449,1.0101100995130214,True,False,False,0.944569563682976
MAP2,0.875267616122126,14.477892581215675,0.38164302350201146,1.824211306373068,True,False,False,0.4360300969352451
PGD,0.2063669366098855,0.26473052220050264,0.3805314418801609,0.7076011009951302,True,False,False,1.843955471411172
MICU1,0.8046169598808527,3.8970492413664712,0.37740842684734277,0.7746135930552615,False,False,False,0.4690535318858171
ARMCX3,0.4221353439448943,0.6798845760029787,0.3770378996400593,0.6975968663984755,False,False,False,0.8931682813303544
ZBED5,0.4554593688913711,0.7188867169319557,0.37656150751640904,0.5971310607664619,False,False,False,0.8267729971896143
PPIL4,0.48934189704924136,0.8249092432281485,0.3761380478509422,0.6262968452254922,False,False,False,0.7686610325399794
ST3GAL5,0.6227310807037141,1.2972167923298892,0.3757675206436587,0.7201990260427694,False,False,False,0.6034186060201533
ZNF644,0.7657079028204412,2.0422600763287724,0.37338556002540757,0.5860681770061401,False,False,False,0.487634460412467
SRSF10,0.6464674671879364,1.3923485060039096,0.3730679652763074,0.6294198602583104,False,False,False,0.577086990779463
MAP6D1,0.11747184212975892,0.1366471190542679,0.37195638365445693,1.0195850095278425,False,False,False,3.1663450313786297
AFF4,0.7861863539048682,2.608675416550312,0.3704742748253229,0.6071882278213,False,False,False,0.4712295920493067
RHOBTB2,0.40314623475751654,0.7896304570417947,0.36978615286893923,0.9677112005081516,False,False,False,0.9172506673449582
RMDN3,0.37484873871358093,0.5675323466443265,0.36936269320347237,0.6430235020114334,False,False,False,0.9853646419381434
NGRN,0.5684631853299823,1.3420832169784975,0.36915096337073894,0.8556002540757993,False,False,False,0.6493841165043145
SOX10,0.06134226938471563,0.07586335288094573,0.36909803091255555,1.4539487613804785,True,True,False,6.017026018351418
GLS,0.8545099134320022,6.568370101461417,0.36772178699978825,1.8064260004234596,True,False,True,0.43033062720465415
DIP2A,0.6908684724937169,2.1045331843991435,0.36661020537793776,0.5946961676900275,True,False,False,0.5306512309856084
RABL6,0.529088708926743,0.9752396909615564,0.36581621850518736,0.7006140165149269,True,False,False,0.6914080991205538
SORL1,0.7265195941543331,3.5627850693474823,0.3653927588397205,0.9318229938598348,True,False,True,0.5029358626797075
ZNF721,0.7939123149958113,3.0812622172577493,0.3649163667160703,0.7145881854753334,False,False,False,0.45964316187486726
NCS1,0.5523596760681374,1.148561854230662,0.36168748676688545,0.8918589879313995,True,False,False,0.6548042922710904
HYOU1,0.19966489807316393,0.24415898724751,0.36094643235231844,0.7855706118992166,True,False,False,1.807761082872241
YME1L1,0.6681560085637159,1.5439821278972354,0.3606288376032183,0.605864916366716,False,False,False,0.5397374759503168
MYO6,0.8196965465884762,2.954016568928605,0.35909379631590094,0.6162396781706543,True,False,False,0.4380813824462552
SCG2,0.41682956343665645,1.365354184119892,0.358670336650434,2.0921554096972264,True,False,False,0.860472404340244
KIF13A,0.5819603462719911,1.9099878990970864,0.3566589032394664,0.6405886089349989,False,False,False,0.6128577411230945
CALM2,0.8852275900586428,6.014334915759099,0.3559178488248994,0.8187063307219987,False,False,False,0.4020636645558249
KIF1BP,0.4443823885320674,0.7232616587545379,0.3558649163667161,0.6669489731103112,False,False,False,0.8008078752676226
PEAK1,0.743274690496137,2.885879177138602,0.3552826593266991,0.5856447173406732,False,False,False,0.47799644447673495
PSMC2,0.3747556548450154,0.5564553662850228,0.35432987507939867,0.6032712259157316,True,False,False,0.9454957396865324
DPP6,0.8532998231406497,17.869589500139625,0.35173618462841416,1.1119521490578022,False,False,True,0.412207028631292
TBC1D9B,0.4391696918923951,0.736014148748022,0.35152445479568073,0.5656891806055473,False,False,False,0.8004296773781259
USP14,0.6303639579260915,1.497347109745881,0.35136565742113063,0.6289434681346602,False,False,False,0.5574012489183706
IWS1,0.4844084520152658,0.8191380433770827,0.35046580563201357,0.5566377302561931,False,False,False,0.7234923424105921
MGLL,0.7098575816810947,2.2011542399702133,0.3498835485919966,0.6354012280330299,False,False,False,0.4928925993343587
CORO1C,0.46541934282788794,0.8174625337429023,0.34808384501376244,0.6089879313995342,True,False,False,0.7478929493965699
SYNDIG1,0.6216140742809271,3.2113934655124265,0.3476603853482956,0.7882701672665678,False,False,False,0.5592865408500658
BCL6,0.18681932421111422,0.2718979800800521,0.34681346601736185,0.7996506457759899,True,False,False,1.8564110938836662
CDS2,0.570511030438425,1.1343200223401284,0.34601947914461145,0.6436057590514503,False,False,False,0.6065079563469671
GRAMD1B,0.7279158521828167,2.586149120357442,0.34543722210459454,0.8263286047004023,False,False,False,0.47455653159458555
RNF19A,0.6277576096062553,1.4939030066089547,0.34538428964641116,0.6762650857505823,False,False,False,0.5501873404020455
LIMCH1,0.8603741971516337,8.244810574327468,0.345066694897311,0.8287634977768368,False,False,False,0.40106583395886747
USP5,0.2358745229451736,0.29600670203853674,0.3443785729409274,0.7167584162608511,True,False,False,1.460007501619725
MBOAT7,0.3446895652983338,0.5167085544075212,0.34337285623544356,0.8332627567224222,False,False,False,0.9961800147278883
EGLN2,0.2121381364609513,0.2548636321325514,0.34252593690450983,0.6448761380478509,False,False,False,1.6146363054695696
LINC00294,0.16094200874988365,0.1882155822395979,0.3419436798644929,0.6177217869997883,False,False,False,2.1246390704362335
GNAQ,0.938285395141022,7.65586893791306,0.3404086385771755,0.6087762015668008,True,False,False,0.36279861153120996
KLHL42,0.6392069254398213,1.4899934841292004,0.33950878678805846,0.645617192462418,False,False,False,0.5311406577055646
LRP1B,0.9285115889416364,68.29563436656427,0.3394558543298751,0.8632754605123862,False,False,True,0.36559140281361885
LINC00641,0.16959880852648235,0.20403983989574606,0.33871479991530806,0.7201990260427694,False,False,False,1.9971531808398215
PRKCB,0.7892581215675324,12.232616587545378,0.3384501376243913,1.327916578445903,True,False,True,0.4288205954120575
FBXO11,0.8411989202271246,3.4309783114586243,0.3370209612534406,0.5873914884607241,False,False,False,0.40064359707266933
AGPAT3,0.553755934096621,1.06608954668156,0.3368621638788905,0.5539911073470252,False,False,False,0.6083224452094337
TTL,0.4934375872661268,0.9578330075397934,0.3367562989625238,0.6165572729197544,False,False,False,0.6824698961996591
AIDA,0.274131992925626,0.3658196034627199,0.33643870421342364,0.5804044039805208,False,False,False,1.2272872663377963
PRKCA,0.8261193335195011,5.670669273014987,0.33633283929705693,0.7015668007622274,True,False,False,0.407123796345722
RTF1,0.5477054826398585,1.0978311458624221,0.3361211094643235,0.6402710141858988,False,False,False,0.613689510362887
IGSF11,0.5963883458996556,2.1981755561761145,0.33585644717340674,0.6276730891382596,False,False,False,0.5631505871677709
PDZD4,0.20860094945545937,0.26733687052033883,0.33585644717340674,0.6948973110311243,True,False,False,1.6100427541204412
NECAP1,0.3768965838220236,0.5570138694964163,0.33580351471522335,0.8503070082574635,False,False,False,0.8909699082701024
SEC24C,0.27431816066275716,0.34980917806944056,0.33527419013338977,0.5172559813677747,False,False,False,1.2222092380736362
FLCN,0.40956902168854137,0.6728102019919948,0.33506246030065634,0.6496929917425365,True,False,False,0.8180854570477162
PFKL,0.2852089732849297,0.3802476030903844,0.3348507304679229,0.5414990472157527,False,False,False,1.174053980880188
CAMSAP2,0.8564646746718794,3.674671879363306,0.3346390006351895,0.6297374550074105,True,False,False,0.39072131114268455
BRINP2,0.6561481895187564,3.318905333705669,0.33453313571882276,0.8559178488248994,False,False,False,0.5098438753053359
BRINP1,0.7502559806385554,4.563808991901704,0.33326275672242217,0.8415731526572094,True,False,False,0.444198733929154
TULP4,0.718607465326259,2.0686028111328305,0.332945161973322,0.5646834639000635,False,False,False,0.4633199320051034
HGSNAT,0.7343386391138416,2.1977101368332868,0.3328392970569553,0.5491213211941562,False,False,False,0.4532504206214819
DAAM2,0.10993204877594713,0.248347761332961,0.3327334321405886,0.8371797586279907,False,False,False,3.0267191037140924
TXNIP,0.04170157311737876,0.06059759843619101,0.33241583739148844,0.9532077069659115,False,False,False,7.971302100662411
LBH,0.11644791957553756,0.15926649911570326,0.3323629049333051,0.7395193732796951,True,False,False,2.8541764090315724
GPR37,0.12622172577492322,0.19687238201619658,0.3323629049333051,1.533559178488249,True,False,False,2.63316717381895
GGNBP2,0.533277483012194,0.9829656520524993,0.331463053144188,0.5538323099724751,False,False,False,0.6215583138292916
CAB39,0.6322256352974029,1.52052499301871,0.331463053144188,0.6046474698284988,False,False,False,0.5242796790235589
TRIM9,0.8534859908777809,9.608396164944615,0.33130425576963796,0.7315265720940081,False,False,False,0.3881777314574349
MEG3,0.9153867634738899,54.32253560457973,0.33119839085327124,6.620262544992589,True,False,True,0.36181251911091045
STRN,0.5780508237922368,1.1743460858233268,0.3310925259369045,0.5865445691297904,False,False,False,0.5727740750628285
GALNT18,0.6138881131899842,3.3727078097365726,0.32966334956595383,0.8460724116027948,False,False,False,0.5370088497933346
EXOC3,0.31816066275714416,0.42623103416177976,0.32855176794410335,0.5614016514926953,False,False,False,1.0326599306680815
SLC25A44,0.20320208507865586,0.2520711160755841,0.3273343214058861,0.6067647681558331,False,False,False,1.6108807214216374
NREP,0.45303918830866613,1.6139811970585498,0.32558755028583525,1.175629896252382,True,False,True,0.7186741427410577
GRIA3,0.7850693474820813,8.827887927022248,0.32558755028583525,0.941297903874656,False,False,False,0.4147245734788627
PTPRM,0.7039002140928977,5.367681280834032,0.3246347660385348,0.8512597925047639,True,False,True,0.461194299332449
YPEL2,0.5252722703155543,1.0179651866331565,0.3245289011221681,0.5542028371797586,False,False,False,0.6178298750231174
CELF2,0.926184492227497,34.25728381271526,0.32357611687486765,1.0353588820664832,False,False,False,0.34936464558660335
PRRT2,0.40258773154612304,0.6327841385087964,0.32357611687486765,1.0202201990260427,True,False,False,0.8037406297310297
MPRIP,0.7583542772037606,2.3320301591734154,0.3234173195003176,0.5646834639000635,False,False,False,0.42647259891885503
SURF4,0.3765242483477613,0.5820534301405567,0.3219352106711836,0.5053461782765192,False,False,False,0.8550185335576083
SSR3,0.2596109094293959,0.32542120450525924,0.3211412237984332,0.4959771331780648,False,False,False,1.2370097408628782
STT3B,0.5625058177417853,1.301870985758168,0.3208765615075164,0.5594431505399111,False,False,False,0.5704413205817059
EFR3B,0.622079493623755,1.7777157218654007,0.3207706965911497,0.6560448867245395,True,False,False,0.515642614615999
PDIA4,0.08573024294889696,0.09168761053709393,0.3207177641329663,0.5090514503493542,True,False,False,3.7410107927040794
SYNM,0.19426603369636042,0.25197803220701853,0.3205589667584163,0.6126932034723692,True,False,False,1.650103009049193
PODXL2,0.5558968630736293,1.188401749976729,0.3205060343002329,0.8663984755452043,False,False,False,0.5765566521244813
ZBTB38,0.7094852462068324,2.018151354370288,0.3205060343002329,0.5181558331568918,False,False,False,0.45174446687055914
MARCH6,0.8268640044680257,3.114586242204226,0.3197649798856659,0.5602371374126615,False,False,False,0.3867201597333906
TMEM63A,0.06599646281299451,0.09848273294238108,0.318600465805632,0.9824793563413085,False,False,False,4.82753851078971
SFXN1,0.6340873126687145,1.461416736479568,0.31754181664196485,0.5652657209400804,True,False,False,0.5007856336148896
TMEM30A,0.45871730429116636,0.7560271804896211,0.3173300868092314,0.5454689815795045,False,False,False,0.6917770135129003
GAK,0.4484780787489528,0.7388066648049892,0.31717128943468137,0.5321300021172983,False,False,False,0.7072169286834334
MLEC,0.4185981569394024,0.6339942288001489,0.3167478297692145,0.49227186110522975,False,False,False,0.7566871103425998
SASH1,0.4689565298333799,1.4048217443916968,0.316377302561931,0.5076752064365869,True,False,False,0.6746410006794015
MYO9B,0.4549008656799777,0.8185795401656892,0.31627143764556426,0.5081515985602372,False,False,False,0.6952535409507462
SLC25A29,0.4925998324490366,0.9007725961090943,0.3159538428964641,0.5931081939445267,False,False,False,0.6414006300522891
PCDH9,0.9364237177697106,77.22777622637997,0.3159538428964641,0.8208765615075164,False,False,True,0.3374047847153791
MPP1,0.22144652331750908,0.27543516708554405,0.31579504552191406,0.5866504340461571,False,False,False,1.4260555586557053
FADS1,0.27766917993111795,0.3679605324397282,0.31563624814736396,0.5413931822993859,True,False,False,1.136734902395954
IDS,0.799683514846877,4.158614912035744,0.31553038323099725,0.6569976709718399,False,False,False,0.3945690731056458
MYT1L,0.828353346365075,12.759378199757982,0.3144717340673301,1.154509845437222,False,False,False,0.37963477234355847
UBE4A,0.527320115423997,0.9082193055943405,0.31336015244547955,0.467181875926318,False,False,False,0.5942503296949314
ERMN,0.033789444289304665,0.04868286325979708,0.31288376032182935,1.9913720093161127,False,True,False,9.259807815805544
PSMD14,0.5770269012380155,1.223215116820255,0.31288376032182935,0.566377302561931,False,False,False,0.5422342695817732
