supertype,gene,frac_snrna,mean_snrna,frac_merfish,mean_merfish,n_cells_snrna,n_cells_merfish
Micro-PVM_2,RYR3,0.02666666666666667,0.02666666666666667,0.157,0.1990006788027805,300,1000
Micro-PVM_2,SOX6,0.006666666666666667,0.006666666666666667,0.118,0.1428119404260878,300,1000
Micro-PVM_2,HPSE2,0.0033333333333333335,0.0033333333333333335,0.05,0.05427249100729199,300,1000
Micro-PVM_2,FGF12,0.14666666666666667,0.17,0.056,0.05909668364911628,300,1000
Micro-PVM_2,DGKG,0.03666666666666667,0.05,0.193,0.24185664831145515,300,1000
Micro-PVM_2,SLC14A1,0.006666666666666667,0.006666666666666667,0.17,0.2279243031636696,300,1000
Micro-PVM_2,SNTB1,0.0,0.0,0.163,0.20812334087914122,300,1000
Micro-PVM_2,LRRK1,0.6966666666666667,1.63,0.438,0.8128961602972318,300,1000
Micro-PVM_2,LHX6,0.0033333333333333335,0.0033333333333333335,0.145,0.253273026929155,300,1000
Micro-PVM_2,CTSS,0.27666666666666667,0.3233333333333333,0.361,0.7556404630091837,300,1000
Micro-PVM_2,NOSTRIN,0.0,0.0,0.094,0.1743605273760381,300,1000
Micro-PVM_2,ID3,0.0,0.0,0.272,0.6677775791937304,300,1000
Micro-PVM_2,SMYD1,0.0,0.0,0.019,0.020240660892664478,300,1000
Micro-PVM_2,SEMA3E,0.0033333333333333335,0.0033333333333333335,0.035,0.03953014799670245,300,1000
Micro-PVM_2,TSHZ2,0.013333333333333334,0.013333333333333334,0.032,0.03358582284018469,300,1000
Micro-PVM_2,PALMD,0.0,0.0,0.138,0.19470744037347515,300,1000
Micro-PVM_2,DACH1,0.0033333333333333335,0.0033333333333333335,0.09,0.1102397098025836,300,1000
Micro-PVM_2,THEMIS,0.006666666666666667,0.006666666666666667,0.038,0.0699403899803205,300,1000
Micro-PVM_2,PRRX1,0.0,0.0,0.022,0.02371636315922045,300,1000
Micro-PVM_2,PVALB,0.006666666666666667,0.006666666666666667,0.053,0.05284380198845093,300,1000
Micro-PVM_2,ADAMTSL1,0.013333333333333334,0.013333333333333334,0.015,0.015368410308683987,300,1000
Micro-PVM_2_3-SEAAD,CD22,0.0,0.0,0.207,0.4824935278891174,21,1000
Micro-PVM_2_3-SEAAD,MEIS2,0.0,0.0,0.235,0.332688926280806,21,1000
Micro-PVM_2_3-SEAAD,TLL1,0.0,0.0,0.024,0.026,21,1000
Micro-PVM_2_3-SEAAD,SV2C,0.0,0.0,0.06,0.0696187343992765,21,1000
Micro-PVM_2_3-SEAAD,KIAA1217,0.09523809523809523,0.09523809523809523,0.183,0.213052844408829,21,1000
Micro-PVM_2_3-SEAAD,CNTN5,0.19047619047619047,0.23809523809523808,0.114,0.15489619055241058,21,1000
Micro-PVM_2_3-SEAAD,ADAMTS3,0.047619047619047616,0.047619047619047616,0.05,0.059,21,1000
Micro-PVM_2_3-SEAAD,LRRC4C,0.14285714285714285,0.19047619047619047,0.16,0.22687340558799482,21,1000
Micro-PVM_2_3-SEAAD,TACR1,0.0,0.0,0.38,1.87220321078821,21,1000
Micro-PVM_2_3-SEAAD,CALB1,0.0,0.0,0.057,0.06645960728138546,21,1000
Micro-PVM_2_3-SEAAD,GALNTL6,0.047619047619047616,0.047619047619047616,0.029,0.031,21,1000
Micro-PVM_2_3-SEAAD,DCC,0.047619047619047616,0.047619047619047616,0.081,0.092,21,1000
Micro-PVM_2_3-SEAAD,NPAS3,0.3333333333333333,0.42857142857142855,0.218,0.31155872375060595,21,1000
Micro-PVM_2_3-SEAAD,ZNF804A,0.0,0.0,0.062,0.07054463718884472,21,1000
Micro-PVM_2_3-SEAAD,NTNG2,0.0,0.0,0.344,0.5241580337024295,21,1000
Micro-PVM_2_3-SEAAD,NOS1,0.0,0.0,0.109,0.14979519358716264,21,1000
Micro-PVM_2_3-SEAAD,ETNPPL,0.0,0.0,0.426,0.8018588234131377,21,1000
Micro-PVM_2_3-SEAAD,ATRNL1,0.09523809523809523,0.09523809523809523,0.347,0.5976322746699937,21,1000
Micro-PVM_2_3-SEAAD,GRM8,0.0,0.0,0.037,0.039,21,1000
Micro-PVM_2_3-SEAAD,ZMAT4,0.0,0.0,0.093,0.09873744051677813,21,1000
