supertype,unrestricted_markers,panel_markers,n_overlap,overlap_genes
Sst_1,"BACH2, CDH9, EPB41L4A, GABRG3, KCND2, PAM, PDE4B, SAMD5, TENM3, TRHDE","ASTN2, BACH2, CTNND2, GABRG3, GRM1, NETO1, PAM, PDE4B, SAMD5, SASH1",5,"BACH2, GABRG3, PAM, PDE4B, SAMD5"
Sst_10,"ASTN2, CACNA2D3, CACNB2, COL19A1, PALM2-AKAP2, PCDH7, SHISA6, SPHKAP, TRHDE, TRPC6","ASTN2, DAPK1, GRM1, MITF, NAV2, PTPRG, SAMD5, SOX6, TRPC6, TRPM3",2,"ASTN2, TRPC6"
Sst_11,"CDH12, GRIK1, KIAA1217, KIF26B, NKAIN2, PTPRO, SMARCA2, SOX6, SPOCK3, TMEFF2","ADAMTS19, CUX2, DAB1, NXPH2, RBMS3, SLC24A4, SMARCA2, SOX6, TIAM1, TMEFF2",3,"SMARCA2, SOX6, TMEFF2"
Sst_12,"COL19A1, GRID2, GRIK1, KCTD8, PAM, ROBO1, SHISA6, TMTC2, TRHDE, WLS","ASTN2, CHRM3, DAPK1, GRIK3, GRM1, MAP3K5, MPPED2, NETO1, PAM, UTRN",1,PAM
Sst_13,"ASTN2, CACNA2D3, CDH9, GRIK1, GRIN3A, KCNMB2, NETO1, NPAS3, RBFOX1, TRHDE","ADAMTSL3, ASTN2, DAPK1, GRIK3, GRM1, NAV2, NETO1, PAWR, SAMD5, TIAM1",2,"ASTN2, NETO1"
Sst_19,"ASTN2, GRIK1, GRIN3A, MGAT4C, NETO1, NPAS3, PCDH15, PHACTR2, PLCH1, ROBO1","ADAMTSL3, ADCY2, ASTN2, CDH13, DAPK1, EPHB6, GRIK3, NETO1, PCDH11X, RELN",2,"ASTN2, NETO1"
Sst_2,"COL25A1, DLGAP1, EYS, GRIK1, KIF26B, PCSK5, PLCH1, RASGRF2, SOX6, TIAM1","CDH7, COL25A1, DMD, EPHB6, GRIK3, NOS1, PCDH11X, RBMS3, SOX6, TIAM1",3,"COL25A1, SOX6, TIAM1"
Sst_20,"CDH12, GRIK1, KIF26B, NRXN3, RBFOX1, RBMS3, ROBO2, SOX6, SPOCK3, TIAM1","ADAMTS19, DMD, RBMS3, RUNX1T1, SLC24A4, SMARCA2, SOX6, TAC1, TIAM1, TMEFF2",3,"RBMS3, SOX6, TIAM1"
Sst_22,"CDH12, EYA2, GRIK1, KIF26B, MAN1A1, NRXN3, RBFOX1, RBMS3, SPOCK3, TMEFF2","GRIA1, LPAR1, MAN1A1, NOS1AP, PDE4B, RBMS3, SMARCA2, SOX6, TIAM1, TMEFF2",3,"MAN1A1, RBMS3, TMEFF2"
Sst_23,"CDH12, COL25A1, DMD, GRIK1, KIAA1217, KIRREL3, PTPRT, RASGRF2, SOX6, TIAM1","COL25A1, DAB1, DMD, NCOA2, NXPH2, SMARCA2, SOX6, TIAM1, TMEFF2, UTRN",4,"COL25A1, DMD, SOX6, TIAM1"
Sst_25,"CALB1, CDH12, CRYBG3, GRID2, GRIK1, KIRREL3, MAP3K5, NCAM2, ROBO2, SGCZ","CALB1, CBLN4, CRYBG3, DAB1, MAN1A1, MAP3K5, SLC24A4, SOX6, TIAM1, TMEFF2",3,"CALB1, CRYBG3, MAP3K5"
Sst_3,"CACNA2D3, GRIK1, KIF26B, NRXN3, PCSK5, PLCH1, RBFOX1, ROBO1, ROBO2, SST","ADCY2, BCL11A, CDH13, GRIK3, PAWR, PCDH11X, RBMS3, RUNX1T1, SOX6, TIAM1",0,
Sst_4,"BRINP3, CDH13, CDH9, CTNND2, GRIK2, GRIN3A, NPAS3, PHACTR2, SLIT2, TRHDE","ASTN2, CDH13, CTNND2, DAB1, ITPR1, NDST4, PAM, PAWR, SAMD5, SLIT2",3,"CDH13, CTNND2, SLIT2"
Sst_5,"BRINP3, CTNND2, FBN2, GPC6, GRID2, GRIN3A, PLCB1, SLIT2, SPOCK3, TRHDE","CDH13, CDH2, CTNND2, GRM1, NETO1, PAWR, PLCB1, PTPRM, SLIT2, SPON1",3,"CTNND2, PLCB1, SLIT2"
Sst_7,"ANO4, BRINP3, FBN2, GPC6, GRIK2, KCNMB2, LRRC4C, SLIT2, SPOCK3, TRHDE","CDH13, ITGA1, NETO1, PAM, PAWR, PLCB1, PTPRM, RUNX1T1, SAMD5, SLIT2",1,SLIT2
Sst_9,"AUTS2, DAPK1, NAV2, PCDH11X, PCDH7, PRKG2, PTPRT, SPHKAP, ST6GALNAC5, TRHDE","ASTN2, DAPK1, FLT3, FREM1, GRIK3, NAV2, PCDH11X, SPATS2L, TAC1, TIAM1",3,"DAPK1, NAV2, PCDH11X"
VLMC_1,"ABCA9, ATP1A2, COLEC12, DCN, LAMA2, MIR99AHG, NTRK3, RBMS3, RNF220, RORA","COBLL1, COLEC12, CYP1B1, ITIH5, PRRX1, RBMS3, SASH1, SLC1A3, SLC7A11, SVIL",2,"COLEC12, RBMS3"
VLMC_2,"ATP1A2, CALD1, DLC1, EBF1, EPS8, IGFBP7, LHFPL6, MYO1B, PTEN, SLC19A1","EBF1, EPAS1, GRM3, MYO1B, NOTCH3, PDGFRB, PTEN, SLC19A1, SLC20A2, SLC6A1",4,"EBF1, MYO1B, PTEN, SLC19A1"
Vip_1,"CALN1, CCNG2, GALNT17, PDE3A, PROX1, RGS6, SHISA8, SYNPR, THSD7A, VIP","CDH13, GPR149, LAMA3, PDE3A, PROX1, PTH2R, SCG2, SVEP1, VIP, ZNF804A",3,"PDE3A, PROX1, VIP"
Vip_11,"CALN1, HTR1E, IGFBP5, KMO, L3MBTL4, LINGO2, RERG, RYR3, SHISA8, THSD7A","CDH13, HTR1E, KMO, LINGO2, LRRC3B, PLCE1, PROX1, RERG, VIP, ZNF804A",4,"HTR1E, KMO, LINGO2, RERG"
Vip_12,"CCNH, GALNT17, GPR149, LAMA3, RGS6, SEMA6D, SHISA8, SLC22A3, TAC3, VIP","CNR1, CRH, GPR149, LAMA3, PDE3A, PPP1R1C, PROX1, SCG2, TAC3, VIP",4,"GPR149, LAMA3, TAC3, VIP"
Vip_13,"ADAMTS6, CALN1, LRRC3B, MYRIP, PLCE1, RYR3, SEZ6, SHISA8, THSD7A, VIP","GPR149, HRH3, HTR1E, KCNT2, LINGO2, LRRC3B, PLCE1, RERG, VIP, ZNF804A",3,"LRRC3B, PLCE1, VIP"
Vip_14,"BRINP1, CXCL14, DLX6-AS1, GPR158, KCTD8, NCAM2, PDE4D, PEX5L, PLD5, TMTC2","BMP6, BRINP1, CBLB, EPHA7, FAT4, FRAS1, GPR158, HTR2C, PTGFR, SDK2",2,"BRINP1, GPR158"
Vip_15,"ADARB2, CXCL14, DACH2, DLX6-AS1, GRM7, MTUS2, PLD5, SDK1, THSD7B, ZBTB20","CACNA1D, CALB2, CHRM3, DACH2, GRM7, KMO, PROX1, SCG2, SOX2-OT, ZNF804A",2,"DACH2, GRM7"
Vip_16,"ADARB2, ARHGAP18, CNTN4, DLX6-AS1, GALNT13, MIR99AHG, PLD5, ROBO1, SNTG1, THSD7B","ADRA1A, CALB2, EPHA7, FAT4, PCDH11X, PCDH18, PRKCA, PROX1, SCN7A, SDK2",0,
Vip_18,"GALNT17, IQGAP2, LAMA3, NELL1, PDE3A, PTH2R, RGS6, SLC22A3, SNTG1, THSD7B","GPR149, IQGAP2, LAMA3, MCTP2, NELL1, NR3C2, PDE3A, PTH2R, SVEP1, VIP",5,"IQGAP2, LAMA3, NELL1, PDE3A, PTH2R"
Vip_19,"ABI3BP, ADARB2, CCNG2, DLX6-AS1, LAMA3, NR3C2, PDE3A, SEMA6D, SMOC1, VIP","ABI3BP, CRH, IQGAP2, LAMA3, NR3C2, PDE3A, SCG2, SEZ6L, SMOC1, VIP",6,"ABI3BP, LAMA3, NR3C2, PDE3A, SMOC1, VIP"
Vip_2,"AC092422.1, CSMD1, GALNT13, GALNTL6, HTR2C, LINC01322, SHISA8, SOX2-OT, TAC3, THSD7A","GRM7, HTR1E, HTR2C, KMO, PARD3, RARB, RERG, SCG2, SOX2-OT, TAC3",3,"HTR2C, SOX2-OT, TAC3"
Vip_21,"CNR1, CNTN5, LINC01470, NR3C2, PRR16, SORCS1, SORCS3, SVIL, VIP, VWC2L","ALCAM, ANGPT1, CNR1, GRIA1, NR3C2, PBX1, SLITRK4, SORCS1, SVIL, VIP",5,"CNR1, NR3C2, SORCS1, SVIL, VIP"
Vip_23,"ANKS1B, C8orf34, FIGN, IQGAP2, KCNT2, PARD3, SCG2, SDK1, SOX2-OT, ZBTB20","CMTM8, EGFR, GRM7, IQGAP2, KCNT2, PARD3, PDE10A, SCG2, SOX2-OT, TAC3",5,"IQGAP2, KCNT2, PARD3, SCG2, SOX2-OT"
Vip_4,"AC013265.1, ADRA1B, AL589740.1, CADM2, CALB2, CNR1, CNTNAP4, LRP1B, PTPRE, VIP","ADRA1B, CALB2, CCK, CHRNA2, CNR1, CNTNAP4, CRH, LAMA3, LRRC3B, VIP",5,"ADRA1B, CALB2, CNR1, CNTNAP4, VIP"
Vip_5,"ADARB2, ADRA1B, AL589693.1, CCK, CHRNA7, CNR1, CNTNAP4, KCNT2, NPAS3, WWP1","ADRA1B, CACNA1D, CCK, CHRNA7, CNR1, CNTNAP4, EDIL3, INPP4B, KCNT2, WWP1",7,"ADRA1B, CCK, CHRNA7, CNR1, CNTNAP4, KCNT2, WWP1"
Vip_6,"ADRA1B, AL356108.1, AL589740.1, ALCAM, EDIL3, FAM126A, GPHN, KCNT2, NR2F2-AS1, ZMAT4","ADAM33, ADRA1B, ALCAM, CALB2, CNR1, EDIL3, GPHN, INPP4B, KCNT2, KMO",5,"ADRA1B, ALCAM, EDIL3, GPHN, KCNT2"
Vip_9,"AC016766.1, AL136114.1, AL589740.1, B4GALT6, CSMD1, KCNT2, KMO, SYNPR, THSD7A, ZMAT4","ADRA1B, ALCAM, EDIL3, EDNRA, INPP4B, KCNT2, KMO, PARM1, PROX1, PTPRZ1",2,"KCNT2, KMO"
