group,rank,gene,wilcoxon_score,logfoldchange,pval_adj,round,marker_type,detection_efficiency,eff_source,frac_snrna_in_group,predicted_spatial_detection,composite_score,spatially_validated,best_spatial_r
Sst,1,GRIK1,122.71932983398438,4.790204048156738,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9963300058719906,0.4500865673297834,55.234321909989504,False,
Sst,2,STXBP6,113.36370086669922,3.490391254425049,0.0,1,subclass_vs_all,0.5479474110713445,calibrated,0.9744568408690546,0.5339511031549595,90.79600970325433,True,0.7882730113461602
Sst,3,XKR4,112.96343231201172,2.1473894119262695,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,1.0,0.4517444668705591,51.03060550565822,False,
Sst,4,SPOCK3,111.48189544677734,3.1136724948883057,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9998532002348797,0.4516781508889281,50.353936392993205,False,
Sst,5,KIAA1217,108.2804946899414,3.2751784324645996,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9998532002348797,0.4516781508889281,73.3619004283367,True,0.8938940447194108
Sst,6,WLS,107.20103454589844,3.034424304962158,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9552260716382853,0.4315180924730957,46.259185938388526,False,
Sst,7,SST,106.59129333496094,5.02755880355835,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.8584850264239577,0.38781586057824863,62.00669123226962,True,0.9563471379934811
Sst,8,NRXN3,105.17229461669922,1.3756300210952759,0.0,1,subclass_vs_all,0.2357873470381127,calibrated,1.0,0.2357873470381127,24.79829632958229,False,
Sst,9,NXPH1,102.92838287353516,4.152428150177002,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9997064004697592,0.451611834907297,46.48367585355802,False,
Sst,10,GRIK3,102.11749267578125,2.8926055431365967,0.0,1,subclass_vs_all,0.3694664054563255,calibrated,0.952730475631239,0.3520019042001692,53.918327811032746,True,0.9191842498196352
Sst,11,PLCH1,101.37266540527344,3.396655321121216,0.0,1,subclass_vs_all,0.3550464225744307,calibrated,0.9067821491485614,0.32194975810955057,32.63690510614819,False,
Sst,12,KIF26B,100.266845703125,2.8036248683929443,0.0,1,subclass_vs_all,0.152482899317762,calibrated,0.9574280681150911,0.1459914077143928,14.638097951281036,False,
Sst,13,SYNPR,99.34628295898438,2.9032480716705322,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9969172049324722,0.4503518312563075,44.74078045908591,False,
Sst,14,RUNX1T1,96.46988677978516,1.7828882932662964,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9863476218438051,0.4455770805788735,42.98477051511114,False,
Sst,15,CDH9,96.37801361083984,2.5686299800872803,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9721080446271286,0.43914443036066386,42.32386788642457,False,
Sst,16,TIAM1,96.1218032836914,2.097429037094116,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9823840281855549,0.4437865490748358,42.657563370119625,False,
Sst,17,ROBO2,95.23626708984375,2.5275137424468994,0.0,1,subclass_vs_all,0.0722173236978769,calibrated,0.9904580152671756,0.07152822709770632,10.218122010510237,True,0.8998046536302271
Sst,18,ROBO1,94.13404846191406,2.5469956398010254,0.0,1,subclass_vs_all,0.275883673697141,calibrated,0.998825601879037,0.2755596764291467,38.90932190269598,True,0.8022744688216494
Sst,19,GRID2,93.3970718383789,2.4963324069976807,0.0,1,subclass_vs_all,0.1771061004536589,calibrated,0.9813564298297123,0.1738042104422651,24.34920649273344,True,0.9190680360905564
Sst,20,SOX6,92.31841278076172,3.460319995880127,0.0,1,subclass_vs_all,0.2943325449528867,calibrated,0.8932765707574868,0.26292036641783845,36.4085863731467,True,0.9237843764555456
Sst,21,SHISA6,91.75656127929688,2.677626371383667,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9047269524368761,0.4087053947920222,37.50140160241341,False,
Sst,22,RBFOX1,91.23131561279297,1.5019454956054688,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,1.0,0.4517444668705591,41.213242033400874,False,0.6917494363063827
Sst,23,GRIN3A,91.16108703613281,2.9608099460601807,0.0,1,subclass_vs_all,0.2326137989362038,calibrated,0.8791837933059307,0.20451028212403471,27.965069442739804,True,0.871721202692915
Sst,24,SATB1-AS1,90.95084381103516,2.4740164279937744,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.906635349383441,0.40956750255322566,37.25050995479417,False,
Sst,25,DAPK1,89.938232421875,1.7709496021270752,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9616852613035819,0.4344359956648609,39.07240555053494,False,
Sst,26,NETO1,89.86542510986328,1.877294898033142,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9729888432178508,0.43954232625045003,39.49965800227491,False,
Sst,27,GRIK2,89.44856262207031,1.7531089782714844,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9997064004697592,0.451611834907297,40.39602949557344,False,
