celltype,beta_snrnaseq,se,pval_snrnaseq,padj_snrnaseq,logFC_xenium,pval_xenium,FDR_xenium,SE_xenium,class
L2/3 IT_10,-0.169067110295597,0.0842876847815801,0.0448739537362267,0.305703809828044,-0.396750338097442,0.0091678691385769,0.0812884396953819,0.13897299116797,Glut
Sst_22,-0.27142856495951,0.0808981876307707,0.0007931128967773,0.0216123264371826,-0.0738585705239524,0.538079461521346,0.706010476528917,0.118093236278479,GABA
Lamp5_6,0.11080758128473,0.0815145497421795,0.174032683746483,0.512977103115637,-0.149001641086464,0.284629075857753,0.522316195418202,0.135887325467855,GABA
Sst_9,-0.0612491014058203,0.0545312450350913,0.261355622870788,0.569755257858317,-0.161122776027162,0.283000686569222,0.522316195418202,0.146432338974548,GABA
Pvalb_8,0.0110182356205514,0.0692976447784177,0.873669895918211,0.961919380354394,0.142850199745872,0.465313085184581,0.658368514144141,0.192273292618859,GABA
Sst_19,-0.05323807353256,0.053867350818735,0.322996922597446,0.640121173874938,-0.110203095475138,0.391252798413976,0.604193837789291,0.12602592434715,GABA
Pvalb_7,0.135898804676527,0.0658871344963603,0.039150646223205,0.304815745594954,-0.235654524035066,0.39976735131923,0.604193837789291,0.274472184282083,GABA
Sncg_6,-0.0099450623828084,0.0612025234955034,0.87091660152526,0.961919380354394,0.184878322258888,0.294539207942595,0.522316195418202,0.172198842264873,GABA
L5 IT_6,0.105963133916066,0.0710765312253008,0.136005731008827,0.499604933085498,-0.27212817261492,0.0493139372415217,0.192904519209482,0.130842638982457,Glut
L6b_3,0.123211420755199,0.0892720812798716,0.167531645433414,0.512977103115637,0.233473227722629,0.417761154151634,0.609104131079213,0.282749423077757,Glut
L6b_4,0.263148912719372,0.0766304865344309,0.0005947492937785,0.021609224340621,0.901464805807637,0.0078271959700955,0.0763315354001121,0.308330821289847,Glut
Sncg_5,0.0147969765618592,0.0727340801672124,0.838791618356915,0.961919380354394,-0.251837016531456,0.18341000953628,0.413449682513988,0.183387504788726,GABA
L6 IT_1,0.1048442674229,0.0787099144638225,0.182849077951207,0.513113325556289,0.244319308151291,0.243655096802512,0.491001937495971,0.203975906767336,Glut
L5 IT_7,-0.0387628650406406,0.0673412840245114,0.564873313227867,0.786920305648997,-0.251496305336374,0.214085016703877,0.466775528223206,0.196615925396487,Glut
Chandelier_2,0.154152041754566,0.0699836489851141,0.027616849489067,0.231556661100639,0.0306122310162795,0.7564449603689,0.824649014172653,0.0974858713233375,GABA
Vip_1,-0.0514451227739463,0.0492731622252091,0.296448382399967,0.609676861916914,0.156162377116158,0.223978213758469,0.473492498894623,0.12482927537527,GABA
Sst Chodl_1,-0.0181061358445948,0.0703998396236776,0.797032091301406,0.961919380354394,-0.113204931903,0.597839510890885,0.742606137002684,0.211517636712366,GABA
L2/3 IT_1,-0.0435929821253722,0.0610158349794698,0.474946746590716,0.725161804665052,-0.0712995147706615,0.498676774367324,0.676775622355654,0.10365379988753,Glut
L2/3 IT_2,0.075801956093688,0.0821736060870001,0.356288105453833,0.652482950989092,-0.278186686944651,0.0284833866985945,0.130630704514244,0.118712475996642,Glut
Sncg_2,0.157378115090815,0.0823075552516264,0.0558667363791497,0.338304125851518,0.153792479624658,0.419050759095999,0.609104131079213,0.186776148782478,GABA
Sst_1,0.0697615060622537,0.0618378532279409,0.259262503421158,0.569755257858317,0.129739006252749,0.387039283896652,0.604193837789291,0.147031979731206,GABA
Sncg_8,-0.0017587901633398,0.0635160211386955,0.977909003464133,0.995669874819086,-0.0142300863874649,0.910129052786071,0.924024152828607,0.124636610879591,GABA
Pax6_3,0.0362607840844254,0.0718403102289647,0.613740427052186,0.81582568961815,-0.569959948904849,0.000706939986212,0.0377935279300325,0.145017249125827,GABA
Vip_18,-0.0648361552969541,0.0610262514155198,0.288040260267096,0.603776699406029,-0.155367508939247,0.226949696572245,0.473492498894623,0.125019273668729,GABA
Pax6_4,0.0641894868833819,0.0737338588677429,0.383996380664173,0.680028908243956,-0.0702423632042451,0.672879915238373,0.771491626954341,0.16417012112726,GABA
Sncg_3,0.0510673069238611,0.071816876077193,0.477036710407552,0.725161804665052,0.180527782701198,0.356438713536866,0.571160830125339,0.191679534268906,GABA
Sst Chodl_2,0.131358137330864,0.0747291013191975,0.0787830872937457,0.390334387046285,-0.0514200849378017,0.753227344962864,0.824649014172653,0.161539015021041,GABA
L6 IT Car3_3,0.0835367743096128,0.0628200302811211,0.1835910063917,0.513113325556289,0.0973941783836305,0.731897000711207,0.818002530206643,0.28070995061834,Glut
L6 CT_3,0.131444235983575,0.0740213144769062,0.0757721566988142,0.390334387046285,-0.168335647573415,0.438103882744218,0.626535660268612,0.213179349316659,Glut
Pvalb_1,-0.0009767133801452,0.0578748050915545,0.986535288811571,0.995669874819086,0.205704174938115,0.406889567520127,0.608048454833448,0.243304129420592,GABA
