celltype,beta_snrnaseq,se,pval_snrnaseq,padj_snrnaseq,logFC_xenium,pval_xenium,FDR_xenium,SE_xenium,class
L6 IT_2,0.132741114253581,0.0837445912340588,0.112950227292435,0.490428188924502,0.129302224256406,0.291565316614793,0.622146517698156,0.119673020014112,Glut
L6b_1,0.458585124140643,0.1111762145486,3.7097767723065e-05,0.00415494998498328,0.331349180532632,0.0189113414044501,0.240174035836517,0.130833655202205,Glut
L6b_2,0.218554329321285,0.0962218550837521,0.0231252839519079,0.185002271615263,0.289906536887753,0.0364322979102929,0.244876369427371,0.130181953181832,Glut
L6b_4,0.318081620405642,0.0894802976170069,0.000378313999612734,0.0086825998428835,0.444438450161342,0.0289938361608548,0.244876369427371,0.190322982375201,Glut
L6b_6,0.118259183319301,0.0906193691005757,0.191889440998092,0.598072191446786,0.277468621316831,0.0102913256472473,0.240174035836517,0.0989380547623097,Glut
Lamp5_1,0.0444139918551774,0.0925078465187982,0.631148796224624,0.821961222990208,-0.0437585798033037,0.657733026346065,0.891746888163519,0.0974387350711054,GABA
Lamp5_2,0.0677597717914254,0.0428554104274138,0.113849401000331,0.490428188924502,-0.103895722929146,0.560002948452837,0.846671124446551,0.175569451330116,GABA
Lamp5_3,0.100408242882714,0.0733408629890034,0.170979663840114,0.598072191446786,-0.0483906349247555,0.700613560354593,0.891746888163519,0.124231720168244,GABA
Lamp5_4,0.0932822297989209,0.0748308545111656,0.212553582335658,0.62647371635773,-0.322786502270162,0.0562466606871173,0.315909782451647,0.160220903250048,GABA
Lamp5_5,0.0314445110344777,0.0613218142891896,0.608106235650296,0.821658777149494,-0.189633835115952,0.178526764696759,0.493993070495751,0.136486134889084,GABA
Lamp5_6,0.140320998519655,0.0921095737748938,0.127655204237478,0.51062081694991,-0.143515624859751,0.31874006163555,0.635166316984649,0.140700105296032,GABA
Lamp5_Lhx6_1,0.0436739722602506,0.0450623579427426,0.332450559323754,0.744689252885209,0.0456962670389381,0.693817194624881,0.891746888163519,0.114567206946623,GABA
