donor,depth_bin,celltype,count,depth_midpoint,total
H20.33.001,4,Pvalb,90,0.36597000272942565,2871
H20.33.001,4,Sncg,3,0.36597000272942565,2871
H20.33.001,4,Sst,49,0.36597000272942565,2871
H20.33.001,4,Sst Chodl,3,0.36597000272942565,2871
H20.33.001,4,VLMC,123,0.36597000272942565,2871
H20.33.001,4,Vip,24,0.36597000272942565,2871
H20.33.001,5,Astrocyte,194,0.4252794918490117,2154
H20.33.001,5,Chandelier,8,0.4252794918490117,2154
H20.33.001,5,Endothelial,124,0.4252794918490117,2154
H20.33.001,5,L2/3 IT,10,0.4252794918490117,2154
H20.33.001,5,L4 IT,325,0.4252794918490117,2154
H20.33.001,5,L5 ET,56,0.4252794918490117,2154
H20.33.001,5,L5 IT,300,0.4252794918490117,2154
H20.33.001,5,L5/6 NP,39,0.4252794918490117,2154
H20.33.001,5,L6 CT,2,0.4252794918490117,2154
H20.33.001,5,L6 IT,43,0.4252794918490117,2154
H20.33.001,5,L6 IT Car3,48,0.4252794918490117,2154
H20.33.001,5,L6b,6,0.4252794918490117,2154
H20.33.001,5,Lamp5,27,0.4252794918490117,2154
H20.33.001,5,Lamp5 Lhx6,19,0.4252794918490117,2154
H20.33.001,5,Microglia-PVM,339,0.4252794918490117,2154
H20.33.001,5,OPC,93,0.4252794918490117,2154
H20.33.001,5,Oligodendrocyte,318,0.4252794918490117,2154
H20.33.001,5,Pvalb,62,0.4252794918490117,2154
H20.33.001,5,Sncg,3,0.4252794918490117,2154
H20.33.001,5,Sst,28,0.4252794918490117,2154
H20.33.001,5,Sst Chodl,4,0.4252794918490117,2154
H20.33.001,5,VLMC,93,0.4252794918490117,2154
H20.33.001,5,Vip,13,0.4252794918490117,2154
H20.33.001,6,Astrocyte,155,0.4785746476917123,1607
H20.33.001,6,Endothelial,88,0.4785746476917123,1607
H20.33.001,6,L2/3 IT,10,0.4785746476917123,1607
H20.33.001,6,L4 IT,63,0.4785746476917123,1607
H20.33.001,6,L5 ET,35,0.4785746476917123,1607
H20.33.001,6,L5 IT,210,0.4785746476917123,1607
H20.33.001,6,L5/6 NP,52,0.4785746476917123,1607
H20.33.001,6,L6 CT,3,0.4785746476917123,1607
H20.33.001,6,L6 IT,58,0.4785746476917123,1607
H20.33.001,6,L6 IT Car3,53,0.4785746476917123,1607
H20.33.001,6,L6b,9,0.4785746476917123,1607
H20.33.001,6,Lamp5,13,0.4785746476917123,1607
H20.33.001,6,Lamp5 Lhx6,12,0.4785746476917123,1607
H20.33.001,6,Microglia-PVM,271,0.4785746476917123,1607
H20.33.001,6,OPC,58,0.4785746476917123,1607
H20.33.001,6,Oligodendrocyte,373,0.4785746476917123,1607
H20.33.001,6,Pax6,1,0.4785746476917123,1607
H20.33.001,6,Pvalb,30,0.4785746476917123,1607
H20.33.001,6,Sncg,2,0.4785746476917123,1607
H20.33.001,6,Sst,28,0.4785746476917123,1607
H20.33.001,6,Sst Chodl,1,0.4785746476917123,1607
H20.33.001,6,VLMC,68,0.4785746476917123,1607
H20.33.001,6,Vip,14,0.4785746476917123,1607
H20.33.001,7,Astrocyte,163,0.5265249766703246,1557
H20.33.001,7,Endothelial,95,0.5265249766703246,1557
H20.33.001,7,L2/3 IT,1,0.5265249766703246,1557
H20.33.001,7,L4 IT,23,0.5265249766703246,1557
H20.33.001,7,L5 ET,11,0.5265249766703246,1557
H20.33.001,7,L5 IT,175,0.5265249766703246,1557
H20.33.001,7,L5/6 NP,46,0.5265249766703246,1557
H20.33.001,7,L6 CT,25,0.5265249766703246,1557
H20.33.001,7,L6 IT,54,0.5265249766703246,1557
H20.33.001,7,L6 IT Car3,107,0.5265249766703246,1557
H20.33.001,7,L6b,55,0.5265249766703246,1557
H20.33.001,7,Lamp5,5,0.5265249766703246,1557
H20.33.001,7,Lamp5 Lhx6,13,0.5265249766703246,1557
H20.33.001,7,Microglia-PVM,242,0.5265249766703246,1557
H20.33.001,7,OPC,77,0.5265249766703246,1557
H20.33.001,7,Oligodendrocyte,348,0.5265249766703246,1557
H20.33.001,7,Pax6,1,0.5265249766703246,1557
H20.33.001,7,Pvalb,20,0.5265249766703246,1557
H20.33.001,7,Sncg,3,0.5265249766703246,1557
H20.33.001,7,Sst,28,0.5265249766703246,1557
H20.33.001,7,Sst Chodl,2,0.5265249766703246,1557
H20.33.001,7,VLMC,62,0.5265249766703246,1557
H20.33.001,7,Vip,1,0.5265249766703246,1557
H20.33.001,8,Astrocyte,146,0.5736308020987178,1606
H20.33.001,8,Chandelier,1,0.5736308020987178,1606
H20.33.001,8,Endothelial,78,0.5736308020987178,1606
H20.33.001,8,L2/3 IT,10,0.5736308020987178,1606
H20.33.001,8,L4 IT,20,0.5736308020987178,1606
H20.33.001,8,L5 ET,4,0.5736308020987178,1606
H20.33.001,8,L5 IT,111,0.5736308020987178,1606
H20.33.001,8,L5/6 NP,20,0.5736308020987178,1606
H20.33.001,8,L6 CT,52,0.5736308020987178,1606
H20.33.001,8,L6 IT,121,0.5736308020987178,1606
H20.33.001,8,L6 IT Car3,179,0.5736308020987178,1606
H20.33.001,8,L6b,97,0.5736308020987178,1606
H20.33.001,8,Lamp5,14,0.5736308020987178,1606
H20.33.001,8,Lamp5 Lhx6,12,0.5736308020987178,1606
H20.33.001,8,Microglia-PVM,224,0.5736308020987178,1606
H20.33.001,8,OPC,81,0.5736308020987178,1606
H20.33.001,8,Oligodendrocyte,338,0.5736308020987178,1606
H20.33.001,8,Pax6,1,0.5736308020987178,1606
H20.33.001,8,Pvalb,13,0.5736308020987178,1606
H20.33.001,8,Sncg,1,0.5736308020987178,1606
H20.33.001,8,Sst,14,0.5736308020987178,1606
H20.33.001,8,VLMC,65,0.5736308020987178,1606
H20.33.001,8,Vip,4,0.5736308020987178,1606
H20.33.001,9,Astrocyte,154,0.6232998583340807,1718
H20.33.001,9,Chandelier,1,0.6232998583340807,1718
H20.33.001,9,Endothelial,91,0.6232998583340807,1718
H20.33.001,9,L2/3 IT,6,0.6232998583340807,1718
H20.33.001,9,L4 IT,9,0.6232998583340807,1718
H20.33.001,9,L5 ET,4,0.6232998583340807,1718
H20.33.001,9,L5 IT,84,0.6232998583340807,1718
H20.33.001,9,L5/6 NP,17,0.6232998583340807,1718
H20.33.001,9,L6 CT,58,0.6232998583340807,1718
H20.33.001,9,L6 IT,209,0.6232998583340807,1718
H20.33.001,9,L6 IT Car3,206,0.6232998583340807,1718
H20.33.001,9,L6b,81,0.6232998583340807,1718
H20.33.001,9,Lamp5,3,0.6232998583340807,1718
H20.33.001,9,Lamp5 Lhx6,17,0.6232998583340807,1718
H20.33.001,9,Microglia-PVM,234,0.6232998583340807,1718
H20.33.001,9,OPC,65,0.6232998583340807,1718
H20.33.001,9,Oligodendrocyte,374,0.6232998583340807,1718
H20.33.001,9,Pvalb,10,0.6232998583340807,1718
H20.33.001,9,Sst,27,0.6232998583340807,1718
H20.33.001,9,Sst Chodl,3,0.6232998583340807,1718
H20.33.001,9,VLMC,61,0.6232998583340807,1718
H20.33.001,9,Vip,4,0.6232998583340807,1718
H20.33.001,10,Astrocyte,154,0.6753469056984731,1875
H20.33.001,10,Chandelier,2,0.6753469056984731,1875
H20.33.001,10,Endothelial,100,0.6753469056984731,1875
H20.33.001,10,L2/3 IT,8,0.6753469056984731,1875
H20.33.001,10,L4 IT,6,0.6753469056984731,1875
H20.33.001,10,L5 ET,4,0.6753469056984731,1875
H20.33.001,10,L5 IT,63,0.6753469056984731,1875
H20.33.001,10,L5/6 NP,10,0.6753469056984731,1875
H20.33.001,10,L6 CT,95,0.6753469056984731,1875
H20.33.001,10,L6 IT,236,0.6753469056984731,1875
H20.33.001,10,L6 IT Car3,261,0.6753469056984731,1875
H20.33.001,10,L6b,102,0.6753469056984731,1875
H20.33.001,10,Lamp5,13,0.6753469056984731,1875
H20.33.001,10,Lamp5 Lhx6,20,0.6753469056984731,1875
H20.33.001,10,Microglia-PVM,209,0.6753469056984731,1875
H20.33.001,10,OPC,87,0.6753469056984731,1875
H20.33.001,10,Oligodendrocyte,402,0.6753469056984731,1875
H20.33.001,10,Pax6,1,0.6753469056984731,1875
H20.33.001,10,Pvalb,11,0.6753469056984731,1875
H20.33.001,10,Sncg,1,0.6753469056984731,1875
H20.33.001,10,Sst,24,0.6753469056984731,1875
H20.33.001,10,Sst Chodl,1,0.6753469056984731,1875
H20.33.001,10,VLMC,62,0.6753469056984731,1875
H20.33.001,10,Vip,3,0.6753469056984731,1875
H20.33.001,11,Astrocyte,177,0.7286523577098767,1989
H20.33.001,11,Chandelier,8,0.7286523577098767,1989
H20.33.001,11,Endothelial,107,0.7286523577098767,1989
H20.33.001,11,L2/3 IT,8,0.7286523577098767,1989
H20.33.001,11,L4 IT,4,0.7286523577098767,1989
H20.33.001,11,L5 ET,2,0.7286523577098767,1989
H20.33.001,11,L5 IT,39,0.7286523577098767,1989
H20.33.001,11,L5/6 NP,5,0.7286523577098767,1989
H20.33.001,11,L6 CT,94,0.7286523577098767,1989
H20.33.001,11,L6 IT,202,0.7286523577098767,1989
H20.33.001,11,L6 IT Car3,256,0.7286523577098767,1989
H20.33.001,11,L6b,140,0.7286523577098767,1989
H20.33.001,11,Lamp5,6,0.7286523577098767,1989
H20.33.001,11,Lamp5 Lhx6,21,0.7286523577098767,1989
H20.33.001,11,Microglia-PVM,236,0.7286523577098767,1989
H20.33.001,11,OPC,83,0.7286523577098767,1989
H20.33.001,11,Oligodendrocyte,508,0.7286523577098767,1989
H20.33.001,11,Pax6,2,0.7286523577098767,1989
H20.33.001,11,Pvalb,9,0.7286523577098767,1989
H20.33.001,11,Sncg,2,0.7286523577098767,1989
H20.33.001,11,Sst,17,0.7286523577098767,1989
H20.33.001,11,VLMC,57,0.7286523577098767,1989
H20.33.001,11,Vip,6,0.7286523577098767,1989
H20.33.001,12,Astrocyte,132,0.7835778716327416,1494
H20.33.001,12,Endothelial,70,0.7835778716327416,1494
H20.33.001,12,L2/3 IT,5,0.7835778716327416,1494
H20.33.001,12,L4 IT,6,0.7835778716327416,1494
H20.33.001,12,L5 ET,3,0.7835778716327416,1494
H20.33.001,12,L5 IT,29,0.7835778716327416,1494
H20.33.001,12,L5/6 NP,4,0.7835778716327416,1494
H20.33.001,12,L6 CT,86,0.7835778716327416,1494
H20.33.001,12,L6 IT,130,0.7835778716327416,1494
H20.33.001,12,L6 IT Car3,232,0.7835778716327416,1494
H20.33.001,12,L6b,102,0.7835778716327416,1494
H20.33.001,12,Lamp5,6,0.7835778716327416,1494
H20.33.001,12,Lamp5 Lhx6,15,0.7835778716327416,1494
H20.33.001,12,Microglia-PVM,215,0.7835778716327416,1494
H20.33.001,12,OPC,55,0.7835778716327416,1494
H20.33.001,12,Oligodendrocyte,332,0.7835778716327416,1494
H20.33.001,12,Pax6,4,0.7835778716327416,1494
H20.33.001,12,Pvalb,7,0.7835778716327416,1494
H20.33.001,12,Sncg,1,0.7835778716327416,1494
H20.33.001,12,Sst,9,0.7835778716327416,1494
H20.33.001,12,Sst Chodl,1,0.7835778716327416,1494
H20.33.001,12,VLMC,43,0.7835778716327416,1494
H20.33.001,12,Vip,7,0.7835778716327416,1494
H20.33.001,13,Astrocyte,136,0.8417991197317191,1541
H20.33.001,13,Endothelial,53,0.8417991197317191,1541
H20.33.001,13,L2/3 IT,5,0.8417991197317191,1541
H20.33.001,13,L4 IT,4,0.8417991197317191,1541
H20.33.001,13,L5 ET,3,0.8417991197317191,1541
H20.33.001,13,L5 IT,29,0.8417991197317191,1541
H20.33.001,13,L5/6 NP,1,0.8417991197317191,1541
H20.33.001,13,L6 CT,70,0.8417991197317191,1541
H20.33.001,13,L6 IT,177,0.8417991197317191,1541
H20.33.001,13,L6 IT Car3,205,0.8417991197317191,1541
H20.33.001,13,L6b,86,0.8417991197317191,1541
H20.33.001,13,Lamp5,5,0.8417991197317191,1541
H20.33.001,13,Lamp5 Lhx6,12,0.8417991197317191,1541
H20.33.001,13,Microglia-PVM,264,0.8417991197317191,1541
H20.33.001,13,OPC,73,0.8417991197317191,1541
H20.33.001,13,Oligodendrocyte,355,0.8417991197317191,1541
H20.33.001,13,Pvalb,2,0.8417991197317191,1541
H20.33.001,13,Sst,18,0.8417991197317191,1541
H20.33.001,13,VLMC,40,0.8417991197317191,1541
H20.33.001,13,Vip,3,0.8417991197317191,1541
H20.33.001,14,Astrocyte,224,0.9359857751952485,2437
H20.33.001,14,Endothelial,67,0.9359857751952485,2437
H20.33.001,14,L2/3 IT,13,0.9359857751952485,2437
H20.33.001,14,L4 IT,11,0.9359857751952485,2437
H20.33.001,14,L5 ET,6,0.9359857751952485,2437
H20.33.001,14,L5 IT,21,0.9359857751952485,2437
H20.33.001,14,L5/6 NP,3,0.9359857751952485,2437
H20.33.001,14,L6 CT,105,0.9359857751952485,2437
H20.33.001,14,L6 IT,299,0.9359857751952485,2437
H20.33.001,14,L6 IT Car3,169,0.9359857751952485,2437
H20.33.001,14,L6b,151,0.9359857751952485,2437
H20.33.001,14,Lamp5,7,0.9359857751952485,2437
H20.33.001,14,Lamp5 Lhx6,16,0.9359857751952485,2437
H20.33.001,14,Microglia-PVM,507,0.9359857751952485,2437
H20.33.001,14,OPC,116,0.9359857751952485,2437
H20.33.001,14,Oligodendrocyte,638,0.9359857751952485,2437
H20.33.001,14,Pvalb,8,0.9359857751952485,2437
H20.33.001,14,Sncg,1,0.9359857751952485,2437
H20.33.001,14,Sst,14,0.9359857751952485,2437
H20.33.001,14,Sst Chodl,5,0.9359857751952485,2437
H20.33.001,14,VLMC,52,0.9359857751952485,2437
H20.33.001,14,Vip,4,0.9359857751952485,2437
H20.33.004,0,Astrocyte,205,0.07012815840520031,1197
H20.33.004,0,Endothelial,71,0.07012815840520031,1197
H20.33.004,0,L2/3 IT,212,0.07012815840520031,1197
H20.33.004,0,Lamp5,25,0.07012815840520031,1197
H20.33.004,0,Lamp5 Lhx6,3,0.07012815840520031,1197
H20.33.004,0,Microglia-PVM,453,0.07012815840520031,1197
H20.33.004,0,OPC,27,0.07012815840520031,1197
H20.33.004,0,Oligodendrocyte,64,0.07012815840520031,1197
H20.33.004,0,Pax6,9,0.07012815840520031,1197
H20.33.004,0,Sncg,40,0.07012815840520031,1197
H20.33.004,0,Sst,1,0.07012815840520031,1197
H20.33.004,0,VLMC,65,0.07012815840520031,1197
H20.33.004,0,Vip,22,0.07012815840520031,1197
H20.33.004,1,Astrocyte,92,0.17196188121655695,1092
H20.33.004,1,Chandelier,8,0.17196188121655695,1092
H20.33.004,1,Endothelial,68,0.17196188121655695,1092
H20.33.004,1,L2/3 IT,396,0.17196188121655695,1092
H20.33.004,1,L6 IT,1,0.17196188121655695,1092
H20.33.004,1,L6 IT Car3,1,0.17196188121655695,1092
H20.33.004,1,Lamp5,9,0.17196188121655695,1092
H20.33.004,1,Lamp5 Lhx6,9,0.17196188121655695,1092
H20.33.004,1,Microglia-PVM,269,0.17196188121655695,1092
H20.33.004,1,OPC,39,0.17196188121655695,1092
H20.33.004,1,Oligodendrocyte,43,0.17196188121655695,1092
H20.33.004,1,Pax6,7,0.17196188121655695,1092
H20.33.004,1,Pvalb,24,0.17196188121655695,1092
H20.33.004,1,Sncg,12,0.17196188121655695,1092
H20.33.004,1,Sst,8,0.17196188121655695,1092
H20.33.004,1,VLMC,50,0.17196188121655695,1092
H20.33.004,1,Vip,56,0.17196188121655695,1092
H20.33.004,2,Astrocyte,101,0.2359988162850995,1197
H20.33.004,2,Chandelier,2,0.2359988162850995,1197
H20.33.004,2,Endothelial,76,0.2359988162850995,1197
H20.33.004,2,L2/3 IT,432,0.2359988162850995,1197
H20.33.004,2,L4 IT,3,0.2359988162850995,1197
H20.33.004,2,L6 IT,3,0.2359988162850995,1197
H20.33.004,2,L6 IT Car3,3,0.2359988162850995,1197
H20.33.004,2,Lamp5,10,0.2359988162850995,1197
H20.33.004,2,Lamp5 Lhx6,9,0.2359988162850995,1197
H20.33.004,2,Microglia-PVM,263,0.2359988162850995,1197
H20.33.004,2,OPC,38,0.2359988162850995,1197
H20.33.004,2,Oligodendrocyte,78,0.2359988162850995,1197
H20.33.004,2,Pax6,2,0.2359988162850995,1197
H20.33.004,2,Pvalb,42,0.2359988162850995,1197
H20.33.004,2,Sncg,11,0.2359988162850995,1197
H20.33.004,2,Sst,10,0.2359988162850995,1197
H20.33.004,2,VLMC,62,0.2359988162850995,1197
H20.33.004,2,Vip,52,0.2359988162850995,1197
H20.33.004,3,Astrocyte,141,0.30169529422504904,1342
H20.33.004,3,Chandelier,5,0.30169529422504904,1342
H20.33.004,3,Endothelial,75,0.30169529422504904,1342
H20.33.004,3,L2/3 IT,391,0.30169529422504904,1342
H20.33.004,3,L4 IT,11,0.30169529422504904,1342
H20.33.004,3,L6 IT,4,0.30169529422504904,1342
H20.33.004,3,L6 IT Car3,8,0.30169529422504904,1342
H20.33.004,3,L6b,1,0.30169529422504904,1342
H20.33.004,3,Lamp5,11,0.30169529422504904,1342
H20.33.004,3,Lamp5 Lhx6,9,0.30169529422504904,1342
H20.33.004,3,Microglia-PVM,318,0.30169529422504904,1342
H20.33.004,3,OPC,54,0.30169529422504904,1342
H20.33.004,3,Oligodendrocyte,133,0.30169529422504904,1342
H20.33.004,3,Pax6,5,0.30169529422504904,1342
H20.33.004,3,Pvalb,31,0.30169529422504904,1342
H20.33.004,3,Sncg,6,0.30169529422504904,1342
H20.33.004,3,Sst,10,0.30169529422504904,1342
H20.33.004,3,Sst Chodl,5,0.30169529422504904,1342
H20.33.004,3,VLMC,73,0.30169529422504904,1342
H20.33.004,3,Vip,51,0.30169529422504904,1342
H20.33.004,4,Astrocyte,136,0.36597000272942565,1405
H20.33.004,4,Chandelier,6,0.36597000272942565,1405
H20.33.004,4,Endothelial,134,0.36597000272942565,1405
H20.33.004,4,L2/3 IT,324,0.36597000272942565,1405
H20.33.004,4,L4 IT,29,0.36597000272942565,1405
H20.33.004,4,L5 ET,1,0.36597000272942565,1405
H20.33.004,4,L5 IT,4,0.36597000272942565,1405
H20.33.004,4,L6 IT,3,0.36597000272942565,1405
H20.33.004,4,L6 IT Car3,4,0.36597000272942565,1405
H20.33.004,4,L6b,1,0.36597000272942565,1405
H20.33.004,4,Lamp5,28,0.36597000272942565,1405
H20.33.004,4,Lamp5 Lhx6,14,0.36597000272942565,1405
H20.33.004,4,Microglia-PVM,346,0.36597000272942565,1405
H20.33.004,4,OPC,48,0.36597000272942565,1405
H20.33.004,4,Oligodendrocyte,119,0.36597000272942565,1405
H20.33.004,4,Pax6,4,0.36597000272942565,1405
H20.33.004,4,Pvalb,35,0.36597000272942565,1405
H20.33.004,4,Sncg,9,0.36597000272942565,1405
H20.33.004,4,Sst,28,0.36597000272942565,1405
H20.33.004,4,Sst Chodl,2,0.36597000272942565,1405
H20.33.004,4,VLMC,87,0.36597000272942565,1405
H20.33.004,4,Vip,43,0.36597000272942565,1405
H20.33.004,5,Astrocyte,142,0.4252794918490117,1455
H20.33.004,5,Chandelier,13,0.4252794918490117,1455
H20.33.004,5,Endothelial,90,0.4252794918490117,1455
H20.33.004,5,L2/3 IT,222,0.4252794918490117,1455
H20.33.004,5,L4 IT,201,0.4252794918490117,1455
H20.33.004,5,L5 IT,30,0.4252794918490117,1455
H20.33.004,5,L5/6 NP,1,0.4252794918490117,1455
H20.33.004,5,L6 IT,9,0.4252794918490117,1455
H20.33.004,5,L6 IT Car3,12,0.4252794918490117,1455
H20.33.004,5,L6b,1,0.4252794918490117,1455
H20.33.004,5,Lamp5,16,0.4252794918490117,1455
H20.33.004,5,Lamp5 Lhx6,7,0.4252794918490117,1455
H20.33.004,5,Microglia-PVM,349,0.4252794918490117,1455
H20.33.004,5,OPC,56,0.4252794918490117,1455
H20.33.004,5,Oligodendrocyte,99,0.4252794918490117,1455
H20.33.004,5,Pvalb,51,0.4252794918490117,1455
H20.33.004,5,Sncg,5,0.4252794918490117,1455
H20.33.004,5,Sst,35,0.4252794918490117,1455
H20.33.004,5,VLMC,87,0.4252794918490117,1455
H20.33.004,5,Vip,29,0.4252794918490117,1455
H20.33.004,6,Astrocyte,165,0.4785746476917123,1694
H20.33.004,6,Chandelier,8,0.4785746476917123,1694
H20.33.004,6,Endothelial,90,0.4785746476917123,1694
H20.33.004,6,L2/3 IT,182,0.4785746476917123,1694
H20.33.004,6,L4 IT,365,0.4785746476917123,1694
H20.33.004,6,L5 ET,7,0.4785746476917123,1694
H20.33.004,6,L5 IT,91,0.4785746476917123,1694
H20.33.004,6,L5/6 NP,7,0.4785746476917123,1694
H20.33.004,6,L6 IT,5,0.4785746476917123,1694
H20.33.004,6,L6 IT Car3,6,0.4785746476917123,1694
H20.33.004,6,Lamp5,23,0.4785746476917123,1694
H20.33.004,6,Lamp5 Lhx6,13,0.4785746476917123,1694
H20.33.004,6,Microglia-PVM,338,0.4785746476917123,1694
H20.33.004,6,OPC,36,0.4785746476917123,1694
H20.33.004,6,Oligodendrocyte,147,0.4785746476917123,1694
H20.33.004,6,Pax6,2,0.4785746476917123,1694
H20.33.004,6,Pvalb,54,0.4785746476917123,1694
H20.33.004,6,Sst,47,0.4785746476917123,1694
H20.33.004,6,Sst Chodl,2,0.4785746476917123,1694
H20.33.004,6,VLMC,59,0.4785746476917123,1694
H20.33.004,6,Vip,47,0.4785746476917123,1694
H20.33.004,7,Astrocyte,87,0.5265249766703246,1476
H20.33.004,7,Chandelier,11,0.5265249766703246,1476
H20.33.004,7,Endothelial,79,0.5265249766703246,1476
H20.33.004,7,L2/3 IT,105,0.5265249766703246,1476
H20.33.004,7,L4 IT,372,0.5265249766703246,1476
H20.33.004,7,L5 ET,6,0.5265249766703246,1476
H20.33.004,7,L5 IT,146,0.5265249766703246,1476
H20.33.004,7,L5/6 NP,18,0.5265249766703246,1476
