cell_type,ctrl_mean,scz_mean,log2FC,U_stat,pvalue,padj
Sst_5,0.0003275389036992023,0.0004440945164101739,0.4380475104504155,45.0,0.12602212177037309,0.4905961003672287
Oligo_1,4.31981949112435e-05,0.00012016120141775973,1.4548684337401943,46.0,0.13047768626787998,0.4905961003672287
Astro_2,0.1455703204536706,0.16212217161590975,0.15536415139418094,46.0,0.14095521914437145,0.49073298516929315
VLMC_1,0.044382392930083614,0.05087059488489396,0.19684036518619236,46.0,0.14095521914437145,0.49073298516929315
Sst_10,4.544154369002252e-05,7.239101622651407e-05,0.6601875466371845,96.0,0.153659921092528,0.501843563595067
L5/6 NP_1,1.4442815806623719e-05,3.513802215100916e-06,-1.7745207249044532,90.0,0.154824078130393,0.501843563595067
L6 IT_1,0.00016248278651138974,8.28282122286096e-05,-0.9636309718663426,96.0,0.1739146552925317,0.5449325865832659
Micro-PVM_1,0.0027862135213302802,0.0052464490017473985,0.9127927126324155,49.0,0.1939308522824107,0.5696718785795815
L2/3 IT_5,0.018165805114581646,0.01769824858921662,-0.03761661101343049,95.0,0.1939308522824107,0.5696718785795815
Vip_18,2.968056582679782e-05,1.3790820829655782e-05,-1.0526229717180131,88.0,0.20763226189415152,0.5914373520621286
Vip_23,0.0051234721007088055,0.007095858129692516,0.4697770737819531,50.0,0.21449380778351745,0.5930122921073717
Lamp5_Lhx6_1,0.005298858466107416,0.005767006958273393,0.1221190722844005,51.0,0.23658409332187624,0.6177473547848991
Micro-PVM_2,0.05345945820209186,0.04459546125761835,-0.26154296636151725,93.0,0.23658409332187624,0.6177473547848991
L2/3 IT_7,0.0009928204678918786,0.0014138712884522204,0.5096136564956556,53.0,0.28547630885188247,0.6372798076033895
Sncg_5,0.000358198709292993,0.00044991561526609844,0.32807530549728403,53.0,0.28547630885188247,0.6372798076033895
L4 IT_2,0.013016403339867264,0.0112041159261416,-0.21628411930945893,91.0,0.28547630885188247,0.6372798076033895
Sst_25,0.01781954193878516,0.02350552245325668,0.39951991178814467,53.0,0.28547630885188247,0.6372798076033895
Pvalb_3,5.043417960779662e-05,2.209385152871299e-05,-1.1552185918456486,89.0,0.287498043151759,0.6372798076033895
L4 IT_3,0.00033352495528823456,0.00028860034566140854,-0.20805051435687155,90.5,0.2976449100272375,0.6372798076033895
Lamp5_6,0.0002130312371571256,0.0003060133409503967,0.5204799791907906,54.0,0.31190028567145933,0.6372798076033895
Sncg_8,0.0008744581152536355,0.0016000984064032753,0.8709519189972588,54.0,0.3123214216762161,0.6372798076033895
L2/3 IT_10,0.0008431472893742103,0.002012189132709437,1.2539160634258752,54.0,0.3123214216762161,0.6372798076033895
Pvalb_14,4.726255293405928e-06,0.0,-2.5175919913851867,78.0,0.3593173383295707,0.6372798076033895
L5 IT_7,3.254064326343603e-06,0.0,-2.088841848671238,78.0,0.3593173383295707,0.6372798076033895
Sncg_3,3.5212259500267613e-06,0.0,-2.1767140187047915,78.0,0.3593173383295707,0.6372798076033895
L6b_5,6.535947712418301e-06,0.0,-2.91378895495912,78.0,0.3593173383295707,0.6372798076033895
Sst_1,5.371492415452709e-06,0.0,-2.671631339230244,78.0,0.3593173383295707,0.6372798076033895
L6 IT Car3_2,3.299023489047242e-06,0.0,-2.1040089929542445,78.0,0.3593173383295707,0.6372798076033895
L2/3 IT_2,0.0,3.409292367276248e-06,2.1405471410124486,66.0,0.3593173383295707,0.6372798076033895
L5/6 NP_2,6.535947712418301e-06,0.0,-2.91378895495912,78.0,0.3593173383295707,0.6372798076033895
Vip_9,0.0007881666522247316,0.000670634868693197,-0.23265286207409774,88.0,0.3708443333042212,0.6455438394554961
L5 ET_2,0.0006455600369391341,0.0010903290411736007,0.7552299028614912,57.0,0.40250382378200356,0.6879156261001516
Vip_4,0.0023703534264371356,0.0032849693348042113,0.4706083188215496,58.0,0.43573066003173655,0.7265556470535579
Vip_16,4.327127135319742e-05,8.627719832160664e-05,0.9792339861700352,59.0,0.4405709774686468,0.7265556470535579
Sst_11,0.05869632675150672,0.07127392757225481,0.2800998678683676,59.0,0.47048642205878966,0.7495885368394276
Sncg_4,0.01903891030283709,0.017485676451150546,-0.12277056798786795,85.0,0.47048642205878966,0.7495885368394276
Vip_2,1.2526090005683687e-05,2.9479625377480317e-05,1.172100311969625,62.0,0.4947169016621472,0.7750564792706972
Vip_13,0.0007190189641917121,0.0008527399138998087,0.24576172405267457,60.0,0.5067205148778584,0.7808480065330933
Pvalb_9,6.858089210940781e-05,7.514791736756705e-05,0.1301134036564015,83.0,0.5292134476115236,0.7896200646902097
Sncg_1,7.227924171797513e-05,5.6946477538060954e-05,-0.33868360966592936,83.0,0.5292134476115236,0.7896200646902097
Vip_1,0.020799679822644863,0.02138296858900522,0.03989894319022801,83.0,0.5443701458566098,0.7995436517268957
Sncg_6,7.195217799182778e-05,9.352144548101461e-05,0.37369064153798764,62.0,0.5641015087408363,0.8064100569125603
L6 IT Car3_3,6.79837048566035e-06,3.513802215100916e-06,-0.7888294918579339,78.0,0.5806695263859756,0.8064100569125603
Chandelier_2,0.00014539558205049576,0.00020778156306470042,0.5121223006394905,62.0,0.5832785924180158,0.8064100569125603
L4 IT_1,0.0180260422390419,0.019027762451901308,0.0780190299620595,62.0,0.5833604667027033,0.8064100569125603
Endo_1,0.0003951759525252392,0.00036867137070332854,-0.09989799481889937,81.5,0.6025419572425674,0.8208542605913237
Sst_20,0.0024471292215013864,0.0031610474913251123,0.3691793250089169,63.0,0.623604884395689,0.8374122733313538
VLMC_2,7.958682029269415e-06,9.193880553103855e-06,0.1863449450267769,77.0,0.6512910450788394,0.8622726512311394
L5 IT_3,1.2160897414669188e-05,1.5033837074030008e-05,0.284861852792967,67.0,0.7144872225576832,0.9328027627836419
L6 CT_2,0.00010596648317377618,0.00010632279814970542,0.004797760479193132,66.0,0.7497778216111932,0.9459638501852959
Vip_5,3.814584323070483e-05,5.1756237463290246e-05,0.4304825557183319,67.0,0.7812867426176477,0.9459638501852959
Vip_19,0.00497318215287356,0.004311434709116384,-0.20595672519573857,77.0,0.7950121719642381,0.9459638501852959
Vip_21,0.003051920041706249,0.003341247012087801,0.13062855638943427,67.0,0.7950121719642381,0.9459638501852959
L4 IT_4,0.0024029816691681022,0.002349956865767983,-0.03217782590304286,77.0,0.7950121719642381,0.9459638501852959
Pvalb_8,0.00046521300229075344,0.0006095593614623095,0.38914232706555446,67.0,0.7950121719642381,0.9459638501852959
Lamp5_5,0.0042430864890046485,0.003753795897990681,-0.1767195685054678,77.0,0.7950121719642381,0.9459638501852959
L6 IT_2,0.00016040416791859638,0.00017070365416296416,0.08924290919425958,76.0,0.8391686867294897,0.962766309984882
Pax6_1,0.01262251206354823,0.013865826518457787,0.1355243115422804,68.0,0.8398599725400034,0.962766309984882
Lamp5_2,0.008220087967421675,0.008231263886266944,0.0019598979367240234,68.0,0.8398599725400034,0.962766309984882
