stratum,celltype,merfish_mean,merfish_std,merfish_n_donors,xenium_mean,xenium_std,xenium_n_donors,diff,abs_diff,log2_ratio,abs_log2_ratio
L4,L4 IT,0.08072798410669302,0.08968129643065492,27,0.026889396969017543,0.00634606083835576,12,-0.053838587137675475,0.053838587137675475,-1.5856737347793235,1.5856737347793235
L4,L5 ET,0.001426502353728065,0.0028224067512491006,27,0.006886430949146327,0.0027923282646372203,12,0.005459928595418263,0.005459928595418263,2.2632895726638766,2.2632895726638766
L4,L5 IT,0.01484393363344779,0.025306271478905903,27,0.007119509568628144,0.0027634419940258167,12,-0.007724424064819645,0.007724424064819645,-1.0589702938165428,1.0589702938165428
L4,L5/6 NP,0.000866404147116043,0.0012904037492609728,27,0.0011654838391459705,0.00037587890446525856,12,0.00029907969202992756,0.00029907969202992756,0.42358648834181006,0.42358648834181006
L4,L6 CT,0.00011064877871605263,0.00035748731545400697,27,9.941634422081355e-05,8.739512272405966e-05,12,-1.123243449523908e-05,1.123243449523908e-05,-0.140985052912293,0.140985052912293
L4,L6 IT,0.005242615978860902,0.0036342058953349097,27,0.0048440077232607326,0.0017634428121950647,12,-0.00039860825560016945,0.00039860825560016945,-0.11385970828113545,0.11385970828113545
L4,L6 IT Car3,0.010340128971552077,0.006732696418506122,27,0.00016397960796318337,0.00012322809218724408,12,-0.010176149363588894,0.010176149363588894,-5.894586716203704,5.894586716203704
L4,L6b,0.001197483033037253,0.0012826922921426401,27,0.05283548421181999,0.012438737814072311,12,0.051638001178782734,0.051638001178782734,5.451705372450415,5.451705372450415
L4,Lamp5,0.02167170983714782,0.008585106209801689,27,0.008894109583269414,0.0013109016746368281,12,-0.012777600253878406,0.012777600253878406,-1.2839352800608632,1.2839352800608632
L4,Lamp5 Lhx6,0.012787403766597327,0.00708459086037476,27,0.002331388770827312,0.0008262113148337145,12,-0.010456014995770015,0.010456014995770015,-2.450414749024026,2.450414749024026
