stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,scz_pval_fdr
L4,OPC,-0.0009378992788591719,0.0009531790303558498,0.3368850302263823,0.0008458602561465026,0.3867751866921293,9.511306123504298e-05,0.10089062986733395,0.18914941401847918,24,0.5390160483622116
L4,Lamp5 Lhx6,-0.00021029468529936888,0.0003096274302611702,0.5048048068759529,-0.00021895667681202154,0.4888869869779159,2.2095629563481446e-05,0.23297319582250797,0.09594783446093647,24,0.7572072103139293
L4,L2/3 IT,-0.006604948636010549,0.01079650807522521,0.5475839230557804,0.021552594681654443,0.06039028145944129,-0.0005519857626283811,0.3886716766114836,0.18983413478030942,24,0.767581748891245
L4,Sncg,3.42446304178871e-05,7.953458447195837e-05,0.6713906672521641,3.7831200461262116e-05,0.6404501563556276,7.954503025125877e-07,0.8648696776921813,0.02603848496413752,24,0.767581748891245
L4,Lamp5,0.0002988664582603026,0.000720651739738648,0.6827637776829449,-0.0001654082943873471,0.8213073564335351,2.5117525058099738e-06,0.9526929659205143,0.010947350740612594,24,0.767581748891245
L4,L6 IT Car3,4.946041089211015e-06,1.2716881965766732e-05,0.7014340585634485,6.522263410207807e-06,0.6146862374522893,-1.1531913858128859e-06,0.13374079540546682,0.1140348936923099,24,0.767581748891245
L4,L5 ET,0.0002335860246317117,0.0006069003312202148,0.7043860258026563,-0.00014723427819878713,0.8113293414910315,8.470886242135036e-06,0.8123351499371917,0.013200353547546229,24,0.767581748891245
L4,Sst,-0.0005548327283318674,0.0015833519027282751,0.7296897565565076,-0.0034369512323439073,0.042715347268111804,-0.00011883978016682195,0.21052543665433965,0.28028932833859355,24,0.767581748891245
L4,L6 CT,2.6370107979489807e-05,7.700856206858539e-05,0.7355991760207765,-3.3670803833430273e-05,0.6675409865494772,-3.732753268936374e-06,0.4133291080083745,0.0493542426485819,24,0.767581748891245
L4,Astrocyte,-0.0021889625978193557,0.009208426503620049,0.8145219820401435,-0.010145497401664549,0.28502225657245034,0.0009076061070584439,0.104857145959532,0.15470606531095465,24,0.8145219820401435
L5,Endothelial,-0.012434673242776986,0.002888776704336993,0.0003452346506902279,1.1630817393533388e-05,0.9968367561069429,-0.0003868190020585344,0.03181763566799721,0.5801982393208018,24,0.00828563161656547
L5,L6b,0.004795021778026372,0.0014617086078660235,0.0037406551936932887,-0.0019986252388868257,0.18793629470957662,4.067389135257356e-05,0.6367065226766393,0.3887276728999204,24,0.04488786232431947
L5,Chandelier,-0.005958097446942156,0.0020334661270836616,0.008279402548120518,0.00018186684514188197,0.9298301954154806,-0.00019309949342250578,0.11732490307638413,0.39409748664483113,24,0.06623522038496414
L5,Pax6,0.004105125442467637,0.0016937212765913501,0.0249675498151945,-0.000637659799869311,0.711329492762406,-7.034388400036724e-05,0.4823617061874341,0.2337090428572911,24,0.149805298891167
L5,VLMC,0.029439714453120144,0.014462428201756668,0.055256438924315615,-0.015049064582357798,0.31188007482868796,0.0001091037015697587,0.8978440495135945,0.201777561483643,24,0.23434690019881593
L5,Vip,-0.0015336832178904506,0.0007928860710180876,0.0673501584696036,0.001028716971981564,0.2105356812555337,8.245697156636288e-05,0.08819896037421093,0.28836467254816156,24,0.23434690019881593
L5,Oligodendrocyte,-0.024041260450458363,0.012586012490944218,0.07055891602334408,0.00798554699810907,0.5341507109523236,0.0005719953794703914,0.44261701220158256,0.17615122249684145,24,0.23434690019881593
L5,Lamp5 Lhx6,-0.0004278447035103182,0.00023040761017169804,0.07811563339960531,6.913348861663574e-05,0.7678982228961256,1.2981754668746089e-05,0.34308916992658545,0.16840809572478288,24,0.23434690019881593
L5,Lamp5,-0.001162959999207215,0.0006666296354330815,0.0964148866542908,0.0002518657225201171,0.7103553679317247,4.4333187984088986e-05,0.26522166135153785,0.16802639954542098,24,0.2458702209443356
L5,Pvalb,0.0016880141959613058,0.0009862521880291113,0.10244592539347318,-0.0010719655523606045,0.2913815357794185,-4.336345475398147e-06,0.9403448226605936,0.16266412916954975,24,0.2458702209443356
L5,L6 IT,0.009744335210184581,0.00705070008486701,0.18220239582719666,-0.006113303002583585,0.3975609484343995,0.0001245667916992117,0.7638835199327055,0.11779055302688202,24,0.3975324999866109
L5,Microglia-PVM,-0.005814512754193723,0.0044707428975399805,0.20819302818466184,0.0022049851450769067,0.6282454303099624,-0.0006181327915552153,0.027199990131622012,0.29569498507405534,24,0.4163860563693237
L5,L5 IT,0.006936984642137611,0.006287141438501614,0.28297008990786304,0.0038014475325368544,0.553374166343876,0.00040692124532960437,0.27783660107380836,0.15314637239966178,24,0.522406319829901
L5,Sncg,5.896955203908237e-05,6.532581212897593e-05,0.37742955113701826,-4.257187518549865e-06,0.9488371375807365,-8.971109537385393e-07,0.815297843219276,0.03975649335272868,24,0.6470220876634598
L5,L6 CT,9.29420499057182e-05,0.00013677259396842226,0.5045872295942002,-0.00010356617531711235,0.4590524109909919,-3.862525484267539e-06,0.6317261205441268,0.05777034591470509,24,0.8073395673507203
L5,L6 IT Car3,-3.2522192230655125e-05,7.7913135015129e-05,0.6808209339324843,-8.88375525048528e-06,0.9106195931393827,-3.456503931121908e-06,0.45340983543153335,0.04463179803595274,24,0.9729899120185684
L5,L5 ET,-0.0003740831915608862,0.0010974965329918639,0.7367700123826962,-3.417381583991838e-05,0.9755400984082082,-4.587690297913078e-06,0.9432788408999055,0.0067434677641023955,24,0.9729899120185684
L5,Astrocyte,-0.0027126548118894638,0.008282963432827629,0.7466944747983711,-0.003672399028023122,0.6631839319353356,0.0007889353694789602,0.11628670013279231,0.12121192459937047,24,0.9729899120185684
L5,L5/6 NP,0.0003895965759081808,0.0013816485087388263,0.7808564200309736,0.0007098242146135274,0.6140904254230145,6.627857280478135e-06,0.934926401932605,0.019737857747089138,24,0.9729899120185684
L5,L4 IT,-0.0019318212615553505,0.010504488903933512,0.8559402722467064,0.009400686656229906,0.3828451368338397,-0.0008682661839625906,0.16967214904334785,0.11644528126272957,24,0.9729899120185684
L5,OPC,-0.00015980520370920928,0.0009065708291815926,0.8618510885932561,0.00021477627793058942,0.8156676630726611,5.990780192808506e-05,0.26817014718109206,0.06771414138201537,24,0.9729899120185684
L5,L2/3 IT,-0.0005085747509173313,0.006574265077711779,0.9391071034489691,0.0029098478197393703,0.6637202605301189,-0.00011080821463857303,0.7744178010914917,0.012653170367195599,24,0.9729899120185684
L5,Sst,-0.00017213424879786512,0.0022543307654446483,0.939893645912095,0.00020202044152482085,0.9296913180901266,-6.812321879665149e-06,0.9589777098924599,0.0007823332639089742,24,0.9729899120185684
L5,Sst Chodl,1.392357588896726e-05,0.0004061150612968889,0.9729899120185684,-0.0002784507934075839,0.5020508606361018,2.2918115331711852e-05,0.342336185215696,0.05980649053985532,24,0.9729899120185684
L6,Endothelial,-0.016736601070716596,0.006569162437645104,0.019168983921938106,0.005509442541433523,0.41290979433395525,-0.00034545662807354343,0.37551699065368427,0.2947465344925774,24,0.15764060247959352
L6,L6 CT,-0.005581077280138165,0.0022127373745042585,0.020246896531558645,0.0006619398035982438,0.7685722027908517,2.2118867345182527e-05,0.8649386434822008,0.24263371487147878,24,0.15764060247959352
L6,Chandelier,-0.004706779604965316,0.001956688489387994,0.02594754915524925,-0.000213575321686726,0.9144208942598013,-2.064646884462471e-05,0.8575160967188107,0.23590834370314728,24,0.15764060247959352
