stratum,celltype,scz_mean,ctrl_mean,scz_median,ctrl_median,diff_mean,log2_ratio,n_scz,n_ctrl,U_stat,pval_nominal,pval_fdr
L2/3,L5 ET,0.00027032796327892993,0.0002293129998568843,0.00018420238541665,0.0002328006264446,4.101496342204564e-05,0.23644189525177328,12,12,67.0,0.7950121719642381,0.8780354258372763
L2/3,L2/3 IT,0.314228031086681,0.30034036243286855,0.29476458237411896,0.30682371598849023,0.013887668653812468,0.06521330118036185,12,12,68.0,0.8398599725400034,0.8780354258372763
L2/3,Vip,0.04031197311470849,0.03958764804711474,0.0391332207535778,0.039865614561622145,0.0007243250675937479,0.026157386897482433,12,12,76.0,0.8398599725400034,0.8780354258372763
L2/3,Sncg,0.008904097840012616,0.008779762288819984,0.008441954324215201,0.0086857625334053,0.00012433555119263293,0.020285271634264117,12,12,72.0,1.0,1.0
L4,Oligodendrocyte,0.08543536746693371,0.11457276601052159,0.08374977422567545,0.1144452410780829,-0.029137398543587878,-0.4233545338068413,12,12,28.0,0.01202282540761744,0.24240787884802448
L4,Chandelier,0.02910673760513599,0.03489246093629736,0.0303678644713353,0.03387181263429395,-0.005785723331161369,-0.2615539889635612,12,12,35.0,0.035089116094047856,0.24240787884802448
L4,Endothelial,0.1410454094657389,0.14985433760045427,0.1393034659301182,0.147178504573404,-0.008808928134715371,-0.08740053062489288,12,12,36.0,0.04040411958822371,0.24240787884802448
L4,L5 IT,0.0064048507863716415,0.0042931420527038255,0.006220438728723601,0.0042071949536065505,0.002111708733667816,0.5770202761522494,12,12,108.0,0.04040411958822371,0.24240787884802448
L4,L6b,0.007705665460952826,0.005800349453479449,0.0072044346307493,0.005612294176685699,0.0019053160074733767,0.40971824133030055,12,12,106.0,0.053097957285583426,0.24240787884802448
L4,L4 IT,0.045106389939949615,0.040219389416470325,0.04462783912123115,0.0350212750295317,0.00488700052347929,0.16543675947302217,12,12,105.0,0.06060196971200612,0.24240787884802448
L4,Sst Chodl,0.00318693818045055,0.0039375319811028745,0.0031880157098586,0.0037873182434780004,-0.0007505938006523243,-0.30503433724825774,12,12,41.0,0.07825222852623706,0.2682933549470985
L4,VLMC,0.1605277849632319,0.11288877240424595,0.17158231549005895,0.106222187693785,0.047639012558985935,0.5079172284641381,12,12,101.0,0.09987740276926413,0.2996031938412372
L4,Microglia-PVM,0.030072034650641215,0.04075421828467124,0.031719370125468396,0.040756490873165296,-0.010682183634030024,-0.4385143366774669,12,12,44.0,0.11235119769046394,0.2996031938412372
L4,Pvalb,0.01164421174684272,0.01001001984232919,0.011841728122566699,0.00927534555606295,0.0016341919045135302,0.21814792070498362,12,12,98.0,0.14095521914437145,0.3144255066800076
L4,L5/6 NP,0.00010113081737190833,0.00017407961799869283,5.58534405719e-05,0.0001776221829306,-7.29488006267845e-05,-0.7775928846884645,12,12,47.0,0.1495654517448965,0.3144255066800076
L4,Vip,0.025722168547633397,0.02862140525907492,0.026606509334784048,0.028641397229984003,-0.0028992367114415232,-0.1540765498119097,12,12,47.0,0.1572127533400038,0.3144255066800076
L4,L6 IT,0.032115710745122324,0.02752244952282168,0.03336604874716285,0.02695452775805945,0.004593261222300644,0.22266285101515895,12,12,94.0,0.21449380778351745,0.3677036704860299
L4,Pax6,0.023793265259485396,0.02015496182854481,0.0224548312570465,0.020858322286968,0.0036383034309405843,0.23940727712357246,12,12,94.0,0.21449380778351745,0.3677036704860299
L4,Sncg,0.0005299544756604833,0.0004904943774196417,0.00051010723343305,0.0004057252205437,3.946009824084163e-05,0.11141325626909021,12,12,88.0,0.3708443333042212,0.5933509332867539
L4,OPC,0.005757125567509058,0.00637787661955314,0.00552229537485035,0.0070064246139552,-0.0006207510520440818,-0.14770312401963784,12,12,59.0,0.47048642205878966,0.7045708349443354
L4,Sst,0.01833452863041724,0.01948396512467706,0.0176366286139397,0.018553493897799048,-0.0011494364942598208,-0.08771948839502523,12,12,60.0,0.5067205148778584,0.7045708349443354
L4,L2/3 IT,0.25955236725885183,0.2657927494158074,0.26515048136436525,0.27068465637219385,-0.006240382156955548,-0.03427597328841899,12,12,61.0,0.5443701458566098,0.7045708349443354
L4,L6 CT,0.00012158937853295832,0.00010770544435036271,5.67601316835e-05,4.132572939912389e-05,1.3883934182595608e-05,0.17340978813233945,12,12,82.0,0.5577852443309321,0.7045708349443354
L4,Lamp5 Lhx6,0.002062659046370208,0.0022338987887359496,0.0020283730524783498,0.0021765726770756003,-0.00017123974236574148,-0.11500486668954257,12,12,66.0,0.7508318840891169,0.8672860057791689
L4,Astrocyte,0.0981667805218129,0.09884747606546608,0.09890704735220596,0.0993521541105364,-0.000680695543653187,-0.009969126505625476,12,12,67.0,0.7950121719642381,0.8672860057791689
L4,Lamp5,0.010725010327952667,0.010433414082726243,0.0101237436388693,0.01046804800375005,0.0002915962452264241,0.03976395562971652,12,12,77.0,0.7950121719642381,0.8672860057791689
L4,L5 ET,0.002772176346253791,0.002528892013150709,0.00238010967460295,0.002246305277332,0.0002432843331030823,0.1324635545529876,12,12,76.0,0.8398599725400034,0.8763756235200035
L4,L6 IT Car3,1.0142810775716666e-05,7.643857396196416e-06,0.0,0.0,2.49895337952025e-06,0.3663660222789149,12,12,72.5,1.0,1.0
L5,Endothelial,0.10600427619673587,0.11944113081673517,0.10674851334598601,0.11859181747470099,-0.0134368546199993,-0.1721757343381488,12,12,9.0,0.0003080447056277469,0.007393072935065925
L5,L6b,0.013332857377483283,0.008598906744456474,0.01180673226228285,0.0085664664538512,0.004733950633026809,0.6327012801200786,12,12,123.0,0.003549838634913564,0.036593675587286184
L5,VLMC,0.10046699290711858,0.071998424903124,0.08047105241663535,0.06401240788759996,0.028468568003994582,0.4806786726611796,12,12,121.0,0.005107905424995494,0.036593675587286184
L5,Chandelier,0.023368262043212115,0.029811975272668143,0.02330613072593055,0.0306875972255017,-0.006443713229456027,-0.35132818318764025,12,12,24.0,0.006098945931214364,0.036593675587286184
L5,Pax6,0.017644199188389893,0.013774637201752316,0.01691292954061585,0.0128015913746732,0.0038695619866375777,0.3571566629082402,12,12,106.0,0.053097957285583426,0.25487019497080043
L5,Oligodendrocyte,0.15414193066264842,0.17603435417917113,0.1489404447524994,0.17084252755664464,-0.021892423516522708,-0.19159647683266678,12,12,41.0,0.07825222852623706,0.3035443611916442
L5,Lamp5 Lhx6,0.0019260462943606336,0.00231446385671195,0.00183654235769755,0.0023079523645749,-0.0003884175623513166,-0.26491000682757077,12,12,42.0,0.08853377201422956,0.3035443611916442
L5,Microglia-PVM,0.025864681178581372,0.03309846954345188,0.025420634829744,0.0318904835688207,-0.007233788364870507,-0.3557689106499729,12,12,46.0,0.14095521914437145,0.39598856821572453
