stratum,celltype,scz_mean,ctrl_mean,diff_mean,log2_ratio,n_scz,n_ctrl,U_stat,pval_nominal,pval_fdr_global,pval_fdr_stratum
L2/3,L4 IT_1,0.001042396250343842,0.0005558359529950584,0.00048656029734878354,0.9059628846737944,12,12,118.0,0.008615558118820473,0.16017105775443516,0.13210522448858059
L5,Sst_11,0.004621977302841442,0.003303403489342924,0.001318573813498518,0.48443241943452703,12,12,118.0,0.008615558118820473,0.16017105775443516,0.20923184878120318
L4,Oligo_1,0.0027846207790552077,0.0016020872312586748,0.001182533547796533,0.7971459385595001,12,12,118.0,0.008615558118820473,0.16017105775443516,0.0976429920132987
L4,Oligo_4,0.07830016027252491,0.10930790724880389,-0.031007746976278977,-0.4813053758581642,12,12,26.0,0.008615558118820473,0.16017105775443516,0.0976429920132987
L6,Oligo_2,0.012325895882867532,0.0024886075567186,0.009837288326148932,2.3078193013247943,12,12,117.0,0.01019310499110825,0.17370749755680312,0.2196035172704812
L4,L2/3 IT_2,0.006903672946972034,0.009742582325049641,-0.002838909378077607,-0.4968792109398888,12,12,27.0,0.01019310499110825,0.17370749755680312,0.10219401596474825
L4,Vip_4,0.000264400309092775,0.0004918617730208166,-0.00022746146392804164,-0.8930130371930364,12,12,28.0,0.012004234591850719,0.18912829198905898,0.10219401596474825
L4,L6b_2,0.0021149159601966078,0.0011604452820935082,0.0009544706781030995,0.8653611401005525,12,12,116.0,0.01202282540761744,0.18912829198905898,0.10219401596474825
L5,Oligo_2,0.003454190944802833,0.0005249999088997752,0.0029291910359030577,2.71563098595363,12,12,115.0,0.014117006113376322,0.1927476502489266,0.20923184878120318
L5,L6b_2,0.007477048135052616,0.004154953219452434,0.003322094915600182,0.8474823426703392,12,12,115.0,0.014137969455911488,0.1927476502489266,0.20923184878120318
L6,VLMC_1,0.027648559803351375,0.0121064232108622,0.015542136592489174,1.191364659184161,12,12,115.0,0.014137969455911488,0.1927476502489266,0.2196035172704812
L6,Sst_7,0.0010280045140356334,0.0016471268776955832,-0.0006191223636599498,-0.6795779986813296,12,12,29.0,0.014137969455911488,0.1927476502489266,0.2196035172704812
L5,Sst_5,0.0011894535540725832,0.0007561221005573583,0.00043333145351522496,0.6529134479788201,12,12,114.0,0.01657492674985327,0.209796776485236,0.20923184878120318
L6,Astro_2,0.016252415699051642,0.0318126831499996,-0.015560267450947955,-0.9689044697260633,12,12,30.0,0.01657492674985327,0.209796776485236,0.2196035172704812
L5,Vip_12,0.00012995100082252974,0.00024521586584119997,-0.00011526486501867023,-0.910896644421941,12,12,31.0,0.019110501783710414,0.209796776485236,0.20923184878120318
L2/3,L2/3 IT_8,0.03830360765824273,0.05727257623953674,-0.018968968581294016,-0.5803517458428071,12,12,31.0,0.019373319331592885,0.209796776485236,0.2546207683580779
L5,Astro_4,0.037682435126926844,0.021606859910023587,0.016075575216903257,0.8023742918048277,12,12,113.0,0.019373319331592885,0.209796776485236,0.20923184878120318
L5,VLMC_1,0.016390586077718653,0.009566464052210824,0.006824122025507829,0.7767469784299201,12,12,113.0,0.019373319331592885,0.209796776485236,0.20923184878120318
L6,Sst_20,5.734658813276372e-05,6.4734975012299644e-06,5.087309063153376e-05,2.964792826573555,12,12,105.0,0.019492121042638064,0.209796776485236,0.2196035172704812
L4,Astro_1,0.00012536302324410832,8.732404205525e-06,0.00011663061903858332,3.698634309534815,12,12,105.0,0.019492121042638064,0.209796776485236,0.15293818048839097
L2/3,L6b_2,0.0010915533219206834,0.0005815075624648417,0.0005100457594558416,0.9073550070460555,12,12,112.0,0.02257606252313358,0.21984784695146747,0.2596247190160362
L6,L6 CT_3,0.00992524213311731,0.015826884778543025,-0.005901642645425715,-0.6731489159766344,12,12,32.0,0.02257606252313358,0.21984784695146747,0.2196035172704812
L6,Sst Chodl_2,0.0012146913339622,0.0021188499943121,-0.0009041586603498999,-0.8021852072046861,12,12,32.0,0.02257606252313358,0.21984784695146747,0.2196035172704812
L6,Endo_2,0.044697723288606966,0.05577683452171953,-0.011079111233112567,-0.31945830041792955,12,12,32.0,0.02257606252313358,0.21984784695146747,0.2196035172704812
L2/3,Chandelier_2,0.008390792917084807,0.011243492846903867,-0.0028526999298190605,-0.42216761132560154,12,12,33.0,0.02622938783485701,0.23839599165458927,0.2681226312007605
L6,L5 ET_2,0.004477444681567857,0.0063202341867369255,-0.001842789505169068,-0.49720847839258925,12,12,33.0,0.02622938783485701,0.23839599165458927,0.23221156796384246
